,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
USP16,0,0.695497301967689,0.628833074996793,0.670062994123367,0.731076974230251,0.68006549006549,0.730287908606538,0,0,0.660728422905688,0,0.585207967329684,0.586922851515518,0,0.633549169539761,0,0.681255453407352,0.620188408697963,0,0.670532046222654,0.704983691499952,0.542448507429052,0.682015246330641,0.627464273547576,0.763201228878648,0.66272962809976,0.723950362632245,0.780577290107627,0
MORC3,0,0.661386941256849,0.727413919589829,0.643500706981027,0.631834285692695,0.668068598068598,0.617297940767052,0,0,0.705185459468962,0,0.7259781857962,0.693794182264552,0,0.627386008393035,0,0.713274067704447,0.536661099013352,0,0.807348268674236,0.72210673680638,0.636660355690308,0.705903288201161,0.680309723884313,0.749376344086021,0,0.867597644553863,0.820251719999213,0
CREB1,0,0.514494976665466,0.658473828181031,0.524202943483796,0.520544891453703,0.402358474858475,0.641894302308837,0,0,0.777217262257264,0,0.7628157288475,0.633508470894557,0,0.48921343436826,0,0.578623907737832,0.443275505661406,0,0.658391516402566,0.779649525602898,0.610231817452883,0.612664011832973,0.557864623824041,0.66584331797235,0.769392735618738,0.858057755006987,0.714610647270629,0
DYRK1A,0,0.641341769037763,0.632310560751423,0.641567665835201,0.662966801974325,0.520856365856366,0.64335352565641,0,0,0.511960019399343,0,0.675004983057604,0,0,0.515384359186974,0,0.836694950619001,0.575797876929554,0,0.713142290490357,0.757949660653388,0.571409355501293,0.539714870861304,0.667460102549768,0.79694623655914,0.69124731429527,0.772323507884756,0.758668861619587,0
SP3,0,0.531418997526495,0.567422509042832,0.423131667582689,0.515274064129029,0.397499444999445,0.694824941199059,0,0,0.695377736552095,0,0.682741469700692,0.757563012346615,0,0.437345903744249,0,0.665347310916931,0.397491622637342,0,0.618958573654706,0.783388340145811,0.578440987363257,0.616819433382637,0.440365541006805,0.732866359447005,0.809637745921421,0.777180783817952,0.742589738376478,0
ZNF148,0,0.565341881671905,0.636114353043369,0.55791959676245,0.459248381282958,0.467978132978133,0.569005328085249,0,0,0.68438768432597,0,0.735476125359823,0.687747417036842,0,0.424884865663208,0,0.538739741271387,0.288695478122228,0,0.470509784874426,0.779171140328172,0.544184229733049,0.569054044828763,0.419958333697295,0.703877112135177,0.783466592659967,0.851661787211392,0.731933285673997,0
PRPF4B,0,0.539547922122383,0.558378771286962,0.444240101091241,0.477564663668319,0.415062992562993,0.546741419862718,0,0,0.577322882290286,0,0.66789659344276,0.694246410384627,0,0.362671438185781,0,0.652979931460944,0.331434263154444,0,0.58652783680408,0.732682629003715,0.593942999969604,0.62263033337126,0.506253330246941,0.662574500768049,0.703503077913844,0.805542617605962,0.749547126994642,0
BCLAF1,0,0.5918101640457,0.58033036325298,0.494847963847668,0.58720794767712,0.483455433455434,0.60153756060097,0,0,0.705613404497506,0,0,0.626439162780255,0,0.428149283008813,0,0.662666447476574,0.349599594849691,0,0.497786007730759,0.716385076881812,0.625033671545299,0.609011036522926,0.540885387094802,0.769824884792627,0.707473786582627,0.874584137334487,0.747747440496881,0
CASP8AP2,0,0.588339254035933,0.56659688525961,0.520292234482824,0.612380713683874,0.317798035298035,0.536299524792397,0,0,0.628030160410295,0,0.702516096434912,0.655728149961294,0,0.423580201258266,0,0.409704219830802,0.323310982196163,0,0.629866634286524,0.733339406825719,0.522678462683892,0.60545727614063,0.529797848551288,0.697523809523809,0.522205048526382,0.827067669172933,0.723094883617213,0
EPC2,0,0.488125249165989,0.571502751973963,0.523123681750495,0.495751221988103,0.380627983127983,0.561694619113906,0,0,0.730755252846006,0,0.695175936698945,0.575012865613023,0,0.434162568535078,0,0.683683405202392,0.366795619959347,0,0.509475239309494,0.711763292541882,0.534781003064416,0.56379679144385,0.507585974965278,0.606543778801843,0.614101867373929,0.766925610486393,0.688231860484945,0
RSBN1,0,0.565107721218642,0.575773298259383,0.514277023821268,0.572352652983087,0.406929181929182,0.592097153554457,0,0,0.756781770269052,0,0.688099994901057,0,0,0.53062205847561,0,0.450271247739602,0.327299935465837,0,0.419104284297655,0.77343814148005,0.532565930719944,0.495689839572193,0.554209978074965,0.694119815668203,0.750186873669348,0.86781389313993,0.710722694807537,0
PIKFYVE,0,0.464785528291177,0.656570457631649,0.501392823085632,0.542944333262384,0.36989454989455,0.521109009744156,0,0,0.605708136295764,0,0.559159323416663,0.585180271657601,0,0.416064139874725,0,0.587020574362346,0.457840124374933,0,0.459909335599943,0.585297247925955,0.561431048536288,0.4639549436796,0.527862592919349,0.698721966205837,0.709131478954775,0.778511544347595,0.692119812948036,0
MANEA,0,0.481487985938516,0.599946668722406,0.546415300854484,0.553067848205211,0.354524364524365,0.432766860269764,0,0,0.684210023243472,0,0.733631235195684,0.596201400420155,0,0.486454000243476,0,0.406719862416065,0,0,0.478283042923927,0.712413325659358,0.578276778530149,0.585736261235635,0.485418868633223,0.64678955453149,0.556575255255897,0.895967795595183,0.734207816568397,0
SHPRH,0,0.582923923047168,0.601318158773448,0.549549739990699,0.617457584638655,0.369460539460539,0.531550904814477,0,0,0.690085202514933,0,0,0.608190839683528,0,0.469477399215823,0,0.531000644924695,0.330301032891717,0,0.467551049319005,0.691256360549617,0.568775026561652,0.581756286266925,0.468213393488876,0.573536098310292,0.700939423465956,0.803405083505223,0.621279208032617,0
C5orf24,0,0.519252287139997,0.638931937957947,0.524732592060204,0.500377207355732,0.466218503718504,0.470348773580377,0,0,0.649970992412729,0,0.60631295455915,0.662504282463258,0,0.478368526349397,0,0.563955032309463,0.325421283850239,0,0.550658733531662,0.739282469007594,0.401690791972214,0.497689156900671,0.482935377922974,0,0.666294914365912,0.835218577416994,0.772287189039227,0
KLHL28,0,0.468041544214088,0.605619941348232,0.427658929804535,0.601918404822209,0.31289294039294,0.472148226371622,0,0,0.776599915969425,0,0.686500781065308,0.701674497803734,0,0.476638008457349,0,0,0.376986927518126,0,0,0.818718666448751,0.518002354125782,0.505126180452839,0.561982556057337,0.629585253456221,0.797947713677311,0.822568035132078,0.750129532829194,0
MIB1,0,0.429708885203579,0.611058215133572,0.564715774837113,0.581065576144878,0.317350704850705,0.546803628858062,0,0,0.773367003744805,0,0.633515813675364,0.642619803276394,0,0.335716910793571,0,0,0.349062529118022,0,0.451126221844454,0.713387397842164,0.581132614704237,0.520415064284902,0.394337597505263,0.689701996927803,0.543723190143015,0.854140328697851,0.727520643269868,0
ARID2,0,0.511347889814168,0.49186367329074,0.531176454008653,0.653663193504225,0,0.538969903518456,0,0,0.516152197574085,0,0.505400243822168,0.69615066689798,0,0.339335287267348,0,0.627562311106615,0.420879648961759,0,0.583245299819886,0.717467553083757,0.520370455127491,0.426961884173399,0.427227989797434,0.622924731182796,0.661233257564862,0.724474349590791,0.635917649913754,0
PHF3,0,0.529343417053105,0.512479877026331,0.457556476275032,0.49223103982025,0.313901931401931,0.445893726299621,0,0,0.583114945265841,0,0.664445536339237,0.573108463313686,0,0.32406669407687,0,0.502421629003907,0,0,0.634126646833829,0.70502963369021,0.55563622363007,0.489837069063602,0.486848909426018,0.594500768049155,0.549314299320883,0.891925610486393,0.73204609401132,0
TNKS2,0,0.425567357440004,0.483689770357456,0.428886164310846,0.574647383541165,0.393794261294261,0,0,0,0.714631418707899,0,0.611388720211745,0.665217505397726,0,0.431338934815016,0,0.518127442178075,0.337673284581857,0,0.512808370266934,0.713355042810301,0.584085578656206,0.441385823188076,0.49294206025454,0.558328725038402,0.635410253770668,0.860943841905649,0.62273743859488,0
SP4,0,0.454053421187964,0.576485519357548,0.511119096943305,0.555533864908129,0.309623154623155,0.553990687851006,0,0,0.683297718000538,0,0,0.675685522139788,0,0.502705111390317,0,0,0.413515162077379,0,0.48751340740291,0.761206375446617,0.530290764930164,0.509045852770509,0.408497916684865,0.734168970814132,0.780788024026641,0.822975580544281,0.729635143732251,0
ZBTB11,0,0.586280716886674,0.565328645573009,0.51289594460651,0.460893232056202,0.444708624708625,0.591755388086209,0,0,0.604706065453252,0,0.481514015139224,0,0,0.392249305748563,0,0.439219008839262,0.335921026748893,0,0.399649889705138,0.757990422128574,0.566497764488897,0.606430310615542,0.431347232291821,0.701179723502304,0.53787610225079,0.814092754008916,0.750342032255314,0
PTAR1,0,0.406130557790948,0.665317819239406,0.458741432846198,0.558719031527986,0,0.573032784524552,0,0,0.645495803250429,0,0.514773027520384,0.558022092407903,0,0.353915026839795,0,0.615447843295944,0,0,0.502798858599964,0.785551924058928,0.498088364616281,0.511562407554898,0.486652588639163,0.664798771121352,0.751149832444437,0.788167875440815,0.632139882338281,0
SENP7,0,0.395422163138698,0.599713312788575,0.472905715507077,0.572867770874554,0.348011155511156,0.43571986751788,0,0,0,0,0.58921295502269,0.72419726592967,0,0.371376053436114,0,0.51577536387663,0.387754556215468,0,0.389059559225305,0.711673460897527,0.57124305038521,0.574027306860849,0.483325398974502,0.593198156682028,0.706930430326001,0.858440348659259,0.636686320677375,0
SYNJ1,0,0.541476040791344,0.57152105563914,0.605980213926352,0.689419176239589,0.481882839382839,0.434511784188547,0,0,0.682333880654142,0,0,0,0,0.469196827460429,0,0.547515775363877,0.40447520266143,0,0.512328739400563,0.657676529444839,0.542058598795546,0.418718853111844,0.570761632934723,0.771545314900153,0.670162494919559,0.725514006254575,0.609213555364627,0
TRIM23,0,0.404908625552241,0.58266272200566,0.514892402655054,0.512387388805695,0.38043623043623,0.563459511352182,0,0,0.597201598991301,0,0.627740102256978,0,0,0.490481807052079,0,0.527080514422286,0,0,0.496233784631575,0.663320869640697,0.559008444177207,0.494538172715895,0.530138407246618,0.752012288786482,0.618368332744337,0.790272140528312,0.751737707498475,0
ARID4A,0,0.402169096451876,0.540140148362896,0.42153567553094,0.695211418740467,0.323546453546454,0.434114721835549,0,0,0.663297235926021,0,0.597540455474642,0.583295987823955,0,0.373339596334996,0,0,0.326459610931466,0,0.587313055268856,0.797589950898551,0.506426679533186,0.594717260211628,0.388806985438632,0.58315821812596,0.6125495130051,0.77367090292102,0.64526237776364,0
CTDSPL2,0,0.4644024240053,0.599261302829191,0.439908961512986,0.549688725215462,0,0.37997753564057,0,0,0.771951117644052,0,0.746237212083567,0.586427179172431,0,0.408795114858703,0,0,0.313545876197937,0,0.522313965960375,0.770486795628024,0.46685235075426,0.50430970531346,0.478677902883448,0.552811059907834,0.72601520881878,0.804095415529976,0.666932072328508,0
WAPAL,0,0.45642096121384,0.536285552342058,0.475894530644457,0.482193167949843,0.366424963924964,0.431393654298469,0,0,0.641946010147668,0,0.76268361987846,0.705227739573751,0,0.390675554310101,0,0,0.325812112406779,0,0.532311335073766,0.711874140294546,0.501689778768776,0.430505404482876,0.365956687135857,0.653861751152074,0.578203062573536,0.796884356909974,0.595847079116685,0
