,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
GPI,0.586059743954481,0.52790584971345,0,0.446247128623571,0.542892695527542,0.504592352092352,0.541908318533097,0.515055139034106,0.466895604395604,0,0.488984703919786,0.667076127213984,0,0,0.631970709365331,0.442334964159745,0.521111799592812,0.266277621139597,0,0,0,0.589216580620074,0.388109455000569,0.56387096985526,0,0,0,0.497433610325898,0.73497421472105
NDUFA9,0,0.375515560554931,0,0.701906499997651,0.565304731905697,0.640909090909091,0.501982431718908,0.555873547180719,0,0,0.469424861835958,0,0,0,0.589148775384106,0.578764592103766,0.468809671341317,0.623004876298017,0,0,0,0.516998933341346,0.349413812720446,0.687987089560713,0.789622119815668,0,0.879200212921685,0.554506758662303,0
EIF5A,0.325803698435277,0.495113012059263,0,0.375304753449175,0.349423735473738,0.491504884004884,0.367662458599338,0.410442634826268,0,0.524815201305591,0.466004647708488,0.569792936573789,0,0,0.497150985044595,0.359755831152577,0.522098155009547,0.227404846619204,0,0.460261469653735,0,0,0.330651951302765,0.553799320411247,0.641867895545315,0,0.846230620799787,0.350793265604607,0
ENO1,0.480113798008535,0.51462687717395,0,0,0.509833210116462,0.498125763125763,0.55726779628474,0.538525954183037,0,0,0.430879521460031,0.472815682493476,0,0,0.501698130976362,0.406888155649107,0,0.285910932501406,0,0,0,0.566775871363691,0.50605597906474,0.506664752229628,0.755981566820276,0,0,0.395016757284992,0
FAM162A,0.458036984352774,0.395895671143874,0,0.39577549476928,0,0.369658674658675,0.590243939903038,0.28453400944221,0.640842490842491,0.59809208620656,0.516669209498675,0,0,0,0.553302087233354,0.388378200022756,0,0.310841135525194,0,0,0,0.594401387180321,0.240578677892821,0,0.633978494623656,0,0,0.367163591764991,0
DYRK4,0.328534850640114,0,0,0.548667775288077,0.368833226489402,0.463549228549229,0,0.405454190768806,0.420833333333333,0.467202309635631,0.43496990842022,0,0,0,0,0,0.499184359943854,0.489821202406054,0,0.532285026207678,0,0.42799774579704,0.254977130504039,0.387774827263913,0,0,0.780915230554262,0,0
SNRPA,0,0.355623778253015,0,0.361803999492665,0.376303065644155,0.431819291819292,0,0.478801714775786,0.461813186813187,0,0.384002728605851,0.462365167732037,0,0,0.373777164238414,0,0.435956448614676,0,0,0.491239147592739,0,0.384068039755308,0.262103538514052,0.585317541775491,0,0,0.804952092620933,0,0
AP2S1,0,0,0,0,0.341385881235729,0.397977022977023,0.519300340805453,0,0.511813186813187,0,0.448379669616772,0.560144346431436,0,0,0.422475830402815,0,0.605027883508896,0.201782713126663,0,0.500943071661304,0,0,0.28830606439868,0.444352337942541,0,0,0.824397830860337,0,0.565072667604313
KIAA0430,0,0,0,-0.329218280979157,-0.469171642571156,-0.388831168831169,-0.446586473383574,-0.326565404969472,0,-0.484999170914948,0,-0.49570529965559,0,0,0,-0.419569689384458,-0.406062292138241,0,0,0,0,0,-0.258765274775287,-0.405812427389698,-0.747877112135176,0,-0.782121232284251,-0.357456827855789,0
MRPL12,0,0,0,0.35864254945344,0,0,0,0.451726730209482,0,0.520275285327854,0.538847327945892,0.55670719553518,0,0,0.503421758035286,0.362042325634316,0.448349119235195,0,0,0.516024123206444,0,0,0.269321424507908,0.448097064141648,0.729468509984639,0,0,0,0.573042662916081
