,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ANGPTL1,0,0.657603417079446,0.412001243553961,0,0,0,0,0,0,0.532100344641721,0,0,0,0,0.437414812075496,0.554593159323767,0,0,0,0.586424625098658,0,0,0,0,0,0,0,0,0
PODN,0,0.682321330387061,0.400607559519033,0,0,0,0,0,0,0.644123553205027,0,0,0,0,0.351252294073194,0,0,0,0,0.614405116062575,0.446110397323701,0,0,0,0,0,0,0,0
PDGFRA,0,0.537393794155177,0,0,0,0,0,0,0,0.699159216329692,0,0,0,0,0,0,0,0,0,0.660532653350333,0.481008182792832,0,0,0,0.648141321044547,0,0,0,0
FMOD,0,0.626540012537958,0,0,0,0,0,0,0,0.503472910529048,0,0,0,0,0,0.434268289907839,0,0,0,0.544229251411572,0,0,0,0,0.700356374807988,0,0,0,0
MFAP4,0,0.655074242201938,0.48072813622982,0,0,0,0,0,0,0.642084814361831,0,0,0,0,0.461407429696275,0.517578791671408,0,0,0,0,0,0,0,0,0,0,0,0,0
INMT,0,0.557231482428333,0.451039928318719,0,0,0,0,0,0,0.451687717946512,0,0,0,0,0,0.508755034702469,0,0,0,0.704539291279623,0,0,0,0,0,0,0,0,0
FLRT2,0,0.464922615898309,0.352017794785372,0,0,0,0,0,0,0.593723909275238,0,0,0,0,0,0,0,0,0,0.455760629793779,0,0,0,0,0.74852841781874,0,0,0,0
C7,0,0.552988686690864,0.483705745578858,0,0,0,0,0,0,0,0,0,0,0,0.509017573921412,0.613979064740016,0,0,0,0,0,0.431330438364626,0,0,0,0,0,0,0
ABI3BP,0,0.617546324495999,0.454321444797389,0,0,0,0,0,0,0,0,0,0,0,0.480928700549659,0.559594493116396,0,0,0,0,0.449980391482201,0,0,0,0,0,0,0,0
LHFP,0,0.589721986332736,0.421908054939641,0,0,0,0,0,0,0.559176828672795,0,0,0,0,0.458106261240672,0.488435089316191,0,0,0,0,0,0,0,0,0,0,0,0,0
