,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KRIT1,0,0.689859666751142,0.715432348789926,0,0,0.748388000888001,0.773689819037105,0,0,0.736555731346521,0.834331762661727,0.654743639069026,0,0,0.688164534719463,0.724801001251565,0,0.820588555021413,0.65000093029602,0.61792848035942,0.694062157632933,0,0.717788371828422,0.767596478891694,0,0.714584562199973,0.780199946769579,0.642709761200491,0
MTERF,0,0.51586955780725,0.567260514233996,0,0,0.42475801975802,0.536879374069985,0,0,0.651689629621318,0.749871072112614,0.459852779619063,0,0,0.511201278938628,0.613989532370008,0,0.627782388730333,0.656664950787341,0.705676643798191,0.6535557104774,0,0.636106951871658,0.47658323215206,0,0.599840353994622,0,0.426167599084416,0
DMTF1,0,0.696413936400242,0.645466135797188,0,0,0.585991785991786,0.688537992607882,0,0,0.636424906296766,0.834884040555859,0,0,0,0.567609638897375,0.571135282739788,0,0.629161935886862,0.585069369073239,0.677621273753871,0.729600201285443,0,0.547942655592218,0,0,0.571463640249356,0,0.683158108755108,0
UBN2,0,0.642717832207733,0.531726022988477,0,0,0.590791153291153,0.485927134834157,0,0,0.618178697542708,0.782135827578337,0.493280984188642,0,0,0.470822030452889,0.452210262828536,0,0.510027383881644,0.514999472832255,0.567223200372372,0.527575675584795,0,0,0.35656582751723,0,0.600338960015573,0.729165280457782,0.622978795967758,0
ZNF655,0,0.576913557742041,0.611348209221214,0,0,0,0.739249843997504,0,0,0.720990334821531,0.831837685779096,0.526057914717866,0,0,0.559370154882959,0.544412106041643,0,0.582441099634536,0.534613213924671,0.571527735616134,0,0,0.625146660598475,0,0,0.490886697375518,0.82043881828465,0,0
FAM200A,0,0.586510431255381,0.632907883698217,0,0,0.582462537462538,0.404506312100994,0,0,0.400910622137942,0.819184469642999,0.471306859004965,0,0,0,0,0,0.544577749862822,0,0.670973225669358,0.560341841175307,0,0.634611673683013,0.435894602597811,0,0.592464852188867,0.742481203007519,0.569221688058713,0
DUS4L,0,0,0.627422091997296,0,0,0.716131923631924,0.536079105265684,0,0,0.58517768393948,0.805948713810352,0.494018013173814,0,0,0,0,0,0.487628507535313,0.490498576647089,0.618011454475543,0.612958649682784,0,0.706084196154284,0.535959897275531,0,0.691621245791314,0.656746955885289,0,0
PEX1,0,0.428131266200421,0.528921391760992,0,0,0,0.701826909230548,0,0,0.452695399138998,0.675570151271185,0.392250070689887,0,0,0.594261543868192,0.605018090795312,0,0.672601278949784,0.569945856771625,0,0,0,0.52713596541131,0.661748783640954,0,0.578232159434593,0,0,0
ZNF514,0,0.501041865814204,0.422345594682712,0,0,0.469939227439227,0.393489943839101,0,0,0.557657878365119,0.56012894049647,0,0,0,0.395888239874495,0.454839913528274,0,0.383903212558969,0.560013396262691,0.452269645639812,0.506407469300842,0,0,0,0,0.447116915423344,0.719958081043316,0.562038682765903,0
STX16,0,0.616926095700488,0.387530212105568,0,0,0.495557220557221,0.586814765036241,0,0,0.519271448264054,0.613181662860825,0,0,0,0.442387352105494,0.368319717829105,0,0.328437048131443,0.547727286822667,0,0.596627862784949,0,0.412978040732734,0.420747001685869,0,0.452251590613058,0,0.530268706836054,0
CCDC132,0,0.435398391406608,0.505060636946485,0,0,0.583342490842491,0.624050304804877,0,0,0.472906684919005,0.713148374878165,0.431173544831295,0,0,0,0,0,0.644755391363465,0.499255763183845,0,0,0,0.568667880304927,0.6148847843747,0,0.461616175939511,0.67674163284317,0,0
STK36,0,0.402015706534707,0.426122068385779,0,0,0.338807581307581,0.603693371093938,0,0,0.471828770456479,0.554407568476785,0,0,0,0.379939865996265,0,0,0.403021027093996,0.624811615055911,0.496146762997592,0,0,0.342892934349755,0.338927638647461,0,0.50146266974013,0.760720939516934,0.559756281522388,0
ZC3H6,0,0.514739511316026,0.554176447753567,0,0,0.454676712176712,0,0,0,0.49770962657095,0.679195893473412,0.40718997269748,0,0,0.409686329276164,0,0,0.521282901207514,0,0.501329609616903,0.53464080245171,0,0.441133007168051,0,0,0.461248689950663,0.63092188435691,0.524297735307042,0
TRIM52,0,0.56430816701272,0.417894518231314,0,0,0.319467476967477,0.516023232371718,0,0,0.564866035232167,0.62886295060139,0,0,0,0.439653414063272,0.404756172488338,0,0,0.567868195659859,0.453931151721207,0.599176090354799,0,0.276883832062806,0,0,0.720001182290177,0,0.609772350151832,0
AHSA2,0,0.507344190671818,0.436034061246296,0,0,0.346230436230436,0.498942639082225,0,0,0.535284945519346,0.664577551542785,0,0,0,0.446619586963462,0.4184514734327,0,0.374548347131681,0.530705970639858,0.495110598425516,0.455315843760581,0,0.325325975651382,0,0,0.476348303422804,0,0.549055230174919,0
SEPT7P2,0,0.547913971227905,0.519517604692647,0,0,0.506977744477744,0.647134450151202,0,0,0.557803955255173,0.819362257732206,0.411779021095717,0,0,0.422846557224924,0.414993287063375,0,0.462223357225928,0,0.471210005464149,0.597492260207182,0,0,0,0,0.657889696746253,0,0,0
LUC7L2,0,0.606455566571965,0.544315848383306,0,0,0,0.605135698171171,0,0,0.602991895745568,0.797991751137024,0.45758838553569,0,0,0.451435934775967,0,0,0.396618513367544,0.497044759642518,0.535664703620505,0.624281053597137,0,0,0,0,0.623806591322985,0,0,0
GTPBP10,0,0.504028893621499,0.527390476575626,0,0,0,0.506748715979456,0,0,0.532624912364255,0.778037244713326,0.499107685033676,0,0,0,0,0,0.61102032998699,0.63075000465148,0.541084330034606,0.473402502070331,0,0.625820912504267,0,0,0.499861329516611,0,0,0
FAM133B,0,0.518185967860737,0.550718571564277,0,0,0,0.553043728699659,0,0,0.550109879743187,0.731779557900285,0,0,0,0,0.538653089088634,0,0.610377576621378,0.473071031202129,0.436453969603141,0.522196529350999,0,0,0.576545016203562,0,0.55455440459259,0,0,0
THAP6,0,0.504698029347122,0.407314620626525,0,0,0,0.442228003648058,0,0,0.483646660989824,0.526073064600122,0,0,0,0.32927329273867,0,0,0,0.527487146409988,0.476649869467549,0.520756877057135,0,0.33031334622824,0,0,0.672165298162718,0.778736110186972,0.614221720851834,0
