,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
POLR3E,0.706458036984353,0,0.712810627836779,0.364822174307229,0.541935508247554,0.525934620934621,0.584596745547929,0,0.447893772893773,0.483052898950948,0.679771498173574,0,0,0,0.525461743242964,0,0,0.379130876663825,0.689051656237015,0.641995021553033,0.525829970104342,0,0.333850494936853,0.368074942566889,0.518500768049155,0.579333236221025,0.815298755738905,0.537798007489949,0
UBE3B,0.535903271692745,0,0.461103763667456,0.289253888395646,0.554460807588984,0.306630314130314,0.500262084193347,0,0.404120879120879,0.504266463364207,0.447549361412924,0.426672569079085,0.474423307096716,0,0.353093639531331,0,0,0.36075460107879,0.533459646859631,0.5977819602129,0.584944666053061,0,0.282979178518603,0.195278037403587,0,0.659645084591757,0.822285248519529,0.548905693541723,0
SMG1,0.606429587482219,0,0.427505943425456,0.320626465047892,0.628028206797793,0.51552725052725,0.569474583593337,0,0,0,0,0,0,0,0.516903902738187,0,0,0.349774734357367,0.61441400653688,0.614390949750066,0.577442208634629,0,0.391784958470816,0,0.735016897081413,0,0.775384257102934,0.647012218717002,0
RBBP5,0.571863442389758,0,0,0,0.529833386440435,0.263751526251526,0.436041664666635,0,0,0.519119553233286,0.594884620573739,0,0.5386857685181,0,0.294670170272486,0,0,0,0.559526541345456,0.630726731831704,0.585474662979822,0,0.210876322676072,0,0.570967741935484,0.635299851440267,0.768015170670038,0.564614910376399,0
KBTBD4,0.419431009957326,0,0.302274393635801,0.192681689426288,0.536460648897408,0,0,0,0.386767399267399,0.404035898759365,0.551499913627772,0,0.575579973087907,0,0.313774660569045,0,0,0,0.46231680920869,0.651887155202072,0.549802507231496,0,0.243015360109227,0.25692527580996,0.519987711213518,0.525694093650273,0.838636968527514,0.516618898019951,0
ZNF689,0.640284495021337,0,0,0.23307590768378,0.513447851555366,0,0,0,0.442124542124542,0.520041728536359,0.680457432361719,0,0.480875211571908,0,0.358958197909321,0,0,0.346220178832104,0,0.602282800072855,0.575530231525179,0,0.315418136306747,0.318143512897337,0.673192012288786,0.595031361075656,0.793915097478209,0,0
AFF4,0.537923186344239,0,0,0.185684691159684,0.443089548648414,0.286024531024531,0.511302260836173,0,0,0.423440644782977,0.597125254861117,0,0.427556758127933,0,0.377866529156263,0,0,0,0.417212957162969,0.455558253900795,0.585097643771686,0,0.209063147115713,0,0.586820276497696,0.574089816117046,0.779268414398829,0.653673157518479,0
ADNP,0,0,0,0.205515391517167,0.59434151182693,0.428732378732379,0.518222051552825,0,0.399313186813187,0.398279783581789,0.471142849577407,0,0.400794825180738,0,0,0,0,0.23122815069935,0.535862911578464,0.580009309291077,0.569297049299294,0,0.257903743315508,0,0.57058064516129,0.497196756841768,0.794838312595649,0.569636193112133,0
GSPT1,0.704637268847795,0,0.488576722582363,0.361277874077519,0.462904584801125,0.430551670551671,0.472315653050449,0,0,0,0.6610495297442,0,0,0,0.595745255087158,0,0,0.431916457592082,0.530950948591842,0.498227187177464,0.512999000610738,0,0.422947320514279,0.210943628200313,0,0.570712646582344,0,0.570892825520919,0
CLEC16A,0.68574679943101,0,0.673901985452694,0.511323440296509,0.563945777859502,0.56515873015873,0.611795900734412,0,0.456959706959707,0,0,0.355310548785293,0,0,0.589093419024671,0,0,0.479722209760188,0.431917836255497,0.645293748608666,0.546362512423941,0,0.411796563886677,0.39207848900691,0,0,0,0,0
