,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
THRAP3,0,0.529655383986093,0.531020205013688,0.503408071327574,0.496835614419774,0.582809412809413,0,0.537381660130392,0,0.665417220948465,0,0,0,0,0.521799380284408,0.548889293434976,0,0.347959495322136,0.515442913935214,0,0.589483656701187,0.50173799327722,0.557729889634771,0.461772040775325,0.704270353302611,0.672224596828921,0.767050369286047,0.622336050789986,0.782700421940928
MTOR,0,0.482569125499629,0.50812720647103,0.535248054040596,0.630078602708084,0.544508269508269,0,0.505469297353493,0,0.692408510776236,0,0.359973763622289,0,0,0.57285517076633,0.561084765047218,0,0.445240864274646,0.491599426937652,0,0,0.548837279178425,0.52657435430652,0.420318109555297,0.384565284178187,0.591605113607589,0,0.581706685205711,0.733919362400375
KPNA6,0,0.516579449307967,0.438958582533838,0.616354749456259,0.612594821364924,0.564483294483294,0,0.571971873204606,0,0.568040038782064,0,0,0,0,0.48202204607211,0.590442143588577,0,0.523994975307918,0.607973257090406,0,0.62789953870131,0.409421883587118,0.571775173512345,0.337405770389846,0.649486943164362,0,0,0.582575047058129,0.808251289263948
CCNT1,0,0.479372390704126,0.524943030105422,0.494500345269804,0.504413766872,0.438359418359418,0,0.460047544109443,0,0.587828158720541,0,0.418924493929941,0,0,0.554175844873565,0.257148025941518,0,0.365812940652727,0.42294978262083,0,0.737217434445808,0.379486263931111,0.407126408010013,0.401811872712503,0,0.72000320802101,0,0.626095796576437,0.714510079699953
HNRNPR,0,0.588865374041683,0.484792181786358,0.547777589875844,0.507034696779443,0.509658952158952,0,0.518858846213778,0,0.607885471562383,0,0,0,0,0.599900657155786,0,0,0.504925906497934,0.483412821959948,0,0,0.710759766320349,0.481489816816475,0,0.549751152073733,0,0.84383525184643,0.652295846423254,0.757243319268636
CEP97,0,0.483132296210009,0.420998453350824,0.496311250158542,0.441482481583591,0.44535409035409,0,0.345970526696428,0,0.612320349321168,0,0.272742443135201,0,0,0.547283059346152,0,0,0.344676276620342,0.441747964202209,0,0.69849391725401,0.373342757289911,0.28682079872568,0.382390964439514,0,0.686974679653689,0.743379466365028,0.553305218697326,0.619010782934834
LRIG2,0,0.387613356630816,0.494020493786127,0.478585051461642,0.540555143433254,0.358836163836164,0,0.448804438719009,0,0.565690341096811,0,0.390734294097742,0,0,0.408680382487177,0.36828535669587,0,0.379147700409637,0.52570407903795,0,0.723573270169013,0.450483175756907,0.470502901353965,0.364869934748998,0,0.637054963049749,0,0.536129493477448,0.653305203938115
SRRM1,0,0.507012957372423,0.45678056011743,0.583414366042363,0.534021080790385,0.574406981906982,0,0.572999596761243,0,0,0,0.42404661360676,0,0,0.448897696394486,0.488268062350666,0,0.516052010394487,0.519917637792346,0,0,0.519746461561682,0.453728979406076,0.356939251928268,0.632436251920123,0,0,0.629390507047242,0.75464135021097
RPL7L1,0,0.470388335845371,0.422143475038245,0.487237935521451,0.454729449755854,0.362926517926518,0,0.520995178977344,0,0.574815575328922,0,0.247755306376923,0,0,0.395221092380806,0,0,0.308137688986745,0.364598515247552,0,0.706364987437255,0.507202304234247,0.367707133917397,0.306738454416017,0.491176651305683,0.561980365511822,0,0.573518898675814,0.672737927801219
C11orf30,0,0.417459922252801,0.388594984121728,0.479715986226788,0.492820465671612,0.408762071262071,0,0.420455802534338,0,0.704952629945056,0,0.44933968692492,0,0,0.518461575566024,0,0,0.339147303541787,0.476717791601288,0,0.710363326480453,0,0.369663898054386,0,0,0.615800534756109,0.770793133275667,0.572881400397453,0.60436005625879
