,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PVRL4,0,0.454511367897195,0.368670760031788,0.34371256641159,0.707852588121054,0,0,0.690575513296768,0.335306036034285,0,0,0,0,0,0.45205978486819,0.498097166913187,0,0.452613115964786,0.58851456533469,0,0,0,0,0.529838139079847,0,0.430157220653099,0,0.514884797764821,0
ARHGAP32,0,0.477426487696943,0.319269546850537,0.253215471845244,0.600714363980539,0,0,0.553418429795419,0.335897435897436,0,0,0,0,0,0,0.33040095574013,0,0.320763263150993,0.569561334416611,0,0.498630336234273,0,0,0.388305264629065,0.383834101382488,0.539841705709559,0,0.382649815374727,0
DSP,0,0.365129507032965,0.266297391801432,0,0.493121475882029,0,0,0.545360196885189,0,0,0.428814153444991,0,0,0,0,0.290387757424053,0,0,0,0,0.555102476499103,0,0,0.426246931805278,0.505886328725038,0.579347600494205,0.736717346463504,0.484625928865161,0
CTNND1,0,0.395551099590812,0.301272557582299,0.307295997219051,0.486646607715685,0,0,0.439198672999537,0,0,0,0,0,0,0,0.31557651609967,0,0.222405174466558,0.387734977269767,0,0.563697478301601,0,0,0.390631087254654,0,0.428706613219293,0.805833721471821,0.457124305605656,0
ERBB3,0,0.336556003622077,0.219482450702795,0.319797347764202,0.466002848891615,0,0,0.671294991156106,0,0,0,0,0,0,0,0.433311184435089,0,0.359160227629595,0.403832199405851,0,0,0,0,0.304121535451298,0,0.569542602868914,0.681856743628984,0.535074866695962,0
PPL,0,0,0.312855218008448,0,0.66953612941172,0,0,0.803997119043456,0,0,0,0,0,0,0.452658024030632,0.42726134941404,0,0,0.460809729655977,0,0,0,0,0.381368742411405,0,0.543999057851005,0.743396100871648,0.459973371985492,0
CDC42BPG,0,0,0.25032686470432,0,0.520852198948857,0,0,0,0.383653846153846,0,0.631863282220309,0,0,0,0.375985446560441,0,0,0.235605344256977,0.494204255794194,0,0,0,0,0.350215210384256,0,0.519564968778884,0.802240668041786,0.374860793200018,0
GTF3C2,0,0.363187309096244,0.358065818631952,0.340054350634404,0.445670175933541,0,0,0,0,0,0,0,0,0,0.344270157409598,0.346139264990329,0,0.217409816094889,0.44191231649911,0,0.459833622801715,0,0,0.344588075750561,0.639846390168971,0,0,0.439901358291085,0
TET3,0,0.434564009538333,0.317956885495514,0.31663002578954,0.526334615040687,0,0,0,0,0,0.546985861433729,0,0,0,0.266751041090038,0.485348276254409,0,0,0.43342491580821,0,0.454853196129752,0,0,0.429857792996218,0,0,0,0.514034800060339,0
PEX1,0,0.423019750989624,0.228582974052817,0,0.43809454239521,0,0,0.326485114066609,0,0,0.499990543186744,0,0,0,0.270807789397764,0.302435089316191,0,0,0.369516680207642,0,0.533332720770797,0,0,0.335677645198767,0.431127496159754,0,0,0.45738402712647,0
TJP2,0,0,0.339448611038269,0.337792481104112,0.464680419096894,0,0,0.550296303168933,0,0,0,0,0,0,0,0.295539196723177,0,0.284349343787638,0.48067154968711,0,0.448156486528968,0,0,0.320494012106813,0,0.585809773930281,0,0.387765542299847,0
MYO6,0,0.342965775523119,0,0,0.430254422897935,0,0,0.404460665189314,0,0,0.508625244143396,0,0,0,0.431630761597846,0,0,0,0.356154528370928,0,0,0,0,0.372545880975883,0,0.377848522846284,0.716406613879833,0.5376720819041,0
MPZL3,0,0.345591444541448,0.271397344090777,0.299912625600699,0.499930100139422,0,0,0.614297668709029,0,0,0,0,0,0,0.290886643498154,0,0,0.247703343007706,0,0,0.500344859674956,0,0,0.411937897991807,0,0.488081336407779,0,0.43299949501656,0
EHF,0,0.383106508919587,0.455866156186081,0.29174358902089,0.567772008065562,0,0,0.658760689098161,0,0,0,0,0,0,0,0,0,0.264345047261784,0,0,0.534925350783285,0,0,0.372229125357046,0,0.506086860759918,0,0.365035974054082,0
