,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CCDC94,0,0.57931888948664,0.728371607792685,0,0.700871418261874,0.471584804084804,0.604792396678347,0,0.748489010989011,0.624758806898819,0.555254268490276,0,0.719694082692726,0,0,0.734633291614518,0,0,0.724654084929825,0.410361645720762,0.557725482314798,0.605367043426947,0.569094550005689,0,0,0.647490331278813,0,0,0.74507735583685
EIF3G,0,0.577025450870025,0.708559248795676,0,0.421161143738043,0.58270424020424,0.519268084289349,0,0.898489010989011,0.539545694638209,0.532856121521311,0,0.494499057493618,0,0,0.705274775287291,0,0,0.710622119958571,0.505148442717504,0.653790015647715,0.67657428231132,0.661953350779383,0,0,0.607678551138378,0,0,0.836122831692452
MAP2K2,0,0.5415405090174,0.714214175630513,0,0.578420716555436,0.466846209346209,0.60344530312485,0,0.730586080586081,0,0.540022494606464,0,0,0,0,0.583482762544089,0,0,0.739951252488542,0.417633011555664,0.559538732589865,0.514236731140179,0.506941176470588,0,0,0.509676824110764,0,0,0.709962494139709
XAB2,0,0.51614817910607,0.74336277295683,0,0.60787563618319,0.611617549117549,0.687370613929823,0,0,0,0.54276938363013,0,0.643950391945616,0,0,0.7819367391057,0,0,0.72799384764232,0.644530791492118,0.581095101506826,0,0.65253180111503,0,0,0.742808701582041,0,0,0
SGTA,0,0.582184390982748,0.608786664990059,0,0.598606033050669,0.478146575646576,0.560826765228244,0,0.763507326007326,0.420367108055756,0.518157081450902,0,0,0,0,0.651437478666515,0,0,0.709564683482284,0.485058587821019,0.475261303538292,0.506207967342706,0.607080213903743,0,0,0.515472347945421,0,0,0
ELOF1,0,0.569268515348625,0.663893735112475,0,0,0.490448995448995,0.445058128930063,0,0.702152014652015,0.484396681665002,0.482224973804627,0,0.488142205479512,0,0,0.614248492433724,0,0,0.631283374369724,0,0.525767117278095,0.565199466565859,0.596519513027648,0,0,0.535468797391743,0,0,0.632747304266292
MAP2K7,0,0.558836518952917,0.610255613106435,0,0.421715304794879,0.45713591963592,0.597868765900254,0,0.700595238095238,0.414613798053167,0.495095696645605,0,0,0,0,0.694364091477984,0,0,0.697954589150268,0.550029344504483,0.446567864239459,0.508465664107687,0.51789714415747,0,0,0.490658066027408,0,0,0
HDGFRP2,0,0.583830924296518,0.747238221254452,0,0.708458386912731,0.51449827949828,0.703592569481112,0,0.711950549450549,0.55806265472618,0.601605262527441,0,0,0,0,0,0,0,0,0.564687430433287,0.504822659235632,0.674737938424483,0.662560018204574,0,0,0.593801558302651,0,0,0
ZNF414,0,0.458037112949814,0.644962605970112,0,0,0.353694638694639,0.529497239955839,0,0.691987179487179,0,0.511717622078002,0,0.524261703334271,0,0,0.621105700307202,0,0,0.563954750401578,0.533426426244106,0.53169610355487,0.502630311063937,0.435997496871089,0,0,0.576036911762296,0,0,0.636638537271449
SIRT6,0,0.57564790567187,0.712547552142803,0,0.572739306265924,0,0.549663706619306,0,0.649267399267399,0,0.463237584149877,0,0.558352735017939,0,0,0.636868130617818,0,0,0.678564119102699,0.40679983000425,0.510826130510228,0.534741173687875,0.597518489020366,0,0,0.441924598983562,0,0,0
WDR83,0,0.407059048448983,0.662848762227807,0,0,0.43035298035298,0.465090193443095,0,0.791529304029304,0.497435238899091,0.434972430237089,0,0.62305765689852,0,0,0.569872112868358,0,0,0.617474680443317,0,0.584143512454439,0.573465110339601,0.538453976561611,0,0,0.581235121237228,0,0,0
KRI1,0,0.42824760541296,0.617031634167656,0,0,0.36468364968365,0.680802572841165,0,0.689377289377289,0,0.417989884992542,0,0.559869055029835,0,0,0.681719649561953,0,0,0.622873498347174,0.441304919757958,0.448308877751546,0.514537897127708,0.553227443395153,0,0,0.529872071414747,0,0,0
SF3A2,0,0.428917482152675,0.578328102360667,0,0.542739041779965,0.495926573426573,0.605098833581337,0,0,0,0.573820514728041,0,0.659681574255362,0,0,0.689913073159631,0,0,0.710482575555542,0.492259122093376,0.552507426994927,0,0.604613266583229,0,0,0.608987725728568,0,0,0
CDC37,0,0.516294158882314,0.651600138425417,0,0,0.45760767010767,0.622501992031872,0,0.771016483516483,0.527336430246519,0.451910843686442,0,0,0,0,0.60162703379224,0,0,0.583121949404301,0,0.500837320854783,0.614413203228695,0.631444532938901,0,0,0.497643522569128,0,0,0
UBXN1,0,0.373541499012228,0.649436135479138,0,0,0.369327339327339,0,0,0,0.555215817696041,0.486844311852918,0,0.58494059950112,0,0,0.367817499146661,0,0,0.62438988086009,0.540626960516463,0.561302521698399,0.41541236157108,0.389258846285129,0,0,0.65814742495542,0,0,0.83581809657759
RAVER1,0,0.527573875399962,0.55824310511043,0,0,0.52249666999667,0.767344501512024,0,0.721657509157509,0,0.494386435651429,0,0.56644356551695,0,0,0.747998862214131,0,0,0.671165164755425,0.427138607249105,0,0.399025018787936,0.531419046535442,0,0,0.469637885881006,0,0,0
RFXANK,0,0.487424249834383,0.629351959682228,0,0,0,0.444481351701627,0,0.743452380952381,0.419864046674787,0.494902777655189,0,0,0,0,0.307927181704403,0,0,0.628613424791769,0.410151174792059,0.524351315823429,0.461810790197362,0.584429627944021,0,0,0.542921000733131,0,0,0.691279887482419
UBXN6,0,0.498538720209381,0.712656552680539,0,0.597213073666896,0,0.481829789276628,0,0.747847985347985,0,0.43305395805462,0,0,0,0,0,0,0,0.698323606571611,0.509782850666829,0.505669755024512,0.524451219320462,0.450990101262942,0,0,0.468436903733035,0,0,0.708227848101266
C19orf43,0,0.457773311932846,0.544423985341903,0,0,0.414167499167499,0,0,0.672344322344322,0.437849270259701,0.438047155453618,0,0.512442250527381,0,0,0.492554556832404,0,0,0.603002375355838,0.413332523829762,0.456360197719547,0.567364926879903,0.503333940152463,0,0,0,0,0,0.741983122362869
ECSIT,0,0.407726702146421,0.620533847773746,0,0,0.379708347208347,0.450244515912255,0,0,0.455288419780515,0,0,0.768524951999965,0,0,0.539370804414609,0,0,0.631063204311612,0.490043106065206,0.569313373439236,0.532484874444878,0.561136648082831,0,0,0,0,0,0.835325832161275
RAB11B,0,0.467829614183602,0.627404230653142,0,0.434900559576722,0.322053502053502,0.551918590697451,0,0.709661172161172,0.465189336844166,0,0,0.482545190010161,0,0,0.568252360905678,0,0,0.600896805363467,0,0.478098380410719,0.439002532659215,0.461604733189214,0,0,0.565263614798811,0,0,0
