,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PNPLA8,0.535960170697013,0,0.546822249926964,0.530676165109429,0,0,0.535714299428791,0,0.556684981684982,0.569249173096751,0.649373517644522,0.369170402028452,0,0,0.483527004026544,0.54690112640801,0.413143818207109,0.603024736945636,0.557076761825613,0,0.552788554099568,0.641346945663297,0.54591239048811,0,0.790353302611367,0,0.81702874442744,0.632113647841229,0
THAP5,0.647823613086771,0,0.562318314007064,0.531569873682925,0,0,0.672523400374406,0,0.625274725274725,0.643315247227344,0.562484947905568,0.434888819872897,0,0,0.591727439986586,0.532683809307088,0.622934027997319,0.575542069717603,0.528721339130111,0,0.63728660341372,0.64038265549441,0.568263056092843,0,0.70052841781874,0,0,0.591127493097048,0
TCP11L2,0,0,0.511651156995949,0.545777608666037,0,0,0,0,0.435805860805861,0.589355732343917,0.573795296559359,0.374378276650087,0,0,0.415413760074972,0.53086403458869,0.653232843106261,0.35877026182925,0.619496523793871,0,0.639366318392281,0.6504490063444,0.381368073728524,0,0.675176651305683,0.586854498568085,0.780807106261228,0.621716916659562,0
AKAP9,0.532517780938834,0,0.535933570122521,0.499956547677767,0,0,0,0,0,0,0.629476382554575,0.581749957122528,0,0,0,0,0.679788565864515,0,0.462034619415898,0,0.628970578230362,0.508178473339997,0.492785299806576,0,0.762334869431644,0.582589046063093,0.877220706633841,0.681027867594493,0
CCNI,0.492517780938833,0,0.438409577893048,0,0,0,0.380839245427927,0,0.463095238095238,0.630489052129294,0.465158578149213,0,0,0,0.311236996423658,0,0.503964390040339,0.252123242997008,0.535410167515303,0,0.531259457248739,0.45286734826143,0.259724655819775,0,0.6162089093702,0.572388662610663,0.805110120433828,0.676890687409409,0
PEX1,0.509075391180654,0,0.470541103944808,0.429473357854536,0,0,0.338036384582153,0,0.4371336996337,0.606925270553933,0.590531334205041,0.503680509523434,0,0,0.250484540415885,0,0.656014871204744,0.414326584279202,0,0,0.615303949620772,0.642132353018246,0.505428603936739,0,0,0,0.715957482201078,0.551293032773445,0
TOR1AIP1,0,0,0.411094506520338,0.311197311123325,0,0,0.348256324101186,0,0.540018315018315,0.670697183645871,0.490664864408212,0,0,0,0.428302718893057,0.26941586073501,0.38757445086559,0,0.40195300144506,0,0.501666235266242,0.524157739703844,0.283748549323017,0,0.692301075268817,0.544367188390574,0.76558653270344,0.62459746443586,0
GTF2I,0.592176386913229,0,0.437992932552574,0.358626108034217,0,0,0,0,0.424725274725275,0.539266943360816,0.66922778184771,0.372283074755135,0,0,0,0,0.682747632114721,0.221081275084636,0.45188819082232,0,0.585054438562975,0.411885016083731,0.431306860848788,0,0,0.519848663174184,0.746199015237208,0.625389746246827,0
DNAJB9,0.466372688477952,0,0,0.44382789122357,0,0,0.525243219891518,0,0.564148351648352,0,0.568192449932478,0,0,0,0.429989479994763,0.511670042098077,0,0.440061738833347,0.406874267391884,0,0,0.463576559224012,0.375377631129821,0,0.757333333333333,0,0.808819615410207,0.567642371336189,0
SLC30A5,0.53479374110953,0,0.353198918293408,0.423465193515504,0,0,0.53112388998224,0,0.411858974358974,0.465944448392468,0.481298206105571,0,0,0,0.277833682851702,0.273082261918307,0,0,0.350554146329362,0,0.528942504619634,0.370853071875604,0.262238479918079,0,0,0.621084101162051,0.769869918158228,0.504611368719297,0
TOMM40,0,0,-0.487126036005352,-0.386850152905199,0,0,0,0,0,-0.704397724774516,-0.501228124814804,-0.455092221331195,0,0,-0.39217637776466,-0.244903401979747,-0.574931397716208,-0.274264155240899,0,0,-0.55701406261119,0,-0.405827056547958,0,0,-0.599309152122994,-0.848750748552798,-0.528356212000971,0
UBR1,0.4324893314367,0,0.371681302226791,0.349368414624408,0,0,0,0,0.547344322344322,0.618178489751968,0.508127815766147,0.368655872359559,0,0,0,0,0.410715866412069,0,0,0,0.587484193931564,0.46804373824553,0.25780225281602,0,0.692657450076805,0.473068829361458,0.780091822476546,0,0
TRIM23,0,0,0.425506715591584,0.536075996937199,0,0,0,0,0,0.708007984982548,0,0.493953117539899,0,0,0.362846005958274,0.360692228922517,0.518532100810582,0,0.510124721686441,0,0.562538855363037,0.642024045064494,0.352209807714188,0,0.672663594470046,0.66141980895885,0,0,0
IPO11,0.405120910384068,0,0.425619591703995,0.365000681144511,0,0,0.56728882062113,0,0.428983516483516,0.627127933018239,0.489947407509214,0,0,0,0.308650062821429,0.393467971327796,0,0,0.431244922134223,0,0.559070610995941,0.451883492784769,0.273335305495506,0,0.62626113671275,0.450447401070212,0,0,0
TOR1AIP2,0.47647226173542,0,0.309477675742041,0.304904945109148,0,0,0,0,0.434615384615385,0.561446838609348,0.506780535104321,0,0,0,0.344602869802302,0.315789054499943,0.475638285764868,0,0.499606174684785,0,0.587770013004572,0,0,0,0,0.523810348132893,0.829263424046843,0.582291714489969,0
ZNF407,0.571749644381223,0,0.334928321878272,0,0,0,0,0,0.41007326007326,0.494051574492772,0.511256129591125,0.345198418400694,0,0,0,0,0,0,0.384727020137808,0,0.536735668578122,0.471128768024976,0,0,0.794924731182795,0.522156615143738,0.72599640694657,0.591240301434371,0
MRPL52,0,0,-0.335141246793436,-0.40238494529705,0,0,0,0,0,-0.537830070395347,-0.446627637347603,-0.366901372542657,0,0,0,0,-0.47945725160915,0,0,0,-0.62834918566979,-0.400876036655604,-0.403406530890886,0,-0.713990783410138,-0.490011397498296,-0.832457249317985,-0.640049583199428,0
DENND4A,0.49977240398293,0,0.345566079285411,0.316726325530706,0,0,0,0,0.584569597069597,0.490026667863541,0,0,0,0,0,0,0.455708848113911,0,0.356877058279945,0,0.562628100511346,0,0.316919103424736,0,0.78468202764977,0.477591273446223,0.787843502561714,0.554693023591372,0
ZNF787,0,0,-0.356552912231082,-0.402642136069186,0,0,0,0,-0.481135531135531,-0.59507912047998,-0.528702689139417,-0.394917744784013,0,0,-0.370066450600766,-0.342043918534532,-0.472527472527472,-0.226066280381959,0,0,-0.591384979132471,0,-0.417841847764251,0,0,-0.46298105812761,-0.834029210193626,0,0
CCNG2,0,0,0.46329773912875,0.403125983549186,0,0,0,0,0,0.666627913693701,0.630350822553617,0.451307415253255,0,0,0,0,0.560540725097687,0.433504360369812,0.555916992787105,0,0,0.529012032314901,0.457948344521561,0,0,0.569054493816825,0,0.645952345036105,0
CTDSPL2,0.496984352773826,0,0.403104082559851,0,0,0,0.4610166562665,0,0.476648351648352,0.702362102792417,0.551810727556776,0.382133304902865,0,0,0.365416516408222,0.315143474798043,0,0,0.509070386196888,0,0.645216714198913,0,0,0,0,0.57974657738964,0,0.468698965704954,0
