,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SNRNP200,0,0.634820104008738,0.497857333777339,0.441585986273764,0.60382144426966,0.632824397824398,0.787506360101762,0.752822373922466,0,0,0.618046878053763,0.628231454913758,0.628932103094016,0,0.666741393923663,0.618668335419274,0.562968676892727,0.617101467030635,0,0,0.765397182942193,0.699695584773858,0.534843554443054,0.67825599881203,0.733615975422427,0,0.63838246057622,0.664374208865948,0.656704172526957
ZNF687,0.600284495021337,0.618050955093064,0.422384497869803,0.48924613744087,0.541202504304194,0.511946386946387,0.782442087073393,0.629853882451739,0,0,0.693406961979828,0.670809943865277,0.608941637497321,0,0.533682162619068,0.497871885311185,0.647289419441318,0.422923087010688,0,0,0.72433679027136,0.670693509803093,0.485239048811014,0.515648557402538,0.672165898617511,0,0,0.63496533767077,0.722128457571495
ZNF646,0,0.6235092648992,0.574799897128768,0.487491603132325,0.635940115341067,0.566899489399489,0.771898046368742,0.634888419434918,0,0,0.655118846924455,0.511565329044041,0.728410626631892,0,0.625708435068828,0.641060871543976,0.630142009888845,0.608160724577163,0,0,0.712011869115978,0.563544800536928,0.548442826260098,0.530585643032468,0.591139784946236,0,0.679070463770045,0,0.738654477262072
TRRAP,0,0.677969354621186,0.555224327319242,0.458944601812314,0.609577162519065,0.665083805083805,0.781753180050881,0.729400625436396,0,0,0.738537396652792,0.476827623290116,0.640503865515346,0,0.686399562661791,0.674072363181249,0.531025936089227,0.654760343584027,0,0,0.815621087582628,0.652190318736333,0.580648537945159,0.67430840052061,0.799324116743471,0,0,0.61872356054594,0
ARID1A,0.630241820768136,0.577853163611465,0.480186461480263,0.474167007238922,0.586772175573336,0.573902486402486,0.796222531560505,0.72771808496086,0,0,0.735351711494063,0.661126588204755,0,0,0.610082552180834,0.573120946637843,0.600930714854765,0.576516984218464,0,0,0.76410620739595,0.701227967629198,0.62188258049835,0.512327482289638,0.740940092165899,0,0.665796127486859,0,0
GCN1L1,0,0.487367932763345,0.594134760050324,0.626069279443059,0.620728394330932,0.602469197469197,0.822184418950703,0.732834994462901,0,0,0.60077117159829,0.727721097107045,0.725091662936975,0,0.71065024198309,0.640974627375128,0,0.592210950791838,0,0,0.775411407426291,0.609308055421529,0.563839572192513,0.704990675308567,0.773056835637481,0,0,0,0.690248476324426
EP400,0,0.460183089762001,0.563889627845836,0.510331083207674,0.604517923961546,0.707585747585748,0.786152354437671,0.767810901244568,0,0,0.63481380795608,0.676884638739912,0.688259125838087,0,0.703363760189819,0.677452269882808,0.624148003894839,0.630462972229603,0,0,0.791193234025216,0.69869845283835,0.57733007168051,0.674427961845197,0.637812596006144,0,0,0,0
PRR12,0,0.455560643852325,0.554997290257163,0,0.514930232382401,0.612927072927073,0.718225507608122,0.647112560708844,0,0,0.734208067544343,0.740447594457913,0.500560838677604,0,0.599925693849472,0.608732961656616,0.623237521971699,0.606882982651698,0,0,0.709429722524811,0.554920692374317,0.591014449880533,0.614167743992453,0.606506912442396,0,0,0.61768205101298,0.756962025316456
INCENP,0,0.640222096743836,0.486101915397469,0.618819787952668,0.587013991307228,0.682114552114552,0.722649258388134,0.651183012110247,0,0,0.676169713231595,0.52205292702486,0.505230655293416,0,0.585401999719773,0.633549436795995,0,0.460623375861462,0,0,0.73362151142377,0.604580937311007,0.436600978495847,0.568612367991195,0.699717357910906,0,0.855878634639697,0.61885997993061,0
TGFBRAP1,0.702560455192034,0.679052717224576,0.478376862987693,0.490618995946016,0.58992081794172,0.637953435453435,0.682012960207363,0.733076461918917,0,0,0.68436183532788,0.435322229999397,0.542284932872844,0,0.56571959821849,0.487262487199909,0,0.531521228978945,0,0,0.741439992461571,0.608382197107199,0.486201615655934,0.61259335610276,0.582906298003072,0,0,0.699374303156644,0
SETD1A,0,0.372579662720026,0.501137059909012,0.544940270672736,0.639407400317131,0.65279859029859,0.803010992175875,0.687750165637159,0,0,0.500312074837437,0.838458543278435,0.770307039859346,0,0.644739997381483,0.680691546250996,0.593267492001669,0.659670289092346,0,0,0.565339862728646,0.619700028893767,0.543088633519172,0.660247988749225,0,0,0,0,0.660947022972339
CAD,0,0.581527852496699,0.55358127322317,0.582720303273722,0.519873600900764,0.554947274947275,0.680735755772092,0.655398284510517,0,0,0.64097586747348,0.685029040796177,0.583440024375416,0,0.651115051646794,0.53700944362271,0,0.531401737245875,0,0,0.713710850411447,0.463553500111278,0.391782682899078,0.628459853600161,0.63131797235023,0,0,0.601403545592277,0.648921706516643
DHX9,0.611351351351351,0.655778946604006,0.364424857346204,0.491798080581744,0.51163297409423,0.505884670884671,0.650039072625162,0.691368311619105,0,0,0.562178547156084,0,0.564461167716569,0,0.532699644662705,0.499381954716123,0,0.514768660553751,0,0,0.658313073153261,0.711235622555865,0.503761520081921,0.517627815969462,0.830082949308756,0,0.64680783817952,0.741537735044697,0
RAD54L2,0.677439544807966,0.586118434800393,0.445185367262305,0.484296095867567,0.585605918440087,0.635648518148518,0.633711131378102,0.723262237225717,0,0,0.691523164779297,0,0.539081577462653,0,0.565419961824784,0.488393446353396,0,0.669456963995458,0,0,0.763837787705635,0.651833251869448,0.508275799294573,0.617180252618339,0.767354838709677,0,0,0.667517101612766,0
