,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZMAT2,0,0,0,0,0.631498010687752,0,0.402848941583065,0.552192952718769,0,0,0,0,0,0,0,0,0,0.485271026231239,0.538464639448272,0,0,0.661400687371188,0,0,0,0,0.87563211125158,0,0
UBE2D2,0,0,0,0,0,0.505665445665446,0.674455719291509,0.669424807866843,0,0,0,0,0,0,0,0,0,0.585145840307279,0,0,0,0.584539773300971,0,0,0,0,0.656680417858806,0,0
DCTPP1,0,0,0,0,0.317187934906227,0.355019147519147,0.684223299572793,0.385063572552644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615600171560986,0.805076851420587,0,0
CDC25C,0,0,0,0,0.551460781140388,0.441143578643579,0.538132770124322,0.624431570145106,0,0,0,0,0,0,0,0,0,0.311256121255207,0,0,0,0.401487452523558,0,0,0,0,0,0,0
SDHB,0,0,0,0,0.426033982667353,0.339183039183039,0.46800096001536,0.451696398090623,0,0,0,0.420250219022765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722594650342671,0,0
HARS2,0,0,0,0,0,0,0,0.598138678447424,0,0,0,0,0,0,0,0,0,0.548256973658328,0.450232263906375,0,0,0.65165087525055,0,0,0,0.504291142455101,0,0,0
NDUFS4,0,0,0,0,0.528280476024348,0.320410145410145,0.555080497287957,0,0,0,0,0,0,0,0,0,0,0.347595412207655,0.429970416586558,0,0,0.465416396915809,0,0,0,0,0,0,0
GNPDA1,0,0,0,0,0.497718493739869,0.49042069042069,0.606027360437767,0.456890624758384,0,0,0,0,0,0,0,0,0,0.564130824898454,0,0,0,0,0,0,0,0,0,0,0
CDKN2AIPNL,0,0,0,0,0,0.444681984681985,0.618158882542121,0.517838556999999,0,0,0,0,0,0,0,0,0,0.496246147793587,0,0,0,0.522160680788859,0,0,0,0,0,0,0
MDH2,0,0,0,0,0.348403575346382,0.345415972915973,0.488648202371238,0,0,0,0,0.479557875316946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751355712289574,0,0
