,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SAFB2,0.429815078236131,0.372851614892012,0.373361890421075,0,0.309720614665369,0,0.46364863437815,0.303847837438875,0,0.428768503245899,0.597998433951725,0,0.364435800955481,0,0.305589039900221,0.517335305495506,0,0,0.383570352086034,0.365978588630522,0.302764116764325,0.389835612982839,0,0,0,0.460767763035164,0,0,0
PRICKLE4,0.323869132290185,0.380320295931388,0.392477888688019,0,0,0,0.438857965727452,0.330617419200588,0,0.358699907366888,0.544653180830661,0,0.326101668229006,0,0.228592593273169,0.427287063374673,0,0,0.370298128864605,0,0,0.333340786783914,0,0,0,0.36725680502838,0.550643755406215,0.217895979541645,0
GGNBP2,0.388165007112376,0.393684485091537,0,0,0.32278748049416,0,0.427067441079057,0.446202418718843,0,0,0.432018121776015,0,0,0,0.327831041365671,0.423031516668563,0.317846710251773,0.330596958266757,0,0.367672474854795,0,0.453707957734743,0.279039026055296,0,0,0,0,0.342419214145641,0
PABPN1,0.332688477951636,0,0.271406726186226,0,0,0,0.394823213171411,0.237751176707787,0,0.380256222605388,0.585002250721555,0,0.332394957554411,0,0.286768337081181,0.450758675617249,0,0.174352674026552,0.478690019164098,0.318845243154635,0,0,0,0,0.601910906298003,0.382482474205541,0,0,0
NFE2L1,0,0,0.249496101572072,0,0.266061539585362,0,0.451875006000096,0.240601206385684,0,0,0,0,0,0,0.26024575007867,0.39692911594038,0.396552814274333,0.333487191521522,0,0,0.205479867154736,0.332364617678164,0.36126681078621,0,0,-0.283689699287624,0.527921019362566,0.213849190993697,0
LSM12,0.458833570412518,0.334663453629561,0.435534933566542,0,0,0,0,0.286816650073213,0,0,0,0,0,0,0,0,0,0.306327626488686,0,0.320506749236031,0.241897459377329,0,0.378412788713164,0,0.511809523809524,0,0,0.446837759311607,0.746085325832161
CROCC,0,0,0.398199416431131,0,0,0,0.483909566553065,0.289380903611663,0,0.418428836035236,0.521583600120543,0,0.310348618021772,0,0.300727097741874,0.398728182955968,0,0,0.393431489900086,0.379315159978143,0,0,0,0,0,0.480713569210659,0,0,0
PPP1R9B,0,0,0,0,0.226815601648881,0,0.470533864541833,0.251132101730358,0,0.38418377927304,0,0,0.277270653135784,0,0.366891039849688,0.432311980885197,0.322576158019196,0.233052017296536,0,0,0.328165456008496,0,0.238431448401411,0,0,0.4914980997724,0,0.280482190055814,0
MZF1,0,0.32913548849872,0.424448746894011,0,0.241337140251866,0,0,0.30631366027789,0,0.355167568686268,0.587045552838998,0,0.453765433268653,0,0.352158323781873,0.425131641825009,0,0,0.363218576150931,0,0,0,0,0,0,0.333547631101156,0,0,0
OSBPL7,0,0,0.259580768134688,0,0.274230377345896,0,0.433640858253732,0.264371179491205,0,0,0.534210337179524,0,0.346268097507497,0,0.265761058064457,0.443512800091023,0.256566218591535,0.201195607535658,0,0.450494809058345,0,0.372189801653199,0,0,0,0,0,0,0
NEK8,0.399288762446657,0,0.243400243866324,0,0.237232570060441,0,0.351733115729852,0.295948402092084,0,0.362620399149388,0.483634038979723,0,0,0,0.236482712048162,0.351209693935601,0.321539220273397,0.162360362909766,0,0.275308117297068,0,0.36543627666603,0,0,0,0,0,0,0
NEAT1,0,0.326000257872904,0.315126094138973,0,0.272342451381813,0,0.425613593817501,0.213486076367949,0,0.299171496762412,0.486399841629901,0.264757962462511,0.232297426731609,0,0.270723146997549,0.367204687677779,0,0.243043596796069,0.368546071359907,0,0,0,0,0,0,0,0,0,0
CLK2,0,0,0,0,0,0,0.398705515288245,0.327837569719267,0,0.34046336088223,0.604970627138028,0,0.299135634905246,0,0.257904474677337,0.427358743884401,0,0,0.458313435335124,0.304160848359743,0.247535250367342,0,0,0,0,0.375670125571371,0,0,0
