,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NOTCH4,0,0,0.46667662942113,0,0,0,0,0.534876583961089,0,0.73339471471786,0,0,0,0,0,0,0,0,0.539453854216412,0,0,0.434950417666914,0,0,0,0.750362375622429,0,0,0
NOVA2,0,0,0.412619144959762,0,0,0,0,0.441230330215667,0,0.663913543260162,0,0,0,0,0,0,0,0,0.510608475616941,0,0,0.463164290238763,0,0,0,0.74086768312929,0,0,0
GIPC3,0,0,0.405004504302414,0,0,0,0,0.43803623915032,0,0.704167908216337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.757391477455734,0.700961474482667,0,0
TIE1,0,0,0.434085531826788,0,0,0,0,0,0,0.740977622184072,0,0,0,0,0,0,0,0,0.507113663567747,0,0,0.447949468400106,0,0,0,0.698261775619372,0,0,0
JAM2,0,0,0.435371148410709,0,0,0,0,0.49280801671954,0,0.582970219015596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58788117578574,0.698191829130348,0,0
GPR4,0,0,0,0,0,0,0,0.431865139831068,0,0.654593920791001,0,0,0,0,0,0,0,0,0.558388479214086,0,0,0.498216936638799,0,0,0,0.630936703461919,0,0,0
SOX17,0,0,0.425586565067634,0,0,0,0,0.414157724639077,0,0.739466983505987,0,0,0,0,0,0,0,0,0,0,0,0.504688860946213,0,0,0,0.649272237782495,0,0,0
RASL12,0,0,0.450688851804133,0,0,0,0,0.550287381957504,0,0.560727051486805,0,0,0,0,0,0,0,0,0.497891329020894,0,0,0,0,0,0,0.667965037359081,0,0,0
NRIP2,0,0,0.39197103092182,0,0,0,0,0.543617181273158,0,0.533732644797938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.592460248255155,0.658718144919822,0,0
GABRD,0,0,0,0,0,0,0,0.42140841585706,0,0.692016201859561,0,0,0,0,0,0,0,0,0.445773044982914,0,0,0.453670923402169,0,0,0,0.637107263736711,0,0,0
COL4A2,0,0,0.329254417365271,0,0,0,0,0,0,0.520443907513173,0,0,0,0,0,0,0,0,0.425145281228487,0,0,0,0,0,0,0.616678596993558,0.673897132211059,0,0
LAMA4,0,0,0.350921323095919,0,0,0,0,0.510915994304699,0,0.544455270341986,0,0,0,0,0,0,0,0,0.478485354039655,0,0,0,0,0,0,0.670055499500105,0,0,0
JAM3,0,0,0.457548113469244,0,0,0,0,0.542388838731856,0,0.793092474775243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708682411260559,0,0,0
CACNA1C,0,0,0.334273855267928,0,0,0,0,0.527929041873787,0,0.406243883160098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502955265049385,0.687911704038858,0,0
CDH5,0,0,0.453626305715862,0,0,0,0,0,0,0.763623592061895,0,0,0,0,0,0,0,0,0.487707688586508,0,0,0,0,0,0,0.743565219969507,0,0,0
ELFN1,0,0,0.369216710551231,0,0,0,0,0.484792902997884,0,0.482358462298656,0,0,0,0,0,0,0,0,0.446436656143985,0,0,0,0,0,0,0.659814785588362,0,0,0
SPRY1,0,0,0.391518115257485,0,0,0,0,0.420591107574346,0,0.627142893951502,0,0,0,0,0,0,0,0,0.452474277315042,0,0,0.516357470750738,0,0,0,0,0,0,0
