,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
LDOC1L,0,0,0,0,0,0.612511655011655,0.721574041184659,0,0,0,0.625928186221045,0.455831568017578,0,0,0,0.360337239731483,0,0.401677284319579,0,0,0.725583192118119,0,0,0,0,0.46825891565575,0,0,0
C22orf29,0,0,0,0,0,0.483437395937396,0.690798252772044,0,0,0,0.501286126602772,0.416634605133245,0,0,0,0.71329480031858,0,0.681413039352035,0,0,0.618908358819845,0,0,0,0,0,0,0,0
POLDIP3,0,0,0,0,0,0.590580253080253,0,0,0,0,0,0.471371754638879,0,0,0,0.377588349072705,0,0.281301657527203,0,0,0.590497806113791,0.501673008504969,0,0,0,0.597273845107833,0.665305409541553,0,0
PPIL2,0,0,0,0,0,0.53796065046065,0.786439591033457,0,0,0,0,0.550250079960692,0,0,0,0.425671862555467,0,0.624286932004459,0,0,0,0.458119934637897,0,0,0,0.474324874556618,0,0,0
PEX26,0,0,0,0,0,0.606921411921412,0,0,0,0,0.645918628535114,0,0,0,0,0,0,0.651074649117055,0,0,0.653806339787657,0.668527350728057,0,0,0.596829493087558,0,0,0,0
SF3A1,0,0,0,0,0,0.552771395271395,0.640669322709163,0,0,0,0,0.576813253542606,0,0,0,0.422356582091251,0,0.527234624821841,0,0,0.507116738518949,0,0,0,0,0.526547570881703,0,0,0
SREBF2,0,0,0,0,0,0.509509657009657,0.666532136514184,0,0,0,0.448782529861464,0.394885296967056,0,0,0,0.415251109341222,0,0.355518965106688,0,0,0.465568576636656,0.496341462136413,0,0,0,0,0,0,0
MICAL3,0,0,0,0,0,0.440737595737596,0.717487447799165,0,0,0,0,0.461869179672833,0,0,0,0.557182387074753,0,0.566615562741356,0,0,0,0.485790171158011,0,0,0,0.509584377121838,0,0,0
JRK,0,0,0,0,0,0.456823176823177,0.651068209091345,0,0,0,0,0.476160125341282,0,0,0,0.397657526453521,0,0.43116931072682,0,0,0.479750637521202,0.396547911071484,0,0,0,0.440044444534477,0,0,0
HNRNPUL2,0,0,0,0,0,0.415038572538573,0.564196035136562,0,0,0,0,0,0,0,0,0.419759699624531,0,0.364285430808679,0,0,0.470526325461514,0.489028229594694,0,0,0,0,0.835551267549405,0,0
BCL2L13,0,0,0,0,0,0.389355089355089,0.428684106945711,0,0,0,0.580178015052725,0,0,0,0,0.426695869837297,0,0.552523303044839,0,0,0,0.628500923587341,0,0,0.53657757296467,0,0,0,0
TNRC6B,0,0,0,0,0,0.444499944499945,0.644111553784861,0,0,0,0,0,0,0,0,0.423254067584481,0,0.542869492595826,0,0,0.544953748921825,0.452063773120691,0,0,0,0.436937617987311,0,0,0
CABIN1,0,0,0,0,0,0.65489232989233,0,0,0,0,0,0.601466641326467,0,0,0,0.539084082375697,0,0.634213373411234,0,0,0.566094976387669,0,0,0,0,0.440679419071961,0,0,0
POLG,0,0,0,0,0,0,0.438080737291797,0,0,0,0,0.60367541058077,0,0,0,0.382253043577199,0,0.307035517947054,0,0,0.477522441293701,0.402478295610139,0,0,0,0,0.781921618204804,0,0
ZNF74,0,0,0,0,0,0.39765318015318,0.725689819037105,0,0,0,0,0.453706236006879,0,0,0,0.618027761975196,0,0.713854397813431,0,0,0.453914509208379,0,0,0,0,0,0,0,0
NF2,0,0,0,0,0,0.548534521034521,0.717407574521192,0,0,0,0,0,0,0,0,0.514446467174878,0,0.620563707642985,0,0,0.542363586884697,0.407568769436474,0,0,0,0,0,0,0
THRAP3,0,0,0,0,0,0.360788933288933,0.439430902894446,0,0,0,0.421666693986349,0,0,0,0,0.357232222095802,0,0,0,0,0.497155591926999,0.501864469016763,0,0,0,0,0.749484330294764,0,0
TNPO3,0,0,0,0,0,0.406173826173826,0.51753007248116,0,0,0,0.413810603987749,0,0,0,0,0.374666970076232,0,0.422646573650045,0,0,0.526397698276718,0.50462667121793,0,0,0,0,0,0,0
MED15,0,0,0,0,0,0.426623654123654,0.568735755772092,0,0,0,0,0.512789075283571,0,0,0,0.502015018773467,0,0.623526412418167,0,0,0,0.531672914172236,0,0,0,0,0,0,0
DHX33,0,0,0,0,0,0.404417526917527,0.507692603081649,0,0,0,0,0.413162688718821,0,0,0,0.389532142450791,0,0.40212289789453,0,0,0.587801488292366,0.451539003615739,0,0,0,0,0,0,0
LZTR1,0,0,0,0,0,0.416467698967699,0.612068545096721,0,0,0,0,0.455242871909925,0,0,0,0.423150301513255,0,0.604152359293092,0,0,0,0.640147871801116,0,0,0,0,0,0,0
EIF4ENIF1,0,0,0,0,0,0.611934731934732,0,0,0,0,0,0.445142330031382,0,0,0,0.445378541358516,0,0.613675462178494,0,0,0.484122476796261,0,0,0,0,0.486754666869485,0,0,0
L3MBTL2,0,0,0,0,0,0.636178266178266,0.552841741467863,0,0,0,0,0.677756094395335,0,0,0,0.395112299465241,0,0.406820174000669,0,0,0,0.389335300112605,0,0,0,0,0,0,0
