,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HNRNPL,0.341650071123755,0.422406932335039,0.450342746135325,0.294449376870211,0.388644484271272,0.270863025863026,0.561416598665579,0,0,0,0.425360525244017,0.360564777431153,0,0,0.311193928716628,0.194416657185118,0.353734872722214,0.325290144908531,0.519561024317938,0,0,0,0.256879508476505,0.432316388745731,0.60694930875576,0.559905096352046,0.803579745824739,0.485339507184973,0
SETD4,0.551635846372688,0.472417973445019,0.415859209639734,0.523840057873796,0.433647399914105,0.460326895326895,0,0,0,0,0.663958445501646,0,0,0,0.429637817810966,0.523456138354762,0.456998697505027,0.434578060455052,0.633317621667215,0,0,0,0.497148481055865,0.555202719228518,0,0.550622368966982,0,0,0
PTMA,0.325462304409673,0.242212312393757,0.355335223518504,0.297016587043222,0.340836758006683,0.299264069264069,0.402242979887678,0,0,0,0.552323286835233,0.51060348304138,0,0,0.222214782674608,0.275413812720446,0,0.251164289485763,0.471011976010767,0,0,0,0.344594606894982,0.470447825403342,0,0.660280703679961,0.860087164814692,0.490712332181202,0
WRB,0.535817923186344,0.496569845765327,0.371165113593304,0.604594437163245,0.409499831862497,0.399206904206904,0,0,0,0,0,0.512223556188031,0,0,0.409583081626512,0.531847764250768,0,0.578198927421498,0,0,0.441726241631679,0,0.362749573330299,0.531416785318088,0,0,0,0.479169153478366,0
RRP1B,0.418577524893314,0.468751435714804,0.287062046897402,0.411358437031713,0.317061989211492,0.41206820956821,0.375911678586857,0,0,0,0,0,0,0,0.345618693452101,0.450517920127432,0.408212041123433,0.356470153812175,0,0,0,0,0.277362157242007,0.429232361701942,0.590857142857143,0,0,0.320563254651704,0
KIAA0101,0.408051209103841,0.376893105753085,0.341647452030812,0.285980871583121,0.317526728825065,0.295822788322788,0.551308020928335,0,0,0,0,0.43843490272608,0,0,0.239110760954702,0,0.293137242504331,0.233676652782044,0,0,0,0,0.33478188644897,0.446955171600528,0,0,0.867955286446204,0.364941529864696,0
KIF22,0.320625889046942,0.428442492119315,0.316179492185978,0.311057559059927,0.239235106606733,0.235136807636808,0.573145682330917,0,0,0,0,0,0,0,0.328707555339132,0,0.360740525297487,0,0.52285117124269,0,0,0,0.239607463875299,0.315347197351526,0,0.409424418048967,0.749908510213587,0.323323123741564,0
DNAJC8,0,0,0.287704570840134,0.305644808974196,0.298992560387812,0.315071872571873,0.359994623913983,0,0,0,0,0,0,0,0.363736531292422,0.280443736488793,0.306971509503155,0.287402206585245,0,0,0.307330574977264,0,0.216794174536352,0.3782225871542,0,0.538610429677767,0.76214318983299,0.537784890241423,0
PRR3,0.356301564722617,0,0,0,0.31795746310106,0,0.557378390054241,0,0,0,0.512378968551683,0,0,0,0.309669102193352,0,0.407807382490927,0,0.409665155452465,0,0,0,0.253710547275003,0.320777574444668,0.579809523809524,0.531614015773814,0.633175860003992,0.328646103193394,0
FKBP3,0,0,0.36189604487073,0.304350634403905,0.301377971846099,0.289172494172494,0,0,0,0,0,0.430195474920155,0,0,0.258977951630945,0.218403003754693,0,0.278084439674361,0.43582507954031,0,0.420537507986121,0,0,0.491760859880679,0,0.592280878997757,0.778727792933662,0.347138800165277,0
SS18L2,0,0,0.382201044172494,0.366115174490433,0.316815135649811,0.330410977910978,0.355467191475064,0,0,0,0,0,0,0,0.296686887433647,0.193728296734555,0,0.224610810680231,0.502220306501529,0,0.412817167286658,0,0,0.546011674426324,0,0.498464219792532,0.627129216847429,0.422334739065134,0
ATP5O,0,0,0.500183478972796,0.555696482006041,0.440025289895503,0.591369463869464,0,0,0,0,0,0,0,0,0.425534096990773,0.456898850836273,0,0.303125075491167,0.619701188918314,0,0,0,0.429613835476163,0.512924961347298,0,0,0,0.457963809511317,0
SNHG1,0,0.234013732473164,0,0,0.206272599380599,0,0.475472183554937,0,0,0,0.440221592048207,0.455194200184489,0,0,0,0.23181317556036,0.304998798669685,0,0.529270213782026,0,0,0,0.377818864489703,0.446705239297351,0,0.494936409546791,0.753501563643623,0.318249372011727,0
CKS1B,0,0.449943757030371,0.286533325834939,0.223926257886009,0,0.289296814296814,0.451546296740748,0,0,0,0,0.464747764577182,0,0,0.275438773799215,0,0.317138557644887,0,0.400653688003523,0,0.354749757777133,0,0.239840709978382,0.450588525606869,0,0,0.607916361700712,0.268369722766952,0
HNRNPA1,0,0,0.234868861295078,0.311723436538471,0.202835541371272,0,0.419025584409351,0,0,0,0,0.516453360898526,0,0,0,0,0,0,0.380376335750036,0,0,0,0.331246330640573,0.429117932233296,0.531766513056836,0.542799456883148,0.812529110386586,0.326337467452827,0
CRYZL1,0,0.452204591026912,0.327838610960336,0.398559966553456,0.417154811188512,0.479408646908647,0,0,0,0,0.533179544534655,0,0,0,0.364685973249786,0.463965638866765,0.333071991299839,0.395262692006391,0,0,0,0,0.355409034019798,0,0,0,0,0.485533642463157,0
LSM5,0,0.371950541755403,0.382043177693203,0,0.313907049558371,0.311585914085914,0,0,0,0,0,0.579564364880337,0,0,0.335742177181695,0,0,0,0.539695731181662,0,0,0,0.382500625782228,0.543045680069182,0,0,0.79425610486393,0.451399938348932,0
HNRNPA3,0,0.272117418129058,0.28251574504869,0,0.283115846109474,0,0.460833869341909,0,0,0,0,0.46448122893789,0,0,0,0.245496871088861,0,0,0.442510806938768,0,0,0,0,0.41908777439051,0.58105069124424,0.427153338063722,0.753983964335618,0.366300476811984,0
SUMO2,0,0.297190370966475,0.246003113518742,0.278276892289914,0.446367915082375,0,0.476353861661787,0,0,0,0.423279395873551,0,0,0,0.290377640624677,0,0,0,0,0,0,0,0.264176811923996,0.479988382351657,0,0.575083068775956,0.752603300286114,0.398865358002505,0
RBM17,0,0.353331080650492,0.251696290590589,0.233001921297275,0.280656126691293,0.271805139305139,0,0,0,0,0.556711248185868,0,0,0,0,0,0,0.207727534691427,0.409289936057654,0,0.389786836057151,0,0,0.416921912806492,0,0.387852134171888,0.847461574289707,0.317192121780535,0
USP16,0,0.367148770435316,0.256399953408852,0.288200463178267,0.31584913217119,0.469396991896992,0,0,0,0,0.399942502575405,0.39683216598449,0,0,0.295336973224519,0.463080669018091,0,0.412146399373294,0,0,0,0,0.370671976334054,0.503810676007373,0,0,0,0.328619868696342,0
ZSCAN16,-0.373456614509246,0.273672806709438,0.336176762433381,0,0.238548702570426,0,0.522832429318869,0,0,0,0.458313106260536,0,0,0,0.322916154639483,0.209139833883263,0,0,0.41938054689002,0,0,0,0.244158607350097,0.383449764589757,0,0.496141166920405,0,0.500211843563694,0
