,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
HOXB4,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0
HOXB3,0.509217638691323,0.712573971731794,0.762099554666982,0.738487483382423,0.854623403480887,0.743998501498501,0.805907957219813,0,0.579075091575092,0.73084813530668,0.687173030681685,0.968282819972037,0,0,0.706906682040881,0.472689725793606,0.631912391406062,0.858937636531168,0.548527341400033,0.373448282840548,0,0.68542409027433,0.559984526112186,0.638143010630585,0.60252534562212,0,0,0.8060404929462,0
RCBTB2,-0.240796586059744,0,0.265034902288127,0,0.273629616382008,0,0.209480380092286,0,-0.482783882783883,0,0,0,0,0,0.38248327250259,0,0,0,0.374868983310489,-0.198170521927428,0,0,0,0.359056197098208,0.509486943164362,0,0,0,0
MFRP,0.284324324324324,0,0.247003896426952,0.392959314533745,0,0,0,0,0,0,0,-0.353216457131417,0,0,0.423636017006576,0.317819774718398,0,0,0.491630436804991,0,0,0,0.18889566503584,0.371325809522978,0,0,0,0,0
IFFO1,0,0,0.265761972734911,0.494988890298153,0,0.222269952269952,0,0,0,0.278196891699882,0,0,0,0,0.50459170665264,0.316347024689953,0,0,0.56952102158907,0,0,0,0,0.396398856578821,0,0,0,0,0
GRASP,0.257382645803698,0,0.254511832403301,0.390935845582191,0,0,0,0,0,0,0,-0.310969628246357,0,0,0,0.202599158038457,0,0,0.372239346560075,0,0,0,0.132072818295597,0.433828866798858,0.589560675883256,0,0,0,0
PTGIR,0.225007112375533,0,0.214610326763602,0.484475777091936,0,0,0,0,0,0,0,0,0,0,0.578875921361812,0.238908863351917,0,0,0.451801363193768,0,0,0.188867060371902,0.150949140971669,0.382433001982862,0,0,0,0,0
TMEM119,0,0,0.260911332959677,0.529635658150012,0,0,0,0,-0.415613553113553,0,0,0,0,0,0.507321625042206,0.306981681647514,0,0,0.387111678936238,0,0,0,0,0.373463828058805,0,0,0,0,0
GAS7,0,-0.303563092162887,0.213740365563581,0.431272518872401,0,0,0,0,0,0,0,0,0,0,0.54554553577376,0.233713505518261,0,0,0.432085289539131,0,0,0,0,0.358688232108385,0,0,0,0.226292212945413,0
LPAR6,0,0,0.241726437927722,0.326915307900807,0.252108016065633,0.237831335331335,0.274179519723693,0,0,0,0,-0.425856985005116,0,0,0.351188209325135,0,0,0,0.361218439707515,0,0,0.14480109593674,0,0,0,0,0,0,0
SH2B1,0,0.301167393601491,0,0,0.268082967985864,0,0,0,0.469276556776557,0.366948784154044,0.21329653161917,0,0,0,0,0,0.447742131286435,0.158669060527524,0,0,0,0,0,0,0,0,0,0.318183785769097,0
BTBD19,0,0,0.208552024218972,0.307345321476721,0,0,0,0,0,0,0,0.350027551689171,0,0,0.427647527788649,0.233512572533849,0,0.147529583909942,0.470887936541408,0,0,0,0,0.379399965933212,0,0,0,0,0
DACT3,0,-0.303904699659578,0.219495109509207,0,0,0,0,0,0,0,0,0,0,0,0.519952522159771,0.284798953237001,0,0,0.562029037639777,0,0,0,0.133558539082945,0.50038215948498,0,0,0,0,0
C1orf54,0.273911806543385,0,0.182068537431838,0.413184608952588,0,0,0,0,0,0,0,0,0,0,0.371116383874532,0.236889520992149,-0.366886278278683,0,0.406427725302191,0,0,0.175708692132545,0,0,0,0,0,0,0
GLIPR2,0,-0.260636886792313,0.255809307403211,0,0,0,0,0,0,0,0,0,0,0,0.419094957977403,0,-0.463549109118729,0,0.359596623645644,0,0,0,0,0,0.633443932411674,0,0,0,0
CNPY4,0,-0.290563481936299,0,0,0,0,0.332771402187073,0,0,0.27944072706811,0,0,0,0,0.40346252879794,0,0,0,0.53624123196001,0.196982575435614,0,0,0,0.320341257501245,0,0,0,0,0
PRKD2,0,0.236484273457913,0,0.326811961837117,0,0,0,0,0.441391941391941,0.28280589809859,0.231048861462729,0,0,0,0,0,0,0,0,0,0,0,0.173723062919559,0,0.606199692780338,0,0,0,0
C16orf86,0,0,0,0.328113182729933,0,0,-0.314458078850603,0,0,0.266766427000827,0,0.367188980251498,0,0,0.38286938885201,0.262950733871885,0,0,0,0,0,0,0,0.359505507464121,0,0,0,0,0
COX7A1,0,0,0.287402212826762,0.428502139733273,0,0,0,0,0,0,0,0,0,0,0.391600533809873,0.262235749231995,0,0,0.450926884934786,0,0,0,0,0.440279609716896,0,0,0,0,0
PLEKHO2,0,0,0,0.394214734330153,0,0,0,0,0,0,0,0,0,0,0.442731434372854,0.240470133120947,0,0,0.347481068475989,0,0,0,0,0.31523888243464,0.514365591397849,0,0,0,0
SERPING1,0,0,0.263614419918095,0.472055459255814,0,0,0.26842938964107,0,0,0,0,0,0,0,0.542772894218821,0.266315849357151,0,0,0,0,0,0,0,0.41212013347193,0,0,0,0,0
LGALS1,0,-0.308670161289127,0,0,0,0,0.226602511795505,0,0,0,0,0,0,0,0,0.236517920127432,-0.371261649742662,0,0.407674321969251,0,0,0,0,0.323119011014928,0,0,0,-0.239818719625371,0
TMEM91,0,0,0,0,0,0.262540792540793,0,0,0,0,0.251742260228804,0.420044186999266,0,0,0,0,0,0,0,0,0,0,0.153994083513483,0.42569007084145,0.577622119815668,0,0,0,0
WIPF1,0,0,0.195467157348121,0.408764215955693,0,0,0,0,0,0,0,0,0,0,0.467510410900379,0.286865399931733,0,0,0.403708159936492,0,0,0,0,0.317834072902927,0,0,0,0,0
TSPAN4,0,-0.224997072994334,0,0.327727983765273,0,0.24525419025419,0.246713758802794,0,0,0,0,0,0,0,0,0.285187165775401,0,0,0.384779736912286,0,0,0,0,0.361045282623317,0,0,0,0,0
TNFRSF14,0.22796586059744,0.280453826670876,0,0,0.30457069520764,0,0.289035238461262,0,0,0.367690181513523,0,-0.340414880345766,0,0,0,0.262349527818865,0,0,0,0,0,0,0,0,0,0,0,0,0
CLDN15,0,0,0,0.338088426650131,0,-0.257546342546343,0,0,0,0.319947869459208,0,0,0,0,0,0,0.507960394036343,0,0,0,0,0,0,0,0.63347465437788,0,0,0,0
NXF1,0,0,0,0,0.26751369344566,0,0,0,0,0.382409454146194,0,0.339800689168912,0,0,0,0,0,0,0.406957994033702,0,0,0,0,0,0.595846390168971,0,0,0,0
MMP2,0,0,0.216291462593438,0.397277535854038,0,0,0,0,0,0,0,0,0,0,0.551518165384589,0.269380816930254,0,0,0.538092521040195,0,0,0,0,0,0,0,0,0,0
PPOX,0.304864864864865,0,0,0,0,0,0,0,0,0.300691797709897,0.279399025822144,0,0,0,0,0,0,0,0,0.186011778276972,0,-0.141914514279006,0,0,0.518697388632872,0,0,0.22701366161434,0
EZH1,0,0,0,0,0.313806293002583,0,0,0,0,0.350066721606538,0.293754468344263,0,0,0,0,0,0,0.182972471175315,0,0.24796511039605,0,0,0,0,0.558199692780338,0,0,0,0
