,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
GNB3,0,0,0,0,0,0,0.281430019830565,0,0,0.470928785804525,0,0,0,0,0,0,0,0,0,0,0.535972396365408,0.279176019971404,0,0,0,0,0,0,0
GPR153,0,0.216704380411208,0,0,0,0,0,0,0.305357142857143,0,0,0,0,0,0,0,0,0,0,0,0.438295478105272,-0.220811262904421,0,0,0,0,0,0.309891061250992,0
LEPREL2,0,0.263329975496186,0,0,0,0,0,0,0,0.577228960875913,0,0,0,0,0,0,0,0,0,0,0.561740004908975,0,0,0,0,0,0,0,0
TMEM106A,0,0,0,0,0,0,0,0,0,-0.44704671177388,0,0,0,0,0,0,0,0,0,0,0.662560053535368,0,0,0,0,0,0,0,0
CDCA3,0,0.198089490622323,0,0,0,0,0.388686571777218,0,0,0,0,0,0,0,0,0.193109693543617,0,0,0,0,0,0.179974632328752,0,0,0,0,0,0,0
MST1P2,0,0,0,0,0.20151814940434,0,0,0.137575785691091,0.360576923076923,0,0,0,0,0,0,0.19222108272961,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR162,0,0,0,0,0,0.339963186802984,0,0,0,0.499847585492383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RRAS,0,0.274615477062497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497575473984159,0,0,0,0,0,0,0,0
FCGRT,0,0,0,0,0,0.245887791621663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.479921745779943,0,0,0,0,0,0,0,0
PSMD14,0,0.214412672906197,0,0,0,0,0.360792261150952,0.144302973856093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP9P,0,0.202042269225954,0,0,0,0,0.295357965244363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221800867050128,0
CACNB3,0,0,0,0,0,0,0,0,0,0.466571976426556,0,0,0,0,0,0,0,0,0,0,0,0.212952983219796,0,0,0,0,0,0,0
COL23A1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674754578261897,0,0,0,0,0,0,0,0
TBC1D2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.660793038525857,0,0,0,0,0,0,0,0
DLL4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.178913879788024,0,0,0,0,0,-0.183170302442016,0,0,0,0,0,0.272924031455162,0
CHAC1,0,0,0,0,-0.23413052759911,0,0,0,0,0.326627926161145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTMS,0,0.298106868463905,0,0,0,0,0.257952449259386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TXNDC15,0,0,0,0,0,0.240083316706446,0,0,0.298260073260073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TIGD5,0,0,0,0,0.197214585015233,0,0,0.141308717926758,0,0,0,0,0,0,0,0.199661747619852,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPRN2,0,0,0,0,0,0,0,0,0.303205128205128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231961487758328,0
RCN3,0,0,0,0,0,0,0,0,0,0.486686120035723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAG3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480567966736289,0,0,0,0,0,0,0,0
GRHL2,0,0,0,0,0,0,0,0,-0.313003663003663,0,0,0,0,0,0,0.160116177046091,0,0,0,0,0,0,0,0,0,0,0,0,0
NBR1,0,0,0,0,0,0,0,0,0,-0.422080238809741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHD5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.409550815341997,0,0,0,0,0,0,0,0
LOC100133331,0,0,0,0,0,0,0,0.167607854472441,0,0,0,0,0,0,0,0.240324623980238,0,0,0,0,0,0,0,0,0,0,0,0,0
AATK,0,0,0,0,0,0,0,0,0.385027472527473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BCL2L12,0,0,0,0,0,0,0,0,0,0.363276498410193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDX23,0,0,0,0,0,0,0,0,-0.3628663003663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNC13B,0,0,0,0,0,0,0,0,0.357188644688645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PCBD2,0,0,0,0,0,0,0,0,0,-0.357009425803537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNPLA6,0,0,0,0,0,0,0,0,-0.34514652014652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRMT1,0,0,0,0,0,0,0.334956483337416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C5orf24,0,0,0,0,0,0,0.30950490351058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ING4,0,0,0,0,0,0,0.308672730671391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNCX,0,0,0,0,0,0,0.305403673550643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF384,0,0,0,0,0,0,0.3048568762675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FKBP9,0,0.286518646601459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VPS18,0,0,0,0,0,0,-0.285221285563307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADCY6,0,0,0,0,0,0,0.279661172299804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICMT,0,0,0,0,0,-0.272901341131474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM101B,0,0,0,0,0,0.266042642369486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BREA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263208517239882,0,0,0,0,0,0,0,0,0,0,0,0,0
MAP9,0,0,0,0,0,0.256988083302286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KBTBD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252185661535636,0
TSTA3,0,0,0,0,0,-0.250485972495839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C19orf45,0,-0.245606247867932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF623,0,0,0,0,0,0.238464379638254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FANCG,0,0,0,0,0.231211106395145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CD4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223924463757223,0,0,0,0,0,0,0,0,0,0,0,0,0
CORO2A,0,0,0,0,0.218370942816876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL22,0,-0.201223775793687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RND1,0,0,0,0,-0.196173014119772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM83H,0,0,0,0,0,0,0,0.195630866439949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STOML2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185886429801764,0,0,0,0,0,0,0
PRRG2,0,0,0,0,0,0,0,0.181546057835619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POU1F1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174430793552637,0,0,0,0,0,0,0
TMEM105,0,0,0,0,0,0,0,0.171666368797076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SCAF1,0,0,0,0,0,0,0,0.162344934476676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZNF707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150775523425619,0,0,0,0,0,0,0,0,0,0,0,0,0
PEX11G,0,0,0,0,0,0,0,0.14607264482992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR2T1,0,0,0,0,0,0,0,-0.144813486869102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC38A10,0,0,0,0,0,0,0,0.141849938086793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR12,0,0,0,0,0,0,0,0.129239210984271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
