,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EXD3,0.538349928876245,0.292116647474402,0.65026525570473,0,0.299947228753906,0.477709235209235,0.47967013872222,0,0.333516483516483,0.674077627295724,0.658976596278555,0,0.761524892227712,0.337789060868848,0.661031190207667,0.475672317669815,0.420680585237547,0.306733984656744,0.716346541469496,0.391198672414142,0.775182771717753,0.492527624642365,0.360302878598248,0.349725172736087,0,0.514645481450843,0,0.484103862373828,0.363009845288326
LOC100133331,0.430014224751067,0.359383683758898,0.535508057298687,0,0.38442908186848,0.627440337440337,0.494497383958143,0,0,0.736170591210369,0.581385965332584,0,0.469668643038646,0.369983283707533,0.730625503892172,0.703724883376948,0,0.387155372037727,0.747362610782751,0.453431283265538,0.531747519708222,0,0.497029241096826,0.385338724329802,0,0.43061162891042,0,0.427610496422271,0.492522269104548
NOXA1,0.412830725462304,0.303164426581065,0.558190321468388,0,0.289284666237612,0.473243700743701,0.458010656170499,0,0.306547619047619,0.565001893103558,0.659073055773763,0,0.664902461887899,0,0.670298671677068,0.542086244168848,0.538866197094045,0.188139518029879,0.710005023598509,0.420947928682735,0.742289531983975,0.585341252158735,0.310316708565705,0.345660196888567,0,0.401739900212499,0,0.46312151163172,0
SNHG12,0,0.499713227546161,0.58980024571986,0,0.349912404769312,0.642374014874015,0.540552776844429,0,0.353021978021978,0.653911120420136,0.653568560004741,0,0.49247073710851,0.347963524704074,0.719140207781588,0.635764478325179,0,0.349681556688259,0.747201359472584,0,0.707102897212267,0.386744993115457,0.464777335305496,0.403566530690682,0,0,0,0,0.415541490857947
C9orf173,0.311692745376956,0.257438922700142,0.552901294531371,0,0.313761480430116,0.522196769184703,0.388707059744323,0,0,0.63242797173805,0.632902963809565,0,0.611135564702358,0.306876783770871,0.522436626728817,0.519770804212649,0,0,0.557019617885802,0.418670435243175,0.651476299691649,0.389336008095608,0.454128213655678,0.292913628800592,0,0.489575564133562,0,0,0.385589842034541
NXF1,0.398577524893314,0,0.546159400280095,0,0.243902654053625,0.514669774669775,0.414272356357702,0,0,0.651545111161812,0.476845307970581,0,0.479575675317121,0.310704943474462,0.652568328352792,0.536864262145864,0.339167161951972,0.363608598573346,0.509845632880383,0,0.65276990352531,0.47845108445959,0.354140175219024,0.223732431582533,0,0,0,0.338751631457785,0.36755743084857
SNHG1,0.421024182076814,0.364576710519881,0.387986561023556,0,0.273192584821277,0.483566711066711,0.326278884462151,0,0.4996336996337,0.567296979096667,0.666233754770962,0,0.540314052165141,0.290119833342421,0.522808657642738,0.462048242120833,0,0.241111022918256,0.671236487450307,0,0.575817907835665,0.294041769835816,0.239366708385482,0.290359208078196,0,0,0,0,0
CLK4,0.501052631578947,0,0.351407518151486,0,0,0.435338827838828,0.406760428166851,0,0,0.611468615078875,0.6319887426095,0,0.596962257466794,0.257311216938112,0.491366015789196,0.481198771191262,0,0.265769026362378,0,0,0.490480191682548,0.307845793231731,0.302424166571851,0.351988976336685,0,0.44430842378068,0,0.354350663404844,0.418377871542429
TAF6L,0,0,0.429015669327544,0,0.351882195434972,0.298008103008103,0.258697643162291,0,0,0.412215996811659,0.451335869440497,0,0.55835098558614,0.267695798053356,0.509268170552714,0.349244055068836,0,0,0.446455262064389,0,0.496445638463505,0.351994211463943,0.31452816020025,0,0,0.586854498568085,0,0.344725226436503,0
FAM166A,0.34557628279621,0,0.422227241007163,0,0,0,0.235018900155969,0,0,0.507762175847142,0.564426733972014,0,0.544748888742317,0.307623950653252,0.479380959848907,0,0,0,0,0,0.617880251526229,0.374070012084064,0.325356212540097,0,0,0,0.473268645051645,0.31248611322433,0
