,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UFSP2,0.454566145092461,0.446924865617094,0.314797260052956,0.565583646894686,0.548244128096847,0.451283993783994,0.221291604665675,0.449640653603634,0,0.22457607572227,0.411622927854602,0,0.329347738932293,0,0.392469467866897,0.432274889065878,0,0.484668822406814,0.301707403295729,0,0.238208790246336,0.332755923833654,0,0.379746093238179,0.439576036866359,0.286271216998313,0.535173664249118,0.563279574476458,0
FRG1,0.571009957325747,0.451640679302439,0.474326824263541,0.610312527891693,0.594257128211458,0.383530081030081,0,0.526735978531997,0,0.208678317909027,0.383243661728529,0,0.453052248238541,0,0.231521771587257,0.427015132552054,0,0.478175287901742,0.400979291610591,0,0.33293924057364,0.40384227706642,0,0.475705357220849,0,0.313637919765958,0,0.369758183523424,0
HNRNPD,0.296671408250356,0.391959404283951,0.401374628424012,0.228321988754069,0.503153050467699,0.400368797868798,0.3219227187635,0.384829539439486,0,0.262876688247813,0.300711530629357,0.513431078519082,0.303460959242613,0,0.332257712564975,0.338249857776766,0,0.302302437458803,0.404672566810759,0,0,0.285850893488211,0,0.325196211598431,0,0.424327811866326,0,0.451654412970335,0
HMGB2,0.36651493598862,0.358203989323469,0.366254297096078,0.361853323750335,0.555792053582336,0.568453213453214,0.409760284164547,0.398527464841506,0,0.162924355443515,0,0.341615252328131,0.253324284883306,0,0.241700795431837,0.475034930026169,0,0.454616867228724,0.337892817494527,0,0,0.408158523713677,0,0.48355545898446,0,0,0,0.445754274583363,0
PGRMC2,0.421820768136558,0.219108975014487,0.246913978881909,0.315380477928569,0.442224301725582,0.363919136419136,0.227558584937359,0.360668817273368,0,0.197121100858716,0.340456625380322,0.358467257834989,0.224670487231335,0,0.238103895387965,0.492319717829105,0,0.300761554893726,0.391409646549532,0,0,0.269907263934954,0,0.269839645880102,0,0,0,0.39532894779991,0
NDUFC1,0.587339971550498,0.291864702682916,0.431589977679639,0.309822103844004,0.51191383299349,0.373807858807859,0,0.370618941754005,0,0,0,0,0,0,0,0.410633519171692,0,0,0.359962540080254,0,0.368654308282654,0.301962924440528,0,0.342141163162446,0,0.316227080006608,0.480695655066871,0.299378898282296,0
MRFAP1L1,0.516159317211949,0.256843635652263,0.470964004968318,0.265634615294278,0.27722662542365,0.265474802974803,0,0,0,0.247065683068421,0.225852657805843,0,0.269147749720455,0,0.27567891933361,0.28123700079645,0,0.21908485724836,0.370170988408512,0,0,0.192318240911128,0,0.342740935177016,0,0.36619541415054,0.322975580544281,0,0
C4orf46,0.439630156472262,0.273695037132216,0.282221896449279,0.33928982464052,0.509465448687835,0.41250666000666,0,0,0,0,0,0.472676620420802,0.215827546844681,0,0,0.284205256570713,0,0.481855374453444,0,0,0,0.257310699533123,0,0.395554284117015,0,0,0,0.378966491988641,0
COPS4,0,0.487885160599984,0,0.296275548791086,0.474951290502561,0.269655067155067,0,0,0,0.187149431048175,0.336423609753883,0.414379481854717,0,0,0,0,0,0,0.304175788735976,0,0,0.248836126222788,0,0.365428324350766,0.344823348694316,0,0.334669638698516,0.424407264332234,0
GLRX5,0,0.30440858924255,0.292431444980636,0.250897231734758,0,0.430530025530026,0,0,0.381547619047619,0.226274868915212,0.44996967515216,0,0,0,0,0.266373421322107,0,0,0.293220002604829,0,0.338778786203423,0.190690826560884,0,0.280629209213756,0,0.386724722884626,0,0.369566671694945,0
CETN3,0.623271692745377,0.255357161382495,0.319456564391515,0.366676531518201,0.282141026432223,0.213185980685981,0,0,0,0,0.246330441229688,0.326835271704113,0,0,0,0,0,0,0,0,0,0.177004195011615,0,0.320519016255973,0,0.432049989880554,0.502944307671835,0.390328652661818,0
NUDT6,0.460881934566145,0.327866131358086,0.332989839464851,0,0.320669073908712,0.33961260961261,0,0,0.289789377289377,0.261267972340559,0.387537054946607,0,0.343138364018853,0,0.299483302362867,0,0,0,0,0,0.242374182913259,0.196355681922599,0,0.301859588053913,0,0,0,0.330881282342216,0
ETFDH,0,0.336477456128261,0.250698751369879,0.450723892200661,0.452273508708515,0.283913586413586,0,0,0.367994505494505,0.221014438547343,0.259291949477921,0,0,0,0.269488194854385,0.408499032882012,0,0.267727051547957,0.358021322384783,0,0,0.176017544490986,0,0,0,0,0,0.294617337067377,0
HMGN2,0,0.275366764925135,0.248367382573773,0.191829084400851,0.199019386820791,0.29252109002109,0,0.233814543477821,0,0,0,0.470226810240531,0,0,0.147370228385179,0,0,0,0.291157846426733,0,0.298520426875282,0.217361834862514,0,0.319104589407849,0,0.35561032599718,0,0.409319805077687,0
NUDCD2,0,0.217151215781822,0,0.251565457987476,0,0.203368575868576,0,0.235894672609383,0,0,0.305165059218565,0.50438740839286,0.179780650409586,0,0,0,0,0,0.279532247161047,0,0.24475692084884,0.311396896592806,0,0.358876909705541,0,0.27547315087146,0,0.398694833771668,0
LSM3,0,0,0.266946424182069,0.218551088187075,0.229753914707057,0,0,0.322347158832059,0,0,0.372789469901485,0.510079682567642,0,0,0,0,0,0,0,0,0.433192430916631,0,0,0.233006787152453,0,0.416444496172198,0,0.306669465013019,0
ELF2,0.522844950213371,0.310524178548828,0.299704108298722,0.234906777153004,0.428423172496483,0,0.228334277348438,0,0,0,0,0,0.227514188620821,0,0,0.391013312094664,0,0.389545206699129,0,0,0,0.228047986712361,0,0,0,0,0,0,0
NAA15,0.431066856330014,0.270314530841748,0,0,0.458943592701699,0.383518703518703,0,0,0,0,0,0,0,0,0.236603761016719,0.28543292752304,0,0.408408076778399,0,0,0,0,0,0.292189315257554,0,0,0,0.402218126725738,0
PAICS,0.342133712660028,0.252123375882362,0.211788318638797,0.187548443467354,0.238994550329789,0.380573038073038,0,0,0,0.308306704950033,0,0.319328237480937,0,0,0.163532218090275,0,0,0.16990818548568,0,0,0,0,0,0.243882063399167,0,0,0,0.270431754235232,0
PLA2G12A,0.319829302987198,0.24328233674348,0.213990592884993,0.181643625192012,0.217983030077091,0.220218392718393,0,0,0,0.152232067347472,0,0,0.212760355542856,0,0.292982260698593,0.259110479007851,0,0.233230176450897,0,0,0,0.191997509615825,0,0,0,0,0.312404351586932,0,0
NEDD8,0,0.247057803545308,0.229533205987005,0.195441499081629,0.201999261958229,0.24506438006438,0,0.345220550188951,0,0.13707342119557,0.185903295888556,0,0,0,0,0,0,0,0,0,0.350360128122016,0,0,0.364838597671229,0,0.311800673979064,0,0.230704855349542,0
ATP6V1D,0,0.340245512789162,0.209479466089038,0.326735626676438,0,0.236465478965479,0,0,0,0.280895054455719,0.352331861012585,0.32483277785761,0,0,0,0,0,0,0.391341424841385,0,0.237421028307427,0,0,0,0.310519201228879,0,0,0,0
