,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
IRF2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
DDX60,0,0.36223362395906,0.291536924432402,0.46881767405591,0.400106801949136,0.313532856032856,0.58616349061585,0.444170761502713,0,0.276405839418485,0.581974809571304,0.521000690674961,0,0,0.409854580451625,0.506879736033679,0.709733304670013,0.576912989312176,0.434907187467052,0,0.529609155125076,0.621946545482877,0.602946637842758,0.297078008577843,0,0.373876064682691,0.63622829196886,0.454980947196516,0
TLR3,0,0.506799545313753,0.435897004917978,0.504146760805536,0.587395606762276,0.519499389499389,0.580212931406902,0.540341123335153,0,0,0.466396159777273,0,0,0,0.461614269537235,0.546868585732165,0.573666839489624,0.637143724829088,0.529769472646196,0,0.599700906566488,0.593042297050984,0.533346228239845,0.507580624732488,0,0.458014518597038,0,0.693017032747211,0
SP100,0,0.39560741666185,0.399974366443589,0.522615172141659,0,0.328745976245976,0.610746027936447,0.398791532699808,0.482051282051282,0.451637744273599,0.430390288987604,0.497584955337898,0,0,0.41265604865847,0.456460348162476,0.63884217048774,0.451859929806156,0.421690782006835,0,0.523276268571397,0.454133503178838,0.558189100011378,0.398045745582236,0,0.514220722526624,0.639571827799588,0,0
SAMD9L,0,0.289948440239436,0.327693466476174,0.551292530428369,0.40013325054503,0.359933677433677,0.543697787164595,0.498907448973644,0,0.506157255200691,0,0.59469200068604,0,0,0.392558359614205,0.454952099214928,0.58767814464017,0.473308048825099,0,0,0.577075746355318,0.468835434449406,0.660707247695984,0.434480940068658,0,0.534017361249869,0.709178920753211,0.515797758262227,0
APOBEC3G,0,0,0.336472906889529,0.590506489663045,0.515445350273869,0.302509435009435,0.537586713387414,0.564903002641868,0,0.537124724729217,0.353222062367053,0.549909377882641,0,0,0.510420088156725,0.494162248264877,0.558289811454368,0.558471575634385,0.376645848709059,0,0.498134453827512,0.559563260404813,0.622223688701786,0.467263890951337,0,0.474784347141022,0,0,0
PARP14,0,0.30914589233658,0.224413803533218,0.506715145365634,0.392896410925537,0,0.483565497047953,0.549178475376862,0,0.485221195320386,0.445057806347161,0.60111435074236,0,0,0.273884890929596,0.520310843099329,0.666788907295236,0.437436803108683,0.499475933241958,0,0.575041875817673,0.623505481255911,0.68979497098646,0.2776842882225,0,0.366953866190166,0,0.429139967600396,0
CTSO,0,0.517925871914232,0.423633823066957,0.563122131559539,0.583462322715691,0.592179764679765,0.395771708347334,0.526938490031438,0,0.350698093769311,0.572844571600055,0.445617458779684,0,0,0.5125361481621,0.499434065308909,0.541370022382681,0.601895820463887,0,0,0,0.407656813321459,0.373696666287405,0.394623889553725,0,0.410463341730295,0,0.553648890608706,0
TRANK1,0,0.430702585101763,0.313518973360269,0.46111956669814,0.463866809908903,0.378646908646909,0.447034992559881,0.51663597769935,0,0.528318553178014,0.428359595954501,0,0,0,0.487178801040975,0.389219251336898,0.544860203088051,0.424580441662152,0.421948163905755,0,0.526997390483593,0.522384983067274,0.671607008760951,0.301802919261712,0,0.401489169982573,0,0.47106794078874,0
APOL6,0,0,0.229904818834787,0.486792842815335,0,0.27527528027528,0.343762684202947,0.471185676578727,0,0.542662867420781,0.546345319949211,0.603007912631935,0,0,0.365905191323982,0.543357833655706,0.629889098243528,0.479001808336986,0.548257555554177,0,0.570112181053675,0.528001623920545,0.643399704175674,0.406571614503717,0,0.430272595231908,0,0.475249719618813,0
BTN3A1,0,0.379822334461157,0.286014925596338,0.53878648233487,0.40905146518924,0.394647297147297,0,0.559475634982092,0.298809523809524,0.461625933447951,0,0,0,0,0.435321491819433,0.431198998748436,0.663576929399714,0.401785991600206,0,0,0.554388417563289,0.422862551267221,0.598214586414837,0.482941710851582,0,0.494046745396389,0.72100605496041,0.537538285969135,0
MAT2B,0,0.545941391713387,0.309999846240787,0.50984018940515,0.456767251096672,0.363348595848596,0.481843613497816,0.516489075084484,0,0,0.492525965256929,0,0,0,0.409637863749854,0.353267038343384,0,0,0.702872754110358,0,0.6085702907691,0.526207205693225,0.403406986005234,0.464569775770652,0,0.285790934633533,0.830785481402622,0.552835621200097,0
OTUD4,0.36827880512091,0.486509838444107,0.302673367198273,0,0.528055033230772,0.320627705627706,0.329320981135698,0.518427951701751,0.293269230769231,0.268681634249233,0.530710055366489,0,0,0,0.350125642857307,0.379015132552054,0.596226558251875,0.410149118780822,0.433192341803162,0,0.574306703024208,0.325434306160032,0,0,0,0.30538601313889,0.739794730188303,0.683819218080815,0
BTN3A3,0,0.345988372006859,0.262079523843525,0.522668019560591,0.386311970004773,0.348404928404928,0.358853357653722,0.450068574378519,0.242399267399267,0.615828688171346,0,0.357598119880777,0,0,0.508609521753212,0.466799863465696,0.639170955626652,0.435791527043956,0.370006636111611,0,0.443123079714197,0.409342224834036,0.576599385595631,0.42283206383592,0,0.540827499995857,0,0,0
IL7,0,0.523226345718643,0,0.62168176928461,0.544338552103104,0.310905760905761,0.381958239331829,0.612019786057455,0,0,0.476953115641695,0,0,0,0.458255792319477,0.366730686084879,0.460134801906954,0.379125268748555,0.617176985716855,0,0.410096021132625,0.442052933278519,0.586230742974172,0.349385269171304,0,0.513730035271657,0,0.547278808957793,0
CDC42SE2,0,0.339296273736534,0.292260140367417,0.572843707868863,0,0.273057775557776,0.395361589785437,0.554779509285791,0,0.314221572252788,0.575097184517558,0,0,0,0.361360572031027,0.336699283194903,0.555684821507606,0,0.592995491165289,0,0,0.471609515587436,0.60611195812948,0.415547121356382,0,0.489137386722513,0.71821145784816,0.68761797325393,0
RBM43,0,0.420096450394293,0.457652416978977,0.438235459913471,0.426673786796609,0.380732878232878,0.450339749435991,0.368850162901321,0,0,0.480339915695662,0,0,0,0.42412159104743,0.393013539651838,0.493392683266101,0.379118798077089,0.382258634697561,0,0.555133169792169,0.312176713859819,0,0.305574287436343,0,0.335928048987328,0.73659258766385,0.640120416341468,0
ERAP1,0,0.532173349872768,0.264525559099038,0.528172371839137,0.398978328524307,0,0.5093614937839,0.519786652202409,0,0,0.514142979450975,0,0,0,0.38337632447555,0.448344066446695,0.532442241303001,0.303911046385224,0.516466239557427,0,0.559341181171757,0.485048086984563,0.495694390715667,0.339127999406015,0,0.407185064691714,0,0.536966373933404,0
XRN1,0,0.400381770460511,0,0.330095548133429,0.520669577691491,0.255430125430125,0,0.538842062441343,-0.245879120879121,0.314876424769155,0.4580861427424,0,0,0,0.32062242598671,0.31487677779042,0.433326167503383,0.394613467969313,0.373982101104572,0,0.462701979463254,0.335256090662841,0.484019342359768,0.271230269651733,0,0.367493815535845,0.80767183445339,0.597224390211909,0
APOL3,0,0,0.268844760696955,0.576740324224787,0.357043450005227,0.356350038850039,0.394910766572265,0.443814210419261,0,0.569333743927835,0,0.623663265826423,0,0,0.499082600416666,0.549378541358516,0.545188988226963,0.412594169838734,0.422093910282252,0,0,0.49984644727202,0.699430879508477,0.494543526873455,0,0.45032521266951,0,0,0
APOBEC3D,0,0,0.371182448364813,0.557795111731188,0.418682532465651,0.31205266955267,0.507794748715979,0.52234822937743,0,0.502377541644381,0,0,0,0,0.438260776688771,0.511918534531801,0.459148446490219,0.471670968944228,0.470283244128282,0,0.426600801857394,0.556993916237424,0.596045056320401,0.417494715280265,0,0.436785780253507,0,0,0
