,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MEIS2,0,0,0,0,0.424884598694238,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482550747647902,0.254752797846721,0.802131971776246,0,0,0,0,0,0.422163862707727,0,0
GLI2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.288685163823285,0.739680406574699,0,0,0.421306121368428,0,0,0.695681465171894,0,0
GAS7,0,0,0,0,0.28039893022655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240082569364337,0.689709379479364,0,0,0.457572654388352,0,0,-0.366974613611591,0,0
NFASC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524274524153586,0,0.640308133292565,0,0,0.48844713030049,0,0,0.370962744866447,0,0
RCAN2,0,0,0,0,0.333544322785204,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500750438789623,0,0.667132214194612,0,0,0.510599626548168,0,0,0,0,0
LMO3,0,0,0,0,0.296389521673704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665662064106364,0,0,0.580179574233,0,0,0.422920734332736,0,0
ASXL3,0,0,0,0,0.265237279888791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523800073183287,0,0.689286583207623,0,0,0.482871946441538,0,0,0,0,0
SORBS1,0,0,0,0,0.335410300603688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718718842397565,0,0,0.430057145181495,0,0,0.448766652736209,0,0
GPM6A,0,0,0,0,0.258250822993193,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542076158742898,0,0.499898145186705,0,0,0.545412292324474,0,0,0,0,0
FREM1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402132858675631,0,0.474006983994914,0,0,0.409296347461929,0,0,0.540768141527846,0,0
ETV1,0,0,0,0,0.378882353238762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540649845438742,0,0,0.411541445850116,0,0,0.416728526367688,0,0
CNR1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420741880066237,0,0.538065405458932,0,0,0.447073949366501,0,0,0.332259589463843,0,0
MAN1C1,0,0,0,0,0.342766450240689,0,0,0,0,0,0,0,0,0,0,0,0,0,0.427815230806443,0,0,0,0,0.472311795486826,0,0,0.469938265059954,0,0
KCNIP1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.605050902857996,0,0.589747188924452,0,0,0.498849733832205,0,0,0,0,0
KCNAB1,0,0,0,0,0.292582927235183,0,0,0,0,0,0,0,0,0,0,0,0,0,0.402132858675631,0,0.621602526155769,0,0,0.373045010104886,0,0,0,0,0
SNAP25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584539100341729,0,0.705503832983908,0,0,0.367401454181687,0,0,0,0,0
MEIS1,0,0,0,0,0.311930237267356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852359395392956,0,0,0.469367963567278,0,0,0,0,0
HSPB8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.674210830470581,0,0,0.41767199957108,0,0,0.491263746889883,0,0
RGS22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482225517884712,0,0.708622410717707,0,0,0.368799456121797,0,0,0,0,0
MCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62781723375621,0,0,0.4106155271276,0,0,0.493871211224393,0,0
