,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
LATS1,0,0,0.633649887745243,0.621344720190533,0,0.609442779442779,0.635484471751548,0.658783884247876,0.752380952380952,0.743059893187248,0.715723780354794,0.558927553295539,0.677918088687445,0,0.518794287958729,0,0.691700704358932,0,0.71100354132685,0.648396171048105,0.789438340106711,0.7136274814313,0,0.494383456643461,0.664534562211981,0.765101685242312,0.914190897597977,0,0
EPC1,0,0,0.665416014506444,0.616843294484609,0,0.606795981795982,0.774297316757068,0.53015637099393,0.723992673992674,0.815653458240503,0.758179828239053,0.412812715835925,0.803619282820434,0,0.501059121051265,0,0.637678776919283,0,0.650028839176626,0.693473377451278,0.754465971890418,0.705973952286503,0,0.404361313231017,0.747102918586789,0.818292496748242,0.864744826668441,0,0
ASXL2,0,0,0.654259583042929,0.563089248721093,0,0.56996336996337,0.61510987375798,0.632657819203919,0.737957875457876,0.680455867948154,0.641809327948414,0.631137852232642,0.566619966556695,0,0.508273134249508,0,0.72738653751312,0,0.704141057684555,0.628648331410762,0.782618661834982,0.672810755608692,0,0.47619572243429,0.783797235023041,0.697470267335698,0.910739237474217,0,0
BPTF,0,0,0,0.541217463605744,0,0.567792485292485,0.789102289636634,0.546406654985827,0.715155677655678,0.799329209933893,0.807591677499972,0.448164612410827,0.824951271035095,0,0.551830894361231,0,0.657709379228366,0,0.681820155173376,0.672478902313157,0.790048980239775,0.783558782744377,0,0.502141075811707,0.738930875576037,0.843552255292176,0.884589793066738,0,0
BDP1,0,0,0.59358004736205,0.598016695086834,0,0.433980741480741,0.785943455095282,0.590260059260634,0.499267399267399,0.759159208018063,0.830098893048486,0.536948792709439,0.680786719480069,0,0.562718410698248,0,0.592104098433212,0,0.734679575040778,0.661653815797462,0.765407837620359,0.623731879817302,0,0.617369803722889,0.637892473118279,0.735301251036115,0.877919355911904,0,0
N4BP2,0,0,0.519043626122469,0.610099963828878,0,0.448681318681319,0.749209427350838,0.599460207233794,0.602106227106227,0.622671445022518,0.774132211292948,0.450083669013726,0.758811523507261,0,0.451115511035669,0,0.692029489497844,0,0.667230012590006,0.680274421710886,0.815056585138503,0.67725976684442,0,0.477056891536587,0.768964669738863,0.822977183456998,0.835567902056025,0,0
LCOR,0,0,0.618972644129779,0.621267210642766,0,0.553478188478188,0.748158786540585,0.655056304739066,0.74532967032967,0.71893840126636,0.778489280386948,0.681167750578267,0.671957045617892,0,0.5847900937383,0,0.695899037671189,0,0,0.662232610851396,0.720537859883749,0.721148245987627,0,0.500581974301413,0.608116743471582,0.785845353130003,0.923772373411405,0,0
CHD9,0,0,0.606966935239779,0.602720115371788,0,0.654075369075369,0.723923390774252,0.567020303487718,0,0.797139822804369,0.784074474295751,0.534492029425535,0.773254978226863,0,0.489746095768799,0,0.600475473893195,0,0.697362300684078,0.687288770161698,0.695037598306512,0.690299345715145,0,0.653192560337523,0.619336405529954,0.807468372356583,0.906289506953224,0,0
SIRT1,0,0,0.54776018112414,0.697440305904349,0,0.530596348096348,0.684485959775356,0.645019347133853,0.734661172161172,0.685248561360813,0.712598618800901,0,0.710339433504826,0,0.588125256970652,0,0.665574931397716,0,0.721701945559077,0.615018315018315,0.790015549965162,0.778267764513353,0,0.581064215896088,0.557075268817204,0.741300637055516,0.891742630913567,0,0
RC3H2,0,0,0.525131458861091,0.54344645029759,0,0.532729215229215,0.701160274564393,0.593256099432254,0.636950549450549,0.738525275873376,0.556699269555744,0.574796853488836,0.692641160922942,0,0.498063446197523,0,0.693142300737237,0,0.681110029211295,0.625576265355271,0.768976470560635,0.552303832459474,0,0.532331347559857,0.563680491551459,0.753014978069622,0.845257502162486,0,0
