,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TP53BP1,0,0.490180081244785,0.429120688976075,0.336918737111102,0.607603593482562,0.424163059163059,0.48371986751788,0.528579100813258,0,0,0,0.42816980406154,0,0,0.474041197994308,0.361227898509501,0,0.379548019284326,0,0,0.70997868282372,0.372112937944084,0,0.499729649461483,0,0.718285112038569,0.772298556124825,0.521527372418362,0.340060947022972
THRAP3,0,0.529001809556414,0.593915284571442,0,0.621089858474823,0.522803862803863,0,0.611761963047153,0,0,0,0,0.803297678941361,0,0.596799667402455,0.533068380930709,0,0.543718876070249,0,0,0,0,0.561333485038116,0.563471558599244,0.679004608294931,0,0,0.665066799588118,0.689076418190342
GTF3C2,0,0.423766693194971,0.358715061641647,0.345004392207707,0.483458922181934,0.26995670995671,0.631246579945279,0.441819724917419,0,0,0,0.379134199535533,0,0,0,0,0,0.386234811177179,0,0,0.641029914426317,0.405533278666932,0.340375469336671,0.37146873717036,0.616847926267281,0,0.822726062944973,0.453034347515265,0
PDPK1,0,0.396162436217212,0.301970434841585,0,0.545759219539719,0.346453546453546,0.50288407814525,0.492520753711521,0,0,0,0,0,0,0.435749757098132,0.298305836841506,0,0.304162539816198,0,0,0.658236633168619,0,0.223970645124588,0.427119128938427,0.43642396313364,0.613988334368605,0.854597777629916,0,0
ZNF689,0,0.501935528809887,0.296085669578192,0,0.552653486869532,0,0,0.530830814577973,0,0,0,0,0.54366669242219,0,0,0,0,0,0,0,0.637871437720767,0.42218056053908,0.347008988508363,0.443058018361126,0,0.634237723933034,0.794713553795995,0.604600493474265,0.384528832630098
DCAF7,0,0.550212596943168,0,0.327696275313914,0.484613844202657,0.354004051504052,0.690299044784716,0.513717552067164,0,0,0,0,0,0,0.387388052673528,0,0,0,0,0,0.737680650557054,0.482193648332459,0.325460006826715,0.440896961067776,0,0.666683670528508,0,0.50416275881971,0
IPO13,0,0,0.511829033235791,0.468249270705619,0.404837322243395,0.482523587523587,0,0.408313736405561,0,0,0,0.381447265344341,0,0,0.545475364123107,0.612924564796905,0,0.60911752119792,0,0,0,0,0.555844123335988,0.375916200068134,0,0,0,0.470099887847525,0.457008907641819
SRCAP,0,0.358228442788525,0.256275008251393,0,0.396362436444654,0.309966144966145,0.634410790572649,0.444557347331309,0,0,0,0.314903745868698,0,0,0.36878590411176,0.295719422004779,0.394099571314761,0,0,0,0.673748573837115,0,0.332678803049266,0.404343406329435,0,0,0.700512342803913,0,0
CCDC107,0,-0.443000454982653,0,-0.285055454558266,-0.463244638176911,-0.276481851481852,0,0,0,0,0,0,0,0,0,0,0,-0.269102284923508,0,0,-0.676172952991951,-0.533455453462693,0,-0.389432089167635,-0.650531490015361,-0.553729195514148,-0.730728924080112,-0.542042749112946,0
KRTCAP2,0,-0.393786004022224,-0.371822339444314,-0.251529051987768,-0.41306787339435,-0.408871128871129,0,0,0,0,0,0,0,0,-0.353696242888086,-0.283262714757083,0,-0.322807132578019,0,0,-0.631015494443536,0,0,-0.391771123592561,0,-0.607726339970303,-0.827874442744028,-0.5037535006657,0
EIF4G1,0,0.354475947423568,0.275774161838522,0.377012312274224,0.405788212238647,0.440550005550006,0.512416646666347,0,0,0,0,0,0,0,0.371648700733414,0,0,0.333271502472659,0,0,0,0,0.267513937876892,0.442994470698195,0.608374807987711,0,0.707058021159093,0.460041581677827,0
C16orf13,0,-0.420881925332456,-0.231634841669084,-0.241084053232618,-0.418919310371754,-0.305275557775558,0,0,0,0,0,0,0,0,-0.313704488918392,0,0,0,0,0,-0.529722251112583,0,-0.322210490385709,-0.341543465727937,0,-0.578641449141541,-0.782903054095416,-0.472135684818752,-0.383309892170652
DPH2,0,0,0.406077617229288,0.653571076255303,0,0.381437451437451,0,0.468800442016289,0,0,0,0.352332302728862,0.73045192196951,0,0,0.474403231311867,0,0.476180164199759,0,0,0,0,0.418149960177495,0.357581607428307,0,0,0,0,0.590154711673699
SF3A3,0,0,0.466445948476341,0.56165649647449,0,0.370665445665446,0,0,0,0,0,0,0.823453174271107,0,0.330137518059725,0.471313915121174,0,0.397273345319893,0,0,0,0,0.566211855728752,0.392887793607673,0,0,0,0,0.781364275668073
BRPF1,0,0,0.276618889677344,0.335733780539936,0.472033128755543,0.346692474192474,0.651203379254068,0.440655506825916,0,0,0,0,0.528904695329163,0,0.325113296781292,0.338858573216521,0,0,0,0,0,0,0.300203436113324,0.455675723482499,0,0,0,0.561340845144323,0
POLR2A,0,0.541773187442479,0.351080474412466,0,0.53592663915173,0,0,0,0,0,0,0.439107036077337,0,0,0.457695452739221,0.401635680964842,0,0.410137902950281,0,0,0,0.540883282807091,0,0.449385487548152,0,0,0.800078182181117,0,0
ZNF324,0,0.321077701255722,0.286579032340618,0,0.341397216348255,0.323363580863581,0.42649143186291,0,0,0,0,0.414747996347303,0.560452344748862,0,0.416098249498692,0.364879280919331,0,0.300757241112748,0,0,0,0.41782029194933,0.278319262714757,0,0,0,0,0.432802303388841,0
