,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KLF15,1,1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1
ALDH1L1,0.582674253200569,0.286172232423516,0,0,0,0,0.538920750732012,0,0.524267399267399,0.49761279608622,0.444031426881811,0,0.281576004793443,0.378425476853188,0,0.241524191689851,0,0.233328340131315,0,0,0,0.673423098047029,0,0,0,0.518051611390761,0.605005323042119,0.303433638812455,0.652344116268167
LDHD,0.320512091038407,0.240980746971846,0,0,0,0,0.468958671338741,0,0.375091575091575,0.409724274155777,0.560359056285692,0,0.310249920911104,0.37976224830809,0.483429498737829,0.266329275230402,0,0.234361249823135,0,0.484837998097667,0.432179063498754,0,0.215431334622824,0,0,0.662261684277327,0,0,0.486333802156587
KLF9,0.503271692745377,0,0,0,0,0,0.571401526424423,0,0.342032967032967,0.448468208224607,0.291824017531671,0,0.57662759116362,0.63609788273594,0.299249588272721,0,0,0,0.37533723230732,0.311134721631959,0.291471721897651,0.470300509677876,0,0,0,0.473360718758765,0.685424845299089,0,0
PLIN5,0.493968705547653,0.436632920884889,0,0,0,0,0.538677290836653,0,0.551602564102564,0,0.46663573237975,0,0,0.413090838487634,0.526662700609379,0.346042780748663,0,0,0.560695613344166,0.332986592478469,0.362980749904126,0,0,0,0,0,0,0,0
PER1,0.375874822190612,0,0,0,0,0,0.656928910862574,0,0.449954212454212,0.379998458192711,0,0,0.717376377130844,0.383175457237809,0.484765860975145,0.222037319376493,0,0,0.370564813723727,0,0.259842087894643,0.434591664326476,0.262962111730572,0,0,0,0,0,0
PDK4,0,0,0,0,0,0,0,0,0,0.572128009900813,0,0,0.44394295686047,0.566244260008165,0.369030413840468,0.398963249516441,0,0.310700074887238,0.55190741694007,0.325365794426568,0,0.61841294331316,0,0,0,0,0,0,0.653750586029067
TSC22D3,0.321593172119488,0,0,0,0,0,0.405427926846829,0,0.548168498168498,0.532442783780852,0,0,0.64863595344762,0.307214868856231,0.286215807111799,0.287209466378428,0,0,0.406213757217547,0.32917450873252,0.258908972685706,0,0,0,0,0,0,0,-0.478105954055321
SPHK1,0,-0.313069561956929,0,0,0,0,-0.47083722939567,0,0,0,0,0,0,-0.471194649722526,-0.542619343487359,-0.315562179997725,0,-0.341105328727366,0,0,-0.25133183477077,-0.395835866346958,-0.22017339856639,0,0,-0.46084170221057,0,-0.277045470942015,-0.674988279418659
IRF2BP2,0.356330014224751,0,0,0,0,0,0,0,0.500915750915751,0.355869278014451,0,0,0.35449538368684,0,0.291251283417669,0,0,0.232080985198555,0,0,-0.330759234771239,0,0.308949596086017,0,0,0,0.736875374276399,0.3468974427924,0.554125644631974
RUNX1,0,0,0,0,0,0,-0.578310564969039,0,0,-0.500788358066665,-0.568693030580812,0,0,0,0,0,0,-0.319325048573174,0,-0.276941290753446,0,-0.524858116333529,-0.270970986460348,0,0,-0.639631048118658,0,0,-0.608837318330989
SYBU,0.472631578947368,0.274393072407451,0,0,0,0,0,0,0.441300366300366,0,0,0,0.432779249406287,0.431930645339319,0.476707720719127,0,0,0,0.552133788971651,0,0,0.463607846193201,0,0,0,0.643469531811248,0,0,0
FKBP5,0.541166429587482,0,0,0,0,0,0.366737771804349,0,0,0.3743435371054,0,0,0.510472098749594,0.384213277018356,0,0,0,0,0.527223562537599,0.421472082245563,0.382064442621528,0.476036299300147,0,0,0,0,0,0,0
LIFR,0,0,0,0,0,0,0.655352181634906,0,0,0.318003052030386,0,0,0.602177022088034,0,0,0,0,0,0,0.325641025641026,0.284945096150162,0,0,0,0,0.521236933345537,0.738580411205004,0.456536652871694,0
HIF3A,0,0,0,0,0,0,0.590506600105602,0,0,0.312772439633673,0,0,0.470836534550549,0,0.345985974857647,0.258881784048242,0,0,0.452430863500766,0.273468520429846,0,0.471823461920276,0,0,0,0,0.639813028145585,0,0
ANXA2,0,-0.299854316629394,0,0,0,0,-0.456415494647914,0,0,-0.31554114734566,0,0,0,0,-0.335385232025836,0,0,-0.260466095407031,-0.434076123022346,0,0,-0.560190328852327,0,0,0,-0.656126113898742,0,-0.40196627555404,0
