,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PPIL2,0,0.253025190033064,0.625569841120395,0.337744331233529,0.484733492612655,0.543713786213786,0.642481831709307,0,0.430906593406593,0.519863651872381,0.636699496519262,0.61363920808785,0,0,0.539791804961859,0.448224826487655,0,0,0.616944411711807,0.600564628741424,0.343845916540831,0.393976470621118,0.511252474684264,0.560546728278055,0,0,0,0.395895612936231,0
HIRA,0,0.245062993608012,0.53419368984829,0.296297862145746,0.485704533919065,0.636178266178266,0.552841741467863,0,0.460805860805861,0.424308586702972,0.343765879565592,0.677756094395335,0,0,0.446609939797088,0.395112299465241,0,0,0.633609114420209,0.448651164673264,0.239186381405417,0.389335300112605,0.412751166230515,0.500692800552057,0,0,0.385671035997072,0.284981406300215,0
MKL1,0,0.313612725286809,0.53567771900525,0.39737500998229,0,0.431739094239094,0.53590630250084,0,0.551556776556777,0,0.459836283648918,0,0,0,0.467829111932396,0.493695300944362,0,0,0.501516382512916,0.480990832372048,0.287936421482646,0.53237447020815,0.550439868016839,0.437027432499716,0,0,0.476037993213121,0.525522886319366,0.627238631036099
LZTR1,0,0,0.541743920139571,0.348654387275281,0.250217571187655,0.459706404706405,0.517623001968031,0,0.384752747252747,0.399757071846142,0.492174171803818,0.560334397930756,0.360118786419161,0,0.524835940748023,0.295974968710889,0,0,0.576851754228195,0.364997065549552,0.312481378750544,0.42883765650936,0.400223233587439,0.409080873682096,0,0,0,0.26017931278735,0
THAP7,0,0.187485457598433,0.518857387909007,0.359089990933732,0.358168145059213,0.438840603840604,0.319483511736188,0,0.540842490842491,0.277995022996201,0.415778251599147,0.653237133281726,0.338181057444051,0,0.343881169879709,0.367058368415064,0,0,0.50555696822729,0.319804504887378,0.262827450517329,0.381392483917142,0.389743770622369,0.340095736410409,0,0,0,0.213075273330666,0
UBE2L3,0,0,0.57464809676636,0.305062312978856,0.290914403527487,0.471346153846154,0.545841309460951,0,0.533791208791209,0,0.571771538522644,0,0.360692745835259,0,0.337506689850492,0.355003072021846,0,0,0.542930060345202,0.444860664197681,0.26691141798322,0.327953339536002,0.421870292410968,0.258906718145369,0,0,0.309268747088961,0.408768880639597,0
TXN2,0,0.370893114645254,0.667390767243727,0.486390028044364,0.559714002516395,0.526286213786214,0.433842845485528,0,0,0,0,0,0,0,0.310689979120776,0.470352258504949,0,0,0.595119667078064,0.495816890292028,0.309404424995367,0.258661404530557,0.4400225281602,0.322691319957023,0,0,0.352019429103733,0.374632553075667,0
DGCR8,0,0.250276768763588,0.407574220941036,0.263929405243404,0.463714415618274,0.5148556998557,0.488419334709355,0,0,0,0.56725118178643,0,0,0,0.486535312074348,0.390149960177495,0,0,0.578709245281849,0.429482120089855,0.357090561245436,0.392111477533611,0.331809989759927,0.501337885762703,0,0,0,0.426364357812305,0
C22orf39,0,0.259657266161888,0.563433531682718,0.343631533702561,0.463534313274802,0.316736041736042,0.471797244755916,0,0,0.31711796737436,0.367399086345749,0,0,0,0.327449863446657,0.318247809762203,0,0,0.484231482457718,0.335591848299031,0,0.362875317630543,0.362179770167255,0.272505918012596,0.828301075268817,0,0,0.332195630644516,0
RPS19BP1,0,0.253303070317791,0.510355893601152,0.436691140893568,0.348554710180065,0.479255466755467,0.438068449095185,0,0,0,0.339234174653471,0.558039873731638,0,0,0.308152774364263,0.511038798498123,0,0,0.428227662042062,0.423425009612855,0.22726037531055,0.432791944962789,0.425939242234612,0.264092949921821,0,0,0,0,0
