,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TCF4,0,0,0,0.612217383747422,0.511426423154864,0.531105006105006,0,0,0,0,0,0,0,0,0.64546227154017,0.534278757537831,0.578244540269857,0,0.697697207251347,0,0,0,0,0.648614617272735,0,0.453369886111571,0,0,0
ECM2,0,0,0,0.596452411486445,0.490333038200589,0.461676101676102,0,0,0,0,0,0,0,0,0.563965881188255,0,0,0,0.657198320505585,0,0.474378040493251,0,0,0.608522265703479,0,0.445551946276145,0,0,0
OLFML1,0,0,0,0.650515321053942,0.547601805053697,0.500208402708403,0.44738443815101,0,0,0,0,0,0,0,0.639001311555238,0,0,0,0.724219946787068,0,0,0,0,0.661651824320193,0,0,0,0,0
PDGFRB,0,0,0,0,0,0.483752636252636,0.475157298516776,0,0,0,0,0,0,0,0.615695135760897,0,0.568355694937973,0,0.760510794534821,0,0.473865345199843,0,0,0.611139403045047,0,0,0,0,0
NAP1L3,0,0,0,0.479593849969701,0.510025907029407,0.515547405063508,0,0,0,0,0,0.579010407695263,0,0,0.575998539143378,0,0,0,0.551467076823845,0,0,0,0,0.606560603030214,0,0,0,0,0
IGFBP7,0,0,0,0.53661738938448,0,0.460356865356865,0,0,0,0,0,0,0,0,0.508700021361583,0,0.584289128592926,0,0.568817097600457,0,0.482582631427899,0,0,0.607809811235052,0,0,0,0,0
CD28,0,0,0,0.620735213292183,0.460724464825257,0,0,0,0,0,0,0.861297171013902,0,0,0.510041896265398,0,0,0,0,0,0.584317701780055,0,0,0.434940295769604,0,0,0,0,0
JAM3,0,0,0,0.549366535605068,0.555619507980549,0.515502275502275,0,0,0,0,0,0,0,0,0.681769152496434,0,0,0,0.562394954074387,0,0,0,0,0.601932962675029,0,0,0,0,0
LUM,0,0,0,0,0.511132969686131,0.453401320901321,0,0,0,0,0,0,0,0,0.59044413716433,0,0,0,0.755325944715609,0,0.461249033259018,0,0,0.594456831264577,0,0,0,0,0
CTSK,0,0,0,0,0.527301877976254,0.43733238983239,0,0,0,0,0,0,0,0,0.555200626606426,0,0,0,0.714321597132208,0,0.555713409880191,0,0,0.561745944741922,0,0,0,0,0
