,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TMEM87A,0,0.469483557638299,0.40819818846372,0.355109993094604,0.550625761184293,0.375566933066933,0.428702539240628,0.369763694951665,0,0,0,0.446542221562965,0.464082269946074,0.515951492165152,0,0.379252247127091,0,0,0.513647442616241,0.512709206079372,0.507843602618431,0.376464821401931,0.373855956309023,0.551988321206139,0.492184331797235,0.377167508971686,0,0.543186573184409,0
MRPL42,0,0.479565795382296,0.236754560066458,0,0.258880116071552,0.281419413919414,0,0.328089445255283,0,0,0,0.483609217034177,0.519672069009253,0.412673263640003,0,0,0,0,0.377138905599762,0.418440491368668,0.536605759703968,0.32390471834866,0.294712709068153,0.55352744123479,0,0,0.649752145851354,0.469685382794105,0
CTCF,0,0.371072440055665,0,0,0.303386805677128,0.381588966588967,0.462688619017904,0.281684871885456,0,0,0,0.484469084183544,0.561098322440691,0,0,0,0,0,0.51017123648745,0.517210045939328,0,0.414094498340268,0,0.449291148749574,0,0,0.730196619868255,0.529691547900912,0
GANC,0,0.431252417558477,0.280441533270018,0.288893351559821,0.338018093358506,0.461943611943612,0.395115057840925,0.315234871707032,0,0,0,0,0.542555657443759,0,0,0.291515303219934,0,0,0.447044449543845,0.50321980045737,0,0,0,0.388098461753479,0.314728110599078,0.369331797952134,0,0.556030982941018,0
POLR2B,0,0.446062325213301,0.293792803773967,0,0.320854214079973,0.28012876012876,0,0,0,0,0,0.462534359920457,0,0.414827098745813,0,0,0,0,0.528653117421964,0.524453079149212,0.523980748071797,0,0,0.441122325975489,0.318003072196621,0.33686016140655,0,0.474087531399414,0
SLC12A6,0,0.454064536399353,0,0,0.437550456993953,0,0.368448903182451,0.380008219409463,0,0,0,0,0.454539119481818,0.406334371064457,0,0.46107088405962,0,0,0.338664963191288,0.44796511039605,0,0.322895008715296,0.269633405393105,0,0.253185867895545,0.252620697186573,0,0.457961186061612,0
FBXO5,0,0.369675628491103,0,0,0,0,0.337686170978736,0,0,0,0,0,0.468800633294311,0.448381764479807,0,0,0,0,0,0,0.416097439671062,0.387365492876306,0.270220958015702,0.37065823149693,0.317437788018433,0.319913725965394,0.774469359238805,0.493422355726663,0
PFAS,0,0,0,0,0,0.283586968586969,0.47250688811021,0,0,0,0,0.376244026125128,0.549450313950115,0.380526649653373,0,0,0,0,0,0.39295529516524,0.462599538153914,0.334254766161381,0,0,0.323428571428571,0,0.612964934460044,0.420225485502161,0
EPT1,0,0,0.333239203207122,0,0,0.33998112998113,0,0.270949383425341,0,0,0,0.529689752515865,0,0,0,0,0,0,0.449587258665707,0.53979924311416,0.526862691891731,0.38496944143492,0.23412288087382,0.532097138389777,0,0.323591532371455,0,0,0
SENP8,0,0.400048314118838,0.296731015950307,0,0.391527381223764,0.368472915972916,0,0,0,0,0,0.504359595978325,0.454327875592073,0,0,0.228773694390716,0,0,0.408533295294563,0.615445328152511,0,0,0,0,0.298125960061444,0,0,0.467581376130543,0
INTS6,0,0.379683023811747,0,0,0.388163371717383,0,0.37246099937599,0.292894076672459,0,0,0,0,0.442257087750041,0,0,0,0,0,0.336131457029627,0,0,0.266804765130708,0.340245079076118,0.361683816528507,0,0,0.578440015969126,0.481026555869641,0
FAM195B,0,-0.399034606840153,0,-0.228112947852516,-0.250898937396173,-0.396521811521812,0,-0.358128651005777,0,0,0,0,0,0,0,-0.2516343156218,0,0,0,-0.423617266711189,-0.475325720353993,0,0,-0.508971903634664,-0.253701996927803,-0.272736204358673,0,-0.419590610673505,0
DDX52,0,0,0,0,0,0,0.341315797052753,0.240617859313685,0,0,0,0.39999582813782,0.568055812705832,0.484891902638568,0,0,0,0,0.424472367107214,0.439544249489001,0.4264388311994,0.273097806624184,0.302205711685061,0,0.337019969278034,0,0,0,0
PAXIP1,0,0,0,0,0,0,0.470079969279508,0.362586877730634,0,0,0,0,0.519039795199851,0.456307707447594,0,0.236444646717488,0,0,0.402259999131724,0,0.474095349399154,0,0,0,0,0,0.763773371481802,0.522778757927737,0
NUP107,0,0,0,0,0,0,0.387708347333557,0.307008920021934,0,0,0,0.61930830525052,0.502171628006654,0.497589369661459,0,0,0,0,0,0.445852306073301,0,0,0.264019797474115,0.429847310907487,0,0,0.75187969924812,0,0
CUL2,0,0.30584171049765,0.31710072049882,0,0.39647830648381,0,0,0,0,0,0,0.402610195104088,0,0.533710657866565,0,0,0,0,0.422791632297397,0.706621739218424,0,0,0.350250540448288,0.428630842672583,0.294648233486943,0,0,0,0
SBNO1,0,0.476632120589669,0.315298536149107,0,0,0.383357475857476,0,0,0,0,0,0,0,0,0,0.285976561611105,0,0,0,0.572151053366523,0.467696970787023,0,0.249684605757197,0.407862658432404,0.305554531490015,0,0,0.529467320258973,0
ZNF358,0,0,-0.276997032025938,-0.382291182231993,-0.258036279916825,-0.405440392940393,0,-0.302220311100485,0,0,0,0,0,0,0,0,0,0,0,0,-0.459617499008822,0,0,-0.524495549479826,-0.338494623655914,-0.401297554261502,-0.610070530308071,0,0
PARP16,0,0.378379580022853,0,0,0.376284173789945,0.322436174936175,0,0.362348384011762,0,0,0,0,0.621566703647711,0.487281122292247,0,0.259425873250654,0,0,0,0.416155667536883,0,0,0.290369552850154,0,0,0,0,0.423583501124804,0
HSPA4,0,0,0,0.31680970701391,0,0,0.397556568905102,0.245231315117409,0,0,0,0.517874111741011,0,0,0,0,0,0,0.483518255508903,0.553846153846154,0,0.343563660096101,0,0.403443693713367,0.309560675883256,0.283252325585036,0,0,0
