,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
OLFM1,0,0,0,0,0,0,0,0,0,0,0,0,0.758914885769393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRMT8,0,0,0,0,0,0,0,0,0,0,0,0,0.754472203715502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHRM1,0,0,0,0,0,0,0,0,0,0,0,0,0.75321407067996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTPN5,0,0,0,0,0,0,0,0,0,0,0,0,0.752902963391682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1A2,0,0,0,0,0,0,0,0,0,0,0,0,0.752298243133116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYN1,0,0,0,0,0,0,0,0,0,0,0,0,0.751841933005509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCB,0,0,0,0,0,0,0,0,0,0,0,0,0.751718452277687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB15,0,0,0,0,0,0,0,0,0,0,0,0,0.748647033182348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NR2E1,0,0,0,0,0,0,0,0,0,0,0,0,0.743841198244154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT13,0,0,0,0,0,0,0,0,0,0,0,0,0.74127434443688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UBE2QL1,0,0,0,0,0,0,0,0,0,0,0,0,0.737161284491141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUCY1B3,0,0,0,0,0,0,0,0,0,0,0,0,0.737144956461016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CDK5R2,0,0,0,0,0,0,0,0,0,0,0,0,0.736912573603698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIF5C,0,0,0,0,0,0,0,0,0,0,0,0,0.735988873613758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX2,0,0,0,0,0,0,0,0,0,0,0,0,0.734077910945174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXO41,0,0,0,0,0,0,0,0,0,0,0,0,0.732108050739354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP1GAP,0,0,0,0,0,0,0,0,0,0,0,0,0.731901763573039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEPT5,0,0,0,0,0,0,0,0,0,0,0,0,0.728994062136902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP1R14C,0,0,0,0,0,0,0,0,0,0,0,0,0.728342690363692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TAGLN3,0,0,0,0,0,0,0,0,0,0,0,0,0.727114589240703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AKAP5,0,0,0,0,0,0,0,0,0,0,0,0,0.726005449480054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC64,0,0,0,0,0,0,0,0,0,0,0,0,0.724851990780494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RIMS1,0,0,0,0,0,0,0,0,0,0,0,0,0.724567270755186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ELOVL4,0,0,0,0,0,0,0,0,0,0,0,0,0.72442527520749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RGS7,0,0,0,0,0,0,0,0,0,0,0,0,0.723797666549552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GABRA4,0,0,0,0,0,0,0,0,0,0,0,0,0.722828732497122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP1,0,0,0,0,0,0,0,0,0,0,0,0,0.722749027971957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GOT1,0,0,0,0,0,0,0,0,0,0,0,0,0.721104270508808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ZDHHC23,0,0,0,0,0,0,0,0,0,0,0,0,0.720865910426176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
