,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CENPL,0,0.71191891527393,0.723336014641247,0.547257336396135,0.661536058882131,0.795613830613831,0.772765900254404,0.784137312907328,0,0,0,0.731394653526846,0,0,0.731128649557494,0.664650585959722,0,0.622388436996366,0,0,0,0.518536207523629,0.623693708044146,0.726376756841747,0.58137019969278,0,0.740218910107126,0.761992772396062,0
ASPM,0,0.797725383141336,0.687103477633195,0.644239396458988,0.590967426664971,0.607471417471418,0.709315029040465,0.764195728999766,0,0,0,0.699224960714965,0,0,0.548748739551774,0.53525156445557,0,0.523735717071184,0,0,0,0.63514683938175,0.706331550802139,0.757349254461439,0.585480798771121,0,0.754516268547475,0.792844540929095,0
CENPF,0,0.804086989126359,0.691326190059446,0.666262677508608,0.586506430157445,0.49757548007548,0.663159026544425,0.720028000708939,0,0,0,0.671319838131748,0,0,0.507753106043031,0.4543656843782,0,0.501021934713513,0,0,0,0.678723671122549,0.757243599954489,0.738583913487828,0.748866359447004,0,0.760255173331559,0.809385391320317,0
NUF2,0,0.711517285635738,0.598237287535836,0.619067583628105,0.63772350637852,0.724621767121767,0.840889358229732,0.696794787157738,0,0,0,0.648896078913091,0,0,0.642396195341337,0.701309363977699,0,0.623822769171305,0,0,0,0.483382240779761,0.710367277278416,0.722129873079376,0,0,0.656064941113847,0.707745079392147,0
KIF20B,0,0.754246381257679,0.624439163271853,0.523763722713116,0.537883835247918,0.554397824397824,0.475573561176979,0.670341611028045,0,0,0,0.736424065155217,0,0,0.602539386853669,0.40316577540107,0,0.407896462354496,0,0,0,0.602648863168273,0.61069973830925,0.70807022562696,0.613136712749616,0,0.913766717679154,0.75788707360744,0
TTK,0,0.765337139181713,0.592056672696977,0.567641173071774,0.398932988074202,0.653444610944611,0.786388134210147,0.700390630111111,0,0,0,0.694485261737998,0,0,0.593809964604087,0.524642621458642,0,0.526108296608678,0,0,0,0.494343704460436,0.520639435658209,0.738544605655087,0.569333333333333,0,0.679694257768315,0.671929744016895,0
RAD51AP1,0,0.72891703754422,0.558548812125831,0.548654857030116,0.504166913310319,0.652065157065157,0.834215331445303,0.691418865150536,0,0,0,0.667993936893632,0,0,0.577452160391032,0.566575492092388,0,0.49412851271185,0,0,0,0.613119796632601,0.614648310387985,0.642272407648431,0,0,0.798165213919755,0.739095788114481,0
ATAD5,0,0.777398625567061,0.578111765254757,0.53001733395341,0.579350195782582,0.410653790653791,0.732098881582105,0.69744157498635,0,0,0,0.730571869596859,0,0,0.462592308452066,0.530129480031858,0,0.536542901414575,0,0,0,0.744950141656322,0.699964501080897,0.6358621736358,0,0,0.857974582473884,0.709410969954942,0
SGOL1,0,0.718914088308131,0.595385664965416,0.587164184012364,0.459573321175376,0.595562215562216,0.79492996687947,0.671553111540122,0,0,0,0.736173753424404,0,0,0.594090076970606,0.638240527932643,0,0.549773267671835,0,0,0,0.550421370347169,0.586294914097167,0.690553672661839,0,0,0.6941829130348,0.682670147109942,0
TMPO,0,0.742719166033099,0.604215845918946,0.478346650882904,0.58946363506983,0.609158619158619,0.870285796572745,0.693070478759785,0,0,0,0.64693530368839,0,0,0.611179457967066,0.552827852998066,0,0.452736490100735,0,0,0,0.648095579323522,0.565729662077597,0.621745093072213,0,0,0.778927407013108,0.671604436253452,0
SGOL2,0,0.746395336946518,0.64457026722298,0.539037801171569,0.400337282570501,0.60226800976801,0.807444727115634,0.620049768464826,0,0,0,0.708565296596224,0,0,0.589125920787576,0.457988394584139,0,0.588223723034555,0,0,0,0.526139425877006,0.638915462509956,0.690597675596824,0,0,0.747662851819815,0.697673655973923,0
ARHGAP11A,0,0.761269712827398,0.559209555482116,0.54164494050555,0.431924462810125,0.481458541458541,0.694023136370182,0.620759599520871,0,0,0,0.639831549475968,0,0,0.506306720170158,0.411154397542383,0,0.35111933988798,0,0,0,0.649484017414521,0.625360791898965,0.702446694211267,0.595692780337942,0,0.748927074322976,0.682578326370261,0
KIAA1524,0,0.746963694755547,0.54471435856185,0.546095867566717,0.448427127191298,0.618584193584194,0.758506216099458,0.661246435976034,0,0,0,0.750793812664847,0,0,0.531463429200135,0.472168619865741,0,0.53443432527289,0,0,0,0.511109076940223,0.61964341790875,0.608937400092592,0,0,0.844109721205669,0.714647844277324,0
KIF11,0,0.739114132472571,0.590017509593627,0.521807193825543,0.532431646122825,0.592596015096015,0.724356549704795,0.703177616561575,0,0,0,0.715140614932485,0,0,0.562896423887303,0.545616566162248,0,0.446345623582923,0,0,0,0.566330061850829,0.581900557515076,0.731594762449664,0,0,0.67953622995542,0.617388224645998,0
KIF15,0,0.704429485839962,0.568657827407601,0.59659803548528,0.417759350523241,0.490948495948496,0.763846205539289,0.674196763860291,0,0,0,0.721593095104552,0,0,0.561552941122425,0.497921037660712,0,0.533783375723421,0,0,0,0.571382103822607,0.633208101035385,0.698197517491986,0,0,0.731344400825072,0.681901476346322,0
TOP2A,0,0.722221975217525,0.543565966809494,0.535117697073897,0.477865673878737,0.469766622266622,0.792516104257668,0.712849399245622,0,0,0,0.646147285276571,0,0,0.542794140954288,0.532317897371715,0,0.492422412335343,0,0,0,0.632960416237948,0.639401069518717,0.632083271459893,0,0,0.744094750149711,0.669151510779099,0
BUB1B,0,0.76884806395248,0.56482416791517,0.51153365558515,0.4751943656934,0.540547508047508,0.744173570777132,0.662467452446969,0,0,0,0.712271300832982,0,0,0.542842721327818,0.467537831380134,0,0.440629432409954,0,0,0,0.583986354595349,0.566485834565935,0.723236825324726,0,0,0.739611750615477,0.697762853263899,0
RACGAP1,0,0.695875219154918,0.59528578466591,0.504347580997477,0.473460093476895,0.664287101787102,0.785842845485528,0.670603002522918,0,0,0,0.580732486290797,0,0,0.621543156139388,0.596169302537263,0,0.451998833553624,0,0,0,0.573206568772581,0.525435430651951,0.703320310793931,0,0,0.676550336017034,0.621042690085328,0
KIF18A,0,0.74847462249037,0.585090938042831,0.580876515546536,0.365543524942915,0.616504329004329,0.761222675562809,0.668334933203916,0,0,0,0.696119241091915,0,0,0.547098270171191,0.520322220958016,0,0.442604281341344,0,0,0,0.421470619371262,0.592491751052452,0.680914300189551,0,0,0.786379665979107,0.710775629972823,0
SMC4,0,0.727724745869217,0.618047434927732,0.56685433372323,0.465632568549093,0.612606282606283,0.69330427686843,0.701256582367166,0,0,0,0.61947749743894,0,0,0.475365960662531,0.496941176470588,0,0.360557461288129,0,0,0,0.676078860768029,0.536915462509956,0.619146299385924,0,0,0.812770310732584,0.686741741052397,0
STIL,0,0.755208958563974,0.580870079152294,0.52323759729797,0.550974630758709,0.498533411033411,0.798176354821677,0.718020430763668,0,0,0,0.749943216320325,0,0,0.515315565702945,0.325239276368188,0,0.4831538225276,0,0,0,0.537743749670272,0.542869268403687,0.62951090137228,0,0,0.775791802515138,0.610871575578307,0
CKAP2,0,0.60365897938647,0.466534054611481,0.410790033681422,0.480368214833128,0.464308746808747,0.775497719963519,0.585502674579186,0,0,0,0.722710227088365,0,0,0.560513688640002,0.552118784844692,0,0.472508273831914,0,0,0,0.615935104669156,0.581409489134145,0.632326106515492,0,0,0.802157495508683,0.715038269572574,0
BUB1,0,0.730087098796445,0.56530954151741,0.569898345053717,0,0.585653235653236,0.776935438967023,0.675596799307238,0,0,0,0.682563006707427,0,0,0.584876229152359,0.532874274661509,0,0.502751329507297,0,0,0,0.582011656032107,0.550286494481739,0.721934534988339,0,0,0.689092754008916,0.6728925500587,0
