,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EPS8L1,0,0.276533121106897,0.401508377876113,0.478259746238438,0.586726835123232,0.405064657564658,0,0.484206779406989,0,0,0.759358777624928,0,0,0,0.570323363829098,0.509126408010013,0,0.308154081354458,0.637007795880649,0,0,0,0,0.34214585826469,0.356006144393241,0.554608823089059,0,0.353146499990162,0
CNOT3,0,0,0.330041685596953,0,0.322225762695641,0.179360084360084,0.43172543560697,0.262097460071631,0.522298534798535,0,0.551659418544685,0,0.51702299190742,0,0.424195897197958,0.35847946296507,0,0.19602942343729,0.565942482898058,0.343215348187724,0.429085101358247,0,0,0.304000773054044,0.478347158218126,0,0,0,0
EPN1,0,0,0.409291985164132,0.345401335043241,0.399586646229879,0.297554945054945,0.471049968799501,0.343022661066525,0.504395604395604,0,0,0,0.723523588901022,0,0.437018014934732,0.413254067584481,0,0.253421691071164,0.661893214420829,0,0,0,0,0.371944907888645,0,0,0,0,0
PRPF31,0,0,0.344398709854891,0,0.295837620734692,0.26234015984016,0.395903038448615,0.27406348096154,0.451190476190476,0,0,0,0.376841021843114,0,0.434782628669082,0.408236887017863,0,0.204967146244077,0.637807850458016,0.307710521522676,0.358808114915689,0,0,0.270299875088443,0.329996927803379,0,0,0,0
SULT2B1,0,0.293592224088836,0.382833036662305,0.52151712021496,0.458339053366969,0.375893828393828,0,0.350319914641849,0,0,0,0,0,0,0.376745505454094,0,0,0.544030605416581,0,0,0.428716879590798,0,0,0.441373350162909,0,0.503523022154682,0,0.504889454388048,0
SLC8A2,0.456997354305979,0.333475608039114,0,0.366232781669178,0.208684514127777,0.315667796951473,0.487892478279652,0.272079361948842,0,0,0.485008396437347,0,0.559394230082355,0,0.268763179375701,0.391832940604283,0,0.341201696997253,0,0.452425475077409,0,0,0,0,0,0,0,0,0
RNF208,0,0,0.385811794932391,0,0.295904371952901,0.247552725052725,0.483731387702203,0.32979339663825,0.570741758241758,0,0,0,0.556724014012949,0,0.336309522442295,0,0,0,0.625552750885332,0,0,0,0,0.347458093482761,0,0.545335027335396,0,0,0
TBL3,0.311237553342816,0,0.403413201765998,0,0,0.245834165834166,0.406170594729516,0,0.531822344322344,0,0,0,0,0,0.326830607243184,0.338561383547616,0,0,0.524395462636211,0.41521057211665,0.302421212076188,0,0,0.280865274587049,0,0.373856636082428,0,0.249955729286225,0
NDOR1,0,0,0.327874523214798,0,0.222653096437878,0.208850316350316,0.432408198531176,0.254084427965976,0.556730769230769,0,0.535872844949873,0,0,0,0.371529833862013,0.315518944134714,0,0,0.600769664907374,0,0,0,0,0.284449166237192,0.316460829493088,0,0,0.248187524184927,0
NOXO1,0,0,0.302060143348135,0,0.220656857176323,0,0.362543656698507,0.336959211031851,0.597802197802198,0,0,0,0.377394571221555,0,0.244145892718916,0.255286380703152,0,0,0.4223264842873,0.327776091312003,0.286077229017322,0,0,0,0.329794162826421,0.468948164116109,0,0,0
