,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DAB2,0,0,0,0.64575318141462,0,0,0.419679930878894,0,0,0,0.522254403407479,0,0.485563251435627,0,0.688928383571335,0,0,0.704976205184129,0.627270697535956,0,0,0.475103320547172,0,0.678458324962221,0,0,0,0,0
ADAP2,0,0,0,0.587163009625277,0,0,0.442595881534105,0,0,0,0,0,0.771561965603255,0,0.471707847051068,0,0,0.594248780925496,0.485800581745111,0,0,0.487330939145255,0,0.632179903215381,0,0,0,0,0.626465072667604
FLI1,0,0,0,0.708222353753576,0,0,0.452586953391254,0,0,0,0,0,0.546822375815855,0,0.645030445997689,0,0,0.693791002488189,0.538232065443224,0,0,0,0,0.678224770922686,0,0,0,0,0.713595874355368
MS4A7,0,0,0,0.572534844064883,0,0,0,0,0,0,0,0,0.59649355553061,0,0.546267350543572,0,0,0.625418868132892,0.469566916192733,0,0,0.493892304859638,0,0.629564294511753,0,0,0,0,0.655625879043601
CYTH4,0,0,0,0.614586122502666,0,0,0.498823597177555,0,0,0,0,0,0.776424948646887,0,0.667292660573639,0,0,0.619194944938899,0.432314762557446,0,0,0.396226481015188,0,0.579355635432954,0,0,0,0,0
WIPF1,0,0,0,0.654523504183167,0,0,0.408677386838189,0,0,0,0,0,0,0,0.72443179338526,0,0,0.666366139925251,0.668054875061245,0,0,0,0,0.718718389951171,0,0,0,0,0.723370839193624
GIMAP8,0,0,0,0.619533815301794,0,0,0.460451399222388,0,0,0,0,0,0.591052385277365,0,0.552715677334442,0,0,0.622271533531882,0,0,0,0.405504629466262,0,0.640073898725553,0,0,0,0,0.643178621659634
SLC9A9,0,0,0,0.635086223499955,0.480281312303761,0,0,0,0,0,0,0,0.522692900368401,0,0.501699738837425,0,0,0.673401916699164,0.48917445531168,0,0,0.429909555871007,0,0.699864497165469,0,0,0,0,0
SAMSN1,0,0,0,0,0,0,0.40854068065089,0,0,0,0,0,0.72781100888274,0,0.522205250355452,0,0,0.571075149515649,0.545038731324307,0,0,0.408989350533102,0,0.514429359457028,0,0,0,0,0.649920882555514
ATP8B4,0,0,0,0,0,0,0.537022992367878,0,0,0,0,0,0.780861799261448,0,0.575291769359221,0,0,0.626869592675545,0.483645395964996,0,0,0,0,0.589151474917235,0,0,0,0,0.633872480075012
