,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MAFG,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1
NPLOC4,0,0.694253880320296,0,0.733596161163489,0.547805837079168,0.636833999333999,0.607763068209091,0.560859909622181,0.483974358974359,0,0,0.454967065465789,0,0,0.572747673769584,0.533617703948117,0.675539650223194,0,0.589572001810976,0.51125007589096,0,0.623601211511808,0.53191603140289,0.46111243350425,0,0,0,0,0
TBC1D16,0,0.508675792996231,0,0.533394871216712,0,0.682930680430681,0.605661786588585,0.368129923765275,0.387820512820513,0.429060553130638,0.336835296357614,0,0,0,0.455541607998879,0,0.648579268832433,0,0.574764790156228,0.561918928217271,0,0,0.325172147001934,0.31984084695277,0,0.50645268933263,0,0,0
GPR107,0,0.617550029566462,0,0.362135176651306,0.413685007298553,0,0.410097441559065,0.402985096818934,0,0.380023289186113,0.367800055227789,0,0,0,0.37196384150165,0.525889634770736,0.500904159132007,0,0.440823870155484,0.516700058689009,0,0.343534312134439,0.373010581408579,0,0.577597542242703,0.5633088766236,0,0,0
CSNK1D,0,0.470266068520091,0,0.482238569690479,0.458764749815175,0.576412198912199,0.387868093889502,0.466660243394438,0,0,0,0.345733807380488,0,0,0.385874021788814,0,0.439168426510199,0,0.490151266132884,0.602978973144719,0,0.460376932641886,0.507856866537718,0.419618866886208,0,0,0,0,0.55407876230661
CBX6,0,0.531288579046196,0,0.454338655655613,0.37499700878975,0,0.530576297220755,0.508552765397119,0,0.530619004457943,0.357816182246661,0,0.612628419228005,0,0,0,0.584516749073711,0,0.393471802727628,0.545218869528262,0,0.366745754764939,0.381483217658437,0.273483700352024,0,0.543214087153202,0,0,0
MDC1,0,0.315294827277025,0,0.442505531363182,0.383320759754809,0.482350704850705,0.412163394614314,0,0.353800366300366,0.449612927409967,0,0,0,0,0.265811246299048,0,0.450448285891324,0,0.410883843238919,0.518735960172424,0,0.274092842276717,0.344538855387416,0.236493173539714,0.554033794162826,0.435912966500489,0,0,0.491022034692921
GCN1L1,0,0.387142812682012,0,0.435839710255218,0.339739771005538,0.379085914085914,0.515671482743724,0.358928288923543,0,0.47143137066668,0.313065911466575,0,0,0,0.442150996529317,0,0.563828576486804,0,0,0.456871673446259,0,0.288309833418873,0.309179428831494,0,0.49410752688172,0.541867252385252,0,0,0.454477262072199
MARCH6,0,0.420364697495817,0,0,0,0.317074314574315,0.454889454231268,0.377160568721281,0,0.366118348462577,0.337592471872285,0,0.486008773400473,0,0.282826206297762,0,0,0,0,0.583983971829276,0,0.287112855839668,0.333677551484811,0,0.456319508448541,0.446405883900946,0,0,0.48398968588842
ANKRD40,0,0.419349508188947,0,0,0,0.448136585636586,0,0.519167520129227,0.594734432234432,0.439511284491704,0,0,0,0,0,0.430603936739106,0.344149521364711,0,0,0,0,0.427756673254818,0.405773808169303,0,0.472135176651306,0.498685116532008,0,0,0.617393342709798
NACC2,0,0.464511353076913,0,0.431440456225896,0.311865469846711,0.375729825729826,0,0,0,0.533790514518962,0.380918546576066,0,0,0,0.251360480153252,0,0.44705926984408,0,0.393645457984731,0.411628518810839,0,0.330917483663841,0.38089566503584,0,0,0.584969279791917,0,0,0
PGS1,0,0,0,0.45230579160736,0.327227066233581,0.650622155622156,0.545971871549945,0.388137822011127,0.383791208791209,0,0,0,0,0,0.358625026127742,0,0.408439661604218,0,0.434336605908,0,0,0.336309123477706,0,0.397547955555944,0,0,0,0,0.589404594467886
