,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MICALL2,0,0,0,0,0,0.433937173937174,0,0.400894262233657,0,0.552758276616851,0.665223136661039,0,0,0,0.544973252082754,0.657175560359541,0,0,0.702367293272719,0,0,0.475258445487384,0.30019774718398,0,0,0,0,0,0
GIGYF1,0,0,0,0,0,0.451901154401154,0,0.405357544311657,0,0.677923522202648,0.643787693281502,0.582238992078097,0,0,0.457143152464277,0.469092046876778,0,0,0.460493429009111,0,0.483943106755574,0,0,0,0,0,0,0,0
INTS1,0,0,0,0,0,0.533807581307581,0,0,0,0.428830632677089,0,0.584002762699844,0,0,0.637550216946396,0.565714415746956,0,0,0.622913811174716,0,0,0,0.448842871771533,0,0,0,0.793033468627321,0,0
MAP3K10,0,0,0,0,0,0.395989288489288,0,0.437273772946843,0,0.549708428033963,0.539265319091793,0.442806087210461,0,0,0.466130980956034,0.379504152918421,0,0,0.471052288838308,0,0,0.386439634561976,0.422904312208442,0,0,0,0,0,0
MAFF,0,0,0,0,0,0.461275391275391,0,0.473118010974279,0,0.542987020974813,0,0,0,0,0.384823169737298,0.394616452383661,0,0,0.625937273240345,0,0.617552184463172,0.534931236677685,0.332581181021732,0,0,0,0,0,0
HDAC7,0,0,0,0,0,0,0,0,0,0.683139900933687,0.608269794055825,0,0,0,0.422634204717464,0.490358174991467,0,0,0.566314601306136,0,0.47473521658517,0,0,0,0,0,0.933753077383725,0,0
KDM6B,0,0,0,0,0,0.347859917859918,0,0.411171200426315,0,0.653342397165402,0.496248166954364,0,0,0,0.420585674876712,0.47140311753328,0,0,0,0,0.482616159451853,0,0,0,0,0,0.671659791070597,0,0
TMEM184A,0,0,0,0,0,0.472025474525474,0,0,0,0,0.515660482751403,0.550553698819363,0,0,0.66960212329538,0.62408214813972,0,0,0.631736118432885,0,0,0.424161590159839,0,0,0,0,0,0,0
TMEM86B,0,0,0,0,0,0,0,0,0,0.503530572459332,0.548167332636471,0.414692371518233,0,0,0.397769667011974,0.432882921834111,0,0,0.515622771165785,0,0,0,0.352805552395039,0,0,0,0.694540554927141,0,0
MIDN,0,0,0,0,0,0.465119602619603,0,0,0,0.557290816023326,0.639223204750094,0,0,0,0.401097365175108,0.43943110706565,0,0,0.694903218204033,0,0.660707541009758,0,0,0,0,0,0,0,0
MZF1,0,0,0,0,0,0.317277167277167,0,0,0,0.615786610546544,0.565500410425695,0.503620249291942,0,0,0.416508024375174,0.381221982022983,0,0,0.550682527180149,0,0.463272151369156,0,0,0,0,0,0,0,0
ZNF276,0,0,0,0,0,0.354373681873682,0,0.35522539143302,0,0.622745002944395,0.559835148831327,0.511600094562209,0,0,0.357638258824286,0.505047673227899,0,0,0.534424053733898,0,0,0,0,0,0,0,0,0,0
PPP1R15A,0,0,0,0,0,0.381392773892774,0,0.409232323809048,0,0.513339957702117,0.543809002634038,0,0,0,0,0,0,0,0.549944492337462,0,0.524470179022053,0.48620244014326,0.351845716236204,0,0,0,0,0,0
TNRC18,0,0,0,0,0,0.602779997779998,0,0.379414661475711,0,0.492698129509319,0.589092637681744,0,0,0,0.560472458488473,0.529150073956082,0,0,0.597975675860059,0,0,0,0,0,0,0,0,0,0
