,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
EEF1D,-0.35448079658606,-0.381808993243433,0,0,0,0,0,0,0,-0.305559815265721,0,0,-0.451557504552167,0,-0.230806962497789,-0.147956991694163,-0.481784038746064,0,0,0,-0.468707014727307,-0.283013923860906,0,0,-0.464774193548387,0,0,-0.443172800073457,0
ZNF358,0,-0.305030300066247,0,-0.230688378735138,0,-0.396584804084804,0,0,0,-0.291198566077663,0,-0.429138603167834,0,0,0,0,0,0,-0.364213992892538,0,-0.469673462461516,0,-0.222872681761293,-0.276855984835912,-0.35426113671275,0,0,-0.505044237920654,0
C9orf142,-0.341593172119488,0,0,0,-0.296686494717208,0,0,0,-0.309203296703297,0,0,0,0,0,-0.266155213719189,0,0,0,0,-0.435654584825856,-0.398154179644521,0,0,0,-0.492129032258064,0,-0.67394703573092,0,0
SEC22B,0,0.311064377822337,0,0,0,0.275641858141858,0,0,0,0,0,0,0,0,0,0,0,0,0.409159694614826,0,0.526739918719468,0.31542455495039,0,0,0,0,0.725414199214852,0.438694571426698,0
SHARPIN,-0.462133712660028,0,0,0,0,-0.253275613275613,0,0,0,-0.309645396790963,0,0,0,0,-0.235985193896559,0,0,0,0,-0.327349078177808,-0.372066737776054,0,-0.215976106496757,0,-0.427944700460829,0,0,0,0
PEX11G,0,-0.350164727432786,0,0,0,0,-0.276181442903086,0,0,-0.270028326033645,0,0,0,0,-0.291877889843142,0,-0.348853677967602,0,0,-0.447922611458523,0,-0.299255225596733,-0.279969507338719,0,0,0,0,0,0
HINT2,0,0,0,0,-0.245630628985394,0,0,0,0,-0.323521662392411,0,0,0,0,0,0,-0.423766107310411,0,0,-0.485872138910813,0,0,0,0,-0.464663594470046,0,-0.619352585002329,0,0
ZNF407,0,0.302409333220699,0,0,0.241664599058178,0.306556221556222,0,0,0,0.345394858509052,0,0,0,0,0,0,0,0,0,0.335059599700484,0,0,0,0,0.362875576036866,0,0.637242996872713,0,0
PSMD14,0,0.322802041049217,0,0,0,0,0.232665866653866,0,0,0,0,0,0,0,0,0.160392081010354,0.402850314242719,0,0.324524463684344,0,0,0,0.238799180794175,0.242014832155554,0,0,0,0.457108564907425,0
ZNF623,0,0.320757583167717,0,0,0.287488680630686,0,0,0.312073194376544,0,0.296453905572407,0,0,0,0,0,0,0,0,0.332925036746693,0,0,0,0,0,0,0,0.743495907911371,0,0
