,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PSME1,0,0,0.463141010046374,0,0,0.536120268620269,0.387671482743724,0.47442645531722,0,0.528212164319255,0,0,0,0,0.442244597012594,0.362305154169985,0.718686376914225,0.369113845856527,0.571980104069115,0,0,0.605026746823869,0.579428376379565,0,0,0.513933529141703,0,0,0
PSME2,0,0,0.422253486595461,0,0,0.452921245421245,0.40829798876782,0.433279746590016,0,0.484197306450199,0,0,0,0,0.451409864457312,0.361623165320287,0.723314660023521,0.299803032760578,0.507792779662489,0.410869609212151,0,0.494459698785099,0.538021845488679,0,0,0.445993187283051,0,0,0
IRF9,0,0,0.352025651249252,0,0.547577875371697,0.554060106560107,0.405861853789661,0.480954403093638,0,0.58745049905102,0,0,0,0,0.416932614542874,0.315187165775401,0.67682949961431,0.315405115799137,0.544266585627547,0,0,0.554434354723921,0.577744908408238,0,0,0,0,0,0
RPL36AL,0,0,0.370571181774352,0,0,0.47480241980242,0.429326165218643,0,0,0.400030524459671,0,0,0,0,0,0.486530663329162,0.641194248789185,0.37854377107282,0.461122929316108,0.50766802258515,0,0.438966197087634,0.568070315166686,0,0,0,0,0,0
RNF31,0,0,0.351573388534997,0,0.425651107755358,0.500036352536353,0.431205491287861,0.470124349792374,0,0.459617116471281,0,0,0,0,0.328487737762455,0,0.631330694621834,0,0.543894467219469,0,0,0.383090473127574,0.52408760951189,0,0,0,0,0,0
ALKBH1,0,0,0.496169921201563,0,0.40599602263496,0.605485625485625,0.418291364661835,0.47964476925584,0,0,0,0,0,0,0,0.556032313118671,0,0.377300970773271,0.629940647113912,0,0,0,0.486164068722267,0,0,0,0,0,0
VTI1B,0,0,0.433876819492793,0,0,0.516865079365079,0.487943935102962,0,0,0.444936077334726,0,0,0,0,0.462512604482257,0.480660826032541,0,0.451599808813227,0,0,0,0.402211368911215,0.523353054955058,0,0,0,0,0,0
MED6,0,0,0.490826535807045,0,0.356998109555122,0.506966644466645,0.456439303028848,0.436130371015341,0,0.405587160527074,0,0,0,0,0.403267173678855,0.55437114575037,0,0.465931483353982,0,0,0,0,0,0,0,0,0,0,0
FNTB,0,0,0.549931640339088,0,0.487942588914512,0.55454267954268,0,0.50940117260403,0,0,0,0.43726678131562,0,0,0.503013016783773,0,0,0.581107709934465,0,0,0,0,0.391402662418933,0,0,0,0,0,0
C14orf169,0,0,0.442223354002363,0,0,0.396139971139971,0,0.46375490220568,0,0,0,0,0,0,0.457127877784184,0.50552781886449,0,0.389235477224962,0.432507023734952,0,0,0.419043123685237,0.409180566617363,0,0,0,0,0,0
CHMP4A,0,0,0,0,0,0.409300976800977,0.482575529208467,0,0,0.408411556157318,0,0,0,0,0,0,0.637577612261157,0.323814831814307,0.523139563008949,0,0,0.545167386448718,0.54870519968142,0,0,0,0,0,0
ZNF410,0,0,0.40066973721708,0,0.341768756147724,0.504443611943612,0,0.373681891011344,0,0,0,0,0,0,0,0.397045852770509,0,0.330261346106726,0.522317801524445,0,0,0.456208124563929,0.472212538400273,0,0,0,0,0,0
SNW1,0,0,0.455197050856176,0,0.342393446793612,0.579166389166389,0.51879498871982,0.438911112617805,0,0,0,0,0,0,0,0.558056206621914,0,0.431205546487029,0,0,0,0,0.411125725338491,0,0,0,0,0,0
ERH,0,0,0.509147556818768,0,0,0.47451936951937,0,0.426946281222753,0,0.533945630306196,0,0,0,0,0,0.530147457048584,0,0.28782625125531,0,0,0,0.466519740522093,0.499298896347707,0,0,0,0,0,0
TMEM55B,0,0,0,0,0.389280510029685,0.469569042069042,0.445584985359766,0.434401737614087,0,0.501125602437302,0,0,0,0,0,0,0,0,0.561598000483754,0,0,0.368747006245875,0.472140630333371,0,0,0,0,0,0
C14orf166,0,0,0.37613814991439,0,0,0.396783494283494,0.37265684250948,0,0,0.472954788475261,0,0,0,0,0.309369695494084,0.447581522357492,0,0.282138531036791,0.462794361165723,0,0,0,0.494288542496302,0,0,0,0,0,0
C14orf119,0,0,0.440867429438739,0,0,0.439134754134754,0,0,0,0.477764105147101,0,0,0,0,0,0,0.697441798707621,0,0.507098158634077,0.479958715317831,0,0,0.551303219934009,0,0,0,0,0,0
TMED8,0,0,0.380345697048434,0,0.366607766063429,0.496124431124431,0,0,0,0,0,0.437519410747644,0,0,0.325369750620749,0.395472067356924,0,0.302359379367703,0,0,0,0.37806847787845,0.405520992149278,0,0,0,0,0,0
GMPR2,0,0,0,0,0,0.451863136863137,0.487313397014352,0,0,0,0,0,0,0,0,0.379524860621231,0.587475815323916,0.32924760757707,0.433319482259255,0,0,0.37602669825998,0.392954602343839,0,0,0,0,0,0
ARF6,0,0,0,0,0.502455311318865,0.509669497169497,0.402438823021168,0,0,0,0,0,0,0,0,0.538658778017977,0,0.412831859170581,0,0,0,0.507420317663735,0.522266014336102,0,0,0,0,0,0
OSGEP,0,0,0.358563450845391,0,0,0.374851537351537,0.408350981615706,0,0,0.504828745106009,0,0,0,0,0,0,0,0,0.465727894616067,0.451682755550159,0,0.411940218202095,0.398783479349187,0,0,0,0,0,0
UBR7,0,0,0,0,0.442985013721783,0.485322177822178,0,0.410947872766872,0,0,0,0,0,0,0.435773530472413,0.413223802480373,0,0.317961893784359,0.430568907026216,0,0,0,0.41622937763113,0,0,0,0,0,0
WDR20,0,0,0,0,0.322308886854166,0.49977355977356,0,0.402346040706893,0,0,0,0,0,0,0.307505150897761,0.447692797815451,0,0.373252055948014,0.527670104627292,0,0,0,0.381759472067357,0,0,0,0,0,0
PIGH,0,0,0.546004651110868,0,0,0.431268176268176,0,0,0,0,0,0,0,0,0,0.441420866992832,0,0.425648533832121,0.607452291319098,0.426221844453889,0,0,0.370058027079304,0,0,0,0,0,0
FKBP3,0,0,0.406398089341685,0,0,0.377965645465645,0.417312148994384,0,0,0.409894558667014,0,0,0,0,0,0.504461485948345,0.628194590219907,0,0,0,0,0,0.427799294572762,0,0,0,0,0,0
NEK9,0,0,0.324569563721925,0,0,0.500969030969031,0.432491143858302,0.418266239875912,0,0,0,0,0,0,0.354035271877821,0.463881442712482,0,0.329853693804375,0,0,0,0,0.339051086585505,0,0,0,0,0,0
TRAPPC6B,0,0,0,0,0.481412304642484,0.530291652791653,0,0.461579613485541,0,0,0,0,0,0,0,0.491936283991353,0,0.303503825460971,0.524587723813718,0,0,0,0.292306747070201,0,0,0,0,0,0
ABCD4,0,0,0.340974091993926,0,0.440710434474863,0.4999444999445,0,0.443463309436382,0,0.410330919220519,0,0,0,0,0.393864517032991,0,0,0,0.539540681844963,0,0,0,0,0,0,0,0,0,0
TBX21,0,0,0,0.563169107043034,0,0.377413716396078,0,0.400425779715797,0,0.419748099441999,0,0,0,0,0.384866811680422,0,0,0,0,0,0,0.431023456187772,0.388672886562749,0,0,0,0,0,0
HOMEZ,0,0,0.386443555730237,0,0,0.359221611721612,0.533761244179907,0,0,0,0,0,0,0,0,0.451343952668108,0,0.266044676966825,0,0,0,0.418587531518488,0.512600068267152,0,0,0,0,0,0
ITPK1,0,0,0,0,0,0.4497668997669,0,0,0,0,0,-0.420996518812781,0,0,0.306944581623067,0.314562066219138,0,0,0.469052152394892,0,0,0.556033119873496,0.388675617248834,0,0,0,0,0,0
MNAT1,0,0,0.357859507469222,0,0,0.444322621822622,0.389619929918879,0,0,0,0,0.420382327991805,0,0,0,0.414005688929344,0,0.452533311016706,0,0,0,0,0.364065991580385,0,0,0,0,0,0
