,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SPEN,0,0,0.496302659634184,0,0,0,0.762035232563721,0,0,0.771871325999983,0.781272735755202,0.512819205399317,0.565669441945835,0,0.608206982251511,0,0,0.356471447946468,0.574941546400065,0,0.710378477628304,0.502370371974933,0,0,0.659428571428571,0.788230559107235,0.745425510679353,0,0
CHD2,0,0,0.539091405218082,0,0,0,0.647967743483896,0,0,0.62474904073405,0.700070232599779,0.449768461648998,0.464340165350462,0,0.474831921095367,0,0,0.388989591709258,0.614575257847047,0.648503430271386,0.645469787242694,0.536425187678468,0,0,0.686881720430107,0.57259915445995,0.734912502495176,0,0
ASH1L,0,0,0.351672910765104,0,0,0,0.724398022368358,0,0,0.672088758230072,0.686835737675566,0.49815510983586,0.72714126807564,0,0.451364959194783,0,0,0.412665778602956,0.475809202488232,0.730738874385283,0.702496166270847,0.567876419926008,0,0,0,0.744873289615607,0.812753676225963,0,0
DSTYK,0,0,0.356462278547241,0,0,0,0.656064897038353,0,0,0.621439038144977,0.667122064762779,0,0.571111632700962,0,0.429426384081257,0,0,0,0.539887992359169,0.737866553336167,0.754018084410075,0.50425702665319,0,0.506892300905827,0.634279569892473,0.672742171056763,0.823524519262759,0,0
HUWE1,0,0,0.420085776577754,0,0,0,0.848856717707483,0,0,0.647445503761636,0.575853099123795,0.433129684653573,0.581095348406632,0,0.384994636634885,0,0,0.491369849776891,0.472373309186983,0.660935381377371,0.691000550524288,0.556912161201366,0,0,0,0.757235864496286,0.773454654334953,0,0
TTBK2,0,0,0.463330007500501,0,0,0,0.691046320741132,0,0,0.613064136274154,0.662834345632654,0.483127135182241,0.702132703149123,0,0.563913166314851,0,0,0.306733121900548,0.495153157734791,0.589270030154008,0.664764725156223,0.591319152444842,0,0,0.718549923195084,0.680367113991005,0,0,0
MDN1,0,0,0.503812491272058,0,0,0,0.699731771708347,0,0,0.70327503140757,0.693763168612459,0.479027121739574,0.454693944196041,0,0.56960763596188,0,0,0.306991517381086,0.589165772548825,0.562443081780098,0.648318105289334,0.457878163334683,0,0,0,0.73486894166061,0.755689001264223,0,0
GPATCH8,0,0,0.490001270093222,0,0,0,0.702250852013632,0,0,0.66045341186161,0.750649052616448,0.651308805873982,0.586526167855066,0,0.492204400486033,0,0,0,0.458118073170883,0.628176795580111,0.711606795846982,0.52611566800328,0,0,0,0.712226151116942,0.715816088894804,0,0
MGA,0,0,0.338048896693398,0,0,0,0.644375750012,0,0,0.619628661324782,0.689345575913623,0.537838789974552,0.457498283370047,0,0.434841660139516,0,0,0,0.55291213664188,0.667761520247708,0.621825785650553,0.539963014580696,0,0,0.600651305683564,0.676813429637805,0.680817086965201,0,0
NR2C2,0,0,0.536039137406604,0,0,0,0.715071281140498,0,0,0.698512675442916,0.68060243683164,0.597422252712869,0.64181039949733,0,0.521058730570722,0,0,0.350221210688514,0.656714566575084,0,0.69982477453137,0.515542715434128,0,0,0.700006144393241,0.682023148947016,0,0,0
KIAA2026,0,0,0.379407597348012,0,0,0,0.666568233091729,0,0,0.610081923577059,0.613360081404248,0,0.444465891182426,0,0.469961939631708,0,0,0.291234569605444,0.560763835052314,0.682506627810495,0.708948209271173,0.38435942308895,0,0,0.768331797235023,0.644738375942126,0.721979173597711,0,0
PLEKHM3,0,0,0.467357403600872,0,0,0,0.751309172946767,0,0,0.556668171071623,0,0,0.683458101837341,0,0.42501004913164,0,0,0,0.611393645457985,0.555714083338393,0.680086250108502,0.450539076636262,0,0.480865165398625,0.752903225806451,0.650314015902724,0.789847960609488,0,0
HERC1,0,0,0.541577649560849,0,0,0,0.725901022416359,0,0,0.727132940775068,0.536332446074099,0.471024099457194,0.631255931667194,0,0.598818451813552,0,0,0.397369974013783,0.643926097284156,0.527045514338332,0.719548636553092,0.590243759278236,0,0,0,0.696486222544211,0,0,0
CELF1,0,0,0.441757042329911,0,0,0,0.687315317045073,0,0,0.663337651224906,0.643827411897176,0.392032206776031,0.444256979868414,0,0.484926302539731,0,0,0.329429217756213,0.449739207015672,0.61953332119078,0.607365236893573,0.532474393029999,0,0,0,0.680878242711651,0.667501164415464,0,0
ZNF304,0,0,0.39524955646786,0,0,0,0,0,0,0.679403407851248,0.556679725475016,0.488399905437791,0.473486486368282,0,0.355675979244811,0,0,0.280838357450245,0.513287728155099,0.576178333636897,0.611483514378146,0.4874224768352,0,0,0.729241167434716,0.676839119587915,0.733847894071462,0,0
KCTD7,0,0,0.531474763584679,0,0,0,0.468291268660299,0,0,0.429479459262002,0.49750150993785,0,0,0,0.56706193251118,0,0,0.288788655791337,0.616603303171069,0.509600712363143,0.625846509292834,0.500209802987832,0,0.539958049807392,0.64105069124424,0.558704022125401,0.742373078714485,0,0
REV3L,0,0,0.356563527935627,0,0,0,0.482484135746172,0,0,0.582001498586815,0.644689242811876,0.468330930649744,0,0,0.537333729939062,0,0,0,0.542802919889109,0.619189282172708,0.689713289453002,0.382193962774906,0,0,0.68652534562212,0.685943858895693,0.732034732849824,0,0
ATXN1L,0,0,0.504840950838546,0,0,0,0.699876926030817,0,0,0.689249987636451,0,0,0.585518057780817,0,0.544355374045907,0,0,0.287210243331757,0.540694248910003,0.667093679800862,0.646443663926818,0.40534950452605,0,0.382140813759489,0,0.73391924221461,0.705203273670903,0,0
ZNF417,0,0,0.416933228271559,0,0,0,0,0,0,0.650492962751016,0.645310870669883,0.734762273386764,0.519440998225785,0,0.489773544254079,0,0,0.294032487947296,0.560022699222893,0.609969036488374,0.609083377059872,0.449288993221669,0,0,0.746365591397849,0.648047131021876,0,0,0
SOS1,0,0,0.329951157227641,0,0,0,0.713253396054337,0,0,0.61438911392626,0.64511101668308,0.537474910884388,0.463611672792108,0,0.418257721752752,0,0,0,0.473319110140847,0.630368526501123,0.6867161969094,0.473257194006447,0,0,0.707674347158218,0.635523234303947,0,0,0
SAP30L,0,0,0.508354749042849,0,0,0,0.570304804876878,0,0,0.65715868189191,0.574054413242565,0,0,0,0.509123463057095,0,0,0.385349191942547,0.531388187721333,0.6092789346933,0,0.443823284742659,0,0.436851093194504,0.739250384024577,0.638109908420392,0.699065140727926,0,0
ATG2B,0,0,0.362650033711181,0,0,0,0.616260356165699,0,0,0.608133781496401,0.660142306125871,0.60710329067218,0.564964858288735,0,0.492663789361013,0,0,0.364306999713565,0.535621034613214,0.564669216602918,0,0.433156698200586,0,0,0.743864823348694,0.721738154400836,0,0,0
KLHDC10,0,0,0.464585167122573,0,0,0,0.5014233187731,0,0,0,0.570004375352266,0.39749039312848,0.611908090684713,0,0.418188009490974,0,0,0.342319226694367,0.488290674092496,0.479167425576265,0.573134395177908,0.408607827031499,0,0,0.571016897081413,0.657329582170917,0.78242065340342,0,0
RAD54L2,0,0,0.498940367332865,0,0,0,0.662025440407046,0,0,0.677509810839778,0.603600650124389,0.580683814565362,0.643085735278896,0,0.455119429622773,0,0,0.281726996331561,0.500672914121273,0.509738327970372,0.625289826795988,0.512097124982837,0,0,0,0.675323596688777,0,0,0
SON,0,0,0.366840372451151,0,0,0,0.744782604521672,0,0,0.642692602275641,0.646051023920694,0,0.548815999136947,0,0.47276731264399,0,0,0.290394676449171,0.558676870980346,0.608175986076539,0.626272891918163,0.489562781753534,0,0,0.539723502304147,0.657966214124537,0,0,0
TSSK4,0,0,0.482216864954004,0,0,0,0.553123601977632,0,0,0.551533208688323,0.562106763970993,0.582222768169619,0,0,0.531077542545152,0,0,0.461031890920009,0.512741954489919,0.549721733147148,0.546061009084143,0.559021560495826,0,0,0,0.515689389251578,0.762406768596466,0,0
ZKSCAN1,0,0,0.453761150439067,0,0,0,0.711038448615178,0,0,0.613600028592006,0.629392532143708,0.457073855866797,0.627953150216419,0,0.429935961190828,0,0,0.369017648540734,0.497475796798541,0.554623277275211,0,0.45297495745419,0,0,0,0.659094822434564,0.707332490518331,0,0
EPC1,0,0,0.413263459249491,0,0,0,0.520535304564873,0,0,0.645358037989965,0.642195796383462,0.475390648539153,0.493446191122508,0,0.365048086530488,0,0,0,0.650983943090692,0.598676461659887,0.68197594036821,0.397781922983262,0,0,0.605714285714286,0.632496239967338,0,0,0
FAM168A,0,0,0.390820216935292,0,0,0,0.577443479095666,0,0,0.558453405212306,0.506984171816427,0.423170522548915,0.566855702491628,0,0.385452762190458,0,0,0.267387556985047,0.472432227934929,0.560967761520248,0.639513528899788,0.387775665578579,0,0,0,0.645408064139795,0.718685541286846,0,0
MPHOSPH8,0,0,0.361502294908906,0,0,0,0.547185330965295,0,0,0.650826466888338,0.578304935573884,0,0.656543968323622,0,0.370587971821086,0,0,0.268785222021679,0.534982231346014,0.613368951490499,0.661738992055716,0.476152859557076,0,0,0,0.648109007890958,0.707715084170604,0,0
BAZ2A,0,0,0.488622513339665,0,0,0,0.648273412374598,0,0,0.588829398400094,0.66394268414622,0.50604456475889,0.457999349794515,0,0.373459611678584,0,0,0.306036446272721,0,0.65018719770101,0.615774808196243,0.461870184881677,0,0,0.616626728110599,0.652605209553568,0,0,0
SECISBP2L,0,0,0.372770191270142,0,0,0,0.597703643258292,0,0,0.598892392240761,0.59442123672421,0.40803825134079,0.510075706661107,0,0,0,0,0,0.514856827442492,0.67490538927003,0,0.546273525098971,0,0,0.760663594470046,0.698579078730766,0.750515669705237,0,0
ZBTB4,0,0,0.356579556806973,0,0,0,0.582590697451159,0,0,0.718063290565843,0.617041303577575,0.459639551107629,0.63198092536195,0,0.385269236334904,0,0,0.265947616894837,0.682148859767178,0.451097889219436,0.608758555999815,0,0,0.47224681388178,0,0.749475565910928,0,0,0
PIP4K2B,0,0,0,0,0,0,0.530631594105506,0,0,0.644496122001424,0.528318742521237,0.496048319434852,0.444066583374275,0,0.491469722827722,0,0,0,0.515489428736224,0.53955436828365,0.63442919467837,0.440066046888959,0,0.530152929307047,0.56215668202765,0.563136597424118,0,0,0
MYO9A,0,0,0.412499128522271,0,0,0,0,0,0,0.605452034209005,0.709665745783207,0,0.690601615017123,0,0.526983354044115,0,0,0.325563207244391,0.442337151681665,0.580401918523466,0.649051225346639,0.491830959933394,0,0,0,0.684645549589062,0.75561414598443,0,0
PHC3,0,0,0.394317312255262,0,0,0,0.629340373445975,0,0,0.516699414487253,0.636248091299858,0,0.460307579267484,0,0.460474640585629,0,0,0.31068627078811,0.505343000142645,0,0.605456485512375,0.605060986112475,0,0.363634030974572,0.616337941628264,0.763718387319367,0,0,0
LATS1,0,0,0.347034248074271,0,0,0,0.598299620793933,0,0,0.562489844227594,0.594799509254437,0.543229762991874,0.568414592010637,0,0.338617951539068,0,0,0,0.448111188980334,0.531639447109061,0.60780853015489,0.378471662970803,0,0,0,0.644446946938191,0.698366491449864,0,0
CLASP1,0,0,0.424814377876535,0,0,0,0,0,0,0.554375408049065,0.616072925900194,0.526737001172757,0.55850522715643,0,0.367735511449119,0,0,0,0.674052183404759,0.542751907392791,0.754914641365488,0.497073763655973,0,0,0.667305683563748,0.659909166229447,0,0,0
USP34,0,0,0.394137772045859,0,0,0,0.744876302020832,0,0,0.621298052128047,0.686912653090045,0.505316806578563,0.47402691500823,0,0.417843008445864,0,0,0,0.633810678557917,0.592257098334447,0.675753510569832,0.364558632860144,0,0,0,0.732191570050049,0,0,0
ZNF142,0,0,0.490321552639466,0,0,0,0.716522056352902,0,0,0.524925745979145,0.637469911572491,0.550071616967427,0.621013591627219,0,0.390973238301088,0,0,0,0.514903342243502,0.700445226964564,0.58509402704607,0.516545437457572,0,0,0,0.591045459425624,0,0,0
RBM12B,0,0,0.355220851939778,0,0,0,0.671547256756108,0,0,0.485172883973391,0.639650652709251,0.621853141180452,0.469862975754333,0,0.444153587482572,0,0,0.264747523026963,0.431362759630114,0.612794203954425,0,0.493528250382834,0,0,0,0.607202688549962,0.739927806241267,0,0
ZC3H6,0,0,0.385442730696215,0,0,0,0.569421590745452,0,0,0,0.583992263065848,0,0.472427496985875,0,0.443394906755543,0,0,0,0.569307053504425,0.621308157772246,0.544538705220049,0.507509759070704,0,0,0.779170506912442,0.622423477557389,0.697709428438353,0,0
ANKRD12,0,0,0,0,0,0,0.569850909614554,0,0,0.584171457282172,0.693613120508802,0,0.489627181505007,0,0.434375035889756,0,0,0,0.460236047110191,0.486102847428814,0.528289050275223,0.525359608609993,0,0,0.764460829493087,0.542099382722984,0.709054161953557,0,0
RNF181,0,0,-0.380974024592628,0,0,0,-0.693449431190899,0,0,-0.58752935563676,-0.676943280555909,0,-0.586203835046076,0,-0.336561382393003,0,0,-0.423504153308325,0,-0.474441948475098,-0.606106616379192,0,0,0,-0.656596006144393,-0.58345136284725,-0.776224299687271,0,0
MYSM1,0,0,0.429408155515016,0,0,0,0.618854701675227,0,0,0.542494349130832,0.636969961378375,0.494824573195322,0.644235549328874,0,0.484241353727137,0,0,0.266822883055123,0.461045404647759,0.430882561269302,0,0.375573202376207,0,0,0,0.620183019256045,0.739462040055892,0,0
RABGAP1,0,0,0,0,0,0,0.648648202371238,0,0,0.649827824593031,0.599060118853229,0.435764910930743,0,0,0.425838327273228,0,0,0,0,0.563604719405824,0.771583054487047,0.585260894644661,0,0,0.609972350230415,0.631909422576476,0.776922948965334,0,0
ZBTB26,0,0,0.425907289934901,0,0,0,0,0,0,0.617144107449423,0.562683540983937,0.569653874501115,0.499432309381182,0,0.357225727614554,0,0,0,0.476168916949373,0.581786169631474,0.649595786925205,0.565158938428326,0,0,0,0.64770864981541,0.735236875374277,0,0
SRRM2,0,0,0.427463101474972,0,0,0,0.736450439207027,0,0,0.570441995838367,0.601461518965954,0,0.470704160877748,0,0.523259662670749,0,0,0.338248311586125,0,0.489008965252059,0.579830616031987,0.566743728358062,0,0,0,0.647307370953119,0.735070530308071,0,0
PIKFYVE,0,0,0.476874319536498,0,0,0,0.623835261364182,0,0,0.534271965662996,0.663212618162882,0.442409760303341,0.466771438193303,0,0.487128727653602,0,0,0,0.538064612159589,0.642857142857143,0,0.45738903064032,0,0,0.639416282642089,0.677780716110582,0,0,0
CEP350,0,0,0,0,0,0,0.731178034848557,0,0,0.511887916012645,0.671677096480931,0,0.487899763389349,0,0.355048798583245,0,0,0.328413322336068,0.42320716451975,0.71681338918908,0.627756726914147,0.442821960241198,0,0,0.700245775729647,0.626406616847193,0,0,0
CEP68,0,0,0.443362794019736,0,0,0,0.509865309844957,0,0,0.591154576778055,0,0.617463415086381,0.48512837184756,0,0.476200325706712,0,0,0,0.531657973567189,0.554499827980491,0.691301325246465,0.533131228362429,0,0,0,0.491150871091882,0.691854082107925,0,0
ZNF543,0,0,0.368827910372281,0,0,0,0,0,0,0.66704235232416,0.545200415091057,0.633580709309279,0,0,0.338244468383709,0,0,0,0.540712854830407,0.585352032865845,0.588174011030818,0.378241770604453,0,0,0.621013824884793,0.656465331734602,0.676575287776965,0,0
AKAP9,0,0,0.342795654217015,0,0,0,0,0,0,0.549347287728253,0.643011604140319,0,0.576002460867397,0,0.531465955838948,0,0,0.324684058681225,0.509324667109074,0.561378584583005,0,0.452197236470153,0,0,0.700614439324117,0.634098961370971,0.765935857342471,0,0
RAPGEF6,0,0,0.358423845905466,0,0,0,0.63179570873134,0,0,0.512764273457601,0.567771306515492,0.405238468277624,0.627230343311412,0,0.395429540082828,0,0,0.313313363403263,0.46114773720998,0.614423329892943,0,0.54438197909377,0,0,0.539993855606759,0.616970302233516,0,0,0
KDM3B,0,0,0.432605883754244,0,0,0,0.682290212643402,0,0,0.611858326611303,0.594074486904835,0,0,0,0.410756705354866,0,0,0.378678792417408,0,0.672049865420031,0.686827142411406,0.609327620729304,0,0,0,0.791104702844624,0.703664581808504,0,0
GATAD2B,0,0,0,0,0,0,0.558350693611098,0,0,0.666476018662933,0.665670128700924,0.597227565811126,0,0,0.409014932435381,0,0,0,0.46705511693821,0.664738024406533,0.721172350856011,0.505565107230115,0,0,0.668774193548387,0.635809783138148,0,0,0
CHD6,0,0,0.508651272631302,0,0,0,0,0,0,0.652584896023592,0,0.58501328042794,0.641598572463652,0,0.49530033696174,0,0,0.31120435588348,0.619865541215215,0.742788335053529,0,0.543200374256387,0,0,0.724675883256528,0.711979564427356,0,0,0
AP2S1,0,0,-0.376952926301103,0,0,0,-0.65656871309941,0,0,-0.543569146732262,-0.657962825897546,-0.457766848528955,0,0,-0.364443760465453,0,0,0,0,-0.499469775160383,-0.605303801041773,-0.409269553690873,0,0,-0.580221198156682,-0.581974144676591,-0.798847228691197,0,0
SP4,0,0,0.397933391930337,0,0,0,0,0,0,0.474467505060743,0.635744358380439,0.430218651932268,0.519264451400056,0,0.372720914367617,0,0,0,0.529319829569769,0.761947260842289,0.630248846362278,0.485856553452246,0,0,0.544165898617511,0.724447569390029,0,0,0
RASA2,0,0,0.355930629740865,0,0,0,0.573518662414192,0,0,0.51998863800235,0.679927850819401,0,0.659759375123349,0,0.346697797919428,0,0,0,0.477062001128759,0.553674134337118,0.578948589001669,0.436629540330563,0,0,0,0.536174086339551,0.688918091689401,0,0
VPS13A,0,0,0.443633684051778,0,0,0,0,0,0,0.487951981222366,0.590399569273679,0,0.502697915406225,0,0.385673498544886,0,0,0.318929474857559,0,0.598370874061482,0.510447058565931,0.51779342458919,0,0,0.731139784946236,0.598767269125155,0.70169339277397,0,0
ZNF264,0,0,0.38318183838306,0,0,0,0,0,0,0.663195106777427,0.69565957489733,0.602050702031697,0,0,0.448745408982431,0,0,0.422197509050312,0.591249635634059,0,0.587775975714372,0,0,0,0.663152073732719,0.614087779336772,0.715924213187837,0,0
EP400,0,0,0.49226995568154,0,0,0,0.703755388086209,0,0,0.571119289754628,0.682599085337022,0.570576319583185,0.424854177570243,0,0.449711388939294,0,0,0,0.489351211555517,0,0.721909674134977,0.558744312522251,0,0,0,0.721958314510918,0,0,0
ADNP,0,0,0,0,0,0,0.452608457735324,0,0,0.542418713301558,0.641463208583256,0.509541975886637,0.43742544869281,0,0.30586272082249,0,0,0,0.481229727299227,0.628962014044887,0.555516933704833,0.425756819295866,0,0,0,0.66295476045825,0.741175394237807,0,0
HECTD1,0,0,0.334023122436776,0,0,0,0.516811980991696,0,0,0.545501496716698,0,0.440210261853883,0.632077435682869,0,0.376584259958977,0,0,0.277723376206565,0,0.556942505008803,0.618268491633829,0.462615762860085,0,0,0,0.691117759600629,0.859529908842904,0,0
CBFA2T2,0,0,0.541339407032862,0,0,0,0.534094561512984,0,0,0.53127323360209,0.609260237630804,0.585801298839759,0.518567302828102,0,0.50464935995645,0,0,0,0.649300107294141,0,0,0.479372051446977,0,0,0,0.630350254385753,0.724615742897066,0,0
