,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZMYM3,0,0.645876775284512,0.587779870728522,0,0.636897302621056,0.739461649461649,0.759396342341477,0,0,0.582598377486788,0,0.790679132808915,0.538121285190914,0,0.592201299611127,0.721988622141313,0,0.756944755995293,0,0,0.664316251179835,0.773135365027501,0.649573330299238,0.573838016788812,0,0.717940093246232,0.725580544281057,0.719907392225407,0
SNRNP200,0,0.501075211448371,0.429235818819412,0,0.582598335249807,0.588523143523143,0.805490903854462,0,0,0.612385595613454,0,0.745038960557361,0.733631660050413,0,0.591709983209337,0.549345545568324,0,0.585313646387295,0,0,0.833272859074384,0.666861504523255,0.411920354989191,0.543663577362183,0,0.687060957371441,0.777713088029809,0.603389497019105,0
GPATCH8,0,0.557513067783523,0.481403181299173,0,0.604835307112279,0.592055167055167,0.802706091297461,0,0,0.694508028410812,0,0.458765777750996,0.732976206269672,0,0.50453497212658,0.562910001137786,0,0.531314167492037,0,0,0.777690335561758,0.733859407192137,0.434181818181818,0.517490675308567,0,0.748576233499732,0.769146317120234,0.616866158154666,0
TRRAP,0,0.534767640210981,0.533833598410003,0,0.626893436088227,0.54974580974581,0.783981183698939,0,0,0.587634497751081,0,0.570066425316714,0.653569351121167,0,0.577221087786917,0.598284446467175,0,0.622775814528124,0,0,0.754946703149327,0.646851784757857,0,0.494557393803339,0,0.666753926556945,0.914149311331426,0.646836447586754,0
SPEN,0,0.409579237377936,0.486149012054933,0,0.587181499081226,0.494016261516261,0.789841117457879,0,0,0.674905569498314,0,0.48777644381197,0.579739101404356,0,0.561613465606703,0.519517578791671,0,0.462426967688055,0,0,0.802158070850286,0.629713273908369,0.361652975310047,0.533092609253937,0,0.79329341293105,0.691729323308271,0.670027742980633,0
EP400,0,0.55948564729804,0.512813597706502,0,0.585381735103458,0.527426462426463,0.776006144098306,0,0,0.649047258679108,0,0.68290602648669,0.707470511140236,0,0.558471819937936,0.662115143929912,0,0.599229903819939,0,0,0.818492083476373,0.648049461098054,0.380941176470588,0.51509475371459,0,0.767111578543386,0,0.578388021328646,0
ZNF142,0,0.459371679330597,0.509101197363008,0,0.421410516213619,0.483666333666334,0.79785993375894,0,0,0.599223610679945,0,0.692067899374684,0.649427425550743,0,0.514719508637659,0.558059164865172,0,0.560819997998406,0,0,0.677986789763063,0.534450489115225,0.363903288201161,0.554301259597663,0,0.747633716190322,0.816155432829862,0.573922909930413,0
MDN1,0,0.532128889027211,0.457037527568711,0,0.542662214906177,0.518311688311688,0.673500312004992,0,0,0.647313868327995,0,0.563667252272506,0.442481743950246,0,0.545267605504397,0.609211741950165,0,0.524065289937847,0,0,0.777768241786514,0.684787519010666,0.429990215041529,0.517062656685389,0,0.642654175150949,0.701427240668042,0.66612404981931,0
ADNP,0,0.54272613156557,0.384578624984019,0.47523452510135,0.594578289733033,0.541142746142746,0.616369413910622,0,0,0.472838321765623,0,0.464958675387404,0.626307372251387,0,0.456808028279979,0.44318102173171,0,0.421743699291505,0,0,0.74253986804621,0.664223681778654,0.424866992831949,0.516444104261843,0,0.582206735407694,0.714194224499301,0.782508149090647,0
ARID1A,0,0.492505383467383,0.485165247974644,0,0.560688822193646,0.392151737151737,0.803089329429271,0,0,0.735823061198113,0,0.513373135988801,0.420568507020324,0,0.513972657174161,0.513726476277165,0,0.445485024277959,0,0,0.743033013471423,0.666317169710528,0.44692365456821,0.415304941431329,0,0.692662471439497,0.811605895269147,0.604646129427891,0
BAZ2A,0,0.483836259597985,0.482518504289355,0,0.498058547115655,0.479574314574315,0.750872941967071,0,0,0.629402722141807,0,0.558895105478582,0.775847490367191,0,0.526291973787271,0.58411559904426,0,0.499105753203414,0,0,0.770113393145503,0.535737606862392,0,0.497900852543217,0,0.708544661563912,0.795611817153503,0.677494080841603,0
DIDO1,0,0.377378469983742,0.416931543239092,0,0.545317150151198,0.543310578310578,0.706713003408055,0,0,0.52929132552622,0,0.668170082185685,0.699703471310047,0,0.517800974363804,0.49693457731255,0,0.379689079922283,0,0,0.698768299654124,0.606342513771706,0.371550119467516,0.503615337916336,0,0.649340652237447,0.777313859870916,0.694210702363072,0
USP49,0,0.448711450594367,0.476293509907886,0,0.63577340829681,0.43256438006438,0.67628205251284,0,0,0.510728755370871,0,0.532327296494245,0.727720330001152,0,0.479980521911701,0.567446353396291,0,0.492231743216148,0,0,0.648236254706268,0.641127646710583,0.375750142223234,0.457860147098645,0,0.550106188582516,0.807746689733183,0.651793854030495,0
PHF8,0,0.6036760227106,0.500464226444773,0,0.76977630785158,0.716086136086136,0.799424374789997,0,0,0.714317135214006,0,0.649116260528158,0.776510670805045,0,0.645461582456858,0.463464102855843,0,0,0,0,0,0.667280761118423,0.579781089998862,0.650973633179305,0,0.695042152696275,0.784524918490918,0,0
