,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
DPP8,0,0,0,0.492776345025531,0.54454510304247,0,0.492005952095234,0.568437883983808,0,0.675482396591899,0.603984596742569,0.402037722904914,0.47315467747038,0,0.4525310030067,0.320659460689498,0.571365343517242,0.369093139707836,0.704516277079367,0.546014206787688,0.67295211220686,0.544911639925666,0.28728933894641,0,0,0.642205567850105,0.856801849757136,0,0
USP12,0,0,0.431542628267304,0,0.387527345958969,0,0.546224547592761,0.513974780330037,0,0.586265572357515,0.596021329527071,0,0.514612566460185,0,0.3898502621962,0,0.558871508238597,0.362508584424145,0.700537711099672,0.468433408212414,0.720268951446729,0.607480795427587,0.32571464330413,0.44486814405884,0,0.62378384789045,0.892615942511145,0,0
NFAT5,0,0,0.505611937444012,0.585105483448188,0.371214859576848,0,0.532057024912399,0.453139552726144,0,0.590439672737896,0.540818758282592,0,0.587325658187268,0,0.458662351473834,0,0.559655534339079,0.381451690829592,0.548418806864344,0,0.734641721295515,0.49957742429012,0.422038229605188,0.400690289218298,0,0.566623524738501,0.827075986426243,0,0
PHC3,0,0,0.346229076372622,0.497679411115339,0.436011400604287,0,0.48226371621946,0.486049604314536,0,0.533246726153,0.678653072392536,0.530055949307239,0,0,0.527372800962879,0,0.599135042173017,0,0.654314402842985,0.454297452087507,0.639073656865405,0.722393438075277,0.399595175787917,0,0,0.589691166285062,0.882884756138133,0,0
RNF111,0,0,0.438215125146308,0,0.593668961817044,0,0.384809868957903,0.56293022542117,0,0.658469114192232,0.684880068694292,0,0.435161538158752,0,0.496653466892992,0.352191603140289,0,0.354469422194921,0.701340866663772,0.592166029182604,0.650524014667093,0.480171434021764,0.403406986005234,0,0,0.557808188703825,0.888748419721871,0,0
RAPGEF6,0,0,0.350080407643055,0,0.397421639737378,0,0.565813469015504,0.457223385944691,0,0.597079625827059,0.656507107110389,0.392644079895796,0.420010000918452,0,0.414173984348621,0,0,0.279646459766228,0.641507327631653,0.473612207313865,0.588770575258782,0.60794477272624,0.331194447604961,0.396646495925088,0,0.62583545283095,0.864944440747888,0,0
PLEKHM3,0,0,0.503185448565121,0.556007694584197,0,0,0.533490903854462,0.509085956466867,0,0.60364176128418,0.587300886796902,0,0.464718625763007,0,0.466455768890645,0,0.587349359501258,0.278021889850191,0.65126303189675,0,0.5806730198525,0.591736312757035,0,0.557355478201623,0,0.614010893643791,0.930193292966931,0,0
FEM1B,0,0,0.471279127102631,0,0.572146102043721,0,0,0.393186038185164,0,0.704009467777267,0.734707387284243,0,0.591633050848693,0,0,0.354739560814655,0,0.326921616874131,0.728663660776859,0.470758707222796,0.769115567872841,0.782655284781789,0,0.634555515762441,0,0.545216245845641,0.855429502960942,0,0
HERC1,0,0,0.442301539508851,0.52843543454671,0.528503399904029,0,0.519400182402918,0.609512330898437,0,0.67339368407579,0.609246998092246,0.41268987767173,0.468619567103101,0,0.598798123855835,0,0,0.45176804627134,0,0.531323740716006,0.663493006230152,0.650778821532599,0,0.580962124719386,0,0.652221241482032,0,0,0
IQGAP1,0,0,0.452392567069031,0.61966534665558,0.560127104395127,0,0.410296356741708,0.521626503372813,0,0.551556830559535,0.649787095610904,0,0.442050654797744,0,0.570828806438794,0.492001365343043,0,0.476411814238238,0.636223246236953,0.536654321737195,0.768475896185508,0.564050004734106,0.290706792581636,0.369472772774522,0,0,0,0,0
GADD45GIP1,0,0,-0.421083378987182,0,-0.339409793285331,0,-0.543672442759084,-0.477162293488824,0,-0.612471932665826,-0.519145003209012,-0.422788101849062,-0.539772311451343,0,-0.528063147594755,-0.330760496074639,-0.613045182665436,-0.300672259627496,0,-0.440966952016676,-0.625275164394842,0,-0.386611673683013,-0.444095308391786,0,-0.479721237338492,-0.874908510213587,0,0
DENND4A,0,0,0.503451283499762,0,0.535979536343519,0,0.532878798060769,0.512343090759647,0,0.586404584362417,0.639445124634494,0,0.445941245333026,0,0.570352535022659,0,0,0.409647857431264,0.62354021049498,0.527648594499423,0.594727713345757,0,0.422199112527022,0.486592862571082,0,0.581527010634534,0.857500499035199,0,0
SOS1,0,0,0.492442481943297,0,0.395987118274342,0,0.484897998367974,0.531592388660308,0,0.733545882481038,0.676837364247446,0,0,0,0.464200514056151,0,0,0,0.639708755325945,0.481494748345577,0.760247454411662,0.585900260952292,0.384551598589146,0.466592600518863,0,0.709120337435193,0.889264089427108,0,0
EXOSC4,0,0,-0.3825914872581,-0.34601553948994,-0.347545885165234,0,-0.464570249123986,-0.383816981942279,0,-0.585839497445628,-0.636277092193842,-0.559467577677756,-0.524523680746191,0,-0.4729585332632,0,-0.556974670898721,0,0,-0.47774674680752,-0.668267963787388,0,-0.279346000682672,-0.563788750971777,0,-0.507840038717241,-0.913043116641161,0,0
LATS1,0,0,0.384658453397162,0.43389844839978,0,0,0.438389478231652,0.468660081623137,0,0.648722689543596,0.654043922484393,0,0,0,0.390885609873186,0,0.48036773353229,0.282042765099096,0.673059867649886,0.494400259041143,0.635579997669656,0.492322188910733,0.282814654681989,0.428962229540273,0,0.559008802537099,0.868969991350057,0,0
SECISBP2L,0,0,0.482839671477645,0,0.477164156359061,0,0.484724427590841,0.536398542630901,0,0.741165153326709,0.773165724978218,0.389881380052009,0,0,0.483454535431516,0.354197519626806,0,0.293686091334822,0.675534455063601,0.569408860016595,0,0.630219176866539,0.449681419956764,0.663217149570671,0,0.5840664483911,0,0,0
AFF4,0,0,0.373566958872359,0,0.409902858085651,0,0.460576585225364,0.456528126200646,0,0.536212627277023,0.670602172040869,0.430332219291618,0,0,0,0,0.571972331466002,0.29035326415179,0.687318204652721,0.39159330540546,0.611642161558547,0.665953115233723,0,0.513600946882016,0,0.563840999281971,0.89650841706035,0,0
AURKAIP1,0,0,-0.408275510391069,0,-0.374187177972602,0,-0.503748091969471,-0.422529686817899,0,-0.561292657880443,-0.554104319998386,0,0,0,-0.500103132802433,0,-0.444150785922938,0,-0.55168104490849,-0.407993847772853,-0.675045707591839,-0.618051651713764,-0.357153487313688,-0.530848022816013,0,-0.4966135305192,-0.909699580810433,0,0
ARHGEF12,0,0,0,0,0.394785596346567,0,0.432831373301973,0.439514781257843,0,0.659542768944593,0.673823162635752,0,0.522738094023212,0,0.447231378097717,0,0.566560022256225,0.353653254834023,0.509008366462208,0.614528565357295,0.603884969357537,0.659845245403113,0,0,0,0.550964901635115,0.830669039856278,0,0
USP8,0,0,0.380914100625505,0,0.577963533683546,0,0,0.510804776535549,0,0.678228870694732,0.672905221295735,0,0,0,0.434826040917767,0,0.573768004147751,0.300768025565192,0.593733526007976,0.599898812053508,0.592922185268627,0.441176378105163,0.402775287290932,0,0,0.628328206699681,0.833979306673764,0,0
TRPM7,0,0,0.46308778408331,0,0.530853546567791,0,0.502630634090145,0.493804218662461,0,0.588060053186118,0.672524426948639,0,0,0,0.49272994135901,0,0.629256819130237,0.304372620949791,0.637293086660175,0.516837674296238,0,0.463680674611812,0.387153714870861,0,0,0.608293084210183,0.879133674895203,0,0
MYO9A,0,0,0.482562273007697,0.594572217759551,0.472631370805536,0,0.517374165986656,0,0,0.678592608384689,0.807934644594044,0.40191720244193,0,0,0.561988212081468,0.343589941972921,0,0.402830789352898,0.696565347093445,0.481189160747172,0,0.630221273149515,0.408985550119468,0,0,0.635639069276127,0,0,0
SETX,0,0,0.414452291781065,0,0.345617656578836,0,0.573310036960591,0.404951331817917,0,0.681748949721706,0.707142037552375,0.519598481442166,0,0,0.569734312444156,0,0,0.383639640541259,0.611868096428283,0.459065428126202,0.674521282377514,0,0.292588007736944,0,0,0.587351631330248,0.870608490252179,0,0
ATXN1L,0,0,0.344595100388969,0,0.419299666369855,0,0.469110737771804,0.452034214630073,0,0.63653555486569,0.481660717280372,0,0,0,0.475364467648687,0,0.548502130780612,0,0.64018010530951,0.560836217189808,0.675637579851437,0.512171193647983,0,0.373806024580498,0,0.63679023686134,0.858057755006987,0,0
JMJD1C,0,0,0.425007924918323,0,0.458577090730019,0,0.43171237939807,0.453900234687335,0,0.681837572472215,0.782857697656854,0.464031594902912,0,0,0.509036868254162,0,0,0.29514156103655,0,0.558676866411673,0.611020964496657,0,0.361042666970076,0.458081144469388,0,0.642063030062398,0.906547341805842,0,0
AKAP13,0,0,0.555658728689342,0.608506320551304,0.608645164378023,0,0.584672010752172,0.556638392373911,0,0.537047114887916,0.662555684868721,0.541106748682387,0,0,0.594265908062504,0.421833200591649,0,0.583940138524135,0.641138310210309,0,0.685712213428257,0,0,0.45193809453097,0,0,0,0,0
POLK,0,0,0.361940403350434,0,0.473507952840894,0,0.435086257380118,0.427606748242224,0,0.581854590533802,0.632624870914499,0.400519628611558,0,0,0.380277516819375,0,0.526928767435096,0,0.599243979434256,0,0.600206466158005,0.720875030439776,0.317167595858459,0,0,0.597037294993738,0.883275667043716,0,0
EPC1,0,0,0.370012888392085,0,0.469437387987048,0,0,0.512029064117341,0,0.715409802819055,0.715686583555989,0,0,0,0.441308936721479,0,0.633606899429684,0,0.580275243582508,0.596826745998017,0.66289458476471,0.533922924566305,0.295797019001024,0,0,0.579031862720273,0.774286379665979,0,0
MRPS34,0,0,-0.491713136702682,0,-0.351802849647289,0,-0.580302788844621,-0.365738444354836,0,-0.593227081616462,-0.611363432898866,-0.508499010341583,-0.565040812786014,0,-0.46361594171274,0,0,-0.382232916564574,0,0,-0.706969176113815,-0.499694816136767,-0.302228012288087,-0.538958866536805,0,0,-0.917093619003261,0,0
GPATCH8,0,0,0.354813390026251,0,0.484582357778973,0,0,0.483063972222916,0,0.62042346090438,0.681799669389809,0,0,0,0.416683281230978,0,0.5263723618154,0.333396602121,0.576622281209881,0.458116285188109,0.646802990504238,0.583274317144555,0.280553646603709,0,0,0.502261728475091,0.909641360037261,0,0
SYNJ1,0,0,0.365785963384666,0,0.428389167158904,0,0.475585081361302,0.521747831848249,0,0.728881084268703,0.635144165965812,0,0.572084899925212,0,0.470088730961202,0,0,0.348175615749097,0.495137652801121,0,0.680416838379676,0.540812707946904,0,0,0,0.674512015254122,0.875,0,0
UBR3,0,0,0.353473283704915,0,0.375466786231113,0,0.518318053088849,0.523449998988929,0,0.640641395988059,0.636074085935953,0,0.474540664813241,0,0,0,0.638285764868043,0,0.622740155917613,0.40889846801449,0,0.702639464832931,0.428299010126294,0,0,0.615664718711621,0.869668640628119,0,0
RSBN1,0,0,0.370488320302767,0,0.360557334888343,0,0,0.387342049951647,0,0.667929307096843,0.746103477711552,0,0.487320993035804,0,0.390438854192268,0,0.490332452357769,0,0.559790125217844,0.464847307388744,0.666374559052723,0.489120466045631,0.382386847195358,0,0,0.523739355475062,0.819698582740036,0,0
MORC3,0,0,0.373804064003431,0,0.470910952615451,0,0.462910574569193,0.459532492836267,0,0.617780154903841,0.650856345963013,0,0,0,0.487948047712129,0,0.514232602840198,0.272222874082459,0.551780276483977,0.469153866391436,0.68315724115388,0.576064501229645,0.35186005233815,0,0,0,0.849823674229823,0,0
GCC2,0,0,0.385718844328907,0,0.317480128918013,0,0.584973071569145,0.48508968196476,0,0.587924365833052,0.626884585268302,0,0.685016553998399,0,0.494609645788208,0,0.560186648794244,0.304939020392105,0.483753930500685,0.397172808775019,0,0,0.416562521333485,0,0,0.538671201602758,0.871548339876239,0,0
ZNF593,0,0,-0.410960314747215,0,-0.380832072826839,0,-0.516592329477272,-0.491997673348059,0,-0.595683064265104,-0.68686473856955,-0.466284400480228,0,0,-0.507390648220672,0,0,0,-0.533608494222862,-0.387816971242386,-0.665578879417195,-0.636184499454792,-0.356139720104676,-0.562761397087726,0,-0.509005478496959,0,0,0
MAML2,0,0,0.458021502278059,0.664873377584239,0,0,0,0,0,0.590802683160264,0.640932996586721,0.575853725241157,0,0,0.47983788166602,0,0,0.291989481276465,0.626008595935227,0.550049582093781,0.708657600480458,0,0.353819774718398,0.419811147701365,0,0.457591325010281,0.855612482533768,0,0
MRPL12,0,0,-0.36680947316828,0,-0.33731153801104,0,-0.572993615897854,-0.445874712885679,0,-0.588059845395378,-0.486302751680476,-0.454262484297574,-0.479777443117954,0,-0.527239463341916,0,0,0,0,-0.4179203853237,-0.681287198511708,-0.506257579373135,-0.302721356240756,-0.57224757820075,0,0,-0.874650675360969,0,0
WDR47,0,0,0.389732086156553,0,0.351867081951604,0,0,0,0,0.691939111495108,0.590018774926584,0,0.712022241109606,0,0.404282308245341,0,0,0,0.624858129856921,0.498115880436322,0.7243006230152,0.565402806014515,0,0.511699430473179,0,0.604081405650942,0.897190431831792,0,0
CHCHD5,0,0,-0.391910601444957,0,0,0,-0.503465463447415,-0.357249911680007,0,-0.60811726213259,-0.578549551810097,-0.488881987289727,-0.639763564292347,0,-0.424313041361077,0,0,-0.317566320068744,-0.481487109198147,-0.389729423431081,-0.592635095454186,0,0,-0.35120260130502,0,-0.477374520247088,-0.872479872246989,0,0
ASB7,0,0,0,0.664582129586569,0.670191047024344,0,0,0.532978150168968,0,0.599832645338194,0.67716709180296,0,0,0,0.453231456193825,0.47052998065764,0.612944018007309,0.627437286252153,0.556810076966491,0,0,0.645913348745672,0.398580498350211,0,0,0.523637148146668,0,0,0
STAG1,0,0,0.330835651832694,0,0.40919882165208,0,0,0.440672457127632,0,0.566808566962852,0.651950184029586,0,0,0,0,0,0.538006297499968,0,0.721447664646891,0.658579725983041,0.655156355935848,0.584907321582736,0.436242120832859,0,0,0.584472331187102,0.850696985827401,0,0
