,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ZGLP1,0,0.557835408913807,0,0.419251615736927,0.490385935392377,0.415053557553557,0.584473863581817,0,0,0,0,0,0,0,0.415559513127023,0,0,0.358711163029862,0.629968555994518,0,0.722206636632856,0.582620276856093,0.40376495640943,0,0,0.497326403615083,0,0,0
LIME1,0,0.537704279059979,0,0.706644184976621,0.433662513397473,0,0.633998367973888,0,0,0,0,0,0,0,0.579585406696552,0.599397201046763,0,0,0,0,0.700367869869821,0,0.676905299454466,0.369602826276927,0.726900153609831,0,0,0,0
HEXDC,0,0.464898162433253,0,0.483169413314227,0,0.362269952269952,0.570519080305285,0,0,0,0,0,0,0,0.327342490695724,0.365588349072705,0,0,0.64014909544217,0,0.682735843744941,0.411217699336422,0.436322928451641,0.361608923140328,0,0.501563680045759,0,0,0
LYL1,0,0.34709470604712,0,0.641725222113391,0.487346865778414,0,0,0,0,0,0,0,0,0,0.405716531961882,0.391508704061896,0,0,0.542685082393218,0,0,0.361962037014069,0.483506228439313,0.430241875022981,0.662408602150538,0.610611441069925,0,0,0
PTPRCAP,0,0,0,0,0,0.331623654123654,0,0,0.414377289377289,0,0,0,0,0,0.575025340321749,0.584357492319945,0,0,0.514962260991447,0,0,0.385669599948851,0.623266846243422,0.563863833405321,0.663164362519201,0.613146366971453,0,0,0
SEPT1,0,0.354250679139416,0,0.595941728070029,0,0,0,0,0,0,0,0,0,0,0.566367295370029,0.593652975310047,0,0,0,0,0.584740369930426,0,0.623887508470106,0.573788187935886,0.63747465437788,0.611780932311309,0,0,0
CD79B,0,0,0,0.588656415634528,0.450457371790431,0,0,0,0,0,0,0,0,0,0.612318243145294,0.592002730686085,0,0,0,0,0,0.369939791259129,0.476764619226569,0.535392405054999,0.74147465437788,0.570073436425845,0,0,0
U2AF1L4,0,0.445074553427857,0,0,0.464418452051844,0,0.574866797868766,0,0,0,0,0,0,0,0.488188379534122,0,0,0.264406302951661,0.522190661068352,0,0.651801891801645,0,0.527818439402575,0.431291612562664,0,0.481524137779898,0,0,0
DERL3,0,0,0,0.601739678822679,0.535434191485315,0,0,0,0,0,0,0,0,0,0.679012436776963,0.626284218910001,0,0,0,0,0,0,0.556881474393076,0.55919553679201,0.756276497695852,0.461583856324857,0,0,0
TLR9,0,0,0,0.616883991954298,0,0,0,0,0,0,0,0,0,0,0.685359583350357,0.639195357833656,0,0.274759377297088,0,0,0,0,0.66806739492931,0.545513353348846,0.73458064516129,0.579463343387711,0,0,0
ATP5D,0,0.478867760107062,0,0.422484704337706,0.420366426404263,0,0.448697739163827,0,0.543315018315018,0,0,0,0,0,0,0,0,0,0.642177140766192,0,0.677824428107706,0.408352779269438,0,0,0,0.501914407715898,0,0,0
SPPL2B,0,0.462043035134442,0,0.41440022125461,0.432792228646852,0.404680874680875,0.511796860749772,0,0,0,0,0,0,0,0.474854387360558,0,0,0,0.627224182734946,0,0.643379613084649,0,0,0,0,0.521879550412982,0,0,0
PVRIG,0,0,0,0.538881178709201,0,0.389308191808192,0,0,0,0,0,0,0,0,0.525759499753064,0.466746159972693,0,0,0.478978410930358,0,0,0.40814524725483,0.612741416130472,0.512149246167193,0,0.531563740817684,0,0,0
COPE,0,0.471897040537917,0,0.467382123063492,0.478995406760513,0,0.405598425574809,0,0,0,0,0,0,0,0.31166923287999,0,0,0.389511559207507,0.608447708060705,0,0,0.480763284581944,0,0.361181778012885,0,0.455045533825193,0,0,0
CD79A,0,0,0,0.622329626477296,0.446643736153845,0,0,0,0,0,0,0,0,0,0.661669817165233,0.632849926043919,0,0,0,0,0,0,0.636938254462298,0.592676803156114,0.788491551459293,0,0,0,0
PNOC,0,0,0,0.621158886460707,0.470008048569505,0,0,0,0,0,0,0,0,0,0.677676840465547,0.639151812299894,0,0,0,0,0,0,0.601851303073695,0.568734981752095,0.780645161290322,0,0,0,0
TRMT1,0,0.505587987272342,0,0.309267883938827,0.461369306782302,0.360559440559441,0,0,0,0,0,0,0,0,0.363207670278449,0,0,0,0.649476863537978,0,0.684214400276513,0.481837978987558,0,0,0,0.483675556003263,0,0,0
FCRL5,0,0,0,0.571662526457,0.448635090724342,0,0,0,0,0,0,0,0,0,0.689629315947838,0.623830697462738,0,0,0,0,0,0,0.61151919430902,0.579680229671312,0.763133640552995,0,0,0,0
ANKS3,0,0.482300878398105,0,0.405321619210177,0.38322504102681,0.334483571983572,0.488552968847502,0,0,0,0,0,0,0,0.359242110548548,0,0,0,0.578082845961585,0,0.703414716827979,0,0,0,0,0.49723054971521,0,0,0
RPS15,0,0.455711810727216,0,0.41847828161284,0.386053781330566,0,0.446019680314885,0,0.643543956043956,0,0,0,0,0,0,0,0,0,0,0,0.652545959785139,0.433200720143078,0.268562536611818,0,0,0.469850955933172,0,0,0
