,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CLIC4,0,0,0.561660182451103,0,0,0,0,0,0,0,0.613030353848734,0,0.466239465140385,0,0.503680738513555,0,0,0,0,0,0,0.454822481516898,0,0,0,0,0,0,0.708180965775902
GNG12,0,0,0.435187142865267,0,0,0,0,0,0,0.512421730423099,0,0,0.43917575520784,0,0.369830095024589,0,0,0,0,0,0,0.386731017895618,0,0,0,0,0,0,0.80196905766526
PDCD6IP,0,0,0,0,0,0,0,0,0,0.41701627458632,0.591433514189633,0,0,0,0,0,0,0,0,0,0,0,0.336639663215383,0,0,0.451939443907421,0,0,0.820698546647914
WDFY1,0,0,0.409243814298469,0,0,0,0,0,0,0,0.45470438632217,0,0,0,0.351185108450229,0,0,0,0,0,0,0,0.591065195130277,0,0,0,0,0,0.775761837787154
AXL,0,0,0.64573637287915,0,0,0,0.422184418950703,0,0,0,0,0,0.479028540521943,0,0.56688265600272,0,0,0,0,0,0,0,-0.43557469564228,0,0,0,0,0,0
LAMP2,0,0,0,0,0,0,0.426021408342533,0,0,0,0,0,0.627863200264747,0,0.385885276816251,0,0,0,0,0,0,0,0.301825008533394,0,0,0,0,0,0.723417721518987
SLC7A7,0,0,0.45753602336129,0,0,0,0.40281284500552,0,0,0,-0.50107744625693,0,0.549154222618112,0,0.511529971678676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FEM1B,0,0,0,0,0,0,0,0,0,0,0.411934372237822,0,0,0,0,0,0,0,0,0,0,0.57736559419665,0.577294345204233,0,0,0,0,0,0.791092358180966
MBNL1,0,0,0.513335220569697,0,0,0,0.45510142562281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.611076619492147,0,0,0,0,0,0,0.768799812470699
TGFBR1,0,0,0.532722572252612,0,0,0,0.407036144578313,0,0,0,0,0,0,0,0.29978500600651,0,0,0,0,0,0,0,0.388566162248265,0,0,0,0,0,0.704313173933427
EPS15,0,0,0.341435601323846,0,0,0,0,0,0,0,0,0,0.45040637842834,0,0.38997659413682,0,0,0,0,0,0,0,0.343444760496075,0,0,0,0,0,0.757501172058134
RHOG,0,0,0,0,0,0,0,0,0,-0.451012190251539,-0.493778677786198,0,0.590430753844741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.710665729020159
PICALM,0,0,0.425579361553836,0,0,0,0.481361301780828,0,0,0,0,0,0.59726388866616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.736146272855134
RAB32,0,0,0.368855060457912,0,0,0,0,0,0,0,-0.460255535703253,0,0.465867565097086,0,0.4611343230101,0,0,0,0,0,0,0,0.46727409261577,0,0,0,0,0,0
WIPF1,0,0,0.557306648316663,0,0,0,0.527465847453559,0,0,0,0,0,0.612796947824654,0,0.522021265111023,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM43,0,0,0,0,0,0,0,0,0,0.444337743899575,0.548273879399152,0,0,0,0.385130156353004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.839474917955931
NPAT,0,0,0.335527793241461,0,0,0,0,0,0,0,0.485123171840384,0,0,0,0.326825668812778,0,0,0,0,0,0,0,0.28276117874616,0,0,0,0,0,0.78694327238631
GSK3B,0,0,0,0,0,0,0,0,0,0.455859844314866,0.650358287131547,0,0,0,0,0,0,0,0,0,0,0,0.334690408465127,0,0,0,0,0,0.770135958743554
MYLIP,0,0,0,0,0,0,0.438439399030384,0,0,0,0.490548230378058,0,0.529449351762625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746858884200656
SNX30,0,0,0,0,0,0,0.494765420246724,0,0,0.412570176127587,0,0,0,0,0,0,0,0,0,0,0,0,0.498185459096598,0,0,0,0,0,0.774378809188936
KLHL24,0,0,0,0,0,0,0,0,0,0.444471145554504,0.592686226718902,0,0,0,0,0,0,0,0,0,0,0,0.395184435089316,0,0,0,0,0,0.743858415377403
FAM63B,0,0,0,0,0,0,0,0,0,0.467363451354318,0.586299095046017,0,0,0,0.367368919126886,0,0,0,0,0,0,0,0,0,0,0,0,0,0.751336146272855
HPS3,0,0,0,0,0,0,0.463135602169635,0,0,0,0,0,0.557541290235109,0,0,0,0,0,0,0,0,0,0.347283877574241,0,0,0,0,0,0.798640412564463
SPTLC2,0,0,0,0,0,0,0.588836173378774,0,0,0.409610197039647,0.563187904357573,0,0.600293467184304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERBB2IP,0,0,0,0,0,0,0,0,0,0,0.423843652397807,0,0.592715074416455,0,0,0,0,0,0,0,0,0,0.391184207532143,0,0,0,0,0,0.749132676980778
ZNF627,0,0,0,0,0,0,-0.399399030384486,0,0,0.425635018890256,0.519605234787455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812001875293014
RCBTB2,0,0,0.470484486853903,0,0,0,0,0,0,0,0.474094005767395,0,0,0,0.5140862410735,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696952648851383
BMP2K,0,0,0,0,0,0,0.457613593817501,0,0,0,0,0,0.445881035721939,0,0.538519872014259,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71221284575715
RAB27A,0,0,0.405162918417257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.437894297725987,0.534105814085789,0,0,0,0,0,0.768026254102203
