,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
KDM4B,0.437041251778094,0.443925240570225,0.492884866154712,0.633281190546654,0.580069345699521,0.444562937062937,0.641947295156723,0,0.617994505494506,0,0.651771135031945,0,0,0,0.670219541943353,0.709191716918876,0.550348385791424,0.568247897463152,0,0,0.441511193081536,0.581087894000753,0.415789282057117,0.59475131244486,0,0.652463592552603,0,0.317522676443389,0.552484763244257
FEM1A,0.509132290184922,0.563846515233027,0.452733744017871,0.52826514841904,0.72425323648949,0.543259240759241,0.643526328421255,0,0.735302197802198,0,0.427905668918229,0.411044309811756,0,0,0.560132051332113,0.662219592672659,0.545340735214153,0.449088756906363,0,0,0.431216721236865,0.634939307367142,0.436567300034134,0.603600488290634,0,0,0,0.477458664270583,0.634083450539147
REXO1,0,0.44109456673647,0.63036479057258,0.479942642934652,0.60770435003835,0.625150127650128,0.64800844813517,0,0.677106227106227,0,0.569395987032818,0.596205459576973,0.657266629442646,0,0.608752276846112,0.737432472408693,0.658695734645102,0.400662683033727,0,0,0.560415153181037,0.510413110992244,0.405399704175674,0.516415606083106,0,0,0,0.355331833594585,0
SPPL2B,0.474907539118065,0.355568202196069,0.625499385700351,0.502667033075438,0.570573040316476,0.42716033966034,0.682520616329861,0,0.774542124542124,0,0.549986823506864,0.462355896927192,0.557674247051843,0,0.513505688382744,0.698546592331323,0.526751729283375,0.35498362488741,0,0,0.347466649879847,0.437731486414863,0.361145067698259,0.31583941876818,0,0.498027766876686,0,0.286644673413305,0
CHERP,0.553854907539118,0.54174799296333,0.645619810758216,0.527437205522438,0.556834883934745,0.723991841491841,0.747519032304517,0,0.708516483516483,0,0.634868027018746,0,0.649260792171876,0,0.571085375125471,0.630070997838207,0,0,0,0,0.605579649682002,0.659822885051371,0.463238138582319,0.519923939343647,0,0.516989528260695,0,0,0
ARHGEF18,0,0.363624507410882,0.653452599931377,0.503950638161943,0.357304157593329,0.489043456543457,0.758046944751116,0,0,0,0.585910735248317,0,0.594113161995927,0,0.626432546783015,0.660822164068722,0.531278847734544,0.5613712992073,0,0,0.582691152746248,0.560117377871427,0.321820684947093,0.44259636970327,0,0,0,0.50125597654636,0.675738396624473
GTF2F1,0,0.482759566121428,0.641327443302343,0.665031919841035,0.49031792471722,0.581893939393939,0.715680314885038,0,0.627289377289377,0,0,0.494697099628704,0,0,0.625533637601898,0.749621799977244,0,0.689631654869914,0,0,0.393705509387456,0.626603088733213,0.479822050290135,0.578992693110647,0,0,0,0.546707242688774,0
BRD4,0,0.369116162851185,0.497638279556575,0.357340154173537,0.477761138952107,0.671699966699967,0.650374693995104,0,0,0,0.550576298199801,0,0.458325181467103,0,0.493699251885217,0.564623961770395,0,0.283559921868799,0,0,0.423541540732932,0.551549170588172,0.483940152463307,0.376140691468453,0,0,0,0,0.625222691045476
ANAPC2,0,0.220370181000102,0.536235570066493,0.25718724897476,0.403215141695204,0.287305194805195,0.553860125762012,0,0.569551282051282,0,0,0.429685580653685,0.597827934635397,0,0.434785844391206,0.424352486062123,0.375181780245071,0,0,0,0.419198244265437,0,0,0.298761257326543,0,0.477958667356397,0,0.274264614254514,0.727894983591186
CLPP,0.453058321479374,0.386452928561795,0.630802604133427,0.664459993329481,0.486985401634523,0,0,0,0.715934065934066,0,0,0.542121901812906,0.452447236408008,0,0,0.500338149960178,0.391722201848784,0.398037315930966,0,0,0,0.395212578815873,0.395812720446012,0.358543339069365,0,0,0,0.297720878068616,0
AKAP8,0.365035561877667,0.384520363808279,0.483908024187799,0.327132569511972,0.514213601379357,0.500148462648463,0.611763644218307,0,0,0,0.410655811085655,0,0.382032898064983,0,0.404102342653568,0.549459779269542,0.298473678220514,0,0,0,0.384503288678828,0.505597250235744,0.331931505290704,0,0,0.418133311136234,0,0,0
MIER2,0,0,0.62726546822945,0.425092894018612,0.509098946716155,0.497083194583195,0.633702683242932,0,0,0,0,0,0.647938367517717,0,0.622645459744901,0.66863033337126,0.505203657102391,0.386489324254837,0,0,0,0,0,0.490771394379854,0,0,0,0.411780600901155,0
DMWD,0.417411095305832,0,0.54276102679981,0.331447267671003,0,0.497311854811855,0.577005712091393,0,0.694139194139194,0,0.532422999474201,0,0,0,0.356278352907128,0,0.321564511437929,0,0,0,0.423673991089952,0,0.303608374103994,0.47142713638071,0,0,0,0,0.575175808720113
C19orf52,0.546230440967283,0.382493690265001,0.524945178521818,0.474815268911155,0,0.428601676101676,0,0,0.615750915750916,0,0,0.526771766690925,0.525252756448478,0,0,0.437925588804187,0,0,0,0,0,0.504533037245009,0.367028558425304,0.440265742787013,0,0,0,0,0
HAUS5,0.387624466571835,0.294999933308732,0.525669405476313,0.286464719063121,0.299448483802754,0.42483571983572,0.558610281764508,0,0.539789377289377,0,0,0,0,0,0.361793316351258,0.347401752190238,0.297158537664867,0,0,0,0.355010944016215,0.461817079046289,0.211654795767437,0.263525716057686,0,0,0,0,0
ALKBH7,0.355220483641536,0.427762241182303,0.631994617163783,0.486119919014266,0.440791039719494,0,0,0,0.564102564102564,0,0,0.45069554213349,0.493841708495095,0,0,0.348269427693708,0,0.246627486031977,0,0,0,0,0.358877688019115,0.305236240074772,0,0,0,0.26260075686524,0
SIX5,0.488847795163585,0,0.488073487635969,0,0,0,0,0,0.704395604395604,0,0.627658783046834,0,0,0,0,0,0.395617041186661,0,0,0,0,0.497239370011065,0.452173171009216,0.406002306059521,0,0,0.689941113846563,0,0.58202062822316
TBL3,0,0,0.433477740615791,0.306093424841575,0,0.344551004551005,0.444091201459223,0,0.647847985347985,0,0,0.463111467522053,0.557353080530719,0,0.40202314860541,0.325095915348731,0,0,0,0,0.252835708381654,0,0.25189532370008,0.233622609865393,0,0,0,0,0.529559306141585
CASKIN2,0,0.325197739610612,0,0.423743523255213,0,0.423737096237096,0,0,0,0,0.566214715053608,0,0,0,0,0.510887472977586,0,0,0,0,0.393535034536797,0,0.330923882125384,0.3968570112071,0,0,0.70854680950163,0.373053236353143,0.709470229723394
WDR18,0,0,0.577976478210529,0.426587888780845,0.45931891087201,0,0,0,0.583424908424908,0,0,0,0.548826204155775,0,0,0.508439412902492,0.522401648983927,0,0,0,0,0,0.415255888041871,0.309676824101816,0,0,0,0.359437532383207,0
RBM42,0.393200568990043,0,0.501755824893954,0,0,0.474284326784327,0.597205971295541,0,0.654990842490842,0,0,0.479360870713991,0.33169387276091,0,0,0.291746956422801,0,0,0,0,0,0,0.239028103310957,0.243731710938933,0,0,0,0,0.490834505391467
ZNF341,0,0,0.405339151750443,0,0,0,0.520623625978016,0,0.579899267399267,0,0.523809733960929,0.435978139442176,0.582503495218949,0,0,0.433145522812607,0,0.249207989812575,0,0,0.439651707368189,0.389931343238736,0,0,0,0,0,0,0
ZNF219,0,0.27081842042472,0.542976268634616,0.354678993033536,0,0,0,0,0.545650183150183,0,0,0.551881741613398,0.5624534031551,0,0,0,0,0,0,0,0.322499513208282,0,0,0.398051860133996,0,0.482202113058248,0,0.501109063362869,0
DDX51,0,0,0.344886632068738,0.365748765719171,0,0.418073038073038,0.467891134258148,0,0.50728021978022,0,0,0,0.431346027404849,0,0,0.400804414609171,0,0,0,0,0.267892625867916,0,0,0.259572003214507,0,0.450589386385873,0,0,0.467252695733708
MEN1,0,0,0,0.374723431840922,0.331128863856482,0.439166666666667,0,0,0,0,0.512455253511945,0.499670886428005,0.511079005797909,0,0,0.392906815337354,0,0,0,0,0.318621014857118,0,0.334590283308681,0,0,0.461767829515966,0,0,0
ABL1,0,0.234345706786652,0,0,0,0.438959651459651,0.412759372149954,0,0.518406593406593,0,0.406408441025421,0,0,0,0.334460482220502,0,0.312383818712933,0.247010981160856,0,0,0.349975191217261,0,0,0.501922153021025,0,0,0,0.408451443225269,0
FRAT1,0,0.371134685239444,0.338822368721753,0,0.280433202811612,0.310679598179598,0,0,0.604075091575092,0,0,0,0,0,0,0.337978837182842,0.304872342847026,0,0,0,0.278325999526111,0,0,0.246767367510766,0,0.375413502306295,-0.602451926275867,0,0
CEP250,0,0,0,0.30816152050245,0.397973281880319,0.560377955377955,0.461922910766572,0,0,0,0,0,0,0,0.309733072094193,0.472577995221299,0,0.327554017165397,0,0,0.440246512108015,0.42529913084614,0,0.320225626959932,0,0,0,0,0
CROCC,0,0.397963841476337,0.551817149544315,0,0.426073025832721,0.467714785214785,0,0,0,0,0,0,0,0,0.499093510902447,0.511873705768574,0,0.343309239428648,0,0,0.409393203371023,0,0,0.398058739004726,0,0,0,0,0
SLC35E1,0.510241820768137,0.371548912117211,0,0,0.396553873900651,0.385247252747253,0.464403590457447,0,0,0,0,0,0,0,0.442912318742377,0.335250199112527,0,0,0,0,0,0.39632780135902,0.326994879963591,0.286141696001957,0,0,0,0,0
SELT,0,0,-0.304407960683137,-0.260564786238062,0,-0.385802808302808,-0.491433782940527,0,0,0,0,0,-0.334444271121109,0,-0.372405314210506,-0.345101831835249,0,-0.271888124678623,0,0,0,0,-0.365120491523495,-0.254045212742726,0,0,0,0,-0.529606188466948
SFI1,0,0.293607567828725,0.474887371376733,0,0.365173244600393,0,0.510052704843277,0,0,0,0.440239244766284,0,0.521426603317797,0,0.487260342566284,0.473955171236773,0,0,0,0,0.338922770982678,0,0,0,0,0,0,0,0
