,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
FBXO11,0,0.451263503129302,0.415562222667352,0.422209773719096,0.537014809954244,0,0.550761964191427,0,0,0,0.422497632644415,0,0.542221370184142,0,0.355142169372084,0.461267948572079,0.419416027010964,0.589626995986458,0,0.588341124805213,0.445458018222041,0,0.438280805552395,0.317452131794796,0,0,0,0.471915315043517,0.356000937646507
DHX57,0,0.342643434392835,0.332374739425526,0.547412355491669,0.58192578523992,0,0.545763740219844,0,0,0,0.465285929901056,0,0,0,0.510314313868261,0.536668562976448,0.430948798037406,0.594448940362841,0,0.446508003966568,0.507201780445596,0,0.532592786437592,0.355801399358846,0,0,0,0.389184828590355,0.438326300984529
USP39,0,0.46627348458913,0.412385178201662,0.506719842913983,0.346384665859775,0,0,0,0,0,0.433159243908867,0,0,0,0.448608051708812,0.340443964045967,0.396856308248713,0.510226249184695,0,0.489527047538097,0.400040253178613,0,0.389483217658437,0.329209213755995,0,0,0.841389979373212,0.424792911438897,0.519573370839194
SLC4A1AP,0.405547652916074,0.48401113892384,0.42342805953978,0.396615181536756,0.547780647940221,0,0,0,0,0,0.378628736859758,0,0.573954750946515,0,0.409362345272085,0.517155080213904,0.370098256174205,0.447281714054989,0,0.58047072632708,0.355686489711686,0,0.3204740015929,0.378038713847713,0,0,0,0.415130746174682,0
MRPL19,0.56298719772404,0.378331414106833,0.448014031265356,0.473159383117951,0.405433045379493,0,0,0,0,0,0.345745505807114,0,0,0,0.460703416245369,0.40162885424963,0.400827021080186,0.460949929081441,0,0.416139477465444,0.334238818061889,0,0.38974445329389,0.277175251788506,0.477062980030722,0,0,0.458997448695162,0
GTF3C2,0.516899004267425,0.318327797958061,0.430746008105427,0.440307078735608,0.610451225640528,0,0,0,0,0,0.41417941970472,0,0,0,0.614870532730309,0.501312777335306,0.475891197410185,0.496860861582847,0,0,0.427957953707476,0,0.396428035043805,0.436379071636341,0,0,0,0.556295951361243,0
SUPT7L,0,0.311903205775167,0.350310625203915,0.410674943746859,0.439332588574458,0,0,0,0,0,0.425006209974038,0,0,0,0.395209377964494,0.523302537262487,0.509326116921053,0.463945849970149,0,0.544063303179325,0.34688484580237,0,0.384480145636591,0.430788405936356,0,0,0,0.402089577690184,0.389404594467886
MTIF2,0.3849786628734,0.338260336035071,0.422632239768325,0.429959554108711,0.562250548808365,0,0,0,0,0,0.398738965475066,0,0,0,0.522764326616302,0.488790306064399,0,0.419188215440575,0,0.51916297330662,0.403935466667084,0,0.37239367391057,0.30405296512085,0.4957910906298,0,0,0,0
HEATR5B,0,0.284269308233704,0.321044939184019,0.270824231833406,0.501660593985085,0,0.530490279844477,0,0,0,0.274669358285871,0,0.504435830112678,0,0,0.326471270906815,0.389218376560149,0.342850684510765,0,0.545706595430352,0.369318026307867,0,0.294786437592445,0.233594766817201,0,0,0,0.327594099861613,0.316502578527895
E2F6,0.413200568990043,0.327744605046899,0.274208893053727,0.412624426311908,0.535835958251521,0,0,0,0,0,0.279839082865641,0,0,0,0.576159554944058,0.496081465468199,0.354974139784266,0.535013234680038,0,0,0,0,0.385057230629196,0.381804404224282,0,0,0,0,0.374003750586029
SETDB1,0.404893314366999,0.208164937880789,0.256911613517583,0,0.403626984116988,0,0.389527768444295,0,0,0,0,0,0,0,0.356612673160894,0.271601092274434,0.32596517406644,0.40672138841629,0,0,0.463025432032537,0,0.196152008192058,0.286307116464741,0,0,0,0.315027775773754,0.359493670886076
TTC31,0.384637268847795,0.230379058348932,0.327608056392982,0.237786374291257,0.511299218003181,0,0,0,0,0,0.41596108332209,0,0,0,0,0.337773353054955,0.275509300825756,0.410828970662838,0,0,0.36642787154329,0,0.279532370007965,0.430321625422559,0,0,0,0.412014087924917,0
SNRNP27,0,0.428481024852131,0.326249920224244,0.296908543431183,0.418344998003761,0,0,0,0,0,0.396236692687614,0,0,0,0.364946217047462,0.441705541017181,0.369643015212635,0.355541828145868,0,0.46008135510898,0,0,0.272120150187735,0,0,0,0,0.40943786031442,0
PEX13,0,0.373576326674581,0.421172601456331,0.473386039825815,0.545652165699194,0,0,0,0,0,0.234279939325086,0,0,0,0.538616113983568,0.310137444532939,0,0.486434021582709,0,0,0,0,0.270084423711458,0.325944916623719,0,0,0,0.44300752274203,0
THADA,0,0.358896096485963,0.369533707284164,0.411231603226276,0.426193933699667,0,0,0,0,0,0,0,0,0,0.348847737854332,0.578357947434293,0.457858597099103,0.490957883693563,0,0,0,0,0.368078279667767,0.304890549523502,0,0,0,0,0
EIF2B4,0.466827880512091,0,0.328764852244769,0.366554395261113,0,0,0,0,0,0,0.341737708349357,0,0,0,0.450126331940619,0.486889976106497,0.512462221322981,0.417159875625067,0,0,0,0,0.340363181249289,0.342734274683135,0,0,0,0,0
USP30,0,0,0.292860601687181,0,0.38975910366968,0,0.436667594681515,0,0,0,0,0,0,0,0,0.366892934349755,0.50684758279695,0.34851079653103,0,0.509438811648757,0,0,0.261316645807259,0.324182287890567,0,0,0,0,0.505274261603376
NCOA1,0,0.326560464526914,0,0,0.452412048972724,0,0.474615849853598,0,0,0,0.260486029765005,0,0,0,0,0.407375355558084,0,0,0,0.717465039564487,0.31453343066561,0,0,0.237073073261065,0,0,0,0.369944448452493,0.374285044538209
LYSMD1,0,0.292126280657605,0,0,0.435236834581665,0,0,0,0,0,0,0,0,0,0.396081987132518,0.345221299351462,0.435956448614676,0.350643961224285,0,0.430429239269018,0.414364832602299,0,0.274247127090682,0,0,0,0,0,0.474988279418659
DSTYK,0,0,0,0,0.433838837370103,0,0.454745067921087,0,0,0,0.331912709830925,0,0.598345766447939,0,0,0,0.319389471288205,0,0,0.658304494768583,0.332824287348655,0,0,0,0,0,0,0.367407572587574,0.321823722456634
SUCLG1,0.341564722617354,0.293858771606118,0.284215058166268,0.295850420665455,0.293356490548405,0,0,0,0,0,0,0,0,0,0.316677768564479,0.393534645579702,0,0,0,0.431926820877097,0,0,0.397275002844465,0.352650221434125,0,0,0,0,0.411040787623066
POGZ,0,0,0.280802909545562,0,0.332121315930997,0,0.477654874477992,0,0,0,0,0,0,0,0.320941471560383,0.250798043008306,0.36774617787276,0.297840262415924,0,0,0.405848714517967,0,0,0.253396196748806,0,0,0,0.433710016986837,0.336591654946085
CCDC142,0,0,0,0,0.408847433163768,0,0.449626266020256,0,0,0,0.273530757969887,0,0,0,0.374323377610764,0.267514848105587,0.34731091693117,0,0,0.468413170623115,0.298245457979122,0,0.229119808851974,0.253754553157293,0,0,0,0.346742659259794,0
PIP5K1A,0,0.295880258050748,0.32431499744191,0,0.335240990789591,0,0,0,0,0,0,0,0,0,0.417560369440533,0.305176470588235,0,0.323424003257767,0,0.407496003076114,0.335281119284694,0,0.221283877574241,0,0,0,0,0.369118061795358,0.373159868729489
FAM117B,0,0,0.328060719302447,0,0,0,0.508099649594393,0,0,0,0.366881483433555,0,0,0,0,0,0.322601449183728,0.440108327667901,0,0.680792503996924,0,0,0.293508931619069,0,0,0,0,0.40480747158476,0.355672761368964
ACP1,0,0.392278040343771,0.337709594343178,0.410370777491227,0,0,0,0,0,0,0,0,0,0,0.510887860878673,0.403366708385482,0,0.397859156776605,0,0,0,0,0.407339629081807,0.347132821166831,0,0,0,0,0.445944678856071
PUS10,0,0.369758622069474,0.291475210118283,0,0.466898322781183,0,0,0,0,0,0.322157691730584,0,0,0,0,0.257508476504722,0,0.355938695995776,0,0.493813368951491,0.309588096007057,0,0,0.298299499480263,0,0,0,0.454608417338379,0
DHTKD1,0,0.370566327430415,0.279842525290758,0.296342488855067,0.406475875731902,0,0.516252100033601,0,0,0,0,0,0,0,0.395111183592467,0,0,0,0,0.526786473195313,0,0,0,0.264618037054184,0,0,0,0.430666815328817,0
CENPL,0,0.306158123515193,0.255161728363077,0.261854263260005,0,0,0,0,0,0,0,0,0,0,0.321715541814724,0,0,0.314928011623051,0,0.412921700767005,0.356453137792945,0,0,0,0,0,0.839310666045645,0.346509172236032,0
DARS2,0,0.273499409411768,0.256863611155168,0.298357737097009,0.418151041633868,0,0,0,0,0,0,0,0,0,0.394609301246552,0.31003891227671,0,0.324954964126597,0,0.408728472264384,0,0,0,0.268000039307833,0,0,0,0.337502869398115,0
WDR12,0.370953058321479,0,0.248852208540461,0,0,0,0,0,0,0,0,0,0,0,0.40553965559616,0,0,0.345770682854274,0,0.398929431526117,0.421569936525488,0,0.329406530890886,0.302734078143972,0,0,0,0.45151537013596,0
ALOX5AP,0,0,-0.240536320558892,-0.28422046533914,0,0,0,0,0,0,-0.292512473536684,0,0,0,-0.386499135200443,-0.233789054499943,0,-0.365481210895575,0,0,0,0,-0.334648765502333,-0.220529498344704,-0.575410138248848,0,0,-0.32030353313089,0
YIPF4,0,0.411143518127428,0.356487912103651,0.46666267375057,0.446619806471845,0,0,0,0,0,0,0,0,0,0.469773015956873,0.539829559676869,0.521364711238129,0,0,0,0,0,0,0,0,0,0,0,0
NCKAP1L,0,0,-0.262374530902758,-0.298274355613805,0,0,0,0,0,0,-0.272035951021273,0,0,0,-0.395951750386461,0,0,-0.310504660608968,0,0,0,0,-0.234506997383093,0,-0.607576036866359,0,0.811539357242664,0,0
MRPS9,0.502133712660028,0,0.310475741535397,0.241152167683686,0,0,0,0,0,0,0.273256510385472,0,0,0,0.378868341445375,0.324560700876095,0,0.333939707146037,0,0,0,0,0.460864717260212,0.326082166473039,0,0,0,0,0
ZNF2,0,0.230602844604899,0.251995025784156,0,0,0,0,0,0,0,0.31414461863194,0,0,0,0,0.313891910342474,0,0.332468707832791,0,0.409376075121932,0.295568690025892,0,0.232997838206849,0.215836689057573,0,0,0,0,0.461322081575246
C2orf43,0.345092460881935,0.376669319497118,0.254215456255188,0,0,0,0,0,0,0,0,0,0,0,0.373304108544403,0.322264421435886,0,0.29794724418416,0,0,0,0,0.340685629764478,0.285130611193124,0,0,0,0,0.416901078293483
GDPD1,0,0.250673211303132,0,0,0.304209326848403,0,0,0,0,0,0,0,0.516532859431697,0,0.433617503634914,0.296121287973603,0,0.306142996662859,0,0.388041608483597,0,0,0,0.203849328709568,0,0,0,0.30981649613146,0
NUP133,0,0,0.239429169976176,0,0.309672755301369,0,0.381227091633466,0,0,0,0,0,0,0,0.302044395340878,0,0,0.299133533952907,0,0.429364742071924,0.405615973337108,0,0,0.213524842550292,0,0,0,0,0.410431317393343
MORN2,0,0.286752446458027,0.270772753783266,0.475583318066301,0,0,0,0,0,0,0,0,0,0,0,0.416017521902378,0,0.400204128115844,0,0,0,0,0.418442143588577,0.303793424236336,0,0,0,0,0.418635724331927
UPF2,0,0.241477226413892,0,0,0.350885964989616,0,0.499032496519944,0,0,0,0,0,0,0,0.293537776695662,0,0,0,0,0.516133406188655,0.373834241359545,0,0,0.252052196434343,0,0,0,0.3975483862505,0
RFWD2,0.389985775248933,0,0.270515028067375,0.261565364036509,0.319151428287151,0,0,0,0,0,0,0,0,0,0.325759542081169,0.32471430196837,0,0.360600599097902,0,0,0,0,0,0.268006153859592,0,0,0,0,0.359774964838256
WBP1,0.346116642958748,0,0.31626890422128,0.259171963152431,0.370241299356543,0,0,0,0,0,0,0,0,0,0,0.424754579588122,0.312434401041996,0.34486823987383,0,0,0,0,0.231381727158949,0.262141643591513,0,0,0,0,0
SNAPIN,0.350213371266003,0.225037087755335,0.287180567868579,0,0.356527072656812,0,0,0,0,0,0,0,-0.474656564669933,0,0.333919092431339,0.292156104221186,0.444707191542634,0,0,0,0,0,0,0,0,0,0,0,0
RAD51AP1,0,0.29502512778788,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234491523495278,0,0.373080367465119,0,0,0.340717546632301,0,0,0,0,0,0.822917359771109,0.318881832533359,0.320253164556962
AMICA1,0,0,-0.251952436588542,-0.271110782282727,0,0,0,0,0,0,-0.26616263953528,0,0,0,-0.439048973151017,0,0,-0.344533059091897,0,0,0,0,0,-0.199875743573169,-0.566660522273425,0,0,-0.361221478182736,0
GNA15,0,-0.238153778208554,0,0,0,0,0,0,0,0,-0.281309302099791,0,0,0,0,-0.307091364205257,0,-0.345488561578361,0,0,0,0,-0.259972693139151,0,-0.446660522273425,0,0.79146150775168,0,0
LIN54,-0.377268847795164,0.24704150123527,0,0,0.307269711445819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461817740270779,0.30428314152306,0,0,0,0,0,0.638831592254974,0.326056758334372,0
TPRKB,0,0.224272361211765,0.296394957287586,0.461821850176393,0,0,0,0,0,0,0,0,0,0,0.316898619766125,0.357714870861304,0,0,0,0,0,0,0,0.222435709855784,0,0,0.747779293366159,0,0
SNX27,0,0.359339222913341,0,0,0.44934904967676,0,0.363105841693467,0,0,0,0,0,0,0,0.294180806273414,0,0,0,0,0.467109869872301,0.291251101635073,0,0,0,0,0,0,0.398338044611762,0
C2orf15,0,0,0.36462906221835,0.357703039783537,0.361276484805282,0,0,0,0,0,0,0,0,0,0.341028709507742,0.478524746842644,0,0.34800608415669,0,0,0,0,0,0.35826589128327,0,0,0,0,0
CCDC138,0.475618776671408,0.296120346616752,0,0.353033676724118,0,0,0,0,0,0,0.337671909103633,0,0,0,0,0,0,0.435588347959927,0,0,0.408076812996127,0,0.294008419615428,0,0,0,0,0,0
GPR68,0,0,0,-0.34414708963392,0,0,0,0,0,0,0,0,0.505596432325418,0,-0.321086523597658,-0.277350551826146,0,-0.413068254368135,0,0,0,0,0,-0.230946619963138,-0.480596006144393,0,0,0,0
SUMO1,0.483328591749644,0,0.347775788737369,0.353111186271885,0,0,0,0,0,0,0,0,0,0,0.366694651105634,0,0,0,0,0,0,0,0.239228581181022,0,0,0,0.76777397032404,0,0
WDR92,0,0.291069594561549,0.311103837387627,0,0.433319941107793,0,0,0,0,0,0.318137285188487,0,0,0,0,0,0,0,0,0.532096816627203,0.37312624288287,0,0,0.26655067216394,0,0,0,0,0
NFXL1,-0.383869132290185,0,0,0,0.250346035796285,0,0,0,0,0,0,0,0,0,0.334763908572426,0,0,0,0,0.511096270212292,0.35229048210757,0,0,0,0,0,0,0.330401191046166,0.344514767932489
PRKCI,0,0.233975199740349,0,0,0.29462980152218,0,0,0,0,0,0,0,0.570121162730688,0,0,0.272007964501081,0.32520643913049,0,0,0,0,0,0,0,0,0,0,0.381437781610929,0.421308016877637
CCT4,0,0,0,0.416222748347637,0,0,0,0,0,0,0.350850293602529,0,0,0,0,0.351419729206963,0,0.429218187590805,0,0,0,0,0.41917556035954,0,0,0,0,0,0.528434130332864
MTF2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299623990205829,0,0,0.32602262491847,0,0,0.404579537074761,0,0,0.221926564233366,0,0,0.867298223434693,0.372208485548071,0
TRUB1,0,0,0.242387771045371,0,0.286983638394797,0,0,0,0,0,0,0,0.522064854352513,0,0,0,0,0,0,0.514672252241313,0.314850236279707,0,0,0.202417431713559,0,0,0,0.364495543414813,0
NOP58,0.41072546230441,0,0.246178609650223,0.288455305176229,0,0,0,0,0,0,0.257804707979911,0,0,0,0.341123573310425,0,0,0,0,0,0,0,0,0,0.529861751152074,0,0,0.359510988974953,0
ILF2,0,0,0,0,0.273331125085486,0,0,0,0,0,0,0,0,0,0.426259816566022,0.321480714529526,0.300193477408667,0.328390890674986,0,0,0,0,0,0,0,0,0.78180517665846,0,0
NLRP3,0,0,-0.27585959298462,-0.383315247772188,0,0,0,0,0,0,-0.235893902120722,0,0,0,-0.37250006316597,0,0,-0.32203108338021,0,0,0,0,-0.258171578109,0,-0.556147465437788,0,0,0,0
PTCRA,0,0,0,-0.257563824061006,0,0,0,0,0,0,-0.261572124273023,0,0,0,-0.337453809599177,0,0,-0.312020346302301,0,0,0,0,0,0,-0.501517665130568,0,0.710476412269612,0,0
C2orf42,0,0,0.253586707452878,0,0.415144717900536,0,0,0,0,0,0,0,0,0,0,0.387420411878485,0.406846318238723,0.427070787420324,0,0.473589945965637,0,0,0,0,0,0,0,0,0
PLK4,0,0,0.234272759996824,0,0,0,0,0,0,0,0.276315474246576,0,0,0,0,0,0,0,0,0,0.373222330485048,0,0,0.207147365064945,0,0,0.91333422050702,0,0.32022972339428
ANGEL2,0,0,0.261830518170653,0,0.294745671561336,0,0,0,0,0,0,0,0,0,0,0.235038343383775,0.331478647934344,0,0,0.435790176674155,0.376760758878964,0,0,0,0,0,0,0,0.381692451945616
ICAM3,0,0,0,0,0,0,-0.453507800124802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.211707133917397,-0.210385020221696,-0.436921658986175,0,0.640553263690199,0,-0.35267229254571
POLI,0,0,0.24009336764902,0,0.341089908853101,0,0,0,0,0,0,0,0,0,0,0.263424963021959,0,0,0,0.443401534009269,0.361410788868461,0,0,0.296276783920476,0,0,0,0,0.351078293483357
SGOL2,0,0.261769156325815,0.312998572145613,0,0,0,0,0,0,0,0.375311286769666,0,0,0,0,0,0,0,0,0,0.404081406433158,0,0,0,0,0,0.894296027679819,0,0
PRIM1,0,0.215132693393563,0,0,0,0,0,0,0,0,0,0,0,0,0,0.253241779497099,0,0,0,0.463626980754053,0.338595603938438,0,0,0.195981538421223,0,0,0.77678987291237,0,0
ARHGAP30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.324063708049182,0,0,-0.307689487143207,0,0,0,0,-0.226146091705541,0,-0.677775729646697,0,0.70480404551201,0,0
ARL11,0,0.223848501150795,0,0,0,0,0,0,0,0,0,0,-0.53908857518985,0,0,0,0,0,0,0,0,0,-0.28185641142337,0,-0.477960061443932,0,0.708039457049704,0,0
CWC22,0.382105263157895,0.245346060991388,0,0,0.296418230387421,0,0,0,0,0,0.293406457616454,0,0,0,0.336034003964526,0,0,0,0,0,0,0,0.258144271248151,0,0,0,0,0.407105613526507,0
CSTF1,0,0,0.241312762456971,0.262554197964083,0.307143765751083,0,0,0,0,0,0,0,0,0,0.332762580938577,0,0,0,0,0.448533786655334,0,0,0,0.205919868799189,0,0,0,0,0.411134552273793
SART3,0,0,0,0,0.26932227362206,0,0.529766812268996,0,0,0,0,0,0,0,0,0,0.352141529356719,0.35894108755595,0,0.485161799526441,0,0,0.212851063829787,0,0,0,0,0,0
APBB1IP,0,0,0,-0.315219586897598,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359993218736304,0,0,0,0,0,0,-0.585548387096774,0,0.946154102069333,0,0
MED1,0,0.247308266308609,0,0,0.26936005733048,0,0.492513608217731,0,0,0,0,0,0,0,0,0,0,0,0,0.525264606480076,0.2849609315434,0,0,0,0,0,0,0,0.384013127051102
FYB,0,0,-0.22179229320913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.336387346472535,0,0,0,0,-0.213273409944249,0,-0.600682027649769,0,0.830211590924213,0,0
NAA25,0,0,0,0,0.254705016291076,0,0,0,0,0,0,0,0,0,0.324692152030154,0,0,0.269642370301861,0,0.383221014712727,0.283018358890224,0,0,0,0,0,0,0.356525503210447,0.324777308954524
