,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
C10orf2,0,0,0.521156361955927,0.622925445210145,0.501280237986985,0.520489232989233,0,0.514966224293529,0,0,0,0.685691903342589,0.694228624494669,0,0.412973141829424,0.511953578336557,0,0,0,0,0.52583084984841,0.521395537502677,0.482745249743998,0.52433875490256,0,0,0,0.496859074840461,0
NOP14,0,0,0.433091004601613,0.438448023976287,0.420293377901316,0.428199300699301,0,0.447472501852638,0,0,0,0.525235130787879,0.528158125308884,0,0.341681615946307,0.325892593013995,0,0.338227605437435,0,0,0.612172647232012,0.406862322073615,0.496013880987598,0.424946388483679,0,0,0.789748153569765,0.415623954719258,0
WDR43,0,0,0,0.518049155145929,0.510918862005081,0.577940115440115,0,0.600268468989274,0,0.432509359933873,0,0.451715330666432,0.515731473881712,0,0.48199735392008,0.496944817385368,0,0.267780542432075,0,0,0.558997689987574,0.427859391120634,0.410555467061099,0.510596845764799,0,0,0,0.593123938322697,0
DKC1,0,0,0,0.508817298252042,0.334758618778755,0.476816239316239,0,0.477669910419142,0,0,0,0.554753373414113,0.461447042512651,0,0,0.486490158152236,0,0.355499121714193,0,0,0.53241074898673,0.380957155819159,0.492867447946297,0.366527851783265,0,0,0.673248386452858,0.575329078972395,0
TAF4B,0,0,0.540019563226947,0.585853568022849,0.410920499299112,0.436964979464979,0,0.46411204803656,0,0,0,0.572817536654445,0,0,0.338219087148367,0.413522585049494,0,0.355660457122743,0,0,0.569136447132073,0.384518041834122,0.572425987029241,0.441053318891345,0,0,0,0,0
NOLC1,0,0,0.326301292651595,0.513373920151073,0.583372901272429,0.468142135642136,0,0.554122016003464,0,0,0,0.519950772026274,0,0,0.380903319314316,0.383591534873137,0,0,0,0,0.476117392266541,0.437700740931218,0.426578677892821,0.526206968841991,0,0,0,0.461366423778948,0
POLR1B,0,0,0,0.461887615853286,0.515650641756287,0.531312576312576,0,0.546467021849831,0,0,0,0.629587310122328,0.52639601012921,0,0.312268898684081,0.44117556035954,0,0.325266419113156,0,0,0.485060381722906,0,0,0.486264096225575,0,0,0,0.541691206852451,0
WDR3,0,0,0,0.390336908167627,0.428502518284166,0.465458707958708,0,0.481934844229701,0,0,0,0.597674882144894,0.446273054230928,0,0.381247286734457,0,0,0.347778747899189,0,0,0.573420214250915,0.451664081833297,0,0.426979258566924,0,0,0,0.585943556479593,0
MARS2,0,0,0,0.543085913461764,0.435503839454504,0.465645743145743,0,0.54031257545858,0,0,0,0.618914296044611,0,0,0.328820679849596,0.537310956877916,0,0,0,0,0.482783017576895,0,0.471047673227899,0.504189341462775,0,0,0,0.511665824976553,0
PPRC1,0,0,0.339633711854814,0.523909346711951,0.404774349396027,0.363182650682651,0,0.530514706319667,0,0.474957060043628,0,0.525061303197037,0.627874717357425,0,0,0,0,0,0,0,0,0.393745180732784,0.354703151666856,0.373652833221233,0,0,0,0.440197808107771,0
