,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PLN,0,0.881877688729816,0.503954160376756,0.605462309220818,0,0.857805527805528,0,0,0.844826007326007,0.759761177791159,0.816901648205714,0,0,0,0,0,0,0,0.772586036876934,0,0.809912232821726,0,0,0,0.768670919618295,0.767278517179763,0,0.871212230522526,0
MRGPRF,0,0.81316070669032,0.66376552520461,0.602174025376156,0,0.804176934176934,0,0,0.839285714285714,0.645391700089807,0.576171478503403,0,0,0,0,0,0,0,0.695737383635473,0.606915184263251,0.831022571495823,0,0,0.848480424699295,0,0.549733901839345,0,0.618781276439454,0
MYOCD,0,0.828524596039511,0.705256069638342,0.668291137845271,0,0.841186591186591,0,0,0.756318681318681,0.818952344024998,0.787802830017877,0,0,0,0,0,0,0,0.743690068539836,0,0.919936056291108,0,0,0,0,0,0,0.742726526968484,0
KCNMB1,0,0.905256902175765,0.773142351753476,0.488593178220287,0,0.89005994005994,0,0,0.742445054945055,0.680840176921347,0.533323288096142,0,0,0,0,0,0,0,0.742453748782863,0,0.929428885790452,0,0,0,0,0,0,0.772253590685339,0
PDLIM3,0,0.844278852495217,0.373849686257486,0.455819557772798,0,0.749279054279054,0,0,0.684798534798535,0.604249133616511,0,0,0,0,0,0,0,0,0.640093277680958,0,0.553443963430799,0,0,0.827234213537618,0.660122887864823,0,0,0.722462632238262,0
SPARCL1,0,0.819765365297717,0.727864370894181,0.61384038670218,0,0.792540792540793,0,0,0,0,0.591081720736522,0,0,0,0,0.433089543747867,0,0,0.608112801493435,0,0.789527194257656,0,0,0,0.626205837173579,0.527495889147589,0,0.551439945956936,0
PODN,0,0.790903607404805,0.588264212248375,0.630277108377138,0,0.705795315795316,0,0,0,0.607947912679682,0.434285865594726,0,0,0,0,0,0,0,0.588247880475567,0,0.602295271825277,0,0,0.792690599313423,0.75462980030722,0,0,0.571168287739964,0
GPR124,0,0.81982316439694,0.668616143916938,0.634886577695101,0,0.673819236319236,0,0,0.711858974358974,0.677269604744611,0,0,0,0,0,0,0,0,0,0.649175318236092,0.908145530782832,0,0,0,0,0.645382374189685,0,0.621685435263099,0
CCDC3,0,0.525500517968851,0.629268255694409,0,0,0.485180375180375,0,0,0.758195970695971,0.756364214777496,0.700068341237128,0,0,0,0,0,0,0,0.575006667121478,0.77466456195738,0.560823647676967,0,0,0,0.59252841781874,0.629833324708631,0,0,0
ATP1A2,0,0.754341593886598,0.565142279823556,0,0,0.830967717794501,0,0,0.725641025641026,0.613062681738976,0.443376139605288,0,0,0,0,0,0,0,0.605641315066454,0,0.890982603745285,0,0,0.904791714645037,0,0.611716016845978,0,0,0
ACTA2,0,0.892547028459387,0.653335005728057,0.654191152637439,0,0,0,0,0.80989010989011,0.751863155668095,0,0,0,0,0,0,0,0,0.694320232698045,0.800516058527108,0,0,0,0.838855355910588,0.689966205837173,0,0,0,0
FHL5,0,0.565302197707203,0.705050614715908,0.676958995100457,0,0.603345820845821,0,0,0.638095238095238,0.574882795633236,0.737000473295589,0,0,0,0,0,0,0,0,0,0.509626550597796,0,0,0,0.701389476638444,0.580159425480624,0,0.46946650839601,0
CALD1,0,0.807581611587089,0.518201868153371,0.442216632139686,0,0.76549617049617,0,0,0.756181318681319,0.519577420128357,0,0,0,0,0,0,0,0,0.67517474060246,0,0.840380995651327,0,0,0.81290487067723,0,0,0,0.621772009103371,0
LHFP,0,0.755036302280397,0.718248143357507,0.680751091005604,0,0.669489121989122,0,0,0,0.653729407418213,0.60248663752287,0,0,0,0,0,0,0,0.567037131215153,0,0.512557466837559,0,0,0,0.604792626728111,0.538041291392357,0,0.454033881852943,0
RASL12,0,0.841149549982141,0.721109602304956,0.506053965435439,0,0.723788711288711,0,0,0.636767399267399,0.625468412275113,0,0,0,0,0,0,0,0,0,0.695644870782992,0.888766332937383,0,0,0,0,0.503181502351966,0,0.540980251982344,0
