,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NEUROD2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC17A7,0,0,0,0,0,0,0.856949260177286,0,0,0,0,0,0.964436529885398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A7,0,0,0,0,0,0,0.781983485320386,0,0,0,0,0,0.95325034539542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PACSIN1,0,0,0,0,0,0,0.777629591784664,0,0,0,0,0,0.954676158306083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC6A17,0,0,0,0,0,0,0.767552724033746,0,0,0,0,0,0.893814883874175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRIN1,0,0,0,0,0,0,0.826492440340622,0,0,0,0,0,0.81868480633061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAB3A,0,0,0,0,0,0,0.762526002534584,0,0,0,0,0,0.875197430667831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HPCA,0,0,0,0,0,0,0.736910843567425,0,0,0,0,0,0.895499732482721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCK,0,0,0,0,0,0,0.704803323332908,0,0,0,0,0,0.926501592948828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISLR2,0,0,0,0,0,0,0.680340066054127,0,0,0,0,0,0.928156084305118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SNCB,0,0,0,0,0,0,0.785476883903485,0,0,0,0,0,0.821471651186625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RASAL1,0,0,0,0,0,0,0.703308346153758,0,0,0,0,0,0.876779336408358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT13,0,0,0,0,0,0,0.74936897182379,0,0,0,0,0,0.829967620933118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMK2A,0,0,0,0,0,0,0.655671881511486,0,0,0,0,0,0.921922713018834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSTR3,0,0,0,0,0,0,0.661296230541437,0,0,0,0,0,0.891451792323885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMK1G,0,0,0,0,0,0,0.655915729345861,0,0,0,0,0,0.896674692191133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNM1,0,0,0,0,0,0,0.633603460494386,0,0,0,0,0,0.912597512599554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYT7,0,0,0,0,0,0,0.648617574869805,0,0,0,0,0,0.896985000080182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLC8A2,0,0,0,0,0,0,0.780067686116075,0,0,0,0,0,0.763269367303411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CPLX2,0,0,0,0,0,0,0.827020106609548,0,0,0,0,0,0.704763702789032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXL16,0,0,0,0,0,0,0.660700139059999,0,0,0,0,0,0.863136410486677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADAM11,0,0,0,0,0,0,0.676875122731978,0,0,0,0,0,0.846356881171303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM163B,0,0,0,0,0,0,0.79795370322717,0,0,0,0,0,0.712358715158972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMKK1,0,0,0,0,0,0,0.610819240480002,0,0,0,0,0,0.897313455900469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPRML,0,0,0,0,0,0,0.600364896944977,0,0,0,0,0,0.901394720126598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CAMKV,0,0,0,0,0,0,0.679163452251726,0,0,0,0,0,0.812148783343077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRTM2,0,0,0,0,0,0,0.777037607391543,0,0,0,0,0,0.708466666763857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTN4RL1,0,0,0,0,0,0,0.619621114233093,0,0,0,0,0,0.860879497679816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CABP1,0,0,0,0,0,0,0.68572814316297,0,0,0,0,0,0.772218585671862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRM4,0,0,0,0,0,0,0.678461385184096,0,0,0,0,0,0.749973248272072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NCS1,0,0,0,0,0,0,0.550999718590622,0,0,0,0,0,0.849121129199912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NPTX1,0,0,0,0,0,0,0.544552151442346,0,0,0,0,0,0.850284209774367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRMT8,0,0,0,0,0,0,0.651304826254689,0,0,0,0,0,0.73727120712252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
STXBP1,0,0,0,0,0,0,0.621100786806859,0,0,0,0,0,0.756803467373826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPHA8,0,0,0,0,0,0,0.523030236972069,0,0,0,0,0,0.85479078402621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTBDN,0,0,0,0,0,0,0.510107943768935,0,0,0,0,0,0.858185664281122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WSCD2,0,0,0,0,0,0,0.701606096355187,0,0,0,0,0,0.66191151665532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENC1,0,0,0,0,0,0,0.481234661169784,0,0,0,0,0,0.875765558644599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDE1B,0,0,0,0,0,0,0.50766891845304,0,0,0,0,0,0.848952746389246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OLFM1,0,0,0,0,0,0,0.598356888087923,0,0,0,0,0,0.743426728693743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CACNA1I,0,0,0,0,0,0,0.609944928820333,0,0,0,0,0,0.699625767380969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRKAR1B,0,0,0,0,0,0,0.510673814994747,0,0,0,0,0,0.789743956077599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSD,0,0,0,0,0,0,0.640128982147194,0,0,0,0,0,0.660191679410791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MICAL2,0,0,0,0,0,0,0.406895632795811,0,0,0,0,0,0.891268877462507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPN3,0,0,0,0,0,0,0.482516447871739,0,0,0,0,0,0.812989367543504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PPP2R2C,0,0,0,0,0,0,0.509438447304693,0,0,0,0,0,0.781221453282153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NTSR1,0,0,0,0,0,0,0.446764822729817,0,0,0,0,0,0.819034304470677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MYADML2,0,0,0,0,0,0,0.495112099025912,0,0,0,0,0,0.770083112589057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PNMAL2,0,0,0,0,0,0,0.445215839952411,0,0,0,0,0,0.81834366712978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBA4A,0,0,0,0,0,0,0.383211287862097,0,0,0,0,0,0.875884957364889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA0513,0,0,0,0,0,0,0.411428130416485,0,0,0,0,0,0.84376859682449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KIAA1644,0,0,0,0,0,0,0.696852596570856,0,0,0,0,0,0.554435319861737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PDZD7,0,0,0,0,0,0,0.476439883122531,0,0,0,0,0,0.746804006781964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PRRT1,0,0,0,0,0,0,0.447981880820132,0,0,0,0,0,0.773368108149874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RTN4R,0,0,0,0,0,0,0.591372855704022,0,0,0,0,0,0.628892595092552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
