,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RSRC2,0,0.461258301210372,0.472657631101318,0.443282975615027,0.624445051782572,0,0,0,0,0,0.725855179622711,0.500229452419912,0,0,0,0.49254454431676,0,0.615664977965207,0,0,0,0,0,0,0,0,0.741483132610287,0.622603642659916,0
RIC8B,0,0.512954408366938,0.38117702887914,0.445313490889105,0.568307277268187,0,0,0,0,0,0.573524831700247,0.557592557397871,0,0,0,0.543810444874275,0,0.611466374940038,0,0,0,0,0,0,0,0,0.689774768780358,0,0
TMEM194A,0,0.532818773147428,0.352407121536969,0,0.469733360369676,0,0,0,0,0,0.61759295101749,0.599735318521677,0,0,0,0.573260894299693,0,0.367489707318588,0,0,0,0,0,0,0,0,0.754649344600439,0.612613546182553,0
IFT81,0,0.520692818536023,0.459539632279577,0.422040661978513,0.449210509412551,0,0,0,0,0,0.760366243463766,0.592740496266183,0,0,0,0.425971100238935,0,0.631973226949743,0,0,0,0,0,0,0,0,0,0.556151661627457,0
TMPO,0,0.579222557654601,0.458740821575493,0.472655571057465,0.589842731610984,0,0,0,0,0,0.568774989629028,0.43427231135071,0,0,0,0.548840596199795,0,0.506232550755947,0,0,0,0,0,0,0,0,0.659075786812163,0,0
RNF34,0,0.431788170747431,0.329730080967916,0.474030778336786,0.469423533960627,0,0,0,0,0,0.686664884582747,0,0,0,0,0.466609853225623,0,0.616578636776191,0,0,0,0,0,0,0,0,0.669696919289374,0.58265112709958,0
BRAP,0,0.443745915159814,0.474014650936046,0.594878732789357,0.643412473409715,0,0,0,0,0,0.590236281631464,0,0,0,0,0.52328137444533,0,0.653411855650535,0,0,0,0,0,0,0,0,0.673198482932996,0,0
TDG,0,0.574050279288211,0.509500866001374,0.578648703241778,0,0,0,0,0,0,0.632062505752895,0.56177137268172,0,0,0,0.430863124359996,0,0.599319199086169,0,0,0,0,0,0,0,0,0.708671568301284,0,0
CDK2,0,0.405114627469985,0.327584845070743,0,0.464295025271004,0,0,0,0,0,0.619062539797422,0.494562672958453,0,0,0,0.467970872681761,0,0.293308204121214,0,0,0,0,0,0,0,0,0.652555060216914,0.586499727817093,0
RFC5,0,0.507621329942453,0.43468732010962,0.449459077307553,0.540725170121147,0,0,0,0,0,0.708000716195991,0,0,0,0,0.474211628171578,0,0.519449975670275,0,0,0,0,0,0,0,0,0,0.634608548510864,0
