,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UBE2M,0.446002844950213,0,0.605111756618966,0.349312044044213,0,0.385459817959818,0,0,0.607188644688645,0,0.615651782483208,0,0,0.427790271037993,0.415906569490607,0,0.5278898316873,0,0.653660094642115,0.578544107825876,0.794280158213173,0,0,0.43413099116884,0.583711213517665,0.617072325404562,0,0.318690111562199,0.627496483825598
ZNF358,0.379203413940256,0.426970097117307,0.43743958895318,0.41228737721783,0.320012896839141,0.295102952602953,0,0,0.56268315018315,0,0.655454248567923,0,0,0.440070961126973,0.45389538796539,0,0.455708848113911,0,0.539242987118501,0.756041932285026,0.67918177545647,0,0,0,0.67026113671275,0.717133023666613,0,0,0.592334739803094
SHARPIN,0,0,0.502374653067612,0.365092283337326,0.313551882699218,0,0,0,0.634203296703297,0,0.554906257762468,0,0,0.379430316199909,0.405708251313278,0,0.494758406150811,0,0.749061951512972,0.502205897233522,0.710451300887329,0,0,0.486471445043282,0,0.625126631196734,0,0.309993375789494,0.58159868729489
EXOSC4,0,0.358485574678659,0.548816738607022,0.4619980082395,0.251454357909956,0,0,0,0,0,0.529567672325203,0,0,0.34799677110914,0.414608566224352,0,0.577106437865931,0,0.670141839133212,0.466640357800579,0.705262961367114,0,0,0.426858823734943,0.510728110599078,0.711131703995054,0,0.365009739557031,0
TIGD5,0,0.396417345065068,0.541514713598191,0.389721529333841,0.277382798085122,0.273090520590521,0,0,0.656868131868132,0,0.461047386199862,0,0,0.318913613870932,0.475333688594063,0,0.560313104616902,0,0,0.473332928581547,0,0,0,0.414283374533766,0.456761904761905,0.70977409602222,0,0.320072669556834,0.4699484294421
MIER2,0.54153627311522,0.446698856318849,0.452828632408693,0.397937541397145,0.260866279677529,0.39954156954157,0,0,0.678937728937729,0,0,0,0,0.319622959169425,0.403002106297992,0,0.397690916678258,0,0.635023164370903,0.504840831360169,0,0,0,0,0,0.52084836134029,0,0,0
TRIM28,0.49203413940256,0,0.497110464199063,0,0,0.260747308247308,0,0,0.517307692307692,0,0,0,0,0.408296440905845,0.413722290237297,0,0.448956107183955,0,0.524814095845298,0.542636553133791,0,0,0,0.418070138276221,0,0.466185211833436,0,0.302317161952109,0.52878574777309
CHMP2A,0,0.354921296893224,0.446756554723641,0,0,0,0,0,0,0,0.547109430460269,0,0,0.390219173600759,0.330406145704369,0,0.413067944713514,0,0.639696351379009,0.588764090421549,0.635201512221405,0,0,0,0,0.591944607679472,0,0,0.518377871542429
WASH7P,0,0.433797800966579,0.426539703682828,0.329273477172264,0.250449311265968,0.306034521034521,0,0,0.650595238095238,0,0,0,0,0.44248917164587,0,0,0.35441773416457,0,0.554918475058764,0.563667455932649,0.623488404191179,0,0,0,0,0.473935934236674,0,0,0
ZNF692,0,0.421768919201305,0.373183803552175,0.40390812534938,0.317286172548121,0.356788211788212,0,0,0,0,0.423041084179508,0,0,0.384073642117078,0.369650933363347,0,0,0,0.65350814629215,0.560775504421913,0.637321011181743,0,0,0,0,0.473177666354397,0,0,0
MAF1,0,0,0.412268742458163,0.329924087618672,0.213207169332727,0,0,0,0.606822344322344,0,0.507853568181732,0,0,0,0,0,0.5091237876048,0,0,0.501766741545747,0.566852729278899,0,0,0,0,0.607160608595839,0,0.447858281246926,0.481340834505392
ATP5I,0,0.398502558721662,0.401052344901713,0.379397492448691,0,0.306969141969142,0,0,0,0,0.486402993900986,0,0,0.403650455276271,0,0,0,0,0,0.585823568696497,0.734588350155343,0,0,0.344630877612879,0.552565284178187,0.525672547240503,0,0,0
RASSF7,0,0.396484036333403,0.494904946265368,0.379350516965196,0,0.412505827505827,0,0,0,0,0.501574244179962,0,0,0.357067454296167,0,0,0,0,0.764241281575798,0,0.68202716102288,0,0,0.505266048514601,0,0.503468511579538,0,0,0
PPP2R3B,0,0.322541945102712,0.507821436266912,0.336084922279063,0.214202140321136,0.274461371961372,0,0,0,0,0,0,0,0.383818309726169,0.323569405619704,0,0.463043285828096,0,0,0.555465160990023,0.609586883915229,0,0,0,0,0.564099187884509,0,0.343985413619639,0
FAM83H,0.477524893314367,0,0.417062196444034,0,0.313405785693325,0.288114940614941,0,0,0.535027472527473,0,0,0,0,0,0.449051936209261,0,0,0,0.672700153188745,0,0,0,0,0.423366431984347,0.474119815668203,0,0.807405682347462,0,0
ZBTB45,0,0,0.486413646403941,0,0.320448668942925,0,0,0,0.64047619047619,0,0,0,0,0.370581984969965,0.353045977935552,0,0.491799339900606,0,0,0.538479752291907,0,0,0,0.395814916885772,0,0.576207993939013,0,0,0.656704172526957
TLR1,0,-0.361892016462369,-0.441134991531659,-0.399757841382582,0,-0.320134032634033,0,0,0,0,-0.524030392936895,0,0,-0.320936591126401,-0.453250865373793,0,0,0,-0.569344265345233,0,0,0,0,-0.487412649260576,-0.450599078341014,0,0,0,-0.478293483356775
NOXA1,0,0.407540707609177,0.397043926479506,0,0,0.346616716616717,0,0,0,0,0.51370670513278,0,0,0,0.37672299539922,0,0.367063316430405,0,0.711493497230819,0,0.69655085585413,0,0,0.354993295830749,0,0.590827048810353,0,0,0
EXD3,0,0.314775376398108,0.392213422842258,0,0.185383246451795,0.39267427017427,0,0,0,0,0,0,0,0,0.392412159104743,0,0,0,0.665527570873052,0.443077732580495,0.642129790010956,0,0,0,0,0.55055395451203,0.699281389313993,0,0
C17orf89,0,0.356784206322036,0.381366679283347,0,0,0,0,0,0,0,0.441761791700448,0,0,0.294816885450176,0.320203922721603,0,0.434616016894498,0,0,0.386428672616518,0.702552372141907,0,0,0,0,0.560767781450898,0,0.298709918607473,0
DRD4,0.446657183499289,0,0,0,0.229098439500876,0.335581108862049,0,0,0.517010852687251,0,0.544918057488299,0,0,0.278476484412495,0.293378843751205,0,0,0,0.567554493002515,0.484427420126051,0,0,0,0,0,0.4688800783921,0,0,0
WASH2P,0,0.328347049504187,0.419244418803867,0.329996899618089,0,0,0,0,0.522481684981685,0,0.425495442446465,0,0,0.42676495190575,0,0,0,0,0,0.541102543864975,0.604903810738508,0,0,0,0,0.507065841224322,0,0,0
LOC100288778,0,0.367736394610753,0.430737646131808,0.348182283666155,0,0,0,0,0.50989010989011,0,0.449236456897737,0,0,0.415197862655111,0,0,0,0,0,0.436122073138648,0.585832621066469,0,0,0,0,0,0,0.2973588420093,0
PEX11G,0,0.465973373881624,0.408817121951908,0,0.19862013896848,0,0,0,0.541620879120879,0,0,0,0,0,0,0,0,0,0.561815069555132,0,0.572714952755789,0,0,0.353643399341376,0,0.539995016702151,0,0,0
SRRT,0,0.351503739898125,0.487305365585697,0.385922387106169,0,0.295011932511933,0,0,0,0,0,0,0,0.336409734015461,0.400895923153429,0,0,0.302221338376431,0.58432203127035,0,0,0,0,0.363198041596422,0,0,0,0,0
EPS8L2,0,0,0.365803234967457,0,0.203266275647266,0.398182095682096,0,0,0,0,0,0,0,0,0.330930882646815,0,0.373563145715044,0,0.705738065852554,0,0,0,0,0.429922760108664,0,0,0.66802515137401,0,0
U2AF1,0,0,0.366628374303845,0.321112661302067,0,0.262755022755023,0,0,0,0,0,0,0,0.299741076997344,0,0,0.403077934723504,0,0,0.396727581810455,0.576521800840019,0,0,0,0,0.530204843743411,0,0.306952797581179,0
