,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
MTMR12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41920897493354,0,0,0,0,0.545671332618039,0,0,0,0,0,0.648964669738863,0,0,0,0
NID1,0,0,0.331666962600494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.488636639111779,0,0,0,0.560847926267281,0,0,0,0
ELTD1,0,0,0.738628400421848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.580468430481842,0,0,0,0,0,0,0,0
ONECUT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.556794567803383,0,0,0,0,0.758201420900656,0,0,0,0,0,0,0,0,0,0
CYYR1,0,0,0.724524868235727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575568353768159,0,0,0,0,0,0,0,0
MYCT1,0,0,0.730427368465839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.563632181741831,0,0,0,0,0,0,0,0
LDB2,0,0,0.674110887352841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.595319683354695,0,0,0,0,0,0,0,0
CXorf36,0,0,0.694092844867697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566484800759473,0,0,0,0,0,0,0,0
CALCRL,0,0,0.664311054465936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.562599753202464,0,0,0,0,0,0,0,0
PTPRB,0,0,0.70230074333101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.518950469235936,0,0,0,0,0,0,0,0
ABCB1,0,0,0.680732411999706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53268972560587,0,0,0,0,0,0,0,0
ETS1,0,0,0.670250162026403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.542537678460972,0,0,0,0,0,0,0,0
S1PR1,0,0,0.705198767483002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.50350773510085,0,0,0,0,0,0,0,0
LGALS2,0,0,0,0,0,0.523695061520461,0,0,0,0,0,0,0,0,0,0,0,0,0.676418236282785,0,0,0,0,0,0,0,0,0,0
RHOJ,0,0,0.656073394116667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537977280707174,0,0,0,0,0,0,0,0
TGFBR2,0,0,0.59758328430942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588371073702221,0,0,0,0,0,0,0,0
CD34,0,0,0.65280731674798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.524795488828814,0,0,0,0,0,0,0,0
FLI1,0,0,0.615406989051291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55963657968018,0,0,0,0,0,0,0,0
PREX2,0,0,0.623692864887241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.550883004440918,0,0,0,0,0,0,0,0
SELP,0,0,0.6136191352533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553756077076528,0,0,0,0,0,0,0,0
CLEC1A,0,0,0.668081988624767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49872339360688,0,0,0,0,0,0,0,0
TSPAN7,0,0,0.647124713254866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.510322916902894,0,0,0,0,0,0,0,0
CLIC2,0,0,0.622567660899011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.523872344052656,0,0,0,0,0,0,0,0
ZNF366,0,0,0.62218259002247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.521360245304108,0,0,0,0,0,0,0,0
JAM2,0,0,0.647005118075491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.493957135740991,0,0,0,0,0,0,0,0
EBF1,0,0,0.619585995947918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.516352585000872,0,0,0,0,0,0,0,0
ENPP2,0,0,0.639407812189651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486683118532415,0,0,0,0,0,0,0,0
TAL1,0,0,0.635476505065734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4836525957142,0,0,0,0,0,0,0,0
ABCG2,0,0,0.548220384553897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570480402821124,0,0,0,0,0,0,0,0
FAT4,0,0,0.590443717493354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.527973417653218,0,0,0,0,0,0,0,0
CD200,0,0,0.574867719685581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537564191992217,0,0,0,0,0,0,0,0
SPARCL1,0,0,0.62207261942299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4848449421754,0,0,0,0,0,0,0,0
A2M,0,0,0.619403801812379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483843011430417,0,0,0,0,0,0,0,0
LEPR,0,0,0.577727935921585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.520197555328082,0,0,0,0,0,0,0,0
KIAA1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497079502793363,0,0,0,0,0,0,0,0,0,0,0.597019969278034,0,0,0,0
GIMAP6,0,0,0.554389499046166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532924715021571,0,0,0,0,0,0,0,0
IMPA2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.532957287008726,0,0,0,0,0,0.551502304147465,0,0,0,0
AQP1,0,0,0.624879525444306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.456900067329746,0,0,0,0,0,0,0,0
PPAP2B,0,0,0.527306035386103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.554392816283633,0,0,0,0,0,0,0,0
ABCC9,0,0,0.554325720567275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.526885467488178,0,0,0,0,0,0,0,0
ST6GALNAC3,0,0,0.613364603323347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.467306950916537,0,0,0,0,0,0,0,0
SLC16A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568299232815882,0,0.500921093300974,0,0,0,0,0,0,0,0
GNG2,0,0,0.572258152029106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494425257334915,0,0,0,0,0,0,0,0
ZEB2,0,0,0.520950198233538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540990990638741,0,0,0,0,0,0,0,0
FLT1,0,0,0.545106465617018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.513761836467699,0,0,0,0,0,0,0,0
TNFRSF8,0,0,0.410421357112511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.646236559139785,0,0,0,0
F11R,0,0,0,0,0,0.319552114552115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73478955453149,0,0,0,0
LPHN2,0,0,0.577833587457292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469406509011316,0,0,0,0,0,0,0,0
ACSL4,0,0,0.502921656732347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540247509151293,0,0,0,0,0,0,0,0
SYT15,0,0,0.552254605035762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487910948004389,0,0,0,0,0,0,0,0
COL15A1,0,0,0.534779407133964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505322842613395,0,0,0,0,0,0,0,0
KLB,0,0,0,0,0,0,0,0,0,0,0,0,0,0.509822716869625,0,0,0,0,0.52967685367456,0,0,0,0,0,0,0,0,0,0
ABI3BP,0,0,0.554475541016534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.484384738278095,0,0,0,0,0,0,0,0
PCSK5,0,0,0.528010968718847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.506873733657288,0,0,0,0,0,0,0,0
ELK3,0,0,0.530471284624521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.502905696909791,0,0,0,0,0,0,0,0
PCDH18,0,0,0.563630870047558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.464638198409266,0,0,0,0,0,0,0,0
GIMAP7,0,0,0.568003360797256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.457604351331463,0,0,0,0,0,0,0,0
MMRN1,0,0,0.557228483873081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46583689857763,0,0,0,0,0,0,0,0
DNM3,0,0,0.523837080108339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.497325578030953,0,0,0,0,0,0,0,0
ANPEP,0,0,0,0,0,0.329289876789877,0,0,0,0,0,0,0,0,0,0,0,0,0.683113266641445,0,0,0,0,0,0,0,0,0,0
RBMS3,0,0,0.519166654555496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.492833898063859,0,0,0,0,0,0,0,0
ABCA8,0,0,0.556170677046584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44957991243223,0,0,0,0,0,0,0,0
CSF2RB,0,0,0.515050099174692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.489589792935616,0,0,0,0,0,0,0,0
ZEB1,0,0,0.490979262937311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.508535374704504,0,0,0,0,0,0,0,0
FGF2,0,0,0.504123695705884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494842060524828,0,0,0,0,0,0,0,0
NUAK1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429000174211163,0,0,0,0,0,0,0,0,0,0,0.565818740399385,0,0,0,0
RGS5,0,0,0.534827430559285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455517598400352,0,0,0,0,0,0,0,0
RGL1,0,0,0.483756687209319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505978936190012,0,0,0,0,0,0,0,0
LAMA2,0,0,0.521534925562638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466555062985765,0,0,0,0,0,0,0,0
ATP1B2,0,0,0.522737954492749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.458741860412377,0,0,0,0,0,0,0,0
GIMAP4,0,0,0.49415403260917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486005422351443,0,0,0,0,0,0,0,0
SYT11,0,0,0.491174600326096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.487471955714075,0,0,0,0,0,0,0,0
TNXB,0,0,0.528016887395388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449179726630283,0,0,0,0,0,0,0,0
EPB41L2,0,0,0.443586482079785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.525758808584113,0,0,0,0,0,0,0,0
GIMAP5,0,0,0.501505365880578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453290966162306,0,0,0,0,0,0,0,0
SOAT1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.420243337087961,0,0,0,0,0.533292193575996,0,0,0,0,0,0,0,0,0,0
