,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
GIGYF1,0,0.579283320810195,0.659482151609532,0.447927676545611,0.497938898705656,0.604477744477744,0.603793980703691,0,0,0.565627588293402,0.84473930087671,0,0.715604931648242,0,0.581590794765723,0.527830014791216,0,0.502316500384789,0.452359540805884,0.582101876024528,0.632062487634708,0.624435532136193,0.521928319490272,0,0,0.664159149517167,0,0,0
ILF3,0,0.567943582151045,0.488012384146119,0.554509176660701,0.452422124628303,0.522437007437007,0.753825949215187,0,0,0.618378280548252,0.591190158861854,0,0.714210634504335,0,0.58810802988784,0.64872772784162,0,0.538591947378774,0.540210494979502,0.561619411895655,0.487310180554763,0.597314521755749,0.453535783365571,0,0,0.638504005146093,0,0,0
DGCR8,0,0.508707656602213,0.518745880885476,0.504486158673788,0.474125086745097,0.434363414363414,0.724798156770508,0,0,0.647533607035296,0.777889087972321,0,0.751517413406771,0,0.553718638095741,0.533704858345659,0,0.487309719121093,0.459842221794975,0.571622852285836,0.625952078581086,0.539888247154558,0.338207077028103,0,0,0.451027036324485,0,0,0
SAFB,0,0.454221631386986,0.407639410634619,0.525252845539913,0.499325560804692,0.473706848706849,0.516335813373014,0,0,0.545090590528815,0.62295055095394,0.416203512707956,0.577960366622591,0,0.538569830554413,0.600122425759472,0,0.506947344263879,0.504353785374506,0.524829498310161,0,0.59537336372012,0.420863124359996,0,0,0.508091413497887,0,0,0
LUC7L2,0,0,0.487003176075572,0.481979030144168,0.601106055091166,0.507390387390387,0.738239907838525,0,0,0.560981387352276,0.719229736255783,0,0.706951804611794,0,0.469221404765241,0.670430993287063,0,0.535628811225493,0.493642977195344,0.610126889684901,0,0.566042871083139,0.456558425304358,0,0,0.486714152252825,0,0,0
SRRT,0,0.578971353877208,0.476742739563699,0.483533918647858,0.543745347880901,0.506071428571429,0.7334851437623,0,0,0.588193766527156,0.81208555515907,0,0.665193888068438,0,0.560666894829808,0.572463533962908,0,0.553480531043693,0,0.402974925626859,0,0.46543107089664,0.429764705882353,0,0,0.517186300387522,0,0,0
NCOA5,0,0.465470966326838,0.318743458651304,0,0.461652684595456,0.513733488733489,0.645318869101906,0,0,0.590111259473699,0.652927388066006,0.401884754624973,0.525018478373378,0,0.556149609174915,0.556786665149619,0,0.441585797652613,0.576547857528266,0.490694756440613,0,0.553042422827963,0.542264421435886,0,0,0.557552209989468,0,0,0
ACIN1,0,0.336896870104676,0.45116729571035,0,0.458912106278015,0.337213064713065,0.625008784140546,0,0,0.58290434935109,0.707464199657285,0,0.704309433665191,0,0.558179418919012,0.464667652747753,0,0.45076077841315,0.567046434175355,0.477222593244693,0.613430290252983,0.523693762405191,0.388221413130049,0,0,0.591417273112162,0,0,0
UBTF,0,0.478408331369646,0.457786377060137,0.466231673689502,0.569872782253748,0.446042291042291,0.507838525416407,0,0,0.533672073797297,0.638735863640318,0,0.452228994791067,0,0.479618064089342,0.562161565593355,0,0.378306513119071,0.52682663623565,0,0,0.502399021175603,0.416370690636022,0,0,0.52226379472054,0.798098675893273,0,0
HNRNPH1,0,0.453902995327165,0.322198154341813,0.409726038980256,0.374246372449127,0.368616106116106,0.753180818893102,0,0,0.583324917808373,0.692051485413181,0,0.728893615594435,0,0.463539798006712,0.505748776880191,0,0.4564424593383,0.572634412269984,0,0.564973889196039,0.558598271474934,0.368243713733075,0,0,0.559311649296639,0,0,0
ZNF3,0,0.533637593719757,0.41067175293717,0,0.506339476544504,0.389753024753025,0.599775740411847,0,0,0.486496095404209,0.778047331980799,0.468024994089862,0.575288984265319,0,0.47486178137224,0.460471043349642,0,0.445101960527178,0.453175100316921,0.626561835954101,0,0.554834046011315,0.420907725566048,0,0,0.465736328296569,0,0,0
WDR33,0,0.341501531676129,0.33959897912308,0,0.396506014536652,0.42474580974581,0.60172495559929,0,0,0.492134601023078,0,0,0.631891850126178,0,0.409468119560549,0.515149163727387,0,0.348980567279454,0.657499116218781,0.508244793880153,0.449440717370683,0.521804312682966,0.319851405165548,0,0,0.589998893214336,0.853599707232684,0,0
ATXN7L2,0,0.454902623338091,0.39842523184467,0.47155986790494,0,0.364888722388722,0.650462247395958,0,0,0,0.743214736489051,0,0.650493412660346,0,0.43410652309233,0.42986187279554,0,0.363102160686616,0.501398545017024,0.463705907352316,0.455813876652844,0.414008550738258,0.286999431107066,0,0,0.526457057544936,0.68984962406015,0,0
CCT6P1,0,0.376489994086707,0.458193438778453,0.482768218266887,0,0.430445665445665,0.583522296356742,0,0,0.465683774909434,0.813047628294281,0.418428505870737,0.501928748558541,0,0.49400922452861,0.47637842757993,0,0.453231712156925,0.428388913352229,0.476670107056847,0.451134615700421,0,0.376314484014109,0,0,0.493890211650199,0,0,0
AKAP8,0,0.324253687656632,0.499346691849477,0,0,0.464347596847597,0.698384678154851,0,0,0.410413827725685,0.690160753216262,0,0.552462689722234,0,0.450512677984477,0.536524291728297,0,0.395451204235098,0.486932441903014,0.637627749782446,0.555639511378414,0.541183750033628,0.331411309591535,0,0,0.596026823622747,0,0,0
SETD1A,0,0.494464624728233,0.464606398531663,0,0.526594063171841,0.554679487179487,0.531914942639082,0,0,0.551319533534724,0.499715665148113,0,0.643290127227428,0,0.47551422842193,0,0,0.336147931628297,0.45709474754867,0.546655738368446,0.559130238093935,0.517857011839457,0.34093821822733,0,0,0.569182759410026,0,0,0
TJAP1,0,0.483344967254587,0.570054550819842,0,0,0.568645521145521,0.549162194595114,0,0,0.600721574122905,0.652786796775605,0,0.431146154821798,0,0.560568241068906,0.479264535214473,0,0.45117058760599,0.46650934327303,0.543421771598567,0.527195821645771,0.558436158924802,0,0,0,0.586115935522093,0,0,0
POGZ,0,0,0,0.400424893248214,0,0.373566711066711,0.623203187250996,0,0,0.631224631348059,0.733124316745242,0,0.655498099679708,0,0.586306880956264,0.515497098646035,0,0.498231781177421,0.486116882391977,0.43053447473337,0.488240656531494,0.543205964344323,0.399769029468654,0,0,0.605638640189505,0,0,0
RBM6,0,0.339279971426497,0.498840065775242,0.320937677626047,0,0.514308191808192,0.624386694187107,0,0,0.583188399292348,0.743108820180587,0,0.596673892791904,0,0.529119397465552,0.457021504152919,0,0.49339430718952,0.486957249796885,0.395663084613361,0,0.471386610831005,0.362503128911139,0,0,0.541547555228328,0,0,0
LY6G5B,0,0.43076408927145,0.442812125409384,0,0,0.50709817959818,0.603400758412135,0,0,0.528237755888536,0.777710669428897,0,0.640512175316392,0,0.504671870011324,0,0,0.46651039276113,0.445680015380894,0.469113391212839,0.557911890308036,0.466824400314582,0.371940835134828,0,0,0.501093065941774,0,0,0
RBM14,0,0.414461038220025,0.340383698743155,0.489751123888443,0.380149447161373,0.371614219114219,0.704133250132002,0,0,0.590966318367829,0,0,0.656814984466503,0,0.552070695353971,0.561725110934122,0,0.527129799944093,0,0,0,0.558664653769169,0.35179679144385,0,0,0.4750377476525,0.726994477343802,0,0
CASP2,0,0.447073068435615,0,0,0.624773770045832,0.460689033189033,0.644801228819661,0,0,0.402301885036033,0.766482910277539,0,0.601347791415247,0,0.430803172539571,0.535966321538287,0,0.483592965431085,0,0.563679598486228,0,0.478544718432511,0.516243941290249,0,0,0,0.693359504957083,0,0
KRI1,0,0.354900548498631,0.430782236303477,0,0,0.472089854589855,0.633860125762012,0,0,0.399315308733403,0.685399562969137,0,0.525685011888847,0,0.491857561885424,0.555543747866652,0,0.372021334235201,0.422816440191269,0.425604597980289,0,0.478422435258921,0,0,0,0.557480296544895,0.804702575021625,0,0
ZBTB49,0,0.361570416346178,0.496181253044906,0.324617032370806,0.317458718149908,0.396191308691309,0.621359957759324,0,0,0.585413942010591,0,0.44370767298163,0.598935616536213,0,0.405483035917319,0.326534759358289,0,0.385557978941847,0.468382339260353,0,0.52585294119947,0.469887768503278,0.274122198202298,0,0,0.54641916164577,0,0,0
MCM7,0,0.493039654628152,0.341159466628248,0.470049606110571,0.489503056072283,0.448716838716839,0.686876014016224,0,0,0,0.674119476117764,0,0.625121549063544,0,0.300141951162369,0.518899761064968,0,0.433678205743195,0,0.470420739481513,0,0.386305472451523,0.435859824780976,0,0,0,0.7618271342072,0,0
ARHGAP33,0,0.445974885550373,0.43560237699105,0,0.447910749842883,0.401955544455544,0.663887870205923,0,0,0.455716676495169,0.648575362605743,0,0.517754691757406,0,0.519912095938773,0.426670383433838,0,0.40003028274246,0,0,0.459782597645727,0.442338417634771,0,0,0,0.499950185437242,0.761735644420787,0,0
ZNF212,0,0,0.597365683429159,0,0.57910838004869,0,0.676212163394614,0,0,0.541278877198582,0.821571999762949,0,0,0,0,0.621870519968142,0,0.449090913796852,0.502040449270958,0.625606621739219,0.49401529659887,0.554726436818555,0.486770736147457,0,0,0.54767456229021,0,0,0
UBN2,0,0.370836797574216,0,0,0,0.531237096237096,0.576954255268084,0,0,0,0.796222066149778,0.420206182699751,0.616844549863909,0,0.571532130806388,0.585650472181136,0,0.497406554876471,0.500840367404908,0.499105498553012,0,0.560860859566859,0.409561497326203,0,0,0.529734597954122,0,0,0
PASK,0,0.41493751028157,0.390120633580633,0.566038134697501,0.396143290935814,0.523508713508714,0.531636922190755,0,0,0.531949384669282,0.652602073690011,0,0,0,0.53542784034399,0.538186596882467,0,0.503293571776139,0.566593690112194,0,0,0.361341537253219,0.374560018204574,0,0.55747465437788,0,0,0,0
MUM1,0,0.36600686771861,0.521336555115411,0,0,0.453071095571096,0.509375318005088,0,0,0.424385884858164,0.79957166940494,0,0.558367167830282,0,0.478439157388926,0.376965069973831,0,0,0.481214222365557,0.538113451925607,0.495327874749468,0.492306117407918,0.327155535328251,0,0,0.572465824539667,0,0,0
UNK,0,0.488712873341425,0.415500782171008,0.487658366098733,0,0,0.661238227811645,0,0,0.561275203458303,0.663275663584586,0,0.651705768897144,0,0.465096552056799,0.404358630105814,0,0.315672570219727,0.498762706293143,0,0.563349295149052,0.579605821936833,0,0,0,0.631886034593221,0,0,0
PRPF39,0,0.325649017193009,0.437574538990914,0,0,0,0.587353909662555,0,0,0.520528374448887,0.756756893071182,0.426899703797785,0.600087763161923,0,0.457422346053046,0.328684264421436,0,0.442382121621015,0.525145901425834,0.412017080525368,0.451361394171481,0.516156227585058,0,0,0,0.534879401798002,0,0,0
CHERP,0,0.409159082387429,0.43342935912107,0,0.477098664597799,0.467275502275502,0.707082417318677,0,0,0.512775805843657,0,0,0.619154382982694,0,0.432379335769626,0.569047900785072,0,0.446009148666697,0,0.550891465808593,0,0.623407654717039,0,0,0.554162826420891,0.465686697891159,0,0,0
CLK2,0,0.404550715745512,0.430206608149702,0.452316361091147,0,0.308808968808969,0.557978207651322,0,0,0.517313228332517,0.693286545224372,0,0.643743667421352,0,0.554792918979881,0.45345909659802,0,0.408999496150382,0,0.541576103454557,0.540076252305907,0.435969211193173,0.312915690067129,0,0,0,0,0,0
SF1,0,0,0.336740784926037,0.44072281176454,0.402625715843842,0.476329226329226,0.601448471175539,0,0,0.602290601998864,0.448923121151865,0,0.601196902922572,0,0.517376039654448,0.510244851518944,0,0.409427854601424,0.479207883948672,0,0,0.489522952376993,0.362799863465696,0,0,0.54977036499434,0,0,0
