,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TPR,0,0.373479994842542,0.481082898752929,0.475354312584262,0.448429646105192,0.318038905538906,0,0.629174086140838,0.486401098901099,0.617505559441242,0,0.635645781088485,0,0,0.480326556581779,0.369817044032313,0.46992248258071,0.445235687737474,0.593169146422392,0,0.690892146505148,0,0.280240755489817,0.570448262157039,0.624147465437788,0.714676180480831,0.915371947568035,0.551253681027868,0
ZNF407,0,0.530040711314248,0.371236790661887,0.421614359465795,0.433426994948318,0.304919802419802,0,0.527097584968591,0.468086080586081,0.616259542270247,0,0.484190960038196,0,0,0.440897668831154,0.317384912959381,0,0.418807739958381,0.386113161207896,0,0.572104508121406,0,0.353771532597565,0,0.635827956989247,0.678862456375426,0.76215982433961,0.620843307907733,0.544702297233943
HNRNPR,0,0.41399049427122,0.385239958101668,0.440439784476482,0.402315889434793,0.452072094572095,0,0.551586607715301,0.694459706959707,0.624791430044962,0,0.413457036772648,0,0,0.545223619019618,0.254023438388895,0.432693888390091,0.497091217487033,0.456313298891707,0,0.671849597390014,0,0.354760268517465,0.366958272551777,0,0.57807010096795,0,0.613812462697825,0.513455227379278
GMEB1,0,0.395832684946002,0.427455708395021,0.418131127364628,0.42073418783289,0,0,0.542647851237015,0.508791208791209,0.607089529133716,0,0,0,0,0.478491527720673,0,0.468531468531468,0.344090033785533,0.468261400777728,0,0.697286224146277,0,0.376337239731483,0.423748263904054,0,0.662047877595767,0,0.627375697673656,0.533872480075012
ZNF623,0,0.406115737509096,0.420068083736846,0,0.31119040092293,0.340928515928516,0,0.482082341591996,0,0.562100132695166,0,0.435667567479871,0,0,0.416117543831441,0,0.435728828133891,0,0.556010022389124,0,0.654742485226165,0,0.357025600182046,0.428299128239621,0,0.747993835885233,0.853707831525717,0,0.53061415846226
ATR,0,0.380921999374584,0.525197196190226,0.429660085401429,0.32105572719155,0.440864968364968,0,0.514974848131244,0,0,0,0.544112807153353,0,0,0.411370793433495,0.266653999317329,0,0.307098067771225,0.552105880091045,0,0.728098087162696,0,0,0.571206575763664,0.494660522273425,0,0.834345265819416,0.530113923303448,0
PHRF1,0,0.587549333013215,0,0,0.729831371309319,0.497944832944833,0,0.711173103618086,0,0,0,0,0,0,0.455447548126727,0.599636818750711,0.567419921850301,0.691147948883421,0,0,0,0,0.557378541358516,0.531123286833623,0.594961597542243,0,0,0.626140052862512,0
BAGE2,0,0,0.436147963757662,0,0.419581013863513,0.412888124481557,0,0.427790231712284,0.464909167946759,0.608479245192582,0,0,0,0,0.438529248517946,0,0.553751559714664,0,0.433620706190115,0,0.634993305887797,0,0.256304027538213,0,0.725435476426186,0.654381865830622,0,0,0.482703452892384
FAM120B,0,0.355624519267107,0,0,0,0,0,0.46111392624894,0,0.567960039347254,0,0.44903838576746,0,0,0.404693116746792,0.245878712026397,0,0.292126659511542,0.465033273587656,0,0.651782048685428,0,0,0,0,0.691147316855057,0.710426508749751,0.54597267677132,0.511345522737928
OXSR1,0,0,0.370843925342109,0,0.319559492338094,0.341902541902542,0,0,0,0.507656465388089,0,0,0,0,0.356681236950485,0.263339401524633,0.505861227380215,0.314749852468691,0.394262554344793,0,0.640071188890045,0,0.272167709637046,0.523581642368603,0,0.663221051984121,0,0.65147470666553,0
