,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RBBP5,0,0.643881965347217,0.610674069856812,0.519153079008066,0.646543483380836,0.560366022866023,0.509575001200019,0.633216584413097,0,0,0,0.524741460429887,0,0,0.626047808600219,0.50640277619752,0.576145373613728,0.54406009614555,0,0,0.649478487716036,0,0.583553305267949,0.610665306906823,0.430986175115207,0,0.678421718011844,0.738562743079012,0.663150492264416
PRKDC,0,0.656989763631325,0.279416801837865,0.389305796304909,0.386396353620246,0.343598901098901,0.678350309604954,0.532382510619215,0,0,0,0.621090617481957,0.490937360136572,0,0.579448664441693,0.346665832290363,0.552801628750996,0.527722944828467,0,0,0.644779481396736,0,0.331198771191262,0.45394759829142,0.528122887864823,0,0.587131545678355,0.617461681237744,0.682512892639475
MCM4,0,0.613255111885718,0.277667527507628,0.406014975784138,0.363592626131465,0.358253968253968,0.631162098593577,0.531783302584891,0,0,0,0.468279941223097,0.345818347749137,0,0.428368870891054,0.390318124928888,0.637956979729131,0.442287218439516,0,0,0.515902840283051,0,0.410590510865855,0.518700701426438,0.566900153609831,0,0.654326635172001,0.615903352112861,0.697421472105016
FLVCR1,0,0.409229478726226,0.596892357809062,0.552569089192351,0.559418030133767,0.383413808413808,0.461568089089425,0.654640576286468,0,0,0,0.512371889065549,0.282956598054923,0,0.54707093653313,0.572033223347366,0.598300433743472,0.557691644033696,0,0,0.47801812820178,0,0.57931550802139,0.492406927787144,0,0,0.51028012509149,0.497753671189931,0.602695733708392
RPS6KC1,0,0.508411991979263,0.580231135903555,0.449203060922505,0.548232792984321,0.427309357309357,0.52778073249172,0.460076984107159,0,0,0,0,0,0,0.663213402211039,0.464387984981227,0.479103175305707,0.474684576334943,0,0,0,0,0.509485720787348,0.313222063049764,0,0,0,0.598764355188856,0.555625879043601
NSL1,0,0.526546088853518,0.540482989281298,0.414583303973656,0.608210651731186,0.26451381951382,0,0.567717050100334,0,0,0,0,0.417105798345912,0,0.325015791492577,0.28298145409034,0.470251267719622,0.340533321369781,0,0,0,0,0.523863465695756,0.416311986268464,0,0,0.644670304078781,0.664400443363,0.488396624472574
ANGEL2,0,0,0.496581174438142,0.387699234769374,0.546752931071181,0,0.419047856765708,0.515196391548401,0,0,0,0,0,0,0.34836296774401,0.479657071339174,0.339850023394327,0.410209080336406,0,0,0.484354729230416,0,0.486745932415519,0.38984755112202,0,0,0.543166544680285,0.465133697555601,0.521284575714955
USP10,0,0.38812910243927,0,0.280888729172245,0.315567013814983,0.236168553668554,0.462966639466231,0.526142717971959,0,0,0,0.588751732481655,0.343187639681195,0,0.406855689875758,0.396287404710434,0,0.327427192004666,0,0,0,0,0.294410285584253,0.390105017426473,0.409056835637481,0,0,0.392233277147785,0.512259728082513
DSTYK,0,0.337693460254227,0.436834325290884,0.31772807771624,0.5199038278675,0.393717948717949,0,0.507954449483938,0,0,0,0,0,0,0.460731438966743,0.383276368187507,0.393366127543343,0.398991092905038,0,0,0.52285799914137,0,0,0,0,0,0,0.438946422598396,0.625246132208158
PRPF4,0,0.350166209460971,0.295993119169919,0.398549397069669,0,0,0,0.434024965118063,0,0,0,0.564529437123084,0.29831762975317,0,0.330075385714384,0.31332643076573,0,0,0,0,0,0,0.33350164978951,0.422301189717071,0,0,0.799046842770644,0.446473099802585,0.652508204406939
