,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ASH1L,0,0.431744450915967,0.577809322989762,0,0.516188429872807,0,0.573454423270772,0,0,0.556085629732694,0,0,0.66829315228658,0,0,0,0,0.466987496937215,0.562996545500778,0.614208811446381,0,0.599072604411488,0,0.520121133637896,0,0.696633272186955,0.826269212855147,0,0
RPRD2,0,0.337215506164496,0.533234253424249,0,0.558151016444729,0,0.587197235155762,0,0,0.514072731745895,0,0,0.680391785251415,0,0,0,0,0.553233782771794,0.44517765552999,0.599350373383523,0,0.623731879817302,0,0.400088988565788,0,0.580216639021579,0.738497238671901,0,0
ZMYND11,0,0,0.361413177754286,0,0.414147227998232,0,0.445277012432199,0,0,0.516185132406337,0,0,0.4494809290066,0,0,0,0,0.321088522236678,0.662519613741092,0.584651812276122,0.621632046456743,0.490149740986769,0,0.389696325154393,0,0.462213214063213,0.765686339743163,0,0
DSTYK,0,0.390744141172077,0.501618726439823,0,0.443974946882403,0,0.372259012144194,0,0,0.588594075387311,0,0,0.423209857465044,0,0,0,0,0.481673764274301,0.557644242397931,0,0.585891466169735,0,0,0.535192739406539,0,0.774928505513395,0.806149777097611,0,0
EPC2,0,0.331656418441766,0.331854148644718,0,0.444694096799342,0,0.494333797340757,0,0,0.531286532209435,0,0,0.515362781130045,0,0,0,0,0.432598034986489,0.59777411172235,0.464659097808269,0.54063664927771,0.637447859328232,0,0.454066613673885,0,0.675513186679015,0,0,0
EPC1,0,0,0.350852110387319,0,0.481290137318591,0,0.392598281572505,0,0,0.476859072580059,0,0,0.611178869196442,0,0,0,0,0.484573487847216,0.552955550456155,0.483662194159432,0.559499828352157,0.430961191163888,0,0.3861882102707,0,0.577827749897378,0,0,0
ARID1B,0,0.398484033369347,0.32785921048225,0,0.468148963529905,0,0.499065521048337,0,0,0.487449023736767,0,0,0.510322668116751,0,0,0,0,0.422510689549262,0.509290556255,0,0.535968727248841,0.445027249931783,0,0.427334994453228,0,0.668694116301627,0,0,0
BAZ2B,0,0.335091759775087,0,0,0.472428598237012,0,0.561689243027888,0,0,0.532279356364028,0,0,0,0,0,0,0,0.435405875024588,0.591848126073717,0,0.5198481014341,0.492851150981637,0,0.407896943597628,0,0.621818520667703,0.637858473617673,0,0
BBX,0,0.518263033326368,0,0,0,0,0.50089953439255,0,0,0.648156355882369,0,0,0.50770406028542,0,0,0.41005051769257,0,0.404806069662386,0.521725513058255,0,0.671533769269328,0,0,0,0,0.656486049436304,0.733648279992016,0,0
MPDZ,0,0,0,0,0,0,0.513034896558345,0,0,0.493970224418155,0,0,0,0,0,0,0,0.396999420227837,0.515833638263696,0.437065144799952,0.635723884699569,0.612738273130998,0,0.568399668940698,0,0.62194255064189,0.718602368753743,0,0
SOS1,0,0,0.350635015016799,0,0.391073976722717,0,0.601307924926799,0,0,0.498118974328285,0,0,0.615358261764564,0,0,0,0,0.385641666292806,0.523213986690565,0.478564345415174,0.62840441404744,0.493726698504547,0,0,0,0.454970029312325,0,0,0
SHPRH,0,0.422578847604524,0.416420725646594,0,0.437952223760159,0,0.508692555080881,0,0,0.528733407389953,0,0,0.564489887555271,0,0,0,0,0.440908534039183,0.607588734735393,0.5002509461073,0,0.451293039746573,0,0,0,0.519120597097054,0,0,0
KDM3B,0,0,0.515116721145873,0,0.479104979514933,0,0.654455143282292,0,0,0.508697081412827,0,0,0.566867073798323,0,0,0,0,0.359759411807336,0,0.549873515066885,0.547024470961017,0.535275027085723,0,0,0,0.648136723571901,0,0,0
CHD6,0,0,0.414511099414177,0,0.499467879439743,0,0.554581289300629,0,0,0.44834218314094,0,0,0.633438493622592,0,0,0,0,0.431183977582143,0,0,0,0.449602038146061,0,0.487400201780208,0,0.554248150922104,0.707399028544814,0,0
BCLAF1,0,0.360816063999905,0.401889216276655,0,0,0,0.593488023808381,0,0,0.502801954230349,0,0,0.655999603462126,0,0,0,0,0.505553561630126,0.458226607706572,0.58442919879384,0,0.442442533022571,0,0,0,0.623025764165521,0,0,0
ROCK2,0,0,0,0,0,0,0.425308692939087,0,0,0.537357138671644,0,0,0.497068243876624,0,0,0,0,0.327829236391746,0.550335216665943,0.441266468338292,0.685558160466882,0.504035519418743,0,0,0,0.452151685251519,0.684343602368754,0,0
SMARCA2,0,0,0,0,0.382740150102079,0,0.387739835837373,0,0,0.533853371217741,0,0,0,0,0,0,0,0,0.649489267484914,0.511231862060591,0.533050322924723,0.459977241354492,0,0.365543954892078,0,0.446342810009099,0.774660656064941,0,0
PUM1,0,0.337108800135161,0.372823164478336,0,0.463834064028272,0,0.602796332741324,0,0,0.429698678492453,0,0,0.473007725199253,0,0,0,0,0.426190776100963,0.474289718988582,0.380758100095117,0,0.396273298001648,0,0,0,0.561962318091673,0,0,0
MAN1A2,0,0.345051730193805,0.41601882434021,0,0.472160333907226,0,0.402638506216099,0,0,0.471195528177048,0,0,0.498400436191662,0,0,0,0,0,0.565074206612544,0,0.522836201038333,0,0,0,0,0.530496180668672,0.691596247255307,0,0
GTF2I,0,0.340031359716399,0.395999585482013,0,0.482237248943001,0,0.510872941967071,0,0,0,0,0,0.491832486073794,0,0,0,0,0.454062546373145,0.481508816105285,0.480739886264748,0,0,0,0,0,0.565414623824547,0.677764655000333,0,0
WDFY3,0,0,0.443834013349248,0,0,0,0.47843901502424,0,0,0.484542550764317,0,0,0.5199137821695,0,0,0,0,0,0.628455274468336,0.451348835326736,0,0,0,0.456334129680908,0,0.552495525436826,0.864212522456584,0,0
PPP1R12A,0,0.4278326375211,0,0,0.429278343763736,0,0,0,0,0.406653750394283,0,0,0.468959540016066,0,0,0,0,0.363493420621253,0.437583339018476,0.473573755894198,0.741245960019738,0.598552726233479,0,0,0,0.484440545628758,0,0,0
ARID4B,0,0.35737405353975,0.522740819047944,0,0.519981914198236,0,0.435092401478424,0,0,0,0,0,0.427948047707005,0,0,0,0,0.428228174856524,0.441056444160532,0.508242770121223,0,0.521420692898387,0,0,0,0.650737301568155,0,0,0
VEZF1,0,0,0.431093356485679,0,0,0,0.440912398598378,0,0,0.464080773247524,0,0,0.47407968953417,0,0,0,0,0.347101052907661,0.473244686459231,0,0.684882419272729,0.44116100536334,0,0.421869131122195,0,0.585830399553308,0,0,0
PJA2,0,0.40257961825918,0.353071508775965,0,0,0,0,0,0,0.505263858915075,0,0,0,0,0,0,0,0,0.568013942036356,0,0.600966271785396,0.579459082128524,0,0.482809592858204,0,0.591223171266887,0.680692328165547,0,0
METTL14,0,0.326675321711268,0.422546471615733,0,0.410016209210912,0,0.469818077089233,0,0,0.511914305436595,0,0,0.447910230822947,0,0,0,0,0,0.507532296776834,0.566591787586263,0,0.504063469858421,0,0,0,0.572770420794017,0,0,0
GAB1,0,0,0.369406571584497,0,0,0,0.500109249747996,0,0,0.587540472441338,0,0,0,0,0,0,0,0.424709423713372,0.636220145250219,0,0.574523217814465,0.565149854535431,0,0.552008739441479,0,0.497450525667943,0,0,0
BMPR1A,0,0.342981336819064,0.338899353642608,0,0.418366408771866,0,0,0,0,0.444041226513932,0,0,0.467793835293912,0,0,0,0,0.387484513526292,0,0,0,0.65410562261526,0,0.407179575650108,0,0.45721269750185,0.780457781622197,0,0
DAAM1,0,0.41428615889417,0.459418288879017,0,0,0,0.49868919502712,0,0,0.520757048157997,0,0,0,0,0,0,0,0,0.468320319525673,0.438309756541801,0.538093895670955,0.445038430107655,0,0.45913404844472,0,0.452038612639566,0,0,0
ZNF791,0,0.328287768376779,0.366582288665861,0,0,0,0.435232947727164,0,0,0.420783624593613,0,0,0.592086299470651,0,0,0,0,0.379701158509019,0,0,0.507138634371327,0,0,0.4461442291734,0,0.479200808671749,0.7290987424313,0,0
IL6ST,0,0,0.407662980026257,0,0,0,0,0,0,0.485372155292825,0,0,0.523874204190764,0,0,0,0,0,0.58702609170238,0.453613421569223,0.634425871200776,0,0,0.411798027620304,0,0.460358841642912,0.703805975114778,0,0
PLCB1,0,0.314450071211454,0,0,0.385920278894146,0,0,0,0,0,0,0,0.437475453285068,0,0,0,0,0.367856810079753,0.550167763382308,0.463084613360857,0.538549114351871,0.491524203857929,0,0.463662638341734,0,0,0.649244793399428,0,0
LRP6,0,0.318641246919234,0,0,0,0,0.531198387174195,0,0,0.576302525862674,0,0,0.431046874567198,0,0,0,0,0.48942174628756,0.551225199858595,0,0,0.488045771640017,0,0,0,0.447049237597785,0.826003060749218,0,0
TOP2B,0,0,0.342743923720265,0,0.541116861231774,0,0.563237555800893,0,0,0.484446239756436,0,0,0.550602023217876,0,0,0.313866196381841,0,0.521603415134124,0.632201266442982,0,0,0,0,0,0,0.706434770822626,0,0,0
GIGYF2,0,0.334020994411272,0.455156673265675,0,0.463541870016486,0,0.482954159266548,0,0,0.459173587137254,0,0,0.51570946019824,0,0,0,0,0,0.530954049578576,0.441972760204804,0,0.358196414028465,0,0,0,0.594638000979349,0,0,0
SP3,0,0.366196567326317,0.415028446507486,0,0.442482490399789,0,0.503341045456727,0,0,0.406689594296892,0,0,0.620234657118657,0,0,0,0,0.319931997556674,0,0,0.480067345385957,0.480387351168276,0,0,0,0.599586032696401,0,0,0
FRS2,0,0,0.431715786416237,0,0,0,0.643186866989872,0,0,0.448145093624274,0,0,0.595087449722059,0,0,0,0,0.467073341178663,0.439388113297651,0.504531196243904,0.502988588350937,0,0,0,0,0.573725737039144,0,0,0
HECTD1,0,0.381923850427787,0.419410942137459,0,0.465488990457095,0,0.375988479815677,0,0,0,0,0,0.555685726240165,0,0,0,0,0,0,0.520286159512679,0.506541972394022,0,0,0,0,0.506704248270625,0.836790538292635,0,0
ARID4A,0,0.365016872890889,0.336283024793357,0,0,0,0,0,0,0.403276839187006,0,0,0.495717099383763,0,0,0,0,0.312371233637829,0.47402303412946,0.430437334304738,0.600443703808549,0.458465122567919,0,0,0,0.683910209296668,0,0,0
MKL2,0,0,0.422148424821118,0,0.515076329388294,0,0,0,0,0.410324062126107,0,0,0,0,0,0,0,0.430132277779887,0.616683928826153,0.43869022322061,0.626281396110827,0,0,0.515361828600379,0,0.575618874581295,0,0,0
SALL2,0,0,0,0,0.422711535240235,0,0.495939711035377,0,0,0.4227068317855,0,0,0,0,0,0,0,0.374795958159775,0.557349648658203,0.449557808673831,0,0.644772970806814,0,0.579854735720338,0,0.584815324248606,0,0,0
SON,0,0.383895688928212,0.48408802778113,0,0.403135795907521,0,0.542402918446695,0,0,0.464483160015077,0,0,0.614333094730274,0,0,0,0,0,0.537565353295419,0.537362637362638,0,0,0,0,0,0.557286378856969,0,0,0
TET2,0,0.372382552971392,0.363172225272833,0,0.545625717103299,0,0.542325349205587,0,0,0,0,0,0.538562870934211,0,0,0,0,0,0.471018177984235,0,0,0.376163655414402,0,0,0,0.539389967733791,0.759157295894604,0,0
PUM2,0,0,0.466569082223897,0,0.41499988035159,0,0.547393462295397,0,0,0.501190848729588,0,0,0.613752720730913,0,0,0.387059051086586,0,0.451979421539226,0,0,0,0.587053915349997,0,0,0,0.523507133058657,0,0,0
CHD9,0,0.488946292780596,0,0,0.448555591799928,0,0.477519704315269,0,0,0.470198444312289,0,0,0.561212618651567,0,0,0,0,0.335019446524645,0,0,0.662993898095139,0,0,0.396802526183384,0,0.612297125359038,0,0,0
NOTCH2,0,0.319628277690585,0,0,0.528505918817924,0,0.508532040512648,0,0,0,0,0,0.430745826511764,0,0,0,0,0,0.480252916478023,0,0.541378957773067,0,0,0.428609550929849,0,0.497270327702477,0.698516202009449,0,0
SIN3A,0,0.425510299354873,0.383802140960127,0,0,0,0.401447319157106,0,0,0.511234206345347,0,0,0.582722028407857,0,0,0,0,0.36789908513333,0,0,0.578515985145228,0.508797575578862,0,0,0,0.620712563711537,0,0,0
ATXN1L,0,0.398271362324769,0.33836700976034,0,0,0,0.469675226803629,0,0,0.533317686690629,0,0,0.563289339983118,0,0,0,0,0,0.462422242757646,0.484089207293627,0.660584474589472,0,0,0,0,0.468872988334185,0,0,0
MECP2,0,0,0,0,0,0,0.488768012288197,0,0,0.43756802549343,0,0,0.459292908823988,0,0,0,0,0,0,0.559427680974642,0.617287870245179,0,0,0.479050999729213,0,0.623290398275256,0.71226462173132,0,0
ERC1,0,0.322064732027074,0,0,0,0,0.464658570537129,0,0,0.54754397579321,0,0,0.501135089665669,0,0,0,0,0.360635972101916,0.512407047922649,0,0.73236592113896,0,0,0.442990867480193,0,0.484444689169099,0,0,0
AKAP11,0,0,0.385651464093117,0,0,0,0.46952546440743,0,0,0.44058951064034,0,0,0.491092039064812,0,0,0,0,0,0.520860337759475,0.507700402728027,0.597534390173141,0,0,0.360359470130415,0,0.572799333497725,0,0,0
NFIA,0,0.406823405967535,0,0,0,0,0.634512936206979,0,0,0,0,0,0,0,0,0,0,0.321077737784235,0.590139482383294,0,0.493696731496636,0.59679464357774,0,0.516485159109372,0,0,0.757418989952758,0,0
CTNND1,0,0.379451086400761,0.380041085304137,0,0,0,0.40108788940623,0,0,0.46032256603278,0,0,0.528176785914741,0,0,0,0,0.342661309525864,0,0,0,0.462051163978591,0,0,0,0.454800604551744,0.850156364362233,0,0
ATF6,0,0.36436033440484,0.554550019451594,0,0,0,0,0,0,0.492638701357746,0,0,0.601395900789723,0,0,0,0,0.440768336157422,0.465402291008999,0,0.561445919981608,0,0,0,0,0,0.777538425710294,0,0
ARHGAP5,0,0.385994981852565,0.319721788501886,0,0,0,0.577503384054145,0,0,0.544609658861631,0,0,0.481681553845324,0,0,0,0,0,0,0,0.589025994286747,0,0,0,0,0.550632221385125,0.805866990485062,0,0
RNF169,0,0.331296285592759,0.390496374757961,0,0,0,0.434533288532616,0,0,0,0,0,0.593439484967278,0,0,0,0,0,0.43403270920807,0.459534940197924,0.58145178885204,0.43510344632415,0,0,0,0.592092762266307,0,0,0
MED13L,0,0.359517066295567,0.344561020607315,0,0.455142551634586,0,0.515155378486056,0,0,0.425152528792524,0,0,0.601603062671936,0,0,0,0,0,0.530185004868549,0,0.566552638802109,0,0,0.444462509062639,0,0,0,0,0
PPP1R12B,0,0,0,0,0,0,0.459585081361302,0,0,0.432803695516749,0,0,0,0,0,0,0,0.309765709927563,0.448759295207735,0,0.708270610839542,0.6938001382848,0,0.529098715070623,0,0,0.649519262758667,0,0
ZNF407,0,0,0.319161030759636,0,0.502064879665186,0,0.384663946623146,0,0,0.541168540315767,0,0,0.456865863774661,0,0,0,0,0.391865589486798,0.572302606689449,0.437222997996479,0,0,0,0,0,0.610781970774597,0,0,0
NIPBL,0,0,0.423830655922057,0,0.332538196180571,0,0.500193731099698,0,0,0,0,0,0.571897856508688,0,0,0,0,0.456033512901656,0.470339061889493,0.517576346305628,0,0.364902423268182,0,0,0,0.569423176828439,0,0,0
AFF4,0,0,0.488137181863237,0,0,0,0.475772476359622,0,0,0.458219515955628,0,0,0.59790767956824,0,0,0,0,0,0.477502341244984,0.459694817153381,0,0,0,0,0,0.487420671920185,0.761469492314858,0,0
TEAD1,0,0,0,0,0,0,0.575151730427687,0,0,0,0,0,0.616630973398432,0,0,0,0,0,0,0.520282111994819,0.747561056193359,0,0,0.557729448554782,0,0.474158856706983,0.704621065939184,0,0
MAML3,0,0.322913193163108,0,0,0.530203666782956,0,0,0,0,0.46003228236933,0,0,0,0,0,0,0,0.493196304642664,0,0,0,0.575400678287295,0,0.416949537477835,0,0.616781080557975,0.780457781622197,0,0
NUP133,0,0,0.474080893774921,0,0,0,0.597394902318437,0,0,0.476996837840522,0,0,0.581785936609339,0,0,0,0,0.497482908799768,0,0.549438406896971,0,0.511929422344769,0,0,0,0.499190168060155,0,0,0
CEP68,0,0,0,0,0,0,0.517159122545961,0,0,0.516615882609868,0,0,0,0,0,0,0,0,0,0,0.74223176212346,0.62471433777198,0,0.550079379984452,0,0.448120665051116,0.789299021891011,0,0
ZBTB10,0,0,0,0,0,0,0.557132626122018,0,0,0.494061756239021,0,0,0.643850965905032,0,0,0,0,0,0.515294066571983,0.415657822840143,0,0.598017475313648,0,0.428584655969113,0,0.53240883888976,0,0,0
