,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PCGF1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AUP1,0.606002844950213,0.647040167409904,0.576944880271071,0.675727063045797,0.715234265289492,0.506158008658009,0.756088513416215,0.68357295707232,0,0.58188274617904,0.672847219507767,0,0,0,0.57149446091864,0.694944817385368,0.483352090947028,0.683286083052362,0.661344339768914,0.410294861676077,0.635479120349771,0.650830529846004,0.567589941972921,0.560894930163084,0.65573579109063,0.649434296249138,0,0.566506417613841,0.617674636661978
HTRA2,0.549416785206259,0.44093524870656,0.640393830000866,0.709166560971829,0.56998109555122,0.375736208236208,0.655018096289541,0.665761163706609,0,0.627521073097873,0.421313639624804,0,0,0,0.555091981137493,0.64482261918307,0.51033776350232,0.630415952016951,0.581441214594484,0.656169429097606,0.751393123607561,0.636329841741117,0.580654909546024,0.50751969759174,0.609701996927803,0.618493191426592,0.576069598775701,0.492937017531203,0.532348804500703
SNRPG,0.593741109530583,0.481371646725977,0.438217252499798,0.565543717733715,0.620122595539255,0.536879786879787,0.635578169250708,0.666261048920355,0,0.491371905112774,0.610738652769775,0,0,0,0.469622336405879,0.649746501308454,0.499791347892614,0.52522569702073,0.571338199815181,0.39332361929047,0.660223486273256,0.579926553232136,0.444491523495278,0.458131371144557,0.664086021505376,0.669017220369497,0,0.381715867279679,0.484505391467417
SCNM1,0.526315789473684,0.370447024161505,0.412170083807196,0.518507166110007,0.421358878478777,0.474324009324009,0.697657370517928,0.553180828197689,0,0.55712811587409,0.646030849385749,0,0,0,0.388062091000342,0.471923768346797,0.487449259601158,0.467788997442791,0.611167273426404,0.531301479367778,0.660543419866263,0.406717678548282,0.268443964045967,0.522746460111285,0.474089093701997,0.782731068210225,0.483689866258567,0.316683172537729,0.580942334739803
POLR2H,0.40927453769559,0.377531118886819,0.421594638900702,0.443049272584638,0.381334596148833,0.544780774780775,0.740137666202659,0.617825710455541,0,0.521575743672668,0.484173707789514,0,0,0,0.441156304767767,0.452634201843213,0.389572452863592,0,0.637652801121317,0,0.691752145207037,0.415705841187698,0.375028785982478,0.529886509551803,0.377960061443932,0.758432611025243,0,0.349072282598002,0
BOLA3,0.44651493598862,0.496082999506484,0.417134842406285,0.526653889335156,0.530804427746844,0.459168054168054,0.67998310372966,0.580266518217708,0,0,0.517618043095328,0,0,0,0.422569201191655,0.577582432586187,0.353709581557683,0.535569281048007,0.491599426937652,0.430439358063668,0.546989183448925,0.557707351210202,0.355233814996018,0.555621347647208,0.543563748079877,0,0,0.282835424441369,0
RPL36,0.460170697012802,0.311417100530418,0.358229645913596,0.486904409588636,0.324875660112872,0.521118603618604,0.664286468583497,0.386022008033848,0,0.402770453154201,0.595580642029356,0,0,0,0.418576652479207,0.308108089657527,0.397640334349195,0.396144860216241,0.481384776635926,0.366110132960962,0.653221700979292,0.433734573540926,0.23686403458869,0.360506110184223,0,0.656750959782061,0.483082706766917,0.340532953807609,0
MTX1,0.495078236130868,0.430202400589254,0.341731556213842,0.437091606890364,0.450614803908851,0.305920190920191,0,0.521322290063079,0,0.466019356954153,0.50087696181591,0,0,0,0.417296335684639,0.432091933098191,0.435172422514195,0,0.559743610416835,0.486926517313258,0.570984300673845,0.378386414129786,0.233513482762544,0,0.50605222734255,0.618630849044564,0,0.290406700290547,0.498007501172058
EDF1,0.486201991465149,0,0.504557823258208,0.372527327987523,0.388805694760533,0.386057553557554,0,0.387234698040783,0,0.546287569085226,0.549582702353738,0,0,0,0.392849727008161,0,0.449891880271627,0.396223371030027,0.482795725599886,0,0.672199637780042,0.47591388329783,0,0.506702531424429,0.413941628264209,0.69032330479938,0.609172266950562,0.325731450570928,0
BCL7C,0,0.386069824275918,0.411491331666415,0,0.424411802119162,0.381071706071706,0.560947343157491,0.515967778963308,0,0.417561101905981,0.491065833290252,0,0,0,0.44721828551478,0.353331437023552,0.422273928603042,0.291825557599329,0.554961888873039,0.404100135591848,0.583156146361261,0.35514422601564,0,0.383121107432675,0,0.649859515566729,0.533842903719476,0.35312026549311,0
ZMYND19,0.44927453769559,0,0.461392809924336,0.452120238447554,0.41478073484275,0.438423243423243,0,0.470918932356996,0,0.498949306124383,0.520665028326308,0,0,0,0,0.397451814768461,0,0,0.441915417485844,0.510452714872604,0.711771014739819,0.349489852068804,0,0.445742524960474,0.342193548387097,0.618182978373114,0.528286978508218,0.334234051065449,0.347233942803563
REST,-0.528421052631579,-0.379889025729491,-0.456279831656831,-0.473269775504164,-0.455243308190374,-0.421167166167166,0,0,0,-0.520153519954352,-0.591731088580078,0,0,0,-0.392957338852125,0,-0.437549791980172,-0.351803505550973,0,-0.424139611104223,-0.593086892908168,-0.349693191517461,-0.319839799749687,-0.405441623500843,0,-0.680436265075351,-0.568725464102735,-0.372620367151786,0
RFNG,0,0.347013194496933,0.422409478476132,0.453366263147264,0.363903711997461,0.293171273171273,0,0.491171866543435,0,0.575882269091501,0.470368651798875,0,0,0,0.397863612036907,0.277640459665491,0.334640043500803,0,0.420614739610144,0.60309230364479,0.646374848390772,0.388231956506321,0.318013198316077,0.35709058708432,0,0.601814981163466,0.513448998602702,0.354048966688747,0
