,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NPAT,0,0.51688178305775,0.517842766671659,0.400343860539185,0.463330281249331,0.412779442779443,0.7432972687563,0,0.694688644688645,0,0,0.648566965341096,0.790657305262728,0,0.505445251182352,0.351268176129252,0,0.360508284184989,0,0.601695909983203,0.64795232725541,0.58307167645689,0.52062123108431,0.589703094836698,0,0.681049416967043,0.731061614212523,0.734661673367395,0
GTF3C3,0,0.556153306923591,0.53557962905274,0.384144365055877,0.373280368970507,0.416199078699079,0.674451879230068,0,0.543498168498168,0,0,0.764382494866292,0.775217257561554,0,0.410432147114693,0.276912731823871,0,0,0,0.500412846821687,0.708494750078395,0.559313802730688,0.40970121743088,0.50708447253256,0,0.668324512503271,0.751680085168674,0.716050921158778,0
MPHOSPH9,0,0.598830531559049,0.531037539785196,0.500649436059321,0.491042112461949,0.345769785769786,0.722703019248308,0,0.693315018315018,0,0,0.713026871427843,0.740316676312839,0,0.429279264794044,0.336797815451132,0,0.248653668956997,0,0.561767146297533,0.638912272703457,0.627819631620193,0.495658891796564,0.578044610022624,0,0.592525900349881,0.676533701510413,0,0
ZNF644,0,0.571562694979333,0.498329479874709,0.460946931796296,0.587681503489325,0.401328948828949,0.736549512792205,0,0.491849816849817,0,0,0.640577849265984,0,0,0.514087045004031,0.448449197860963,0,0.313086027145761,0,0,0.669697743397814,0.5841554547554,0.713244737740357,0.566259685013234,0,0.672877987101251,0.723650941513075,0.692780922273744,0
QSER1,0,0.626546681664792,0.59212474800866,0.644206513620541,0.507750068325539,0.503645798645799,0.653925982815725,0,0.700961538461538,0,0,0.525816873791898,0.787165439391664,0,0.551454769719842,0.333507338718853,0,0.340866345261225,0,0.553641754194241,0,0.654874958467394,0.524787120263966,0.395366043273556,0,0.681405301042938,0,0.682880023086357,0
DDX46,0,0.493104863868301,0.507585257903697,0.55866768133711,0.365102715011341,0.386310078810079,0.704972687563001,0,0.713873626373626,0,0,0,0.768691293806866,0,0.465187396206826,0.405453180111503,0,0.284226832407883,0,0.50135591848299,0.645151515388483,0.635615009246355,0.533667083854819,0,0,0.667879496270722,0.75341839111052,0.639501282211043,0
CNOT6,0,0.519253028154089,0.488591171735771,0.394046796976658,0.364107744022932,0.302156732156732,0.710833389334229,0,0.611401098901099,0,0,0.745729635518308,0.721811915671556,0,0.434860495083391,0.374659688246672,0,0.292540782485359,0,0.596452350595997,0.659534060171366,0.584587987809416,0.480877460461941,0.474633454459692,0,0.569065911572429,0,0.553963704573329,0
C5orf24,0.457126600284495,0.500891439953405,0.54719268325202,0.47241599609164,0.410339889646382,0.334604284604285,0.600198147170355,0,0.489468864468864,0,0,0.569069813795885,0.706594628952805,0,0,0.29132096939356,0,0.28604120868692,0,0.514307975633943,0.655442272758197,0.491190894864771,0.44688405961998,0,0,0.74289295356896,0.61626688402422,0.691288179391491,0
BPTF,0,0.665530692062702,0.473078741777831,0.459167735358916,0.448540478316559,0,0.582516200259204,0,0.655265567765568,0,0,0.584816275824986,0.717506126655946,0,0.434409030666504,0.415144612583912,0,0,0,0.572110578187926,0.671284019703139,0.568324325721846,0.432951416543407,0,0,0.639806642150413,0.670287444274403,0.692602527693791,0
MED23,0,0.488695830017295,0.450596975408847,0.412393072055694,0.509279049059626,0.315591353091353,0.52778918062689,0,0.609111721611722,0,0,0.667562844468343,0.657781837107489,0,0.429576833937813,0.32168483331437,0,0,0,0,0.655768853306391,0.527226697980476,0.412339970417567,0.51639300407928,0,0.738483121702778,0.695829729190232,0.642297879596776,0
