,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
UBA7,0,0.563664225766246,0,0.547077655171766,0.539120621970219,0.425703185703186,0,0.690720334295635,0,0.604800818030584,0,0,0,0,0.589337124822848,0.630429400386847,0,0.458038558299887,0,0,0,0.493584850023181,0.541051541699852,0.520236764179209,0.766298003072197,0.555857501990281,0,0,0
DHX58,0,0.443453214593235,0,0.535258623524383,0.446889330258579,0.483914973914974,0,0.622401102423834,0,0.500617450183209,0,0.435820535759812,0,0,0.482934622072257,0.466220958015702,0,0.365740037754211,0.546421771407662,0,0,0.461483071292138,0.607090909090909,0.552035490605428,0.885867895545315,0,0,0,0
TAPBP,0,0.516138545922866,0,0.579638711556439,0.648722343899757,0,0,0.656943735703759,0,0.485140468617988,0,0,0,0,0.468752139029449,0.606823301854591,0,0.416708654134845,0.56340277476293,0,0,0.399274476462061,0.528105586528615,0.489690210602633,0.693689708141321,0.655443995080052,0,0,0
PARP10,0,0.471426496589112,0,0.543971401325648,0.489655450362912,0.382128982128982,0,0.618430568590437,0,0,0,0.43263369659437,0,0,0,0.498369780407327,0,0.533420155365136,0.581838140896433,0,0,0.554764868673112,0.553719422004779,0.481622933063128,0.885480798771121,0.546589138878397,0,0,0
IFI35,0,0.473096001339753,0,0.589632745670035,0.672646988071683,0.374591242091242,0,0.721419709691885,0,0,0,0,0,0,0.53327847464518,0.424567755148481,0,0.293834054022342,0.507281116851382,0,0,0.50620936486469,0.606683581749915,0.479971785711166,0.817794162826421,0.436956954508899,0,0,0
HSH2D,0,0.449103447049356,0,0.518145454887095,0.516835790743747,0.398777888777889,0,0.526424925626834,0,0.507934697188633,0.540668710178935,0,0,0,0,0.499954488565252,0,0.370423509761224,0.560245970267739,0,0,0.48295459905269,0,0.403646347428831,0.688952380952381,0.552860064908099,0,0,0
BATF2,0,0.452523968100825,0,0.566890739722939,0.652959157070654,0.338792041292041,0,0.6314787324267,0,0,0,0,0,0,0.560074283181084,0.481337125952896,0,0.424528676290424,0,0,0,0.554521001086923,0.527758789395836,0.505687188267049,0.783373271889401,0.473692294064664,0,0,0
IL15RA,0,0,0,0.557737566763906,0.55382478183057,0.367900155400155,0,0.68939850813555,0,0.548779499531847,0,0,0,0,0.591548048630906,0.487680509728069,0,0.409323892479872,0,0,0,0.423017676207433,0.48589714415747,0.445051034669509,0.718734254992319,0.531463190905426,0,0,0
XAF1,0,0.600068025093701,0,0.627669969043156,0.615272426834997,0.617799145299145,0,0.671728264657848,0,0,0,0,0,0,0.607926410496117,0.55775173512345,0,0,0,0,0,0.503218667819156,0.599937194220048,0.476247150182126,0.87321044546851,0,0,0,0
LGALS9,0,0.571968029687988,0,0.52839080783739,0,0.378915806415806,0,0.5096042788509,0,0.48387024382581,0,0,0,0,0.606999248899189,0.388251450676983,0,0.423605958539388,0,0,0,0.413606763167889,0.485378996472864,0.486837553829893,0.767606758832565,0.621644399894736,0,0,0
TAP1,0,0,0,0,0.677883810058779,0.459638694638695,0,0.761409932044159,0,0,0,0,0,0,0.532039158307703,0.501879394697918,0,0.387869302789463,0.436578619316667,0,0,0.408588960484717,0.610848333143702,0.503592517535661,0.812718894009216,0.571111623477779,0,0,0
TAP2,0,0,0,0.600004932425767,0.623092395021115,0.36514985014985,0,0.66058715845142,0,0,0,0,0,0,0.616883230238813,0.552365911935374,0,0.455458054519289,0,0,0,0.381974551823434,0.545175787916714,0.465133406416785,0.777560675883256,0.511411218018544,0,0,0
OAS2,0,0.517199678103478,0,0,0.616375711120879,0.560025807525808,0,0.717440254647059,0,0,0,0,0,0,0.595581712647665,0.501078621003527,0,0.394690253270709,0,0,0,0.584868190967186,0.661705313460007,0.547445864379242,0.851680491551459,0,0,0,0
UBE2L6,0,0,0,0.526878197268845,0.7026434741868,0.507833555333555,0,0.703204677569576,0,0,0,0,0,0,0.526976233516553,0.46864375924451,0,0,0,0,0,0.534810351026078,0.661393787689157,0.474408307928827,0.812589861751152,0.559933732819731,0,0,0
IRF1,0,0.412707057862826,0,0,0.571081860923207,0.444141969141969,0,0.712319479286731,0,0,0,0,0,0,0.491734101125273,0.567913073159631,0,0.414941298068461,0,0,0,0.478017852644583,0.566215724200706,0.486602471152418,0.735520737327189,0.545160169933035,0,0,0
PSMB9,0,0.449013043330058,0,0,0.640820511012062,0.391519591519592,0,0.696327910426279,0,0,0,0,0,0,0.542933450630626,0.455726476277165,0,0.340817168158085,0,0,0,0.48178836695713,0.614872454204119,0.425671836374595,0.768522273425499,0.573058074572308,0,0,0
