,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
SRP72,0.790839260312944,0.760075198110117,0.783838074277495,0.820956467819445,0.755390790598909,0.716708569208569,0.711500024000384,0.726082232158469,0.801602564102564,0,0,0.628729760674173,0.778393059420909,0,0.637826539354696,0,0.821646707722657,0.737238973113066,0.682130253846774,0.813741323133588,0.796624871655115,0.691543839041803,0.792162248264877,0.656137372140355,0.873695852534562,0,0.860677689799721,0.77701989230739,0
SMARCA5,0.724096728307254,0.673972324605669,0.787677357565785,0.569654072539542,0.740739527930347,0.623485680985681,0.563442615081841,0.704026023768486,0.766300366300366,0,0,0.800476055828787,0.586211415917205,0,0.518196852726817,0,0.66714298359868,0.390395452929747,0.724415308951308,0.793803250156842,0.824588025627531,0.674871401773945,0.669248378655137,0.621547898777963,0.748933947772657,0,0.915621465167343,0.749022437053604,0
ANKRD17,0,0.671884887906798,0.744317659793209,0.646047952573552,0.776508105235185,0.660745920745921,0.528491143858302,0.658650363450154,0.827838827838828,0,0,0.717831466038724,0.669411622350157,0,0.604354891687588,0,0.612235865400422,0.519163540613385,0.798690143203567,0.845904923805477,0.79876812370531,0.705106091134505,0.732942996927978,0.681811938225557,0.689007680491551,0,0.843702175793466,0.72029303933207,0
PPAT,0.719886201991465,0.666345066550475,0.694736295578285,0.820895399690901,0.690614400882627,0.649729992229992,0.556772428358854,0.696300849418277,0,0,0,0.709768183524853,0.537641503520003,0,0.562714276198373,0,0.595923064277495,0.720222832670161,0.658525542827728,0.663432699896788,0.634722051703927,0.659532899239713,0.684065764023211,0.671105685659629,0.582463901689708,0,0.818226428904119,0.712399079169154,0
DHX9,0.532660028449502,0.613730842933171,0.650168366337854,0.551467514104389,0.594196674277985,0.476549006549007,0.630076897230356,0.672245100173309,0.842490842490842,0,0,0.62320667868781,0.596708006711987,0,0.528296287448807,0,0.636591256844421,0.280912554483054,0.725528563188807,0.782407463622933,0.821922010101808,0.637099876354242,0.535385823188076,0.594160166315808,0.647195084485407,0,0.898787344467363,0.720668192639912,0
G3BP2,0.835419630156472,0.733101544125166,0.772417261219841,0.636932360001315,0.776241100362346,0.656142746142746,0.597852637642202,0.70198633746207,0.776236263736264,0,0,0.714688663196296,0.541207574456546,0,0.520823178925076,0,0.564309108612906,0.512168313380658,0.724492833619658,0.769506000445227,0,0.671375500531233,0.612664922061668,0.719578030415528,0,0,0.890661387983233,0.739646227807255,0
NAA15,0.670014224751067,0.578478579505625,0.734079128703412,0.558310667662547,0.601031747131272,0.557928182928183,0.594918830701291,0.658429712154139,0.719642857142857,0,0,0.6865610412968,0.67572852900485,0,0.554195024359095,0,0.584542040238243,0.296752758231557,0.756963265711149,0.634349260316111,0.755759097922162,0.577141291918235,0.672864717260212,0.540123251893327,0,0,0.860419854947102,0.669699811767484,0
ANAPC1,0,0.535446409119809,0.656493599088229,0.524525899932825,0.575908099945466,0.410493672993673,0.608710795372726,0.577852438404982,0.693864468864469,0,0,0.624444331134608,0.638891764112448,0,0.567461600832413,0,0.557758696999203,0.288299904406614,0.63219196348278,0.757219759982191,0.815837406874203,0.526905966685172,0.404819433382637,0.555631065416969,0.636344086021505,0,0.866175394237807,0.770340589357976,0
NUP155,0.581251778093883,0.518867700825934,0.658406806014639,0.533182307153896,0.468607405858742,0.415606615606616,0.625243795900734,0.515348349516411,0.724771062271062,0,0,0.665613657749698,0.666763711536191,0,0.433104940497656,0,0.419390735846432,0.265443335898595,0.636440315308331,0.789085868091393,0.799876698981295,0.549869349163531,0.431042666970076,0.419946541347473,0.629529953917051,0,0.779060483066072,0.697833686405939,0
SDAD1,0.824039829302987,0.704046381554084,0.705521851395723,0.54805709400264,0.791527129332374,0.551353646353646,0,0.712023889814712,0,0,0,0.803180813142293,0.49506514446662,0,0.640098676730346,0,0.48626057486817,0.35748216682944,0.68444979192379,0.755104931900512,0,0.537059662659156,0.75477028103311,0.567351241690761,0.655938556067588,0,0.761901989486992,0.684021223708115,0
AASDH,0,0.642422908598876,0.659543170847759,0.735924970757762,0.73795864699059,0.598475968475968,0.52771237939807,0.691951461472856,0.753937728937729,0,0,0.746823590490009,0.56410982349691,0,0.581835763883306,0,0,0.737281248166643,0.644158671289204,0.781067735211382,0,0.644239117408966,0.71955580839686,0.737275290222832,0.850138248847926,0,0,0.624106879340989,0
NUP153,0.428449502133713,0.610561525659095,0.614268623242116,0.495193233651357,0.505409997317357,0.347307137307137,0.502472423558777,0.544115390517109,0.600412087912088,0,0,0.60687847365469,0.641579182927878,0,0.51545878018472,0,0.470554761694002,0.298853569567483,0.529267112795291,0.766792139720317,0.799440932419234,0.601848083071502,0.467719422004779,0.488707296407264,0.553228878648233,0,0.846554993678888,0.736309199782254,0
