,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PPARA,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,1
TNRC6B,0.67900426742532,0,0,0.434684113361237,0.558885279845036,0.520421245421245,0.773450199203187,0.729141612931236,0.60485347985348,0.545999986701393,0,0.454774696265256,0,0.541236846059836,0.603138429946642,0.406299010126294,0,0.384590829246745,0.568506998927059,0,0.769563944099889,0,0.450431220844237,0.350785938277968,0,0.677138835672531,0,0,0.775246132208158
ETV3,0.477667140825036,0,0,0.460918746506198,0.498077438969865,0.354105616605617,0.484982479719675,0.614823722809634,0,0.452424647805086,0.397283877142126,0,0,0.471849832438313,0.427843674559733,0.302180225281602,0,0.288716615649017,0.489807056605412,0,0.772723984794894,0,0.315020593924223,0,0,0.638110521620868,0,0,0.814064697609001
PEX26,0.605604551920341,0,0,0.327029223448282,0.52115069024538,0.501039516039516,0.417282964527432,0.53033182148537,0.365934065934066,0.553743308618703,0.562292659369369,0,0,0.537575751933943,0.420240903526039,0.267723062919559,0,0,0.636465123202203,0,0.65955351229022,0,0.486089202412106,0,0,0.758417786358692,0,0,0
KIAA1671,0.627368421052631,0,0,0,0.569259426720387,0.549015706515707,0.705871261940191,0.569798368726753,0,0.667699594434034,0.544187905618482,0,0.724440291163766,0,0.523425157512961,0.310217999772443,0,0.412971194296146,0.663459212721488,0,0,0,0,0.382613599636621,0,0.627876284566565,0,0,0
RREB1,0,0,0,0,0.39931964135704,0.504461926961927,0.510475111601786,0.439723537605285,0.368498168498168,0.676720517714784,0.439017424493651,0,0.64474682077217,0.564078722167772,0.475334722219032,0.287962680623507,0,0.226725426115285,0.478596989562079,0,0.712033373970993,0,0.245368983957219,0.362301823009932,0,0.533537999671832,0,0,0
ENTPD5,0.366856330014225,0,0,0,0.407608127527573,0.463368853368853,0.426297892766284,0.461477019554106,0,0.66537753291717,0.686988307596091,0,0.38500226697204,0.536865342750488,0.364506581894106,0,0,0,0.487859636936473,0,0.581038700137084,0,0.27963795653658,0.355073986076292,0,0.596564563080245,0,0,0.756844819503047
PIKFYVE,0.516899004267425,0,0,0.48791085932252,0.555939410045177,0.356267898767899,0.637513560216963,0.558737256049473,0.442216117216117,0.546356867296937,0,0,0,0.455449152283164,0.49165657925262,0.27278006599158,0,0,0.493233646946458,0,0,0,0.433019228581181,0,0,0.680669684514522,0,0,0.835513361462729
DENND4A,0.347624466571835,0,0,0.447437957130174,0.471638918731021,0.353742368742369,0.464508040128642,0.523470517775216,0,0.478005454091337,0,0,0,0.366508635421252,0.402835348136374,0.191340539310502,0,0.262293844407097,0.510118519712973,0,0.667012471251919,0,0.287144840141085,0.354155056297552,0,0.514170447570495,0,0,0.872058134083451
ROCK2,0.481564722617354,0,0,0.509992859726509,0.425817356072409,0.395030802530803,0.510453607257716,0.480790252803342,0,0,0,0,0,0.506864584732453,0.405870989822239,0.234013198316077,0,0,0.555535571418826,0,0.699017267225584,0,0.31795130276482,0.422544461526367,0,0.66045464029558,0,0,0.787248007501172
UBR4,0.465177809388336,0,0,0.437795064755704,0.454247077745018,0.43702935952936,0.603736379782076,0.548373782105953,0,0,0,0,0.428899447033765,0.458271905058906,0.447942512076185,0.228524746842644,0,0.26275800724025,0.460062391853088,0,0.740036507423867,0,0.33217885993856,0.341144491225618,0,0.729920725786209,0,0,0
TOB2,0.41049786628734,0,0,0.365125166175773,0.500018262125737,0.384433621933622,0.490870061920991,0.519273979918948,0.376556776556776,0.515274697280061,0.429822249738046,0,0.549773084117055,0.380488615765977,0.452933197966745,0.313622937763113,0,0.368211834254182,0.494225962701332,0,0,0,0.267411082034361,0.38143698517658,0,0,0,0,0
FNIP2,0,0,0,0,0.461012880466201,0.503085525585526,0.553410070561129,0.468384416189977,0,0.553853229920038,0.477845208358814,0,0,0.469747766174044,0.358348818566661,0.232025031289111,0,0,0.578684437387977,0,0.699490080787875,0,0.351508931619069,0,0,0.664577002540819,0,0,0.809985935302391
VPS13D,0,0,0,0,0.55696082962948,0.489921467421467,0.675550136802189,0.564561320244132,0,0.569361899573073,0,0,0.603916832012269,0.502988585844213,0.538465664127012,0.280519740584822,0,0.4413416376493,0.522767444600872,0,0.701948965460075,0,0.330076914324724,0.392534678243551,0,0,0,0,0
KIAA0430,0,0,0,0.419552135740357,0.485103772955177,0.451565934065934,0.565935582969327,0.631958396227874,0.539880952380952,0.606713843476223,0.498756744283987,0,0,0.46127605022069,0.44137658173332,0,0,0.320595457070977,0.536222626039606,0,0.704088405285972,0,0,0.369444492972633,0,0,0,0,0
MKLN1,0,0,0,0.461012697473189,0.500436401832258,0.331841491841492,0.548266692267076,0.415070364568279,0,0.501273237757905,0,0,0.432948069574903,0.449535281749984,0.351100695744451,0.222208897485493,0,0,0.634654146949559,0,0,0,0.341571964956195,0.345196692027498,0,0.640706158718957,0,0,0.789826535396156
PDP2,0,0,0,0.39660461205297,0.518893743395723,0,0,0,0.584294871794872,0.572372475706146,0.570243317500526,0.508721509657861,0.522198540099164,0.523941534201907,0.366225844758717,0,0,0,0.56191430113062,0,0.716989265558372,0,0.348681988849699,0,0,0.757740087316365,0,0,0
RFC1,0.506799431009957,0,0,0.426923763487836,0.350771354407407,0.297282717282717,0.518732011712187,0,0.506822344322344,0.556403965146012,0.543321661524262,0.372535704187159,0,0,0.350845390377181,0.21549800887473,0,0,0,0,0.583116460128826,0,0.325297758561839,0,0,0.598564972277874,0,0,0.73666197843413
KIAA0232,0,0,0,0,0.386495850719087,0.417761405261405,0.579481783708539,0.416244395992354,0.363324175824176,0.539231618935056,0,0,0,0.483818176740549,0.324681815780467,0.249531004664922,0,0,0.43789033670514,0,0.561387074878341,0,0.242630105814086,0.388801635205842,0,0.642761262649078,0,0,0.843788091889358
CNOT1,0.440654338549075,0,0,0.491977761806113,0.509255119377627,0.36274087024087,0,0.500852570438912,0.505906593406593,0.597320455294446,0.475310782406292,0,0,0,0.379385268776946,0.270973262032086,0,0,0.513607129788699,0,0.650892725181247,0,0.300234611446126,0,0,0.720133775581067,0,0,0
HIPK2,0,0,0,0.336043818731004,0.467496564831176,0.394424186924187,0.587243315893054,0.473154885314853,0,0.667117988153434,0,0,0.541233815933533,0.590679569818116,0.364071655476719,0,0,0,0.487639466878361,0,0.5904966331217,0,0.283830925019911,0,0,0.557313818301889,0,0,0
RSC1A1,0,0,0,0,0,0.401435231435231,0,0.522157018079132,0,0.583830888259699,0.541963663140746,0.423337397036124,0,0.619096469098796,0.479219773934735,0.204950961429059,0,0,0.426732986436284,0,0.721348592917787,0,0.41521993400842,0.333594876005625,0,0.65747617142029,0,0,0
LONP2,0,0,0,0,0.414368892420966,0.366211843711844,0.553109009744156,0.4417444893677,0.365338827838828,0.594610864047922,0.542175495757674,0.414581121860094,0,0.55933831674781,0,0.201307771077483,0,0,0.502787787073847,0,0,0,0.297483672772784,0.264841436570261,0,0.622941235942579,0,0,0
LRP6,0,0,0,0.413790592689675,0,0,0.447864445831133,0.562181141034837,0.388965201465201,0.510052396512939,0,0,0,0.467655370424796,0.319620958239254,0,0,0,0.496384249468181,0,0.683114720190556,0,0.251639549436796,0.269025427800246,0,0.530870020086042,0,0,0.774331926863572
TGOLN2,0.416728307254623,0,0,0.486153976239801,0,0.40206043956044,0.474304804876878,0.443535868622672,0,0.530271474445687,0,0,0,0.393857128228725,0.40814209357292,0,0,0.356505526816188,0.583723540830692,0,0.725401182845225,0,0.311015587666401,0,0,0.558411488177375,0,0,0
STT3B,0.462844950213371,0,0,0,0.378895028041809,0.303960483960484,0,0.410513707143987,0.4003663003663,0,0.416286397698086,0,0,0.477614131583952,0,0,0,0.27155294389669,0.444020987478216,0,0.712648999320447,0,0.38755398793947,0,0,0.6113400596191,0,0,0.769549929676512
ACO2,0.405433854907539,0,0,0,0.407257998496208,0.45966921966922,0.489054480871694,0.58290481781102,0.471703296703297,0.561105854005395,0.531948897902983,0,0,0,0.380327015970654,0.347452724997156,0,0.263025893038938,0.380001116355224,0,0,0,0.410051427921265,0.325958019234633,0,0,0,0,0
FOXN3,0.548563300142247,0,0,0.348673177468679,0.485927457798746,0.404379786879787,0.568248835981376,0.557044010120222,0,0,0,0,0.408943970073053,0.521103887036695,0.410768534618397,0.270691091136648,0,0.286171053494335,0.416087298978535,0,0,0,0,0,0,0,0,0,0.753914674167839
ERN1,0.424694167852063,0,0,0,0.499673170922162,0.414302086802087,0.604070465127442,0.625512820970318,0,0,0,0,0,0.545831233268747,0,0.239716008647173,0,0.309557785684459,0.479784667481193,0,0.762891183087644,0,0.406594606894982,0,0,0.637102199409629,0,0,0
PACSIN2,0.53900426742532,0,0,0,0.505457856681356,0.52511433011433,0,0.629390276831138,0,0,0.558817595725016,0,0,0,0.442396769577431,0.436592103766071,0,0.509468749245088,0.515663083993327,0,0,0,0.367591989987484,0,0,0.741414998768908,0,0,0
PANK3,0,0,0,0,0.396514830735283,0.343520646020646,0,0.464534616084587,0,0.47299925569357,0.50482423566883,0,0,0,0,0,0,0,0.623093668405287,0,0.637000295594007,0,0.297598361588349,0.435932272604188,0,0.677509452336303,0,0,0.841654946085326
MTOR,0.530213371266003,0,0,0,0.403320936078782,0.388634698634699,0.532894926318821,0.522764255203743,0,0,0.520946841361327,0,0,0.47785403764291,0.465939760336824,0,0,0,0.454096093376913,0,0,0,0.38121811355103,0.307452328333959,0,0.646059244523943,0,0,0
ZKSCAN1,0,0,0,0,0.535005976123215,0.500484237984238,0.626477223635578,0.603310007339183,0,0.623610866956992,0,0,0,0.61295306538504,0,0.386992149277506,0,0,0.62341617102562,0,0,0,0.408470588235294,0,0,0.692247472854747,0,0,0
MKL2,0,0,0,0,0.564370214850761,0.438223998223998,0,0.568784026987259,0,0,0,0.519628611557912,0,0.48558608757635,0.39298984061503,0.30673683012857,0,0,0,0,0.754850322299127,0,0.292871999089771,0.3524909155231,0,0,0,0,0.89774964838256
MAN2A1,0,0,0,0.373638298172184,0,0.339092019092019,0,0.439258445116112,0,0,0.464159308215197,0,0,0.55487505336048,0,0,0,0.294424610638129,0.519753285495445,0,0.751780308747159,0,0.367891000113779,0,0,0.626323009410993,0,0,0.81530707923113
ABHD2,0.425576102418208,0,0,0.418555081103172,0,0.370069375069375,0,0.530534035611097,0,0.483409467860383,0.460875272198608,0,0,0.554803773068018,0.33580396498538,0.21337148708613,0,0.324350172033585,0.488678297434244,0,0,0,0,0.31955411815061,0,0.61467275515415,0,0,0
