,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
RREB1,0,0,0,0,0.547436816193594,0,0,0,0,0,0,0,0,0,0,0.520904539765616,0,0,0,0,0,0,0,0,0,0,0,0,0
PFDN5,0,0,0,0,-0.459861736816319,0,0,0,0,0,0,0,0,0,0,-0.451803845716236,0,0,0,0,0,0,0,0,0,0,0,0,0
UROS,0,0,0,0,-0.384572659960478,0,0,0,0,0,0,0,0,0,0,-0.46653544202981,0,0,0,0,0,0,0,0,0,0,0,0,0
SPCS1,0,0,0,0,-0.412520009622251,0,0,0,0,0,0,0,0,0,0,-0.408696324951644,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS7,0,0,0,0,-0.361611500353278,0,0,0,0,0,0,0,0,0,0,-0.425314370235522,0,0,0,0,0,0,0,0,0,0,0,0,0
ATP5G2,0,0,0,0,-0.400303277232923,0,0,0,0,0,0,0,0,0,0,-0.373087040618956,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS3A,0,0,0,0,-0.306114789425096,0,0,0,0,0,0,0,0,0,0,-0.452687450221868,0,0,0,0,0,0,0,0,0,0,0,0,0
RPS15A,0,0,0,0,-0.351319218179505,0,0,0,0,0,0,0,0,0,0,-0.402669245647969,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL12,0,0,0,0,-0.363299172662731,0,0,0,0,0,0,0,0,0,0,-0.371079531232222,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM129B,0,0,0,0,0.352474140200228,0,0,0,0,0,0,0,0,0,0,0.320744339515303,0,0,0,0,0,0,0,0,0,0,0,0,0
NHP2,0,0,0,0,-0.340418618300161,0,0,0,0,0,0,0,0,0,0,-0.32145545568324,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL34,0,0,0,0,-0.318995255625679,0,0,0,0,0,0,0,0,0,0,-0.324876095118899,0,0,0,0,0,0,0,0,0,0,0,0,0
ANKS1A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59864011832973,0,0,0,0,0,0,0,0,0,0,0,0,0
EHBP1L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483608829218341,0,0,0,0,0,0,0,0,0,0,0,0,0
SBNO2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.469227670952327,0,0,0,0,0,0,0,0,0,0,0,0,0
SPAG9,0,0,0,0,0.467516716142334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PLA2G4E,0,0,0,0,0.467239058032606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUP153,0,0,0,0,0.452248319569568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.432956877915576,0,0,0,0,0,0,0,0,0,0,0,0,0
UBR4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.430200477870065,0,0,0,0,0,0,0,0,0,0,0,0,0
MRPS33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.429273409944249,0,0,0,0,0,0,0,0,0,0,0,0,0
ZBTB43,0,0,0,0,0.42756800122923,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VEGFA,0,0,0,0,0.425552870113464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NUDCD2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.42467174877688,0,0,0,0,0,0,0,0,0,0,0,0,0
PMPCB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.423087723290477,0,0,0,0,0,0,0,0,0,0,0,0,0
ERO1L,0,0,0,0,0.420439474907209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MPZL3,0,0,0,0,0.419764405983428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TATDN3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.418017294345204,0,0,0,0,0,0,0,0,0,0,0,0,0
FBXL18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416531118443509,0,0,0,0,0,0,0,0,0,0,0,0,0
AHDC1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.414566617362612,0,0,0,0,0,0,0,0,0,0,0,0,0
