,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
TIMP4,0,0,0.644731829405442,0,0,0,0,0,0,0.600503289950783,0,0,0,0,0.424668311819996,0.431019012725201,0,0,0,0,0,0.625084681097712,0,0,0,0,0,0,0
RBP7,0,0,0.460159618913057,0,0,0,0,0,0,0.62692440198864,0,0,0,0,0,0.356995335077938,0,0,0,0,0,0.448297451374096,0,-0.35063089071549,0,0,0,0,0
TSEN2,0,0.653666315425987,0,0,0,0.468131035631036,0,0,0,0,0,0,0,0.478165755936811,0,0,0,0,0.546818697709611,0,0,0,0,0,0,0,0,0,0
CA4,0,0.453276840212566,0.565289315632897,0,0,0,0,0,0,0.487361855521436,0,0,0,0,0,0,0,0,0,0,0,0.380049611714882,0,0,0,0,0,0,0
TMBIM1,0,0,0.325275360633808,0,0,0,0,0,0,0,0,0,0,0,0.381038953879654,0,0,0,0.624600747958,0,0,0,0,0.514060848525083,0,0,0,0,0
FABP4,0,0,0.691728105539735,0,0,0,0,0,0,0.629537490788052,0,0,0,0,0,0,0,0,0,0,0,0.430077258509075,0,0,0,0,0,0,0
CD36,0,0,0.618527521740605,0,0,0,0,0,0,0.644805210726823,0,0,0,0,0,0,0,0,0,0,0,0.472132887570405,0,0,0,0,0,0,0
PLBD1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553894124645983,0,0,0,0.596601938736906,0,0,0,0,0.524989845476542,0,0,0,0,0
BTNL9,0,0,0.590418463069249,0,0,0,0,0,0,0.649825019418045,0,0,0,0,0,0,0,0,0,0,0,0.367928058363313,0,0,0,0,0,0,0
PECAM1,0,0,0.657842741396172,0,0,0,0,0,0,0.463766074172151,0,0,0,0,0,0,0,0,0,0,0,0.44938612099955,0,0,0,0,0,0,0
TMEM88,0,0,0.50774879030466,0,0,0,0,0,0,0.56171821331548,0,0,0,0,0,0,0,0,0,0,0,0.474872729419829,0,0,0,0,0,0,0
MYD88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.522387627738819,0,0,0,0.661648236468844,0,0,0,0,0.341298774469126,0,0,0,0,0
