,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
IL7R,0,0.653836171480329,0.678142990452617,0.731072403312711,0,0.692331189111667,0,0,0,0,0,0.589616235033445,0,0,0,0.576441460917056,0,0.731657803284685,0,0,0,0.446634665320938,0.703640164669529,0.576311898917724,0,0,0,0,0
SAMSN1,0,0.63595533759861,0.622692711370999,0.764003391629908,0,0.673484848484848,0,0,0,0,0,0,0,0,0,0.460134713846854,0,0.655697296812288,0.565260265816583,0,0,0.422947800108238,0.832629650699738,0.599410491697312,0,0,0,0,0
FOXP3,0,0.508386797500115,0.497772934713628,0.645553535609765,0,0.618543956043956,0,0,0,0,0,0.408283927669181,0,0,0,0.544100352713619,0,0.534956724149236,0.508995962515272,0,0,0.37784976568797,0.685142792126522,0.545640979725894,0,0,0,0,0
PTPRC,0,0.544153324707929,0.672832053024602,0.766165438257773,0,0.669321511821512,0,0,0,0,0,0,0,0,0,0.458859711002389,0,0.71264222535882,0,0,0,0.496428108499414,0.824034816247582,0.581617255265066,0,0,0,0,0
ZEB2,0,0.618560772788777,0.777856272206885,0.762504873706413,0,0.643117993117993,0,0,0,0.515262541521785,0,0,0,0,0,0.515732620320856,0,0.822016847902985,0.624876735777324,0,0,0,0,0.440463264646535,0,0,0,0,0
SLA,0,0.523593147694483,0.637432280124853,0.739587884083297,0,0.627243034743035,0,0,0,0,0,0,0,0,0,0.454307202184549,0,0.662294362060814,0,0,0,0.443589199810356,0.851150073956082,0.569682196172291,0,0,0,0,0
FLI1,0,0.609454450604741,0.716847186301192,0,0,0.671216283716284,0,0,0,0.759456244880556,0,0,0,0,0,0.509918306974627,0,0.741290907585007,0.496244705065152,0,0,0.473982507916089,0,0.485690638621256,0,0,0,0,0
P2RY8,0,0.509009249337904,0.565834365942292,0.733744133936499,0,0.613644966144966,0,0,0,0,0,0,0,0,0,0.523578564114234,0,0.677796796758797,0,0,0,0.466356230449978,0.819896689043122,0.459070719158638,0,0,0,0,0
TNFSF8,0,0,0.628709098733003,0.709825392127849,0,0.606724118554417,0,0,0,0,0,0,0,0,0,0.443752645352145,0,0.496050733515317,0.509203728626449,0,0,0.477020720709075,0.794914324724087,0.500017360959461,0,0,0,0,0
HEG1,0,0.606880167647028,0.720377245068805,0.658058409316178,0,0.576417193917194,0,0,0,0,0,0.429882585256639,0,0,0,0,0,0.464692134079215,0.581320276111859,0,0,0,0.502644897030379,0.377981935867087,0,0,0,0,0
SELPLG,0,0.502967020426794,0.613366646425214,0.743869699403881,0,0.572658175158175,0,0,0,0,0,0,0,0,0,0.538803276823302,0,0.667817295846001,0,0,0,0,0.817670269655251,0.454300276901844,0,0,0,0,0
FYB,0,0.540489010019992,0.680466050492419,0.711035010827849,0,0.601270673770674,0,0,0,0,0,0,0,0,0,0,0,0.70615041636614,0,0,0,0.492581429238745,0.655719194447605,0.523109511622016,0,0,0,0,0
DOCK10,0,0.595339614168782,0.452883480215507,0.7668794656069,0,0.656216838716839,0,0,0,0,0,0,0,0,0,0.459276140630333,0,0.707967380913762,0.554757223748597,0,0,0,0,0.559801298905495,0,0,0,0,0
CCR5,0,0,0.569821131697293,0.714788351959113,0,0.587954822954823,0,0,0,0,0,0,0,0,0,0.449828421891,0,0.660847951299138,0,0,0,0.395134317584775,0.803626578677893,0.491816109223365,0,0,0,0,0
CD96,0,0,0.619746474227534,0.680318916557449,0,0.557227217227217,0,0,0,0,0,0,0,0,0,0.36570121743088,0,0.551141598997822,0,0,0,0.489682968644149,0.782065536466037,0.559147696997755,0,0,0,0,0
ITGA4,0,0.676830415960851,0.65022725822259,0.73916510473184,0,0.680705405705406,0,0,0,0,0,0,0,0,0,0,0,0.706326418630012,0,0,0,0,0.512421435885766,0.582504847966038,0,0,0,0,0
CD2,0,0,0.563983041833248,0.667865715882881,0,0.541349483849484,0,0,0,0,0,0.456128233772615,0,0,0,0,0,0.578870214169546,0,0,0,0.390769856429073,0.810081237911025,0.519767035577956,0,0,0,0,0
STAT4,0,0,0.595877665989271,0.656559891392682,0,0.503235375735376,0,0,0,0,0,0.467086325099314,0,0,0,0,0,0.537258126300605,0,0,0,0.462206288918804,0.756518602798953,0.548450397882618,0,0,0,0,0
CTLA4,0,0,0,0.663865753463268,0,0.594059829059829,0,0,0,0,0,0.614889874173361,0,0,0,0.486157014449881,0,0.597104227628054,0,0,0,0.398957581986161,0.596269200136534,0.554664311108394,0,0,0,0,0
RASGRF2,0,0.655611477419077,0.646585081607176,0.640785524035006,0,0.412706737706738,0,0,0,0,0,0.508385442982233,0,0,0,0.525148025941518,0,0.619188905645531,0,0,0,0,0.483678916827853,0,0,0,0,0,0
SLAMF8,0,0,0.577063759311647,0.718835289862221,0,0.570681540681541,0,0,0,0,0,0,0,0,0,0.448846285129139,0,0.682816743682036,0.541953249523999,0,0,0.409669943739259,0,0.493797660747198,0,0,0,0,0
TRAT1,0,0,0.565147446032064,0.686836397117585,0,0.526041855151748,0,0,0,0,0,0,0,0,0,0.408460357788816,0,0.533304401464655,0,0,0,0.390117656739665,0.805418764460852,0.515024668804886,0,0,0,0,0
IL10RA,0,0.520286001799182,0,0.743612508631745,0,0,0,0,0,0,0,0.404244174458006,0,0,0,0.494676982591876,0,0.710017289634157,0.490697039798064,0,0,0.441131657401678,0,0.546768786960282,0,0,0,0,0
GPR171,0,0.48350810428528,0.580032321066847,0,0,0.563799967754481,0,0.360489527723671,0,0,0,0.443329887684199,0,0,0,0,0,0.539447511832296,0,0,0,0,0.820492457040532,0.510637027104935,0,0,0,0,0
