,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
ANKRD46,0.515135135135135,0,0.654940294033953,0.489862690661744,0.628521913921155,0.564062326562327,0.415908222531561,0,0,0,0,0.473728856770701,0.427432402684212,0,0.423394837847212,0.406288314939129,0.406694571251533,0.379069620973948,0,0,0,0,0.60786733416771,0.576383963277749,0,0,0.747995541952226,0.665234700369251,0.858087201125176
TOP2A,0,0.569232205658087,0.580740373778115,0.403746059931322,0.613558305929649,0.326779609279609,0.594180770892334,0.692268461852305,0,0,0,0.60853563002072,0,0,0.535100181228911,0.513117533280237,0,0.277801887020351,0,0,0,0.665174695488694,0.450225509159176,0.596953970527861,0,0,0.690065872646218,0.689606548130464,0
TATDN1,0.554196301564723,0.497092260700614,0.610336410413248,0.647095505855494,0.537341009303608,0.580271117771118,0,0.528463422438393,0,0,0,0,0,0,0.563056061521358,0.481516668562976,0,0.466035014097436,0,0,0,0,0.556739560814655,0.592304509045169,0.626764976958525,0,0,0.626586039312394,0.882794186591655
ESPL1,0,0.499744350138051,0.493362614985036,0,0.535018570692689,0,0.409712667402678,0.46053642649576,0,0,0,0,0,0,0.448983027878014,0.338252816020025,0,0,0,0,0,0.555771084501516,0,0.448441881185524,0.536018433179723,0,0,0.625067061933089,0
ERCC4,0,0.39644624461468,0.417097287245168,0,0,0.272334887334887,0.457775644410311,0.4593689372934,0,0,0,0,0.526182871021683,0,0,0,0,0,0,0,0,0.558290816638477,0,0,0,0,0.626646816155433,0.483521456539276,0.771729957805907
MDC1,0,0.458686982309029,0,0.426651305683564,0,0,0,0.495472187825996,0,0,0,0,0,0,0.308626748836023,0,0,0.193894101853545,0,0,0,0.622358814468126,0,0.375435443436029,0.647102918586789,0,0.697035730920221,0.555561385443789,0
TRMT12,0.546315789473684,0.50433641446993,0.599031064205424,0.599705463718485,0,0.387980907980908,0,0.483072001313202,0,0,0,0,0,0,0.561026596318917,0.43288588007737,0,0.505624307638153,0,0,0,0,0,0,0,0,0,0,0
JRK,0.331692745376956,0,0,0.365398798367132,0.372813110443039,0.278859473859474,0,0.466441971088138,0,0,0,0,0.447842440340731,0,0,0,0.378444340469657,0.336137578553952,0,0,0,0.580435251234274,0.376193878712026,0,0.667182795698925,0,0,0,0
TPD52,0,0.588564522320085,0.556608665742848,0.504698722736604,0.548421711526424,0.452329337329337,0,0,0,0,0,0,0,0,0.505916354473644,0.332042780748663,0,0.349163902970987,0,0,0,0,0,0,0,0,0,0.579733851027408,0
NEK2,0,0.616700086402243,0.474078176660068,0.457367399953964,0.582867859036541,0,0,0.650026525735316,0,0,0,0,0,0,0.501133082660137,0.536109910114916,0,0,0,0,0,0,0,0.590981036154471,0,0,0,0,0
