,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
PLEKHH3,0,0,0.462923956801665,0.458612250266586,0,0,0,0,0,0.474874255433832,0,0,0.522467223666313,0.495348030017514,0.489925142582822,0,0,0.319603287446207,0.47493472422925,0.455372068079251,0,0,0.407041529184208,0,0,0.489643635273425,0.735819083105995,0,0
PCGF2,0,0,0.424787038224751,0,0,0,0.569685018960303,0,0,0.546333179152604,0.487148190785533,0,0.672450676957213,0,0.372539915150875,0,0,0,0.468546691557254,0.467057252140125,0,0,0.435718056661736,0,0,0,0.852460243529177,0,0
MIDN,0,0,0,0.50854484044777,0,0,0.561482647722363,0,0,0.627051881607486,0.743541942227697,0,0.7097213009358,0,0.310498069418253,0,0,0,0.5794348761776,0,0,0,0.388570940948913,0,0,0.595838430655274,0,0,0
CASKIN2,0,0,0.326106566087079,0,0,0,0,0,0,0.448339274070583,0.573071535118191,0,0,0.442766313678502,0.469660350835284,0,0,0,0.462099740137312,0,0,0,0.436976902946865,0,0,0,0.855995076186041,0,0
PPP1R9B,0,0,0,0.412006698703946,0,0,0,0,0,0.456716981116393,0.456771645699861,0.731716813995207,0,0,0.45035866786414,0,0,0.264946819708112,0.427957876196206,0,0,0,0.305297303447491,0,0,0.508612210479327,0,0,0
SH3GL1,0,0,0,0,0,0,0.443343925502808,0,0,0.457052978742592,0.412947512164614,0.472498157427537,0.602914407591368,0,0,0,0,0,0.553566444842749,0.432552162386417,0,0,0,0,0,0.634879236056388,0,0,0
MAPK7,0,0,0,0,0,0,0.50822483559737,0,0,0.463761398880507,0.561497656601675,0.578521399335283,0.574176054069105,0,0,0,0,0.269622958287463,0.508025353667537,0,0,0,0,0,0,0.544249143530212,0,0,0
NKIRAS2,0,0,0.430194033594914,0,0,0,0.666247971967551,0,0,0.424503182730761,0.558132291991088,0,0.58700565795401,0.434760579338556,0,0,0,0.273204259254786,0,0.531234695323093,0,0,0,0,0,0,0,0,0
CSNK1E,0,0,0,0,0,0,0.535820285124562,0,0,0.551051483480428,0.618253036582736,0,0.576162679663001,0,0,0,0,0,0,0,0,0,0,0,0,0.606388344755079,0.739470357309202,0,0
NAB2,0,0,0,0,0,0,0.384459655354486,0,0,0.48162392203359,0.650133214976062,0,0,0,0.339323458003818,0,0,0,0.533577484355522,0,0,0,0,0,0,0.440549864377321,0.716182048040455,0,0
MAP1S,0,0,0,0,0,0,0,0,0,0.519157578938663,0.413615163180465,0,0,0.497459043753599,0.366021301862133,0,0,0,0.560481645259522,0.378722198611701,0,0,0,0,0,0.626863419150044,0,0,0
NCKAP5L,0,0,0,0,0,0,0.429584217347478,0,0,0,0,0.604238611975099,0.56384872080089,0,0.437166512388569,0,0,0,0.514140499506943,0,0,0,0.324128797360337,0.455865383775474,0,0,0,0,0
STRN4,0,0,0.421325686655996,0,0,0,0.452149186386982,0,0,0.633050696369106,0.553320665406599,0.479263527263119,0,0.46591033311568,0,0,0,0,0,0,0,0,0.297749231994539,0,0,0,0,0,0
KDM6B,0,0,0,0,0,0,0.434444967119474,0,0,0.576760496653115,0.638339307937797,0,0.544731221671961,0,0,0,0,0,0.506654717531118,0.505346771092628,0,0,0,0,0,0,0,0,0
TMUB2,0,0,0.393463801184704,0,0,0,0,0,0,0.409354302743627,0.564188435200024,0.594634058155759,0,0,0,0,0,0,0.545934916490427,0,0,0,0,0,0,0,0.660672699447735,0,0
FBRS,0,0,0.324846540933757,0,0,0,0,0,0,0.496030365707546,0.495709759053007,0,0.425208874867517,0,0.300127480412807,0,0,0,0.527775538176248,0,0,0,0,0,0,0.569505034769828,0,0,0
MED24,0,0,0.541203825107953,0,0,0,0.491216435462967,0,0,0,0,0,0.589537814697268,0,0.365285131189978,0,0,0.287915977899637,0.473347019021453,0,0,0,0.385805211059279,0,0,0,0,0,0
TBC1D10B,0,0,0.320314414420676,0,0,0,0.385175442807085,0,0,0.518695556228798,0,0,0.445080524887854,0,0.29767216172326,0,0,0,0.452415358567096,0,0,0,0.264734782114006,0,0,0.449741894268268,0,0,0
ERF,0,0,0,0,0,0,0,0,0,0.66225890559942,0.445001065467627,0,0,0,0,0,0,0,0.576076507544701,0.458207354339951,0,0,0.409793150529071,0,0,0.5792525753024,0,0,0
NLGN2,0,0,0,0,0,0,0.376258820141122,0,0,0,0.535436570631677,0,0.637357803996577,0,0.3080378122983,0,0,0,0,0,0,0,0,0,0,0.546965188183949,0.725247854148646,0,0
CSNK1D,0,0,0.395318937679706,0,0,0,0,0,0,0.427249656833593,0.422203210525055,0,0,0,0.405434685238228,0,0,0,0.429499066602993,0,0,0,0.29122175446581,0,0,0,0.707432297558055,0,0
TNRC18,0,0,0,0,0,0,0.389460951375222,0,0,0,0.606436433192658,0,0.446429482590967,0.427512331091639,0.35625526861616,0,0,0,0,0,0,0,0,0,0,0,0.813352518464302,0,0
EHD2,0,0,0,0,0,0,0,0,0,0.406839411420262,0.49943889574683,0,0,0,0.337459143101932,0,0,0,0.456589286711031,0,0,0,0,0,0,0.565721982439124,0.729547874110054,0,0
FBXL12,0,0,0,0,0,0,0.419221427542841,0,0,0.494868919367635,0.497439725424579,0,0.526860775843846,0,0,0,0,0,0.560267677174877,0.488942181207375,0,0,0,0,0,0,0,0,0
