,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
CASC5,0.681967866076041,0.797084405951232,0.77543723314845,0.541435899603997,0.721595782330575,0.356111943611944,0.739587001392022,0.813251686406334,0,0.617735583790161,0,0.759005428056237,0.680792842491366,0,0.734139599091329,0.537513710319718,0,0.562000679851882,0,0,0,0.832282687951858,0.667779952212994,0.678183060944611,0.852565284178187,0,0.852676492115244,0,0
TOPBP1,0.691522048364154,0.804454532116292,0.725847429156496,0.571084476011969,0.550275632152928,0.64522755022755,0.745413142610282,0.660080433642245,0,0.653160164686629,0,0.66817935299053,0.767403420430739,0,0.754137600749723,0.439015132552054,0,0.578085474981796,0,0,0,0.77664803653402,0.585260666742519,0.662235654824818,0.686236559139785,0,0.777804577816222,0,0
PRKDC,0.712375533428165,0.699619563364856,0.649508992070448,0.548095848776524,0.60904189331644,0.556103896103896,0.726009312148994,0.711521030863823,0,0.72894529160729,0,0.575656720638202,0.819432834210722,0,0.647571325865201,0.507008078279668,0,0.533679844979967,0,0,0,0.722750504942162,0.467180111503015,0.641385470078004,0.691490015360983,0,0.815198948699182,0,0
RALGAPB,0.596870554765291,0.552494920348395,0.667135632265254,0.607129938884896,0.776518180890763,0.721373903873904,0.725899486391782,0.706476085800643,0,0.726919020208481,0,0.423416198877306,0.695323331442975,0,0.588153509386463,0.546970986460348,0,0.469778081851406,0,0,0,0.717955607015421,0.578842416657185,0.64181752867288,0.802881720430107,0,0.813460642757336,0,0
ADNP,0.624921763869132,0.653689286862857,0.710653533523616,0.568350502872551,0.781357014482495,0.669632312132312,0.782182498919983,0.743839308760749,0,0.763775071511183,0,0.426269289068331,0.793435402959747,0,0.541885814301235,0.441058595972238,0,0.310975294113587,0,0,0,0.632114915437692,0.568249402662419,0.656343738262244,0.878801843317972,0,0.760812429303347,0,0
CASP8AP2,0.70873399715505,0.658027183360973,0.590333663810326,0.563156188785073,0.690910373265255,0.571521256521257,0.669872221955551,0.725728357438447,0,0,0,0.648230898665468,0.784248407652598,0,0.641776594596209,0.534571623620435,0,0.543203379243466,0,0,0,0.722765178922993,0.545779269541472,0.549830321188669,0.801026113671275,0,0.916295162685475,0,0
WDHD1,0.588477951635846,0.785560895797116,0.732263674723018,0.501880193726894,0.567940775296508,0,0.769607065713051,0.739458399201611,0,0.67706711266871,0,0.670902651913726,0.61785542987184,0,0.737965619336597,0.454791898964615,0,0.540125927894288,0,0,0,0.747903105608291,0.483297531004665,0.676133048278754,0.639225806451613,0,0.780773837247987,0,0
ATAD5,0.605462304409673,0.713424655910106,0.739448547849551,0.563204338655656,0.627141549106856,0.613330280830281,0.742759660154562,0.797619047619048,0,0,0,0.677311095762779,0.702054707648078,0,0.735954644536373,0.568215951757879,0,0.639043082593376,0,0,0,0.79260354502414,0.600430993287064,0.737348228090251,0,0,0.830752212389381,0,0
MCM4,0.604495021337127,0.774660578494882,0.636955121055892,0.458869441038722,0.627495456509062,0.426273726273726,0.802218403494456,0.699497616847053,0,0.535289205229511,0,0.631105404415685,0.661653621250931,0,0.701355656570065,0.550242575947207,0,0.625237257953749,0,0,0,0.754892113049746,0.461381954716123,0.573482390090932,0,0,0.80517665846031,0,0
GTF2A1,0.652660028449502,0.663692977113039,0.544545792126391,0.512792598542821,0.75828376320698,0,0.638359909758556,0.664817002163691,0,0.767314475076955,0,0.398760493392234,0.6842780022072,0,0.512379726250169,0.404957560587098,0,0.319738308790795,0,0,0,0.6990932527988,0.533269086357947,0.4048226343236,0.891533026113671,0,0.785281788542152,0,0
DHX33,0.700682788051209,0.542981040413426,0.47795175035907,0.581513033347896,0.698802130497372,0.385737595737596,0.694895598329573,0.688994079884095,0,0.695157997844794,0,0,0.803095765354544,0,0.518503954189741,0.411646603709182,0,0.385155503176668,0,0,0,0.674389256689501,0.338937990670156,0.581178863741582,0.826826420890937,0,0.804927140861002,0,0
RC3H2,0.610384068278805,0.613303277801737,0.588953495842077,0.537279743701762,0.687365001958455,0.463276723276723,0.618313253012048,0.639944367325528,0,0.748781099520544,0,0,0.761525329585662,0,0.579944574732234,0.369179883945841,0,0.327755039358938,0,0,0,0.683249546067391,0.555267038343384,0.422472069601069,0.812215053763441,0,0.763731785215251,0,0
LATS1,0.611778093883357,0.52898921231684,0.535637278226032,0.614795163404219,0.668785493071098,0.466886446886447,0.635191091057457,0.698640883176141,0,0.790992022082337,0,0,0.790131746793073,0,0.554498795252675,0.479302537262487,0,0.434985712757403,0,0,0,0.617304676213372,0.549374445329389,0,0.694119815668203,0,0.763365826069599,0,0
SMC2,0.693798008534851,0.729775131863458,0.697595058473786,0.530184096919818,0,0,0.761694235107762,0.761651994247603,0,0.753733895698191,0,0.745242918263949,0.738894971404079,0,0.71726417846339,0.484378655137103,0,0.597942240198227,0,0,0,0.788083958928226,0.62112140175219,0.663825329093911,0,0,0,0,0
CEP152,0.477411095305832,0.600628231747711,0.643909713432847,0.51884656397826,0.488398512329454,0.531897269397269,0.641903518456295,0.633343265615391,0,0,0,0.673841497049567,0.523827844248087,0,0.486720101249308,0.395177835931278,0,0.504001894612605,0,0,0,0.609876148107982,0.446686539993173,0.635921572138608,0.626076804915515,0,0.800369286046976,0,0
INCENP,0.806770981507823,0.74884142446621,0.567211079593983,0.465045542731249,0.623215821801955,0.50295399045399,0.730460711371382,0.743728090991599,0,0.716838468050304,0,0.4711283960117,0.632616552248967,0,0.690259003447714,0.51039367391057,0,0.549433341730827,0,0,0,0.73565103037549,0,0.581957704771971,0,0,0,0,0
DDX46,0.575590327169274,0.616857922403968,0.599774984976883,0.555712923425264,0.522984459560727,0.573884448884449,0.645344213507416,0.602566275679707,0,0.63783954565308,0,0.446519044550853,0.727633733127095,0,0.416192768759719,0.493706451245876,0,0.431979007416252,0,0,0,0.685464618411863,0.521090909090909,0,0,0,0.862881761926941,0,0
ASPM,0,0.693213496534277,0.727889182997264,0.47396618704698,0.491433803572575,0.409039849039849,0.6992663562617,0.769290335473235,0,0,0,0.669808696942025,0.541907930320132,0,0.650438256986731,0.511680054613722,0,0.595461816136302,0,0,0,0.69575597030126,0.536541130959154,0.707481809208515,0.735029185867895,0,0,0,0
STK4,0.432859174964438,0.576246645058696,0.630618661776703,0.451639914128816,0.623462675363637,0.705889943389943,0.605397590361446,0.677979952253676,0,0.595661246237429,0,0,0.738205403703255,0,0.466054607555569,0.406359540334509,0,0.469872985032905,0,0,0,0.613039439118527,0.566872681761293,0.539751246931805,0,0,0.791253576418924,0,0
ZFR,0.476443812233286,0.575350759020735,0.597091970967733,0.558414013726236,0.563168692922985,0.462567987567988,0.488133634138146,0.675986061499263,0,0.679981273898532,0,0,0.596846211824118,0,0.551579264104961,0.311052451928547,0,0,0,0,0,0.635410971036706,0.494522243713733,0.483257702151449,0.849898617511521,0,0.734496639829663,0,0
TAF2,0.628392603129445,0.570399302853942,0.642702492984473,0.553407601572739,0.646480510533468,0.447734765234765,0.743922430758892,0.577311812992376,0,0.64929141279833,0,0.462219152555729,0.752364429969516,0,0.56090370979486,0.362496757310274,0,0,0,0,0,0.720041408576383,0.467619296848333,0,0,0,0.871839443742099,0,0
GTF3C4,0.482816500711237,0.648448835199948,0.506917795480448,0.506167880982915,0.604791226119122,0,0.637002064033025,0.678605923922288,0,0.670194433951012,0,0.406346329456592,0.795928051701541,0,0.412379266861294,0.311325292979861,0,0.381464632172524,0,0,0,0.647667937596451,0.472676527477529,0.547735759645706,0.729769585253456,0,0,0,0
ECT2,0.578179231863442,0.75022045169255,0.6840320425774,0.473873410467077,0.466648950305607,0,0.650347045552729,0.636231656502433,0,0,0,0.581921467012159,0.513892675274843,0,0.581358918231077,0.318651951302765,0,0.545076422943793,0,0,0,0.750517869240157,0.61034861759017,0.508885644779483,0,0,0.69449896866059,0,0
C11orf30,0.583726884779516,0.576140680043453,0.47314344702458,0.504515518350973,0.551780683205016,0,0.729736475783613,0.617335341200652,0,0.603057765410073,0,0.374786192063264,0.815517751630252,0,0.499767089840385,0.355220161565593,0,0.30678963243135,0,0,0,0.601764231752468,0.386370690636022,0.400356827770547,0,0,0.893264688269346,0,0
RBM12B,0.401081081081081,0.467033765048144,0.634015392350332,0.505819088017963,0.448560629627717,0.453208735708736,0.615988479815677,0.62533261249945,0,0,0,0,0.734814859090558,0,0.456126984272822,0.400141540562066,0,0.374029830658214,0,0,0,0.623185448721599,0.466430538172716,0.561007503428517,0.690648233486943,0,0.743296293831925,0,0
ESCO2,0.586230440967283,0.671083110658598,0.628338939225723,0.397183584887048,0.556317247129383,0,0.625154706475304,0.693805883955261,0,0,0,0.735279120756869,0.547186694988024,0,0.584756673197645,0.291132779610877,0,0.382586215226612,0,0,0,0.670658571753495,0.5234402093526,0.539029511447315,0.763870967741935,0,0,0,0
PIKFYVE,0,0,0.484283407295727,0.553919634342837,0.563406730286035,0.465532523032523,0.547625402006432,0.557670576536262,0,0.677396253200497,0,0.35379940759557,0.681715667765407,0,0.41328736381991,0.343387188531118,0,0.303216096269787,0,0,0,0.534079447028501,0.500247582205029,0.447083249622208,0.864927803379416,0,0.858939383857875,0,0
CKAP2,0.5225320056899,0.595649358059491,0.503251986284678,0.411529897546471,0,0.516420801420801,0.60542984687755,0.511900598672762,0,0.553981332911103,0,0.562065720735546,0.586415807865737,0,0.609440096839175,0.345786778928206,0,0.391107226790996,0,0,0,0.626809921986829,0.525541927409262,0.556468977384894,0,0,0.710468095016302,0,0
LRCH3,0.531607396870555,0.58796578293326,0.502271887150006,0.438606566233083,0.585786020783558,0,0.57621081937311,0.541229675993496,0,0.702973007567323,0,0,0.774979043264906,0,0.506832950126447,0.388689725793606,0,0.333623507000404,0,0,0,0.625042755438195,0.420253043577199,0,0.790230414746544,0,0.819956417592654,0,0
URB2,0.439317211948791,0.54451197552875,0.533475149878372,0.385446760335781,0.48968063950186,0.438730713730714,0.75118859501752,0.639796572589518,0,0,0,0,0.718127758088571,0,0.429241480059077,0.385846626464899,0,0.328429283325683,0,0,0,0.547533391167451,0.368527477528729,0.628872367467091,0.740239631336405,0,0.737557389047841,0,0
FBXO5,0.459573257467994,0.710322770918457,0.596814488246161,0.434901374972402,0.422858891703075,0.519002941502941,0.614579945279124,0.599431361983506,0,0,0,0.70776568967835,0.565238498579316,0,0.717862877014707,0.429373079986347,0,0.588365646428707,0,0,0,0.633967330827344,0.508344749118216,0.566870921812353,0,0,0,0,0
ANLN,0.656586059743954,0.725504667647769,0.615146146025335,0.443950027480658,0,0.433245088245088,0,0.715667312562374,0,0,0,0.724770663465149,0,0,0.645818183071061,0.370112868358175,0,0.505625170394349,0,0,0,0.721030155379988,0.512879280919331,0.597746350922861,0.649339477726574,0,0.677606627187438,0,0
ZBTB26,0.62022759601707,0.555715367594861,0.431536456835892,0.422822803778708,0.53303366654366,0.441394993894994,0.596223683578937,0.51519282306383,0,0.555561893173118,0,0,0.755590527993096,0,0.409606625306355,0.275882352941177,0,0,0,0,0,0.6142392117417,0.43195312322221,0.406482079995807,0.662574500768049,0,0.757053030807106,0,0
ATF2,0.623357041251778,0.633246190076043,0.51435295911711,0.553610770538856,0.616645234907612,0,0.627930302884846,0.639924145912955,0,0.774092193426581,0,0,0.667009652489952,0,0.447479907479081,0,0,0,0,0,0,0.621103140965597,0.543335305495506,0,0.871447004608295,0,0.811838778361834,0,0
