,ACC,BLCA,BRCA_1,BRCA_2,CESC,COAD_READ*,GBM*,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STES*,TGCT,THCA,THYM,UCEC,UVM
NFKBIL1,0,0.622892000160059,0,0,0,0,0.675791292660683,0.620481852471711,0,0,0,0,0.719808378903602,0.699114980697137,0.666096297095973,0.698184776425077,0,0,0.601944938879552,0.604547386315342,0,0.574284058222163,0.595285015360109,0,0,0.592050498154836,0,0,0
RXRB,0,0.612397758580573,0,0,0,0,0.587009840157443,0.599039126054338,0,0,0,0,0.630508632716999,0.773774171798803,0.714225206208181,0.739159403800205,0,0,0.714051811286351,0,0,0.750083938664158,0.746596654909546,0,0,0.599334749994429,0,0,0
GTF2H4,0,0.622178403588879,0,0,0,0,0.564185282964527,0.637419961864795,0,0,0,0,0.647700736365001,0.775752997828345,0.64464972746755,0.655678461713506,0,0,0.687113539528278,0.493345880638698,0,0.62008504620033,0.599219478894072,0,0,0.494471228084585,0,0,0
RGL2,0,0.481653232081168,0,0,0,0,0.649635866173859,0.60347832086148,0,0,0,0,0.729589452092539,0.559606947700745,0.701486467552215,0.640025941517806,0,0,0.687832968450561,0.435717321352681,0,0.648418406901802,0.592864262145864,0,0,0.512611279379773,0,0,0
CCHCR1,0,0.556191098642314,0,0,0,0,0.546326693227092,0.617631822793814,0,0,0,0,0.71058683231842,0.6642134366011,0.651216002352071,0.661433155080214,0,0,0.598298178480392,0.50481857001194,0,0.553407176065759,0.609458641483673,0,0,0.512548481723949,0,0,0
PHF1,0,0.612113950183104,0,0,0,0,0.644769740315845,0.516335630247903,0,0,0,0,0.660230021124389,0.621918689932058,0.613238094363069,0.597239503925361,0,0,0.61436749173587,0.628235484589076,0,0.463045500870132,0.481444988053248,0,0,0.713250342210393,0,0,0
ZNF76,0,0.577650866764184,0,0,0,0,0.562388134210147,0.49229891292065,0,0,0,0,0.780961954231948,0.618914278799033,0.632649686122551,0.502389805438617,0,0,0.631838450995107,0.593536113978103,0,0.497977960379553,0.535351689612015,0,0,0.676356811492303,0,0,0
LEMD2,0,0,0,0,0,0,0.671080305284884,0.674019529126566,0,0,0,0,0.784906922938987,0.598459760546092,0.686189392251488,0.683622027534418,0,0,0.668498316164203,0.593560399085261,0,0,0.701498236431904,0,0,0.60261477652782,0,0,0
PFDN6,0,0,0,0,0,0,0.501843421494744,0.633340886625677,0,0,0,0,0.55545348916883,0.620265678672165,0.478447541235894,0.528053248378655,0,0,0.645457984730741,0.61112257907838,0,0.592931194053264,0.603784730913642,0,0,0.528703316802756,0,0,0
CSNK2B,0,0.510558709805543,0,0,0,0,0.419976383622138,0.61218661271118,0,0,0,0,0.571619551066643,0.637891326810832,0.517404866306353,0,0,0,0.665226775159856,0.635381377370328,0,0.577863112022917,0.64108977130504,0,0,0.468661667776829,0,0,0
PRR3,0,0.618033170754841,0,0,0,0,0.488246531944511,0.545215673260037,0,0,0,0,0.447193984287187,0.629082625295727,0.571876787309842,0,0,0,0.524100868896483,0.603810738064882,0,0.59996352467622,0.599389008988508,0,0,0.561569142152715,0,0,0
ZBTB22,0,0.581661235033368,0,0,0,0,0.583981567705083,0.584725934437422,0,0,0,0,0,0.661692295212119,0.627610190164025,0.646497895096143,0,0,0.656147086002766,0,0,0.573126211258507,0.674732051427921,0,0,0.439550810761935,0,0,0
MEA1,0,0.60787312653112,0,0,0,0,0,0.59639279737074,0,0,0,0,0.489298142540787,0.66556377258927,0.50621863235338,0,0,0,0.485372645575822,0.672711634590088,0,0.594989743935541,0.618662191375583,0,0,0.542580770031854,0,0,0
GNL1,0,0.5910083867975,0,0,0,0,0.569956895310325,0.698161219374968,0,0,0,0,0.428770863796529,0,0.67399709666231,0.690756855159859,0,0,0.638040424463064,0,0,0.679882915608189,0.716283308681306,0,0,0,0,0,0
CDK5RAP3,0,0.443441358367753,0,0,0,0,0.477838429414871,0.499136129359945,0,0,0,0,0.790026926671108,0.512585360145008,0.505726512021058,0.379365115485266,0,0,0.566023108553142,0.389476453564851,0,0.506405716703427,0,0,0,0.604857076402648,0,0,0
ASPSCR1,0,0,0,0,0,0,0.506978351653626,0.51146940678702,0,0,0,0,0.744323604062764,0.518163840943879,0.447837312023815,0.31833041301627,0,0,0.612680554952586,0.499862384392771,0,0.385545220492284,0.297974968710889,0,0,0.618842906231314,0,0,0
TAF6L,0,0,0,0,0,0,0.572052800844813,0.455065344899981,0,0,0,0,0.737221056744278,0.5505171145844,0.45391272989542,0.36807486631016,0,0,0.585767091088384,0.552514520470322,0,0.448466551534147,0,0,0,0.636713259089685,0,0,0
C1orf35,0,0.354563387086496,0,0,0,0,0.523618873901982,0.473532847305735,0,0,0,0,0.768940150480292,0.416535432023735,0.47851105174786,0.335745363522585,0,0,0.541568727168985,0.487003420152592,0,0,0.28800546137217,0,0,0.666010391262544,0,0,0
